PC	var_explained
1	0.24048
2	0.15965
3	0.13319
4	0.07452
5	0.06626
6	0.05848
7	0.04004
8	0.03209
9	0.03112
10	0.02233
11	0.02097
12	0.01809
13	0.016
14	0.01549
15	0.01114
16	0.00868
17	0.00797
18	0.00704
19	0.0063
20	0.00609
21	0.00492
22	0.00404
23	0.00322
24	0.00266
25	0.0021
26	0.00173
27	0.00132
28	0.00125
29	0.00092
30	0.00061
31	0.00044
32	0.00035
33	0.00025
34	0.00014
35	7e-05
36	4e-05
37	1e-05
38	1e-05
