Var	PC1	PC2	PC3	PC4
PF_CUREDMEAT	0.346356314331223	-0.306231105399216	-0.176048971374486	-0.618634893233984
ADD_SUGARS	0.347599452896721	0.315387612701815	-0.137629757334673	0.42524642746447
PF_SEAFD_HI	0.149780335036202	-0.441416241922083	0.17118634795809	0.23203594804813
OILS	-0.287429091489605	-0.251203908880747	-0.39680760658218	-0.115403416444894
V_OTHER	-0.0441131598286584	-0.481357325813816	-0.0180072080437083	0.167601366466929
PF_LEGUMES	-0.455898055395273	0.0585478681719512	-0.176609422097101	0.0174610629820577
PF_SEAFD_LOW	-0.0908754894153527	0.00724906487801269	0.642547518576764	0.0794829364130514
G_TOTAL	0.0601798585517688	0.460485164113171	0.182176967432723	-0.521974886191085
PF_SOY	-0.435912923582249	0.0908551260801546	0.236387573891699	0.0226479910048137
PF_TOTAL	0.21373140909146	-0.267406920611739	0.459943351000208	-0.137301050836988
SOLID_FATS	0.443612581604038	0.147676954710279	-0.135299251211649	0.20679163250421
