GRMS	SODI	CARB	SUGR	MAGN	TFAT	SFAT	CHOL	ATOC	ACAR	RET	BCAR	CRYP	LYCO	LZ	CALC	NIAC	FDFE	POTA	CHL	VC	VD	CAFF	THEO	ALCO	S140	S120	P226	NoOfItems
2649.47	2702.5	300.62	187.015	227	88.2	38.3085	232.5	4.18	7.5	724	170.5	15	0.5	209	1132.5	22.413	504.5	2029	226.25	23.1	8.65	83.5	5	0	4.91	1.661	0.0755	15
10258.985	5844.5	420.275	189.025	551	146.885	56.0885	489	11.34	104.5	1026.5	1104	107.5	9045.5	1688.5	2960	39.1085	953.5	4346	572.35	125.5	14.9	37.5	16	0	4.831	1.689	0.05	20.5
4526.26	5044.5	487.515	215.225	553.5	87.965	33.4645	504	9.79	127	478	5160.5	157.5	13645.5	959	2084.5	36.692	915.5	4632.5	579.25	202	6.05	78	0	0	3.418	1.5475	0.079	24.5
3454.355	5899	402.67	101.695	543.5	93.69	35.543	400.5	7.405	2947	654.5	6773.5	27	670.5	1386.5	1334.5	45.448	943	6486	518.4	102.25	8.45	355	41	0	3.425	1.0975	0.014	14
5434.095	7031.5	317.115	107.11	564.5	126.105	33.132	554	16.79	787	485.5	6221	101.5	5283	3457	1053.5	44.6835	1050	5099	701.35	152.85	5.8	445.5	0	22.65	1.91	0.5595	0.091	31.5
3397.73	5837.5	593.335	282.575	565	172.74	57.6135	428.5	14.19	59.5	909	2433.5	36	6832.5	4481	2376	39.131	959.5	3791	438.45	100.5	7.55	200	59.5	0	6.276	1.2935	0.031	18
3192.765	4755	372.025	171.605	811	135.12	46.6145	154.5	13.475	6.5	1124	2326.5	15	8038.5	3077.5	2190	44.9885	543.5	3178.5	348.1	45.15	2.35	14	123	0	4.155	2.2065	0.1045	26
4189.625	5912	297.03	80.035	524.5	136.395	32.318	330	16.08	178.5	250	1112.5	275.5	7367	2409	1001.5	46.8025	859	4666	495.85	56.95	3	394.5	58.5	0	1.874	0.529	0.01	29.5
4533.585	4769.5	244.875	165.52	485.5	118.93	34.99	1009.5	14.465	2402.5	470	26506.5	133.5	2162	23643	721.5	41.608	595	5296	790.5	238.25	27.35	141.5	0	46.45	2.208	0.845	0.7635	22
4170.945	8851	497.795	75.365	432.5	53.36	13.972	295.5	9.625	3020.5	90	9438.5	150.5	25699.5	2747.5	857	57.0115	1401.5	5789	572.55	126.25	7.15	0	0	0	0.8835	0.128	1.1875	11.5
5332.1	6148	512.58	113.755	689.5	156.585	65.9305	695.5	11.54	354	902	1988	1006	7391.5	1749	2551.5	32.795	889.5	4538	763.9	163.95	9.3	16.5	5	49.1	7.621	7.1635	0.0695	14.5
2212.64	2552	167.915	81.72	225	51.56	12.828	554	23.73	8139.5	1019	6511.5	23	751.5	3963	496	22.4925	408.5	2064	454.6	168.65	3.15	7	67	0	0.6315	1.3625	0.0755	11
5844.62	3713	319.47	54.575	594.5	40.78	9.749	17.5	7.06	1670	52	9928.5	10.5	818	10964.5	898	18.0825	630	2714	190.65	170.55	0.95	0	0	0	0.423	0.1515	0.001	24.5
4210.415	1680.5	114.33	37.025	218.5	45.9	11.4585	413.5	10.105	322.5	470	1411	12.5	148	2192.5	553.5	49.767	289.5	3128	350.85	211.25	2.35	64	25	0	0.6995	0.6175	0.045	16
3024.54	1312.5	215.34	190.335	346.5	30.9	13.751	81	1.4	2.5	25.5	4	0	0	77	266	151.7865	79.5	571	75.55	0.45	0.1	615.5	33.5	0	1.3775	3.4025	0.0035	10.5
3166.385	1884	196.735	88.81	453	37	14.7825	152	5.395	84	196.5	6676.5	52	0	14288	1165.5	21.1665	536.5	4035	401.15	134.1	4.9	282	0	0	1.347	0.4915	0.0055	12.5
6622.83	2763	260.58	116.1	364	52.795	15.462	139.5	12.565	4203.5	160	15304	713.5	36917	4123	910.5	24.6295	457	3219	239.45	162.15	0.75	0.5	6	0	1.359	0.4125	0.016	25.5
5391.265	2158.5	235.125	95.205	390.5	21.28	6.0585	195.5	5.04	1556	543.5	5148	49.5	1749	1706	1039.5	20.2575	1012	3093.5	293.6	80.3	5.85	52	2.5	0	0.411	0.122	0.0155	17
2255.095	3384	228.03	109.69	189	61.865	24.8135	148	4.69	770.5	224	1725	3	2928.5	630	774.5	26.199	1818	1902	178.2	18.7	4.1	91.5	9	0	2.6485	1.3585	0.001	8
3846.205	1354	257.385	156.295	375	52.295	16.1055	129.5	7.695	345.5	532	5425.5	148.5	2764	10257	845	17.2795	714	3687.5	233.65	313.3	6.8	25.5	14	0	1.539	0.276	0.085	18
2358.05	1848	213.94	117.27	351	42.505	17.267	124	6.905	42.5	240	8158	355.5	10623	13703.5	1340	12.1595	568	3328	249.75	236.6	4.65	69	0	0	2.3005	0.595	0	10
