FoodID	taxonomy	Main.food.description
11432000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_low_fat_milk_fruit	Yogurt low fat milk fruit
11433000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_nonfat_milk_fruit	Yogurt nonfat milk fruit
11433990.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_NS_as_to_type_of_milk_fruit	Yogurt Greek NS as to type of milk fruit
11434000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_whole_milk_fruit	Yogurt Greek whole milk fruit
11434010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_low_fat_milk_fruit	Yogurt Greek low fat milk fruit
11434020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_nonfat_milk_fruit	Yogurt Greek nonfat milk fruit
11434090.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_NS_as_to_type_of_milk_flavors_other_than_fruit	Yogurt NS as to type of milk flavors other than fruit
11434100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_whole_milk_flavors_other_than_fruit	Yogurt whole milk flavors other than fruit
11434200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_low_fat_milk_flavors_other_than_fruit	Yogurt low fat milk flavors other than fruit
11434300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_nonfat_milk_flavors_other_than_fruit	Yogurt nonfat milk flavors other than fruit
11435000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_NS_as_to_type_of_milk_flavors_other_than_fruit	Yogurt Greek NS as to type of milk flavors other than fruit
11435010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_whole_milk_flavors_other_than_fruit	Yogurt Greek whole milk flavors other than fruit
11435020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_low_fat_milk_flavors_other_than_fruit	Yogurt Greek low fat milk flavors other than fruit
11435030.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_nonfat_milk_flavors_other_than_fruit	Yogurt Greek nonfat milk flavors other than fruit
11435100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_with_oats	Yogurt Greek with oats
11436000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_liquid	Yogurt liquid
11440010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chipotle_dip_yogurt_based	Chipotle dip yogurt based
11440020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Dill_dip_yogurt_based	Dill dip yogurt based
11440040.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Ranch_dip_yogurt_based	Ranch dip yogurt based
11440050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Spinach_dip_yogurt_based	Spinach dip yogurt based
11440060.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Tzatziki_dip	Tzatziki dip
11440070.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Vegetable_dip_yogurt_based	Vegetable dip yogurt based
11459990.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk	Yogurt frozen NS as to flavor NS as to type of milk
11460000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	Yogurt frozen flavors other than chocolate NS as to type of milk
11460100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_chocolate_NS_as_to_type_of_milk	Yogurt frozen chocolate NS as to type of milk
11460160.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_chocolate_lowfat_milk	Yogurt frozen chocolate lowfat milk
11460170.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	Yogurt frozen flavors other than chocolate lowfat milk
11460200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_chocolate_nonfat_milk	Yogurt frozen chocolate nonfat milk
11460250.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_flavors_other_than_chocolate_with_sorbet_or_sorbet_coated	Yogurt frozen flavors other than chocolate with sorbet or sorbet coated
11460300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk	Yogurt frozen flavors other than chocolate nonfat milk
11460400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_chocolate_nonfat_milk_with_low_calorie_sweetener	Yogurt frozen chocolate nonfat milk with low calorie sweetener
11460410.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_low_calorie_sweetener	Yogurt frozen flavors other than chocolate nonfat milk with low calorie sweetener
11461000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_chocolate_coated	Yogurt frozen chocolate coated
11461260.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_cone_flavors_other_than_chocolate	Yogurt frozen cone flavors other than chocolate
11461270.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk	Yogurt frozen cone flavors other than chocolate lowfat milk
11511000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_NFS	Chocolate milk NFS
11511100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_ready_to_drink_whole	Chocolate milk ready to drink whole
11511200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_ready_to_drink_reduced_fat	Chocolate milk ready to drink reduced fat
11511300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_ready_to_drink_fat_free	Chocolate milk ready to drink fat free
11511400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_ready_to_drink_low_fat	Chocolate milk ready to drink low fat
11511550.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_ready_to_drink_reduced_sugar_NS_as_to_milk	Chocolate milk ready to drink reduced sugar NS as to milk
11511600.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_ready_to_drink_low_fat_Nesquik_	Chocolate milk ready to drink low fat Nesquik 
11511700.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_ready_to_drink_low_fat_no_sugar_added_Nesquik_	Chocolate milk ready to drink low fat no sugar added Nesquik 
11512010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Hot_chocolate_Cocoa_ready_to_drink	Hot chocolate Cocoa ready to drink
11512020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Hot_chocolate_Cocoa_ready_to_drink_made_with_nonfat_milk	Hot chocolate Cocoa ready to drink made with nonfat milk
11512030.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Hot_chocolate_Cocoa_ready_to_drink_made_with_non_dairy_milk	Hot chocolate Cocoa ready to drink made with non dairy milk
11512100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Hot_chocolate_Cocoa_ready_to_drink_with_whipped_cream	Hot chocolate Cocoa ready to drink with whipped cream
11513150.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_dry_mix_with_reduced_fat_milk	Chocolate milk made from dry mix with reduced fat milk
11513200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_dry_mix_with_low_fat_milk	Chocolate milk made from dry mix with low fat milk
11513310.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_dry_mix_with_non_dairy_milk	Chocolate milk made from dry mix with non dairy milk
11513355.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_reduced_sugar_mix_with_whole_milk	Chocolate milk made from reduced sugar mix with whole milk
11513360.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_reduced_sugar_mix_with_reduced_fat_milk	Chocolate milk made from reduced sugar mix with reduced fat milk
11513380.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk_Nesquik_	Chocolate milk made from dry mix NS as to type of milk Nesquik 
11513381.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_dry_mix_with_whole_milk_Nesquik_	Chocolate milk made from dry mix with whole milk Nesquik 
11513382.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_Nesquik_	Chocolate milk made from dry mix with reduced fat milk Nesquik 
11513384.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_dry_mix_with_fat_free_milk_Nesquik_	Chocolate milk made from dry mix with fat free milk Nesquik 
11513391.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_no_sugar_added_dry_mix_with_whole_milk_Nesquik_	Chocolate milk made from no sugar added dry mix with whole milk Nesquik 
11513392.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_no_sugar_added_dry_mix_with_reduced_fat_milk_Nesquik_	Chocolate milk made from no sugar added dry mix with reduced fat milk Nesquik 
11513400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_syrup_NS_as_to_type_of_milk	Chocolate milk made from syrup NS as to type of milk
11513500.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_syrup_with_whole_milk	Chocolate milk made from syrup with whole milk
11513550.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_syrup_with_reduced_fat_milk	Chocolate milk made from syrup with reduced fat milk
11513600.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_syrup_with_low_fat_milk	Chocolate milk made from syrup with low fat milk
11513700.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chocolate_milk_made_from_syrup_with_fat_free_milk	Chocolate milk made from syrup with fat free milk
11514100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Hot_chocolate_Cocoa_made_with_dry_mix_and_water	Hot chocolate Cocoa made with dry mix and water
11514110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Hot_chocolate_Cocoa_made_with_dry_mix_and_whole_milk	Hot chocolate Cocoa made with dry mix and whole milk
