FoodID	taxonomy	Main.food.description
11541120.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_shake_home_recipe_flavors_other_than_chocolate	Milk shake home recipe flavors other than chocolate
11542200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_shake_fast_food_flavors_other_than_chocolate	Milk shake fast food flavors other than chocolate
11553110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Fruit_smoothie_with_whole_fruit_and_dairy	Fruit smoothie with whole fruit and dairy
11553120.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Fruit_smoothie_with_whole_fruit_and_dairy_added_protein	Fruit smoothie with whole fruit and dairy added protein
11830150.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Cocoa_powder_not_reconstituted	Cocoa powder not reconstituted
12120100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_half_and_half	Cream half and half
12140000.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_whipped	Cream whipped
12200100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_NFS	Coffee creamer NFS
12210200.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid	Coffee creamer liquid
12210210.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid_flavored	Coffee creamer liquid flavored
12210260.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid_fat_free	Coffee creamer liquid fat free
12210270.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid_fat_free_flavored	Coffee creamer liquid fat free flavored
12210280.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid_fat_free_sugar_free_flavored	Coffee creamer liquid fat free sugar free flavored
