Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
F_CITMLB	0.197345022189603	-0.200174574898202	0.123164419910655	-0.164872391532255	0.237819532139535	-0.367938948214652	0.00449445459133772	0.0254059289233473	0.0372754974478919	-0.24519171504628	-0.0766876783610404	0.315423276073855	-0.105888839850869	-0.00216222484380798	-0.0417941935899361	-0.0246769653686823	-0.293857538095352	0.105246659212389	0.0994661488527698	-0.238003113450417	-0.0272415306697334	-0.184528464684501	0.00177924329888128	0.0267016829192575	0.0122161184575058	-0.205235091260808	0.46803073550524	-0.211600928022326	-0.000470513171064657	-2.80896287401041e-16
F_TOTAL	0.207040771442465	-0.317823239927855	0.113032584353518	-0.196341470593012	0.257324266032933	-0.1660230463193	0.166636816913699	-0.179262121451793	-0.0985924824780645	-0.00973728226698688	0.163141236651937	0.297294511913806	0.015278261709543	-0.101227161325623	0.0310837555620008	-0.0111511362463558	-0.0852328678838304	0.0739595289188153	-0.0116399868341516	0.0241327398185407	0.00822495126123975	-0.0354792748289959	0.0550988854106258	0.0599224640980581	0.107972835494522	0.235053966563644	-0.618300767683161	0.21004376447822	-0.000660581816721341	1.50476808487337e-16
F_JUICE	0.0152744477700783	-0.155584083384672	0.0101677171701147	-0.0164286993346725	0.0668694937568629	0.207732896476565	0.422267469439222	-0.33359124304416	-0.173254331655611	0.138152629177981	0.42692773196205	0.203239375880903	0.0674751350039061	-0.0436014517796324	0.0787759565575585	0.0601406547526919	0.315861292297376	-0.122144941799332	-0.0308154914498497	0.0172183335901992	0.0569311292624977	0.180501732187677	-0.205110203243865	-0.0508796723783817	-0.0890728628181264	-0.0948146421644195	0.364661036585215	-0.0479516386867669	-0.0200177435096303	-1.69141302751503e-16
V_DRKGR	0.153958278461284	-0.28841800072398	0.031162252237699	0.0678949122718473	-0.159703002012722	0.200752809988674	-0.166426305028034	0.0930234501795349	0.137943064045766	0.335129316176111	0.0863431202301359	0.0781335257803417	0.0059988006990982	-0.169671993854341	0.138472539614849	-0.157134800661281	-0.199056171227	0.460334834028816	-0.0147308728799993	0.36047725587691	-0.273329944057472	0.0351571748261957	-0.12625280211565	0.0301502466201804	-0.130077776687141	0.0263758830194794	0.0402885941204017	-0.272108493904832	0.00376991754490143	-7.43750243035352e-18
V_REDOR_TOTAL	0.296183649962128	-0.0125404352915235	-0.0879408640148302	0.224686053979645	-0.305948218528886	0.052033371265017	0.259201784616551	-0.0386762012295171	-0.0380741612165431	0.074231626989096	-0.167055341741901	0.0441623843019881	-0.223849280936854	-0.116254327356877	-0.177666989857174	-0.0232532886904858	-0.0262894907330322	-0.167370226768749	0.123079291697872	-0.0453672972614951	0.241269181345043	0.0526579588166718	0.0362361157416151	0.514401598471554	0.220882313817872	-0.00236015972107001	-0.10397789812882	-0.351577170233423	0.0181904767774343	-4.55920463309993e-16
V_REDOR_OTHER	0.265788176366024	-0.134697114317796	-0.0795585096212763	0.160324173893102	-0.269036453556864	0.164791170705895	0.101086200324979	-0.149497372011957	0.00775957757708219	0.0420207581720945	-0.318328648280956	0.163694389200328	0.035750702771376	0.0282795771759569	-0.106854205738922	0.0755292415771731	0.226884033932833	0.147713776245293	0.0318074193926486	-0.369310933757609	-0.086000515313189	-0.211785517860948	0.204933466610178	-0.46004352302175	-0.263306850032016	-0.0120697109553492	-0.107748842698275	-0.00809449116696439	-0.0135485176833004	2.53144205583514e-16
V_STARCHY_TOTAL	0.0198548854943779	-0.055472276332912	-0.247499604887001	0.4160542930967	0.192268274610013	-0.185760980181878	-0.0621611659228255	-0.0650160177352323	-0.0497686833214595	-0.203088808176889	0.201806198811709	-0.0718690354576571	0.154944808244769	0.237750458073045	0.209158666802671	0.193369105525627	0.0283422185921872	-0.152767545285961	-0.06686132151951	0.112884233335462	-0.149313439364789	-0.20076127767677	-0.0553185317062351	-0.0529328366219096	-0.0687557798202769	-0.159240771732237	-0.25894743116336	-0.473671314455456	0.0012889072083139	-3.25418965244751e-16
V_STARCHY_OTHER	0.0128302855378314	-0.216415133454734	-0.0697716675623035	0.295997997846215	0.168382010120219	-0.0674878436541492	-0.281269588205643	-0.182878736965373	-0.0353792540781863	-0.00571706233732219	0.0673542422832551	-0.102224498295582	0.289188843889011	0.169722503227227	-0.355988121870912	-0.0216511977134398	0.0321681756531828	0.217478545950646	0.351069667180967	-0.137376178368185	0.0357522266776993	0.459021774950088	0.135672127508298	0.0798289891762347	0.0803734517086464	0.114682881345204	0.0924785106216144	0.061416655749891	0.000788841123175155	-9.18313446818365e-17
V_TOTAL	0.292832957070134	-0.198748611707583	-0.223314540966846	0.37315402750498	-0.116213836022485	-0.0213432982789508	-0.0288265164790969	0.0202247396908729	0.0180837248661389	-0.0754246712544998	0.0100692183781071	0.0141744931765104	-0.070900153589975	0.0451767352677492	0.0690593965975985	0.0579129483843605	-0.159238502995216	-0.136788694014131	-0.0810212157732044	0.176972136894309	-0.0802014204357605	-0.123445770590904	-0.121783210835905	0.119080134449182	0.0171216887107259	-0.198790030719948	0.161785335970689	0.67099827347582	-0.00815264345467909	2.8275013628439e-16
PF_LEGUMES	0.0362826139267954	-0.0251198200936868	0.120373044550537	-0.028413190609567	0.0288126338819819	0.227295134083497	0.45140325089394	0.172908389810082	0.286852882889688	0.0482479035915867	0.283841048705893	-0.305932980539839	0.146246783860365	0.141830112968327	-0.0881848122141113	0.0417679813355232	-0.316074753573589	-0.0647384509140824	0.114110029701057	-0.188991038721124	-0.331452345310733	-0.0661416219679345	0.317144297024457	0.0177528742292253	0.105282217443324	-0.0830018126450743	-0.0141025591053075	0.0245216065465646	0.00800212146831103	-2.29958602487953e-16
