PC	var_explained
1	0.30818
2	0.10158
3	0.07016
4	0.06741
5	0.05276
6	0.04306
7	0.0356
8	0.03511
9	0.03295
10	0.0302
11	0.02744
12	0.02494
13	0.02383
14	0.01979
15	0.0187
16	0.01619
17	0.01549
18	0.0123
19	0.01088
20	0.0103
21	0.00736
22	0.0071
23	0.00562
24	0.00514
25	0.00448
26	0.0031
27	0.00303
28	0.00229
29	0.00193
30	0.00169
31	0.00091
32	0.00045
33	3e-05
