Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33
SODI	0.250779251274787	0.0105755958796804	-0.045812432699754	0.164562858175396	-0.154071844773484	0.20394261793956	-0.0849800166054691	0.114204728313502	0.0329702021346651	-0.0544550377489691	-0.0461725626916666	0.140298267425391	0.098956111105814	-0.247535061504141	-0.167100547568913	0.124075632458551	0.109661954063998	-0.120645098622376	-0.000157578383335686	-0.118471221156862	0.0286757106894106	0.22445961683179	0.124546183129462	-0.125355024318847	-0.22651375503097	-0.110952651972222	-0.0112389311567097	0.420702081823485	0.371277406629017	-0.423840216773095	-0.0182596403264993	-0.00328598091949509	-0.0189294286975846
CARB	0.21399025241306	0.133917150243286	-0.192640836254317	0.00658111652472525	-0.19869113786004	0.22150465504135	-0.00086279927403359	-0.173631029292752	-0.152802199508138	-0.02278810572925	0.0531202253907466	0.0141717869261081	-0.034451363169999	-0.238816582787171	0.153713692833149	0.105203231398203	-0.00837600918062892	0.0801410882438199	0.0319412088440252	-0.25466119573432	0.170638622463203	-0.343129670982334	-0.482508053472357	0.296723524928236	0.0911322892479451	-0.181524783095621	0.121130074372547	0.161420938423421	-0.0827973365174917	0.0999427434735836	0.145704069448436	-0.0137740262854696	0.0171673397954014
FF	0.208372926585016	0.15118100826903	0.133824144950572	0.0785017773137461	-0.0694982736405074	0.0540629975294619	0.145597098588971	-0.117959910643448	0.0245021369916707	-0.230542342653113	-0.184702999819709	-0.290337797548855	-0.215583202711881	0.157259832972381	-0.129843231581157	-0.312349431471562	0.011192179723198	-0.355583685497015	-0.190637035440708	0.141520542970682	-0.0420582312917113	0.0468331874295322	0.106971072558604	0.239323365286529	0.135130769595818	-0.0879649928068247	-0.251125971832413	0.278876284260041	-0.226402036133907	-0.0187312217325298	0.173387612381751	0.0692243549977044	0.00913499840826028
TFAT	0.253389858547089	0.136040834065412	-0.100034567482419	0.251550957889087	0.0927180573942183	-0.0481519396134735	0.0517667355396461	0.0571795340145036	0.077341445267931	0.124362781011537	0.109192734771323	0.0785431567990429	0.0431608495675989	-0.101106547502326	0.0082956251547868	0.10162518805698	-0.0117278922784	0.0983863556123439	0.119108840451662	0.0780934216280871	-0.0942330214117684	0.135930030294268	0.0903147616921701	0.10028518705492	0.227187044109328	-0.0595768315996198	-0.120748658004594	-0.210963536726169	0.138261771694827	0.113568940964592	0.207990090849694	0.707001674550146	0.00818909091210712
PFAT	0.202008352824041	0.174051452075575	0.0790840194357431	0.325888771821697	0.0180696859888249	-0.179916593365572	0.16896582714	0.0598538076021102	0.122890239390438	0.113765299972673	0.157333567979573	-0.0332440986827679	0.033144812485073	-0.160522493393552	0.0641171206408916	0.0360491944361324	-0.0355096703683231	-0.000389015926721612	0.142544333463756	-0.00250834643139677	0.267125123550542	0.0427038750633182	0.131338541229822	0.069025445930491	-0.342324098283266	-0.220564321539171	-0.0360111580620601	-0.261858594616539	-0.477638606901824	-0.196072889310438	-0.104259842597845	-0.188284809172082	0.0068311936617013
CHL	0.227920268629282	-0.14145498398018	0.03591612176166	0.195603119702604	0.00485920308418738	0.155779413617066	-0.114445799969762	-0.00674996794991679	-0.0672791911391821	0.0765311208608043	0.166002951892074	0.176266099804174	-0.033211164980909	-0.0333031997283307	-0.301153449861192	-0.103107868181884	-0.287044114268903	-0.170817939394125	-0.155687223326396	0.0475469985107383	0.267105451654392	0.366566201106054	-0.0605809692732693	-0.0214271606152448	0.289285218247454	0.0864407031869276	0.307374751037448	-0.0811251806450271	-0.0267282181616292	0.301553150352818	-0.102369665063194	-0.190385405451133	0.000443062038093351
ATOC	0.176967758252117	0.130287410345879	0.252480269393723	-0.0740550268155767	0.036162962415812	-0.350360942128699	-0.18079977943797	-0.111266429083601	-0.0854993721733753	0.199877987257686	-0.0244483743252027	-0.00448980929826404	0.0782396946677295	0.0192686120448115	-0.00522790010880706	0.180980153967251	0.175382557104716	0.166576513829079	-0.494157677905443	-0.272445483392869	0.00692229390780911	0.0732976781786703	0.11787197951765	0.209865205827922	0.0920925011867048	-0.159484694771879	-0.223067783801806	-0.0650751470077348	0.209861039394354	0.113271180943241	-0.0171726981181807	-0.202009390959393	0.00517762731363832
RET	0.20350023992132	0.0305901320492923	-0.126636516994787	-0.257807254476773	0.239744575656746	-0.265575552332353	-0.230773457350111	-0.00812623273326884	-0.00241090091461891	-0.00845230410353419	-0.0107588789923156	0.258063074760442	-0.0771072608752638	0.183771003124061	-0.0286877057757846	-0.0508331686246472	0.0819713060196294	0.0222701650986355	-0.00555417122394498	-0.0248365276287687	0.00169879110835425	0.203379996547409	-0.312771355283433	-0.0676196502005336	-0.0274776185494041	0.0316430798851389	0.0305276647334406	0.153388124062693	-0.315370579403472	-0.21748691377319	-0.00596708333364416	0.155460609704079	-0.484870966028837
VARA	0.180333576518002	0.152534270612019	0.213878119198494	-0.180312564462992	0.325737926613354	0.162062419910259	-0.287540652374511	0.0626924755955925	0.100580234653753	0.012911232811323	0.00685263476992181	0.129255104188219	0.141420345604122	0.0777392470632331	0.18397938808196	-0.124474251670664	-0.0919969974251799	0.0281322565229531	-0.0077229083500153	0.0601966948728801	-0.0460059889037077	0.0550276367097014	-0.148484349063447	0.0102940096053106	-0.10673191254527	0.0412768661740589	0.00914357848108973	0.0981915999027792	-0.110903760959254	-0.0744836806842913	-0.0211156027323565	0.0649246668144326	0.677487570419171
BCAR	0.0429562311148926	0.172323824061355	0.402439201731247	0.00667433943314803	0.196303113741636	0.444037839085243	-0.139263897391897	0.0947965929606725	0.0984941535859021	0.0130791928810842	0.000622677631118743	-0.0855576365053342	0.226298507957542	-0.0722202892449001	0.242403547986001	-0.0828199541048298	-0.156540700460071	0.0481997193803584	0.00240535940154444	0.115209915660452	-0.0458505052643989	-0.101199755922921	0.0641183965891055	0.0771727739860398	-0.0843086221066797	-0.0128726224353975	-0.0156835680570047	-0.0268814724126061	0.103236412523659	0.127248558564242	0.0138735705439137	-0.0569721262535222	-0.549623256757972
