Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
DR1TCHL	0.277244258164262	-0.0984068046362455	0.189937236054835	0.159903992607877	0.118103936074504	0.00333472342159497	0.0331565072347174	0.0761037245662436	0.0807255726131669	0.0338933510670592	0.041436743749696	-0.117355614117418	-0.236906445623182	0.0983301028458605	-0.14926289202866	-0.112639848266127	0.154207294810785	0.124628205906083
DR1TPOTA	0.276573739074192	0.113591778100247	0.083010242543145	0.090038917139869	0.253639233167897	-0.0700574594921857	0.0107944932666478	0.0228785555138661	-0.127194218521734	-0.101505181237706	0.0488831971756565	0.0127137349928008	-0.270123471240278	-0.1598070294007	0.277596901876124	-0.122272340403166	-0.019196034853052	0.553882671589728
DR1TFIBE	0.259472643479552	0.0870078109201288	-0.0960984181798144	-0.194504888638815	0.196752070536445	0.0647750341883896	0.0385315714066254	-0.285060589077897	0.0358782799327776	0.157531916716939	-0.0522333859944547	0.0565602328394798	0.162363971750147	-0.148384893020528	0.137901395570017	-0.258849512183815	0.138600371729996	0.0151015068019961
DR1TTFAT	0.255858440735069	-0.128421416841602	0.208427822266183	-0.0673029831385783	-0.232073403341233	-0.0157134719399952	-0.0603082819981956	-0.128117761320116	-0.0242354234699282	-0.114751670234801	0.00251413859591027	0.0353918552134024	0.176572649025607	-0.0196032452986256	0.057077192125133	-0.447270530923673	-0.256235403875269	-0.414254908029671
DR1TSODI	0.297355127456492	-0.0456433265454523	0.00342808216062179	-0.0575256181081764	-0.131430753843412	-0.0155394219825479	-0.178189282424454	-0.218666319276137	-0.0310322678147708	-0.130716825446693	0.234829828646533	-0.0426384884742637	-0.00336617977929383	-0.200799853133474	-0.00432397954077672	0.0256661209576954	0.117233672840526	0.205555805941301
DR1TCHOL	0.257394789658767	-0.249936522826891	0.0794488600919724	-0.00400145115933957	-0.11722515670884	-0.0560241734703802	0.088318909858654	-0.0223660027548372	-0.128799660347614	0.199348548619739	-0.169105407885899	-0.143082124671468	-0.219772786878131	-0.0271745175191843	-0.373169703203814	0.0894165720312585	0.0403218601260241	-0.0518377735879181
DR1TFA	0.0432690324198572	0.176766275769831	-0.261192840196641	0.122744024588751	-0.37793961110107	-0.109104442124674	-0.378137981926084	-0.0607761626403643	0.212203746126209	-0.00179188952681697	-0.159127937399789	0.15862317367198	-0.100531732087668	-0.0570048976217823	0.0795379912245894	0.0476788294640364	0.0499388508310629	0.0851222583073549
DR1TRET	0.118878969481459	0.197089844616848	-0.184061592150176	-0.224697799618553	-0.2983282085195	-0.011060776527858	0.0817695777550127	0.33049983554992	0.00591221489825087	-0.03322340138406	0.54563474463082	-0.0397897367066942	0.0426900604880378	0.0416671409329052	-0.0189372248998264	-0.297953764306565	-0.223037752936437	0.141369847371953
DR1TBCAR	0.111768261188551	0.25652472956674	-0.122130020421534	-0.200092649936811	0.314527395400901	0.193032916570483	-0.243471919956667	-0.147847825918727	-0.145401789978368	0.179437407752567	0.0265229001904159	0.314987616348581	0.0751647330525617	-0.113832620660796	-0.240215098648128	0.242127041385931	-0.37691314037187	-0.00566937504443606
DR1TCRYP	0.126206851930115	-0.141645450783151	-0.135213787354289	-0.171840678968363	0.269711380776488	-0.361680280632994	0.170754751446282	-0.130981912808035	0.426433931683203	-0.026296047527787	-0.0333301991228508	0.356606709476385	0.0599548161549963	0.398409654652562	-0.0342149448064158	-0.181235962053244	0.129079379661216	0.00752394144873202
DR1TLYCO	0.215474270331906	0.154356701281378	0.103046369226655	-0.217756366301518	-0.119201098915458	-0.00644511776741306	0.277404788199316	0.104612568733682	-0.0735889192685728	-0.332076683324371	-0.486894738886311	-0.0768040577667248	0.160858535603223	0.0197586825053843	0.327968499200634	0.246914337145056	-0.0912608488293554	0.056948870523502
DR1TLZ	0.0148678141950702	-0.289216672612626	-0.158524114875219	-0.171982624340966	0.173536945183919	-0.00637514611851536	-0.142243680376765	0.40674437319914	0.229438853925004	0.47487173332215	-0.217554166641127	-0.237312391841351	0.00707195381236395	-0.298297849285575	0.224371436187683	-0.149119621777575	-0.0773883622371111	0.0187597391257397
DR1TVB6	0.233509881162338	0.256755093826878	0.00899869933250151	0.0754074218490394	0.118343485504277	-0.112356030213536	-0.0402609941570543	0.263189338010258	-0.0687536791691338	-0.259406620896215	-0.267556580080587	0.0322712416608607	-0.0062828664658763	-0.290356752727835	-0.194989941156968	-0.237356403173515	0.0126521113867099	-0.250117333176132
DR1TFDFE	0.143527577001108	0.163106080309314	-0.210168901184571	0.304703749157628	-0.205611978697862	-0.153365742658097	-0.323191757135588	-0.0188250732882493	0.158229108188898	0.0768168796156651	-0.170480556486211	0.120701355118335	-0.136394982857223	0.0219935528008655	0.0543420080755361	0.0119216275808387	0.0737656123057628	-0.0863557234669793
