PC	var_explained
1	0.1266
2	0.10252
3	0.08187
4	0.06622
5	0.05938
6	0.04973
7	0.04735
8	0.04489
9	0.03976
10	0.03831
11	0.03614
12	0.03374
13	0.03276
14	0.02995
15	0.02763
16	0.02487
17	0.0232
18	0.02171
19	0.02084
20	0.01849
21	0.01785
22	0.01454
23	0.01174
24	0.01025
25	0.00679
26	0.00562
27	0.00457
28	0.00266
29	1e-05
30	0
