Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
F_TOTAL	-0.24718389699376	0.30769571063492	0.195416204802112	-0.229170812018896	-0.017130514584556	-0.165808214949864	0.174912597811554	0.272436358117072	0.044171982705942	-0.264467763602633
G_WHOLE	-0.364417598956979	0.15394148154896	-0.0474504286889102	-0.134708338006254	-0.131114181337741	0.283101540986106	-0.201128716552567	0.428061598044751	0.237121698145976	-0.442808975806217
PF_NUTSDS	-0.201437251306531	0.148902564795187	0.366357562205691	0.0156098357593504	-0.0617115277970457	-0.474084664666946	0.335807348191401	0.060686679781069	-0.184099653554642	0.0553959578140158
OILS	-0.0244175370133156	0.0969392517491869	0.154720366004643	0.520042022213967	-0.353723279045467	0.26377901225108	0.173582378363343	-0.0698277779561533	-0.192155612895643	-0.0941891761581049
V_DRKGR	-0.31788011419658	0.0417413473774962	0.309393848293057	-0.0499811206857508	-0.00450740616413942	0.418012353267158	0.0224789992962036	0.246286044567316	0.128056565258971	0.680302684769354
V_STARCHY_TOTAL	0.0797250496871906	0.0817115749749545	-0.244971625654637	0.555956349904267	-0.0416474332115273	0.110420998378103	0.0617168924686844	0.343956607759262	-0.170378391723451	-0.0222484604731999
V_REDOR_OTHER	-0.203308031800286	-0.20247621783646	-0.191444339284881	-0.319236968765164	-0.318789699486191	0.299017860353215	-0.101311295176115	-0.217283839284089	-0.335041005179221	-0.00919630858624271
PF_SEAFD_LOW	-0.0524149800781012	-0.299512495396536	-0.207258239642353	-0.20078046568931	-0.48130580064105	-0.139575142056996	0.135477832496394	0.154894041182237	-0.183789884436418	0.124938948563399
V_OTHER	-0.156290358092471	-0.311376215473463	0.306408571633818	0.242461113758392	-0.106006331650839	0.028540982425296	-0.236927237457885	-0.0930133882620331	-0.0639983670049033	-0.324371299648307
PF_LEGUMES	-0.374748520822576	0.145441449141468	-0.172518561003956	0.127503230122213	0.124691125046664	0.048001030893258	-0.201276476021251	-0.328219804196157	0.144246215933172	-0.00410623634567268
G_TOTAL	0.190884143759366	0.308884542147618	-0.270975579674801	-0.144204019709318	-0.290995026376895	-0.06030452491145	-0.0051901565832478	-0.0818442087531017	0.261373047396526	-0.0797525437061775
PF_TOTAL	0.148530976647216	-0.404360396116091	0.180464887423218	-0.131939038974296	-0.172767264726728	-0.0353756214095273	0.0735410053942869	0.262096043103126	0.019536623534813	-0.11113778204761
PF_MEAT	0.326912886952932	-0.0143610591197023	-0.0299600298790799	-0.161273503312102	0.428836207056011	0.232465186881562	-0.104925651284007	0.379287112107722	-0.361667368751443	-0.0841170346595356
PF_CUREDMEAT	0.273133789523004	-0.0238914284876811	0.287113565235177	0.113880190465721	-0.265028859613367	-0.206111911081752	-0.564208142483484	0.154342998731127	0.256989598171091	0.0997934616952701
PF_SEAFD_HI	0.0953620367258371	-0.349276391230667	0.291883541191713	-0.0542151634229149	0.173666338931257	0.242266439373731	0.225958962809668	-0.229410995283368	0.360973491188859	-0.184796437918068
PF_SOY	-0.0577979750395344	-0.304653271298281	-0.345990708161926	0.178763846383597	0.0360626387358714	-0.0344965135391846	0.391790879583277	0.217049331144638	0.463159157848597	0.0221766759147934
D_TOTAL	0.261391022067081	0.261450929889218	0.217072488152275	-0.109743129891993	-0.134783743411619	0.334267146105613	0.341452247404359	-0.156699630299601	-0.0390067970473188	-0.20488689126928
SOLID_FATS	0.357555849561836	0.223530997884945	0.0325591517453894	-0.0753130206934095	-0.271054173084515	0.161427969363257	0.023527575877691	-0.00824054061198825	0.206785274046696	0.159484785682035
