Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
SODI	0.28419875747149	-0.0445493810103076	0.0535795740813023	-0.0440727124953785	0.217803036156213	-0.181049314746216	0.123143265379944	-0.118493728122194	-0.242078801223342	0.161393741454769	-0.0750830313049169	-0.140211155309707	-0.118032350728399	0.0228924729480183	0.187723332592287	-0.00255318530393053	-0.00910228932507747	-0.090163431517479	-0.251685584746449	0.212028370578047	0.0905497476261809	0.470479329318207	0.019562542125084	-0.258606417683674	-0.475298341736012	-0.064262844918149
CARB	0.285486367339895	-0.0341864876006455	0.115167127456919	0.196910720340084	0.158190846019814	0.0443593432100429	0.12373915892518	0.140015890342496	-0.0211228452486139	0.0442779933321124	-0.0568032394656122	0.172437013767973	0.0258374545547789	-0.0484855122958155	0.36835485845771	-0.382818264387815	0.0292784223736835	0.0186114050597338	-0.183231851300167	0.0576715694796467	0.172799718001829	0.176907165915274	0.109183785878115	0.14213410529326	0.589460437253936	0.0625777443536388
SUGR	0.190850870335949	-0.0777194251429897	-0.0366046340858808	0.117260613758456	0.11439603382526	0.400080036522147	0.126574461919874	0.445029285473065	0.249724735708287	0.145091819732266	-0.124884314226857	0.248953985249038	-0.0837495734864783	-0.243731279091135	-0.070976141594629	-0.189262759927474	0.133762797959628	0.134301088828466	0.30238717149175	-0.0140493791495687	0.0121968242087528	-0.0278464085211731	-0.0179128285654998	-0.0971046886499731	-0.383788764498836	-0.0377491878465774
MAGN	0.262813786311637	0.0800099137787826	-0.00273366912587733	0.236780045098004	0.080199988036966	0.0404681551195808	-0.190556513455644	0.012046003785201	-0.0283500153881599	-0.351518208213275	0.0864719674041117	-0.129190455936088	0.00289596196717498	0.507223784137654	0.220247040093182	-0.190022851690218	-0.0271623121901228	0.0765654693353066	0.147722913670143	-0.235151413969647	-0.324249000333128	-0.0775461465952544	0.291082714005812	0.0195336338901348	-0.217401860463037	0.0790374089614898
TFAT	0.274800891143284	-0.19969966080222	-0.0590656345718024	-0.23602713700904	-0.0190355297365085	0.0117299410850337	0.0630864862549096	0.0368792709905014	-0.119599247484339	0.0297316536605291	0.0689547640880426	-0.130683458140786	-0.205530980451168	0.00405571803250435	-0.149704616269514	-0.0676205288915536	0.120222956562486	-0.201495937488487	0.00888509005368044	-0.327310033841263	-0.094753744575154	0.0263392378726858	-0.0451549668268826	0.345720273861435	0.0736561355794662	-0.643722768893912
SFAT	0.265698409303992	-0.262422418079738	-0.0274549919257527	-0.147369986698186	-0.120655148580886	0.0230098239500059	0.0519051337998251	0.0598663204812899	-0.0302605658390283	0.152890417655526	0.0517142692058705	-0.00414301116694888	-0.124703144934046	0.00537328042397718	-0.054348348442454	0.0992654151674509	0.0633463143896697	-0.228819612668821	-0.135511220540633	-0.109565043082771	-0.148953710850096	-0.0279168714762816	-0.139575972612487	0.38515225218753	-0.10116741209317	0.688162775393686
CHL	0.279983012090225	0.0797551149779874	-0.0916900393362657	-0.0537670530950873	-0.0558242736195677	-0.0743048951008683	-0.0188628530069201	-0.220657086879534	-0.162860536548477	0.0577327246336271	-0.197743016162148	-0.00839086927015949	-0.25438265574829	-0.340267287653334	0.251855150690448	0.322568352217454	0.26783804247083	0.333821977216093	0.14863715270276	0.133339723167703	-0.290314748700069	-0.248398960841723	0.199507281314756	-0.0484794498443371	0.134415060995986	-0.00351685737624127
ATOC	0.233342451279873	0.0902864831269954	0.0597021229409425	-0.356703389618783	0.118771597648621	0.0897618934512284	-0.0500034187739093	-0.242820428662674	0.0378096271829296	-0.262211173803199	0.105415453401778	-0.163404725246486	-0.16965785000642	-0.036265195834551	-0.380197665727715	-0.344661199603641	0.228732735533968	0.134146097105384	0.0567417471710975	-0.0656192615156356	0.215111223459542	-0.00970652355686232	-0.0854352051745333	-0.344318886411178	0.150159368090514	0.221189389360044
ACAR	0.0411512242020321	0.280724806485876	0.17470717683777	-0.269051000865641	0.224044792583786	0.0978545036197461	-0.041797174074779	-0.402855486235081	0.344849494496602	0.117223891294042	-0.0838565057987609	0.409986996222591	0.0483798700433461	0.0520782493159177	0.150022490158351	-0.0660734720371517	0.0111346435584391	-0.200499741556611	-0.242747583633186	-0.0488279052867067	-0.00199581014231047	-0.279018552986318	0.0849486158898492	0.147628083866395	-0.192632143327927	-0.0863796943024144
RET	0.23146847158981	-0.0790761145616294	0.0827734132735008	0.0319220677703816	-0.202344601108847	0.362831918250506	-0.0130790090798629	-0.322065585553062	0.213859346824955	-0.240773690736212	-0.10007331859221	0.0870434274108286	0.0256566343495997	0.0828212315223141	-0.144244122716312	0.228210090358886	-0.237819801268312	0.0203760879356772	0.224635215087838	0.342473039774699	-0.00885347121790811	0.417783753572631	0.00560674576394665	0.212436224140923	0.0763554035136635	-0.0614311143913258
BCAR	0.102737568918939	0.419664722038178	-0.0287552227505364	-0.125833535170625	0.0341335233002862	0.0611637935041939	-0.155879223581795	0.137835549210159	0.028723426788746	0.365734166576495	0.00662169268399854	0.109127406630866	-0.127379786643873	0.247512645427392	0.0633792120419955	0.169464398110986	-0.126536683665405	-0.0182441766749875	0.158940756055779	-0.215968313082455	-0.252320908501919	0.266887731831513	-0.386774868852649	-0.240974874704917	0.24569589174416	0.0229388799165417
CRYP	0.135354319015449	0.139880720294367	0.276970985917623	-0.00519369989316134	-0.286389121571095	-0.423854306182297	-0.0852056200283205	0.237231897074924	0.183174483680991	-0.273264069140358	0.0287671454596069	0.245287646389456	0.170628014749277	-0.0340786757031134	-0.0170075107784556	0.142771157198168	0.500468655245185	-0.205439319627018	0.0607102423659218	0.0160997160028435	0.00700406156209174	0.197328818042331	-0.00146834876940316	-0.0447231146190265	-0.0361659790624389	-0.0328257410151324
LYCO	0.127740801867958	0.147595108383203	0.368458474203785	-0.0762697682291701	0.183594983063272	-0.34810310556812	0.23135247693392	0.236022933835983	0.18000510946354	0.0665032353396477	0.269234103508244	-0.0422227492969012	-0.230502046499241	0.0426097913286679	-0.234711996125666	0.126744922651348	-0.358910365199811	0.305975884022544	0.033129345557627	0.126555214694513	0.0168592012973881	-0.0916336408097767	0.191778621035952	0.184342642578439	0.00322859737813178	0.0024896030357456
LZ	0.0708418911012114	0.366697153794864	-0.184263077580775	0.00616450741854242	-0.19401816134161	0.224518978692671	-0.24570292904631	0.19059133498163	-0.0735025816992538	0.269913836322618	0.125524606392009	-0.19754682237866	-0.0706629892146714	0.249709416438878	-0.113713714911686	-0.00196110180132614	0.268909501351527	-0.0326324030089945	-0.146095529773427	0.404221591487351	0.270456249222304	-0.0992308752030451	0.215073864752919	0.195748132386478	-0.026202522600239	-0.0456807978307225
CALC	0.270486449662454	-0.0793243693924092	0.16742654455312	0.274430703833695	-0.147201126754567	0.143475423746542	0.0579335742187615	0.0546040517762396	-0.0302342303559648	-0.183077394005172	0.0118171123266013	0.0478998097567041	-0.0446931439064037	0.15161141122656	-0.0171616271976486	0.178016313208602	-0.0219311919037516	0.175931645168408	-0.455124871658903	0.0640184135168156	0.0461206061612499	-0.353232139713915	-0.506740993964846	-0.163063090575154	-0.0269624149401168	-0.145269859975643
