PC	var_explained
1	0.2954
2	0.08416
3	0.07961
4	0.07315
5	0.04633
6	0.04037
7	0.03725
8	0.03044
9	0.02957
10	0.02721
11	0.02459
12	0.02314
13	0.02193
14	0.01958
15	0.01804
16	0.01658
17	0.01499
18	0.0139
19	0.01287
20	0.01202
21	0.01159
22	0.0096
23	0.00872
24	0.0078
25	0.00634
26	0.00517
27	0.00439
28	0.00399
29	0.00342
30	0.00321
31	0.00287
32	0.0026
33	0.00221
34	0.00206
35	0.00152
36	0.00137
37	0.00109
38	0.00058
39	0.00032
