KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	VB12	B12A	VC	VD	CALC	PHOS	POTA	COPP	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M161	M201	M221	P226	P225
4013	5230	270.585	380.5	171.915	30.1845	513.7	11.44	0	803.5	33	1012	48.5	16951.5	930.5	23.525	2.5195	35.385	923.5	7.01	2.255	76.45	4.35	1077.5	1900	2964	1.7015	54	68	0	1603.395	6.887	1.761	3.648	2.672	1.094	0.04	0.061	0.032
2632.5	5793.5	98.15	136	89.145	25.6305	467.8	7.12	0	145	44.5	242.5	24	4721.5	782	15.135	2.3255	42.9375	561	2.665	0	48.1	1.1	479.5	1841	2868	1.345	260.5	52.5	0	3198.505	1.1145	0.26	0.2755	1.8535	0.3495	0.034	0.03	0.039
2938	6787	71.4	342.5	113.59	35.209	357.5	23.98	4.145	837.5	175.5	2916.5	70	33954.5	2230	25.4	2.3015	34.9185	927	7.36	2.47	81.2	2.95	1547	1981.5	4317.5	2.7	132	0	16.75	4463.09	2.3595	0.5295	0.5875	0.9255	0.362	0.008	0.146	0.0215
955.5	1593	30.715	86	44.695	6.9945	124.8	4.19	0.605	529.5	5	82.5	19.5	0	50	7.31	1.268	10.372	199.5	2.3	0.225	24	1.6	729	879	1028.5	0.6105	139	30	7	2204.485	2.1495	0.4805	1.94	0.6325	0.0975	0.005	0.001	0.0045
1558.5	2233	86.315	105.5	60.135	10.535	131.35	31.35	27.115	1316	27	1627	375	25336.5	265.5	14.06	2.4575	26.245	688	5.62	0	195.2	7.35	1393	1498.5	3063.5	0.9245	166.5	8.5	0	3767.415	1.7885	0.4055	0.323	0.774	0.402	0.005	0.0015	0.002
1962.5	2514	81.27	205	64.125	19.5205	548.45	8.14	0	298.5	12.5	294	41	2365.5	907.5	6.795	1.872	43.653	205	7.61	4.86	27.2	2.95	550	1087.5	2095.5	0.987	182	67.5	56.15	5247.005	0.94	0.2035	0.215	0.6615	0.204	0.047	0.0735	0.019
1758.5	3891.5	72.545	115.5	85.775	22.461	221	7.57	0	274.5	29.5	714.5	47	1646	567.5	8.255	1.0895	25.691	239.5	2.465	0	45.55	3.25	797.5	1133	1629.5	0.5925	2	16.5	0	1000.215	2.1355	0.511	0.546	1.4025	0.4495	0.016	0.0125	0.034
1462	1655	112.74	291.5	46	14.051	169.55	6.415	0	188.5	10.5	117	0.5	881	321	8.595	1.352	8.863	449	1.12	0	12.3	1.15	369.5	669.5	1893	0.796	445	46	0	2136.075	0.873	0.228	0.317	0.2975	0.119	5e-04	0.0035	0.003
2318.5	4203.5	98.42	307.5	99.265	29.6785	369.3	11.8	3	521	35.5	883	16	4324.5	200.5	13.72	2.071	31.0755	486	2.97	0.525	109.55	0.75	553.5	1327	3146.5	1.743	294.5	25.5	0	4087.82	1.9875	0.503	0.77	1.7175	0.4095	0.0195	0.0405	0.0345
812	560	57.13	37	26.025	2.506	158.4	5.22	2.875	280.5	139	313	8	23.5	116.5	13.915	1.3795	10.4925	140	3.605	1.005	33.8	8.4	946.5	768.5	1583.5	0.391	0	0	0	848.51	1.8655	0.5165	0.9235	0.354	0.044	0	0.015	0.0115
1469.5	2334.5	73.07	142.5	66.345	10.3005	274.95	4.19	0	269	20.5	370	11	7003.5	603.5	9.125	1.562	11.7515	200.5	2.445	0	67.5	2.25	437.5	933.5	2196.5	0.876	275	69	0	1706.815	2.577	0.6375	1.361	0.7	0.1215	0.0275	0.011	0.0045
1918	3170.5	57.815	257	94.19	22.052	316.95	11.11	3.465	1350	700	7032.5	40	1610	2397.5	16.965	2.1175	21.903	698.5	4.755	1.89	149.65	6.3	850	1208.5	2790.5	1.0785	72	0	0	2421.085	3.969	1.217	1.281	1.3195	0.193	0.007	0.014	0.0075
2890.5	3931.5	113.835	296.5	112.085	24.808	383.5	16.42	0	282.5	4	337.5	65.5	2894.5	167	14.29	3.082	30.843	457	4.025	0	23.75	1.6	1148	1623	4967	1.651	848	18.5	17.65	5711.245	3.0575	0.633	0.738	1.4375	0.4715	0.016	0.004	0.0305
1035	1506.5	44.63	131	41.45	9.3105	202.45	3.68	0	291	384.5	1071.5	93.5	3967	496	6.225	1.097	12.1795	218.5	2.125	0	67.75	3.5	668	804	1437.5	0.5525	0	4	0	1409.305	1.33	0.3535	0.5875	0.6085	0.1175	0.0075	0.0185	0.012
