KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	VB12	B12A	VC	VD	CALC	PHOS	POTA	COPP	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M161	M201	M221	P226	P225
2418	4207.5	80.16	268	80.465	21.9825	400.7	11.975	0	650	364.5	3923.5	5618.5	9005.5	3753	15.08	1.3515	40.4495	802.5	3.525	0	83.75	4.05	541.5	1517	3260.5	1.9575	68	30	0	3693.525	0.6155	0.116	0.129	0.8605	0.628	0.005	0.232	0.0345
1947.5	2922	120.97	144.5	76.295	17.637	211.3	6	0	392.5	144.5	2007	39	6647.5	953	11.605	1.596	17.903	356	3.35	0	99.75	3.9	1035	1109.5	2277.5	0.861	124	0	0	2689.87	2.065	0.472	0.5355	0.9245	0.2125	0.0075	0.0055	0.016
2588.5	4671.5	92.74	160	133.54	23.202	381.05	7.28	0	665.5	41.5	543.5	79.5	3686.5	942.5	18.735	2.5775	29.4175	571.5	5.81	1.075	104.5	6.5	1338.5	2022.5	2688.5	0.9695	157.5	23.5	0	2316.795	4.2915	0.908	1.002	1.953	0.341	0.011	0.0115	0.0185
1243.5	2368.5	59.865	301	44.88	14.8165	219.05	6.805	0	891	921	8914.5	41	807	14690.5	9.35	1.053	17.2645	429	0.73	0	90.05	0.55	501.5	822.5	2499	0.8145	0	0	0	1303.235	1.052	0.287	0.3055	0.4775	0.137	0.0025	0.006	0.0105
1531	2328	91.755	261.5	65.66	15.418	676.35	8.5	0	2524	8709	19433.5	486	0	3055	9.47	2.255	27.6115	290.5	3.045	0	233.4	4.55	825.5	1065.5	3086.5	1.0745	96	0	0	4521.68	1.086	0.2405	0.241	1.1675	0.3475	0.006	0.1105	0.044
1019	1792.5	38.375	134.5	49.14	9.987	235	4.305	0	499	57	2031	16.5	1238.5	867.5	9.82	1.6345	16.774	442	6.035	1.82	23.95	4.95	621.5	1058	1763.5	0.758	301.5	45	0	2736.27	1.617	0.377	1.7185	0.5875	0.1355	0.008	0.144	0.0445
1136	1783.5	58.47	131.5	36.36	11.2355	136.3	1.845	0	289	43	160.5	90	234	362.5	15.82	1.3445	16.719	613.5	2.82	1.57	62.25	3.25	675	731.5	1838	0.8655	0	0	0	2339.69	0.6655	0.159	0.1835	0.4245	0.18	0.0175	0.004	0.009
1549	2326.5	79.845	259	38.43	11.6565	355.6	4.09	0	242	50	963	140	0	3151.5	12.715	1.726	28.2015	337	4.135	0	128.4	2.15	615	1291.5	2618	1.06	111.5	0	0	2137.545	0.6015	0.078	0.0795	0.5795	0.102	0.0065	0.0795	0.024
2180.5	3125	65.32	151	84.44	24.338	248.3	7.405	0	530.5	16.5	1891	169	13463.5	817.5	11.44	1.86	25.579	467	3.125	0	46.75	2.55	1128.5	1380.5	2202	1.108	30.5	5	43	2225.07	3.213	0.8365	1.1025	0.922	0.197	0.0045	0.011	0.0305
1130	938	31.72	129.5	28.275	8.8455	160.75	4.985	0	1	0.5	9	0	0	97.5	3.85	0.5395	12.2725	153.5	0.32	0	0.7	0	154	515.5	886.5	0.765	31.5	0	49.15	2312.495	0.0965	0.018	0.1	0.056	0.126	0.009	0	0
1723.5	2851.5	102.845	191	68.72	9.52	333.45	5	0.115	572.5	19	1657	19.5	4101.5	3595.5	11.465	1.789	18.3485	324.5	4.77	0	106	4.45	1112.5	1316	2210.5	0.8565	4	42.5	0	1567.24	2.9365	0.627	1.3485	1.3725	0.174	0.0025	0.068	0.031
1028.5	1530.5	46.145	123.5	37.67	7.649	133.3	3.04	0	928.5	804	6244	28	0	1804.5	14.155	1.2795	13.9705	406	2.725	1.4	38.15	3.45	426	576.5	1280	0.64	89.5	25.5	0	2226.59	1.186	0.2895	0.4755	0.4465	0.087	0.002	0.002	0.006
1954.5	3372.5	79.5	179.5	76.52	16.185	269.85	6.215	0	420.5	18	644	115	6750	661.5	18.535	1.8815	26.8185	772	6.82	0.875	55.3	3.95	1104	1221	2342.5	1.007	0.5	4.5	0	2204.7	1.8235	0.2445	0.321	1.344	0.299	0.0135	0.0615	0.0195
1698	1925	90.725	149	34.55	5.5835	260.65	4.6	0.035	294	32	579.5	103	8393	1046.5	19.635	1.5545	27.9565	484	3.485	0.905	131	3.45	754.5	1513	2871.5	1.329	0	0	0	1685.165	1.5695	0.3915	0.453	0.602	0.049	0	0.0015	0.007
2263.5	4068	173.285	153.5	78.68	16.304	212.4	4.975	0	534	115.5	627.5	2	10847	427	22.175	2.047	28.399	877	4.94	2	78.9	3.65	1133.5	1612	1587	0.614	112	0	0	1829.67	2.674	0.6665	2.774	0.694	0.2505	0.02	0.008	0.0215
1312.5	3010.5	57.895	201	39.82	11.432	349.65	5.93	0	282	289	2398.5	269.5	6252.5	1430	8.395	1.031	28.0595	264.5	6.65	0	195.05	12	647.5	1299.5	3348.5	1.2545	89	0	0	4308.95	0.605	0.0725	0.0905	0.885	0.533	0.0465	0.4085	0.0765
2049.5	3409	144.67	118.5	76.6	12.1165	315.9	4.275	0	822.5	23	714.5	9	6786.5	344.5	8.965	2.044	24.715	314.5	5.985	0	15.05	9.45	1768.5	1809	2486.5	0.7205	55	112.5	0	1811.265	3.912	0.947	1.08	1.2205	0.1825	0.0025	0.02	0.0275
1609	3363	42.875	172	73.305	17.203	326.8	6.095	0	674.5	735.5	3537	28.5	1608	1876	10.615	1.651	21.489	387	1.645	0	19.6	2.15	484	1023	1694.5	0.6955	144	0	0	1902.17	2.0725	0.637	0.7935	1.0655	0.1765	0.049	0.0375	0.0055
582.5	1265.5	36.55	21	21.75	4.0945	27.9	2.365	0	2	3.5	7	0	0	72.5	2.99	1.2345	19.495	88	4.815	4.595	0.1	0.1	78.5	237	268	0.165	46	0	0	790.265	0.1355	0.0135	0.0595	0.2805	0.0255	0	5e-04	0
1495.5	1933.5	81.905	80.5	64.455	11.014	249.25	5.295	0.06	862.5	924.5	2343	230	861	538.5	11.835	1.4255	11.2	513.5	4.04	1.01	80	5.75	1063.5	1063	1543	0.6255	3.5	70	0	1100.37	2.936	0.79	0.9035	0.702	0.173	0.0085	0.0315	0.0215
795.5	1891.5	15.335	97	31.555	8.6795	193.6	2.47	0	153	44	348.5	16.5	2304.5	755	6.25	0.872	10.4905	250	1.575	0	7.8	2	292.5	556.5	884.5	0.486	62.5	24.5	9.25	1286.74	0.633	0.142	0.191	0.4345	0.102	0.003	0.0465	0.016
1275	3138.5	27.415	117	60.875	14.6655	252.65	4.42	0	239	8.5	492	65	4481	969	7.655	1.5795	20.7595	348.5	1.675	0	78.2	2	789.5	882	1976	0.921	210	0	0	4154.73	1.548	0.3555	0.3955	0.9735	0.3105	0.026	0.0175	0.021
4279	2663.5	404.88	176	221.675	69.8175	249.3	24.335	0	389	200	612.5	2	2417	161.5	11.455	2.4435	26.514	191	2.855	0	26.05	0.45	418	1214	3300.5	2.6115	657	727.5	22.75	3313.06	3.6985	0.7985	0.9745	1.764	0.5485	0.042	0.0035	0.005
1928.5	3084.5	148.24	459.5	73.895	10.9295	319.7	4.48	0	660	50	2122	691.5	5451.5	848.5	10.505	1.4425	13.1605	590	5.165	0	240.35	4.2	1395	1418.5	2702	1.2345	39	0	0	3417.32	3.3145	0.739	0.8385	1.242	0.173	0.001	0.032	0.033
1740	2350	113.61	143.5	67.115	14.3205	209.15	22.205	0	718	129	3552.5	34.5	1027	1505.5	13.065	1.5465	14.8045	532.5	3.77	2.76	120.2	8.25	1034.5	1125.5	2305	1.643	0	0	0	2909.21	1.7535	0.319	0.2755	0.6235	0.2175	0.0125	0.0105	0.008
1861.5	2503.5	45.79	185.5	45.03	9.671	421.1	4.32	0	302.5	84.5	412.5	8	1335	764.5	9.505	1.554	24.3925	411	4.155	0	12.4	10.3	422.5	1065.5	1977	0.8475	273	0	40.3	3479.155	0.5815	0.037	0.044	0.7685	0.771	0.07	0.213	0.0535
2010	3000	129.575	170	81.205	25.0305	166.2	6.305	0	247	1	657.5	2.5	1226	498	6.775	0.7135	13.2085	392.5	2.43	0	110.6	0.95	476.5	664	1181	0.7135	0	0	35.9	2133.82	1.493	0.363	0.6485	1.2855	0.5385	0.0155	0.0585	0.0155
591.5	639.5	40.255	65.5	17.715	2.7895	39.55	2.02	0	74	15	128	50	1911.5	128.5	2.625	0.3115	3.397	138	0.7	0	69.85	0.05	241	296.5	643	0.3595	0.5	11	7	386.535	1.0675	0.233	1.456	0.191	0.0705	0.001	0	0.004
2297	3682	121.745	211	86.48	18.009	268.8	13.415	5.29	997	1544.5	3768	4	1164.5	1048.5	28.665	1.984	30.4855	487.5	2.93	1.18	40.9	3.2	1200	1481.5	3298.5	2.079	66.5	139	7.95	4833.875	2.636	0.6645	0.728	0.8095	0.4705	0.062	0.0025	0.007
2747.5	3363.5	115.12	208.5	114.51	22.699	613.45	12.335	0	1038	19.5	199	49	3	472	33.145	3.2115	57.118	1148.5	21.12	5.675	84	43.2	901	2316	3506.5	1.9625	8.5	0	11.2	1718.59	2.576	0.4405	0.641	1.6325	1.763	0.165	1.071	0.169
2636.5	4726.5	95.89	272	96.295	23.312	553.2	6.55	0	408.5	16.5	821	9	2792.5	624	16.44	2.3965	37.495	553	5.75	0	35.65	3.65	786.5	1920	3562	1.0265	270.5	9.5	31.8	2860.58	1.9785	0.324	0.431	1.4875	0.38	0.03	0.034	0.0305
3761.5	6627	108.13	485	177.545	41.806	803.5	15.56	0	624	54	510.5	65.5	6984.5	687	20.525	2.385	50.498	680	13.08	1.73	88.15	8.05	1403	2772.5	4790.5	1.5815	0	0	9.25	2353.255	2.964	0.525	0.64	3.413	0.7045	0.0685	1.77	0.447
2843	5213	103.825	304.5	138.835	29.598	690.2	9.27	0	1083.5	2140	5768	66	7064.5	1960	19.385	3.027	31.3	531	9.39	0	181.5	5.3	1898	1872.5	3879.5	1.7645	300.5	37.5	0	6748.16	3.9595	0.6225	0.7185	2.607	0.4775	0.2425	0.076	0.0385
2831	3198.5	179.405	181	125.715	26.41	222.1	11.25	0	498.5	26	391	12	7901.5	542	12.1	1.5105	20.3115	437	4.065	0.565	17.95	2.75	807	1267	2358.5	0.915	18	66.5	0	1792.25	5.173	1.3405	5.6355	1.2105	0.9355	0.0215	0.002	0.0115
966	1309.5	70.035	108.5	27.495	4.5635	271.7	2.525	0	843.5	1199	3200	122	1395	448	5.845	1.5725	11.024	249.5	5.455	0.235	64.6	7.3	1020	1148	2206.5	0.378	0	0	0	1073.73	1.468	0.412	0.4855	0.4845	0.0625	0.002	0.019	0.0195
1157.5	1575	67.345	115	57.925	14.2355	129.75	2.64	0	334.5	137	634	3	910	498	8.595	1.0565	11.3755	336	2.74	0.89	24.4	3.75	558	721.5	1071	0.4795	33.5	74.5	0	741.875	2.039	0.5395	2.3245	0.5095	0.411	0.0205	0.0025	0.0085
1512.5	3508	63.45	145.5	71.565	24.1435	133.25	7.705	0	553.5	1214	3264	82.5	10450.5	1588.5	16.1	1.502	12.499	301	0.29	0	59.05	0.7	535	946.5	2518	1.1405	160.5	0	0	3677.165	0.4665	0.1055	0.1285	0.2915	0.217	0.018	0.006	0.001
2791.5	3620.5	152.11	286	97.505	23.3965	533.3	14.68	2.85	878.5	38.5	531	91	159.5	768.5	19.15	2.6275	36.267	517	9.81	1.29	150.25	9.55	1255	2012	5106.5	1.573	61.5	41	0	2832.275	1.253	0.156	0.3155	1.0785	0.519	0.026	0.005	0.0285
1237	1898	29.31	117.5	39.285	8.7985	384.7	9.76	4.155	723.5	742.5	1881.5	9	0	1371.5	23.485	1.6275	19.3585	913.5	2.07	0	8.95	4.45	819	1165	1427.5	0.882	1.5	0	0	1745.75	0.7435	0.225	0.756	0.436	0.1375	0.0035	0.0605	0.015
3149	6229.5	91.385	221.5	122.185	24.952	585.2	8.595	0	694.5	249	3719.5	365.5	24182	1167.5	19.69	2.495	48.0575	646	4.215	0	74.05	2.7	741.5	1975	3878	1.7695	108	51.5	0	4511.475	3.7055	1.0075	1.903	1.7045	0.464	0.0165	0.062	0.023
1550	2623.5	50.42	192	61.27	8.3975	470.15	4.16	0	501	43	276	376.5	0	952.5	9.915	2.05	24.985	465	4.745	0	184.05	5.65	1083	1296.5	2483.5	0.9725	152	0	0	3671.605	2.357	0.585	0.696	1.409	0.1905	0.002	0.05	0.0305
1630	3327	41.915	103.5	73.79	22.086	284.3	7.695	0	263.5	172	593	6	1025.5	442	8.985	0.96	16.395	353	4.175	0	3.9	2.45	735.5	1241	1504	0.7535	0	0	0	1882.145	1.487	0.3785	0.427	0.933	0.324	0.021	0.102	0.03
2637.5	3251.5	220.66	139	115.855	29.7535	208.9	5.655	0.1	160	20	217.5	35.5	1283	188	9.535	1.388	20.5745	278.5	3.15	0	115.15	1.55	563	1247	2223	0.751	218.5	22	0	2466.87	2.4675	0.5835	1.7015	1.4365	0.4725	0.0435	0.009	0.026
1425	2223	59.57	110	56.395	18.913	362.85	5.215	0	427	13	222	67	2595	697	9.13	1.631	19.4815	362	4.62	0	15.1	6.7	916	1188.5	1933	0.5475	0	0	0	1413.31	0.7025	0.164	0.1865	0.5605	0.244	0.018	0.0985	0.012
2678	3926.5	188.5	189.5	82.92	21.4575	188.75	7.94	0.05	1061	53.5	2042.5	83	12848	2347.5	18.55	2.7635	34.0975	734.5	6.175	2.225	72	6.95	1114.5	1281	2054	0.924	18	28.5	0.7	1569.37	2.848	0.712	1.289	0.667	0.207	0.0085	0.063	0.016
940	1470.5	24.64	106.5	39.67	13.0895	174.2	5.935	0	135	52.5	781.5	8.5	178.5	708.5	4.85	1.101	12.681	183.5	1.11	0	26.25	0.35	292.5	546.5	1631.5	1.0025	207.5	8.5	14	4505.97	0.4855	0.115	0.1255	0.2665	0.144	0.01	0.0245	0.0065
850	1578.5	76.095	68	21.575	2.422	151.5	2.31	0.02	214.5	20	434	20	7569.5	411.5	9.225	0.9555	11.9675	240	3.255	1.13	79.05	1.7	219.5	466.5	1509.5	0.5655	5.5	0	0	1982.905	0.608	0.066	0.2325	0.623	0.057	0.002	0.007	0.01
2368	4808.5	31.015	150.5	127.055	30.5865	236.05	8.625	0	230.5	4.5	452	15.5	3613.5	318.5	18.95	2.3015	26.167	403	3.545	0	28.6	2.15	1310	1770	2360	0.966	453.5	5	0	4743.055	3.5465	0.491	0.4325	2.1015	0.554	0.288	0.008	0.0385
2362	2578.5	178.245	306	83.56	16.7175	349.9	13.18	0	670.5	1128.5	3129.5	147	2033	1336.5	19.76	1.631	14.4855	585.5	3.155	0	80.7	7.25	1082	1563	3226.5	1.4755	136	471.5	0	2072.05	2.003	0.4945	1.0225	0.6155	0.2335	0.011	0.03	0.0135
1860.5	4026.5	97.305	242.5	79.405	23.8675	234.05	12.615	0.015	1021.5	1435.5	8936.5	24.5	6471.5	6458.5	10.255	1.313	12.583	337.5	1.12	0	60	1.25	830	1034	2621.5	1.359	108.5	0	0	2515.955	1.6815	0.481	0.6425	0.851	0.2735	0.051	0.024	0.0135
1999	4743.5	103.115	82	98.62	11.729	346.9	2.655	0	613.5	18	511	10	0	501.5	8.145	2.3115	28.0125	306	8.61	1.585	16.6	9	1388.5	1686.5	2164	0.3865	42	5.5	11.7	1520.69	4.106	0.9755	1.1405	3.18	0.2175	0.022	0.003	0.02
1568.5	3491.5	79.205	215.5	54.465	9.9645	184.75	5.675	0	907	2217	7183.5	67	3016	1821.5	13.72	1.4575	18.153	481	2.18	0.615	106.3	1.9	869.5	938	2914	1.0375	17	19	0	1958.08	2.11	0.492	0.659	0.6615	0.1555	0.002	5e-04	0.0095
1083	2622	63.24	113.5	47.32	11.72	179.05	2.425	0	226.5	44	791	105.5	276	1321	5.755	0.941	10.9785	199.5	1.93	0	15.4	2.15	479.5	836.5	1469.5	0.4655	90.5	8	0	1320.85	1.587	0.414	1.487	0.5135	0.13	0.044	0.0115	0.013
1001.5	2866.5	37.685	66.5	22.88	11.4875	73.35	2.885	0	50.5	13	363.5	30.5	0	164	8.215	0.569	16.682	342	2.525	0	3.2	1.1	107.5	332	614.5	0.4035	1	0	18.6	1283.63	0.057	0.017	0.0105	0.092	0.087	0.019	0.1785	0.0035
1629.5	3157.5	72.695	118.5	67.91	14.2675	308.25	7.64	0.04	455	73.5	2577	2	4867	5062.5	10	1.2235	19.866	334	5.18	0	58.65	4.1	835	1285.5	2141	1.0345	7.5	85	0	2288.625	2.148	0.484	0.532	1.1965	0.191	0.012	0.074	0.026
1723.5	1680	129.75	119	72.835	15.2035	465.2	11.445	5.65	1261	1246	3125.5	43	0.5	879	14.82	2.5195	17.7725	339	5.165	1.155	100.5	13.05	1727.5	1595.5	2706	0.978	0	0	0	1678.88	2.641	0.7485	1.994	0.6185	0.272	0.051	0.1025	0.017
2197.5	5713.5	42.505	417.5	74.515	22.2515	309.4	11.165	0	514	1805.5	5045.5	20	380	2421	18	1.882	38.3075	760	0.655	0	105.25	0.7	901.5	1324.5	3528	2.0705	306	34	0	3490.17	0.2325	0.0455	0.0535	0.417	0.531	0.029	0.003	0.005
2033.5	2644	110.96	134.5	85.785	18.342	212.25	7.375	0	865.5	43	426.5	35	433.5	659.5	14.605	1.931	19.309	598.5	4.655	1.72	11.75	6.65	1141.5	1366	1964.5	0.807	291.5	34.5	0	3065.055	3.206	0.862	0.992	1.157	0.271	0.0055	0.0115	0.024
2285	3654	154.12	348.5	81.85	17.409	243.1	10.895	0	887	1217	7106.5	106.5	19574	1169.5	16.87	1.8315	16.6935	705	2.635	0	140.9	5.05	1336.5	1366	3339	1.831	57.5	55	0	6522.085	3.069	0.826	3.023	0.628	0.1435	0.0045	0.003	0.0085
3663	6291.5	204.59	391	172.085	52.315	541.3	27.25	7.68	1004.5	139	2908.5	53	2559.5	3731	25.815	3.3465	52.824	966.5	5.205	2.87	185.4	3.65	1042	2251.5	4084.5	2.0555	84	52	0	2562.985	2.743	0.853	2.354	1.245	0.856	0.1	0.0325	0.0235
886.5	1361	51.035	138	31.87	5.6165	131.65	2.945	0	359	140	2050.5	92.5	9093	699.5	4.71	0.928	8.777	267.5	2.435	0	45.45	3.35	938.5	864	1846.5	0.6255	0	1.5	0	2779.025	2.0915	0.543	0.6405	0.4295	0.084	0.0035	0.002	0.0155
2155	2618	187.26	95.5	81.22	15.613	269.35	3.045	0	222.5	21.5	223	1.5	514.5	236	7.78	1.4285	17.4985	122.5	4.14	0	9.8	1.1	515	905	1947.5	0.77	258.5	0	0	2440.91	2.6185	0.444	0.5115	1.6575	0.2465	0.0055	0.004	0.027
1910	3822.5	116.64	55	68.79	9.9395	179.9	3.805	0	228	39.5	643	35	257.5	93.5	7.31	0.664	17.4355	100.5	3.21	0	7.45	0.85	388.5	765.5	1039.5	0.4885	17.5	42	66.4	1565.84	1.896	0.3525	0.4155	2.043	0.2355	0.041	0.0035	0.02
2436.5	4316.5	79.77	312	86.66	22.2555	465.75	18.03	0	413	344	1548	143.5	27663.5	1311.5	17.19	2.68	30.131	723.5	3.865	0	94.8	4.6	809.5	1697.5	4263.5	2.2705	321	21.5	22.3	4944.395	0.8185	0.158	0.178	0.925	0.451	0.008	0.059	0.0235
1504	2108	67.32	287.5	75.115	36.908	249.95	7.925	0	846	1114	8149	247	1995.5	6190.5	10.58	1.4375	16.034	327.5	4.035	0	157.35	11.3	598.5	1070.5	2605	1.579	141	0	0	2799.68	0.7735	0.1655	0.187	0.396	0.484	0.0425	0.504	0.073
1440.5	2066.5	62.32	81.5	68.645	16.235	138.95	4.895	0	149.5	7.5	168.5	11.5	128.5	413.5	5.815	0.921	19.545	230.5	0.945	0	21.55	0.75	435	870.5	1285.5	0.5355	37	3.5	0	1252.2	1.4675	0.371	1.0995	0.5795	0.2915	0.0135	0.007	0.0175
1803.5	2991.5	30.37	345	78.765	17.6375	252	7.225	0	308.5	355.5	1501.5	227	7753.5	922.5	13.745	1.201	16.338	436	4.355	0	44.75	2.2	936.5	1428	2680	1.096	0	0	0	1680.615	1.9945	0.3965	0.5615	1.0265	0.1965	0.0025	0.006	0.01
2239	2596.5	146.885	334.5	83.79	27.8575	385.55	12.94	0	616	1312.5	4666.5	107.5	14276	2630	13.27	1.879	17.7635	504	1.31	0	157.2	2.9	612	1276	3138	1.3255	390	43	0	3240.79	0.431	0.122	0.336	0.468	0.2235	0.014	0.1185	0.0145
1397	2028.5	62.895	130	71.62	23.296	492.55	5.955	0	735.5	45	147	28	941	1236	12.14	2.087	15.0685	399.5	4.465	1.83	30.5	7.45	753	978	1547.5	0.4305	0	0	3.75	976.06	0.978	0.2315	0.2555	0.8625	0.2925	0.0125	0.092	0.019
1758	2662	110.56	118	73.61	15.1815	310.5	6.775	0	227.5	12	430	12	7642	1123	10.095	1.361	21.733	389	3.5	0	70.1	2.05	666.5	1015	1821.5	0.8115	159	32.5	0	2509.63	1.645	0.366	0.4975	0.719	0.247	0.006	0.033	0.021
2724.5	4661	64.68	163	140.21	52.3545	502.4	10.875	0	381	61	1541.5	30	743	1406	13.265	1.713	30.5255	437.5	3.775	0	78.05	2.75	631.5	1425	2419	1.0745	5	0	0	1783.69	0.9945	0.1545	0.206	2.2065	0.5425	0.049	0.094	0.028
2299	2777.5	174.36	156	77.15	15.16	256.2	6.815	0	905.5	542	1326	32	1025.5	391	14.8	2.017	28.768	376	4.49	1.14	47.95	3.35	1049	1473.5	2598	0.9475	1	14	0	1392.295	1.6335	0.3415	0.5335	0.7685	0.244	0.074	0.016	0.02
2275	3534	88.99	168	111.935	24.4435	280.9	13.14	0	226.5	41.5	253	63	525.5	654	12.17	1.44	23.893	461.5	2.56	0	120.2	1.45	522.5	1257	2346.5	1.2925	2	0	0	1105.515	1.8815	0.3665	1.4765	2.0255	0.31	0.018	0.0085	0.0235
2622	5769	88.24	310.5	111.99	19.9	667.15	9.03	0	842.5	1826.5	4950.5	104	2804.5	1789.5	19.16	2.0945	32.901	635.5	7.065	0	111.9	4.35	1051	1838	3346	1.594	65.5	33	0	4236.725	2.812	0.5055	0.547	2.3665	0.3895	0.006	0.1015	0.043
2199	3599.5	86.54	254	92.075	13.7685	341.95	7	0	494.5	301	1021	12	1365	504	12.68	1.748	28.9715	346	2.755	0	61.9	1.2	715	1359.5	3634	1.3015	169	27.5	0	2360.28	3.6785	0.926	1.025	1.285	0.423	0.0145	0.015	0.025
1460	2253.5	74.4	98.5	56.825	13.5535	145.75	2.93	0	760.5	11	466	78	6189.5	599	14.525	1.8645	21.486	662	5.46	3.185	26.4	5.35	805	863	1262.5	0.535	1	23.5	0	1568.175	3.082	0.828	0.9495	0.636	0.1535	0.0085	0.005	0.016
1319	2257	94.575	63	42.065	10.8415	192.6	12.585	8.66	578.5	115	493	20	6709.5	272.5	15.335	1.66	19.601	484.5	8.77	2.35	104.65	5.85	622.5	833	2016	0.742	0	0	0	1113.405	1.0915	0.279	0.315	1.005	0.1525	0.0085	0.035	0.024
2331.5	2739.5	107.655	121.5	89.385	17.2145	239.1	8.435	0	909.5	1	184.5	2.5	6520	216	12.695	2.439	25.9425	592	6.08	2.365	29.55	7.9	1353.5	1332	2210	0.73	41	43.5	44.45	1048.185	3.17	0.8325	1.455	0.7175	0.241	0.012	0.012	0.0245
2871.5	3528.5	105.96	363.5	98.1	27.912	587.1	12.305	0	373	43	901	63	3732	1121	15.94	1.7525	25.8935	617	4.845	0	61.15	5.9	719	1459.5	2523	1.2685	0	0	64.8	2806.18	1.2	0.2155	0.26	1.374	0.4155	0.0675	0.241	0.055
2170	3769.5	71.86	216	95.71	27.2535	214.9	10.065	0	581.5	686.5	1982	29.5	4789.5	821.5	24.45	1.814	21.9665	760	3.445	1	25	2.8	1068.5	1391.5	1990	1.0795	99.5	141.5	0	2483.88	2.915	0.7475	0.969	0.966	0.3265	0.0175	0.01	0.0235
1426.5	2096	52.05	215.5	48.95	13.193	412.3	7.845	0	555	40.5	1000	95.5	5636	998	10.65	1.3875	14.474	269.5	2.99	0.6	131.5	4.5	755	1354.5	2360	1.013	83	0	0	1806.23	0.5685	0.1385	0.2685	0.4735	0.1465	0.003	0.0685	0.014
1340	2203.5	41.995	74	58.935	9.5565	233.65	4.325	0	711	1207.5	2908.5	3	0	788	7.005	1.095	15.99	268	2.095	0	31.95	3.45	542	944.5	1284	0.591	2	66	0	1177.555	2.818	0.8505	1.019	0.885	0.1515	0.001	0.018	0.0135
823	1212	50.865	57	31.11	8.4205	101.25	2.81	0.015	73	5	30.5	2.5	134.5	111	3.47	0.8545	8.604	167.5	1.53	0	17.35	3.05	597	683.5	1024	0.2595	1.5	0	0	703.315	0.588	0.15	0.1725	0.327	0.1395	0.0065	0.0075	0.006
1187.5	1375	80.44	123.5	39.33	7.399	157.2	7.27	0	1015.5	2200	5614	1	2784	662.5	9.56	1.8055	15.8835	251.5	2.335	0	56.75	6.15	572	779.5	2633.5	1.365	153.5	71	0	3461.285	1.3995	0.326	0.3715	0.4265	0.2795	0.028	0.1785	0.028
866.5	1522.5	20.63	76	35.295	10.368	112.1	3.98	0	382.5	39	324.5	3	186.5	371.5	9.65	0.857	14.787	209	0.955	0	45.95	0.35	364.5	568.5	1043.5	0.48	2.5	0	0	1011.755	0.4835	0.1015	0.113	0.681	0.125	0.004	0.003	0.0025
3039.5	4881.5	180.15	172.5	133.08	30.0775	442.4	12.715	2.455	772.5	3	220.5	29.5	3467.5	574.5	13.875	3.5575	34.5905	375	8.835	5.1	28.6	4.55	1283.5	1813	3335.5	1.133	2	46.5	0	2618.035	4.2245	1.111	1.2605	1.8445	0.4785	0.0265	0.04	0.029
1542	1936.5	82.17	110.5	68.805	14.459	175.9	8.79	2.6	928	1193	3287.5	18	2392.5	372	16.695	1.5865	18.6975	549	5.9	1.435	43.5	9.25	1087	1225	1708.5	0.7625	29.5	1.5	0	1599.87	2.9245	0.7755	0.893	0.767	0.487	0.0395	0.139	0.0285
1965.5	2460.5	160.535	216	55.61	11.564	342.05	10.09	4.41	522	50	493	39.5	2637.5	1016.5	11.045	1.7295	23.468	446	3.7	0	121.95	4.55	895	1184	2042.5	0.7495	3.5	27.5	0	2178.14	1.7295	0.488	0.453	0.7235	0.191	0.0225	0.0465	0.0215
1296.5	1445	140.44	331	20.545	4.2585	356.9	4.775	0	1107.5	1171.5	7898.5	706	2185.5	10241	9.735	1.868	21.5295	419.5	2.34	0	143.1	3.85	846.5	1153	3066	0.8495	117	11.5	0	2099.29	0.451	0.124	0.15	0.557	0.05	0.001	0.029	0.004
2485.5	3548	115.735	291.5	87.035	20.436	249.7	7.09	0	205.5	85	458	247	2326	394.5	17.84	1.5735	25.046	536.5	1.045	0	33.3	0.65	996.5	1556	2353	1.574	123	62.5	0	2948.825	2.33	0.42	0.5165	1.177	0.1985	0.0045	0.0025	0.006
2650	3183	134.135	140	138.53	40.219	291	7.195	0	385	16.5	246	26	0	613.5	8.57	1.48	19.8865	234.5	4.86	0	14.45	3.95	949	1368	2541	0.828	102.5	0	0	2533.235	3.605	0.7425	0.82	2.0035	0.4965	0.023	0.0085	0.0285
1778	2589	111.44	167	65.25	11.964	184.65	6.385	0.12	285	5	247	14.5	4021.5	383.5	16.98	2.0105	23.3415	1289.5	3.56	0	145.6	5.1	1125	1254.5	2329.5	0.791	0	0	0	1289.065	2.869	0.7125	1.194	0.914	0.2935	0.018	0	0.015
1881	4126	113.16	321.5	82.645	21.5805	244.3	11.21	0.04	1168	549	8950	15	1903.5	16463	18.975	1.924	33.6565	810	4.07	2.145	161.65	3.3	862.5	1334	2841	0.8455	89	31.5	0	1864.315	1.0355	0.258	0.28	1.588	0.398	0.0265	0.005	0.0115
