KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
1710	2127.5	127.61	92	76.785	13.8365	196.55	7.74	0	381.5	405.5	22	277.5	3.5	268	268.5	9.84	11.096	185.5	7.86	0	17.6	2.95	821	1601.5	41.5	293	0	2116.095	2.4565	0.508	0.7685	0.2285	0.0095	0.0015	0.02
1833.5	2227.5	129.19	411	70.42	26.6075	376.55	8.62	0	158.5	194	16.5	382.5	50.5	477	689.5	10.88	18.9775	521	6.91	0	51.75	2.05	402.5	2327.5	18	0	13.45	2201.355	0.3625	0.0915	0.1075	0.373	0.0705	0.1245	0.0115
1574	2262	118.63	89.5	60.63	16.128	223.7	7.045	0.6	295.5	314	4.5	183.5	58.5	342	545	7.505	16.162	254	6.695	0	35.85	4.75	837.5	1509	16	69.5	0	2273.06	1.4225	0.374	0.7525	0.196	0.007	0.017	0.0065
3619	4126	256.75	357.5	162.925	29.829	532.3	13.54	0	793.5	1235.5	9	5303.5	16	3992.5	2036	12.48	29.3595	553	15.06	0.705	98.9	5.2	1778	3709.5	285.5	65.5	27.7	3161.12	7.022	1.754	1.9145	0.7415	0.077	0.035	0.025
2691	3417	202.4	143.5	106.56	25.3855	411.5	6.535	0	846	993.5	529	1411.5	106.5	1868	1098	17.77	29.8395	593.5	14.52	3.3	120.75	11.65	1281	2778	42	65	0	1883.82	3.909	0.9565	2.7045	0.3295	0.009	0.015	0.0345
2389.5	3430	34.89	371.5	120.27	35.197	360	8.42	0	199	354.5	105.5	1777	51	1035	3020	16.555	30.139	793.5	14.9	0	136.05	1.35	712	2707.5	309.5	51	0	2680.15	2.704	0.425	0.463	0.3465	0.172	0.015	0.0405
963.5	1413	81.52	59	30.38	7.2645	102.2	8.035	5.7	162.5	166.5	19	47.5	2	0	234.5	3.83	12.447	209.5	4.31	0.75	165.15	1.3	381.5	1224	0	0	0	1126.355	0.492	0.069	0.065	0.22	0.0075	0.0025	0.014
2133.5	4352	45.295	226	77.095	15.53	288.2	7.075	0	125.5	197.5	38.5	832	58	14160	379.5	16.915	25.975	565	16.36	0	17.35	1.2	839	2341	0	0	7	2319.105	2.0495	0.3345	0.3655	0.2525	0.0025	0.004	0.0215
1872.5	3391.5	122.13	166.5	88.6	26.4795	250.55	9.795	0	173.5	244.5	158.5	673.5	211	0	689	9.34	15.163	392.5	4.865	0	119.15	1.85	566.5	1805	369	145	0	2874.715	0.819	0.211	0.668	0.254	0.018	0.033	0.0085
1420.5	2694.5	62.74	150	43.435	12.1415	210.7	4.355	0	155	191.5	27	436	4	1211	1472.5	4.86	15.287	170.5	3.21	0	87.7	1.35	438.5	1398	90	0	42.1	1858.795	1.0315	0.294	0.327	0.1955	0.0115	0.011	0.016
3397	6931	249.52	196	152.515	33.584	268.55	11.91	0	642.5	1081	1589.5	4379.5	95	0	1710	14.165	17.986	586	11.175	0.54	76.75	3.6	967	1990	191	2.5	0	2721.625	5.961	1.5705	1.745	0.325	0.0055	0.004	0.022
