KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
1275.5	2048.5	53.415	95.5	55.54	10.147	233	6.24	0	139	404.5	892	2732	11	5450.5	355	8.8	21.582	174	12.33	0.375	43.55	1.55	507.5	2116.5	138	0	0	2305.525	1.1265	0.1845	0.631	0.3265	0.021	0.0025	0.0065
2369	3032.5	199.01	214.5	79.05	14.18	216.7	5.65	0	386.5	476	49	1016	16.5	5435	537	14.925	52.614	529	10.23	6.375	39.05	0.75	681	1934	287.5	8.5	0	2637.305	2.7675	0.5805	0.6735	0.332	0.022	0.075	0.028
1297.5	4317.5	26.52	153	47.56	7.619	292.85	3.92	0	222.5	323.5	406	1024	55.5	2514	702.5	9.36	13.551	333	7.335	0	69.7	1.75	726.5	1484	0	0	13.75	2785.85	2.2565	0.4435	0.3955	0.153	0.005	0.0305	0.0075
1767.5	2783.5	76.79	97.5	94.83	23.2925	312.75	4.235	0	136.5	167	26.5	342.5	18.5	514.5	677	9.765	16.629	347	8.225	0	9.2	1.85	651	1393.5	192	12	0	2746.645	1.564	0.18	0.216	0.4455	0.0375	0.115	0.092
1424	2574.5	84.77	220	49.65	15.506	160.9	4.725	0	462	616	244.5	1526	377	5462.5	1936	16.195	26.941	865	11.94	2.45	122.3	4.4	1214	1985	0	0	0	1350.31	1.759	0.4625	0.54	0.1425	0.01	0.066	0.0155
2021	3612.5	72.365	243	92.99	21.8095	675.45	9.06	0	489.5	595.5	11.5	1255	30	1	2062.5	14.125	30.9135	482	11.62	0.7	27.15	8.3	932.5	2646	113	0	0	3230.39	1.5185	0.351	0.375	0.3765	0.01	0.092	0.023
3562.5	5905	134.435	191.5	167.44	42.7675	357.4	21.645	8.34	952.5	1048	459.5	884	73	5082.5	1007.5	19.805	37.9935	669.5	12.205	3.15	88.4	6.85	2107	3924	1201	38	0	5215.98	4.7835	1.2145	1.5295	0.501	0.009	0.026	0.031
2048	2630.5	148.115	68.5	31.48	2.9895	229.95	1.755	0	561.5	777.5	51.5	2544.5	8.5	274.5	560	24.39	23.124	947.5	7.47	2.67	19.45	7.75	816	1669.5	89.5	0	0	1899.53	1.9475	0.5045	0.5725	0.05	0.0075	0.129	0.027
1575	2713	79.22	119.5	41.455	7.718	106	11.74	0	7.5	123.5	1	1411	0	45861	737	12.83	26.9905	634	4.77	0	7.3	0	378	1763.5	6	104.5	0	1930.085	0.472	0.1185	0.6425	0.155	0.0075	0	0
677.5	1258.5	27.365	45	20.495	3.808	134.35	2.305	0	276.5	297.5	2.5	248	2.5	3342.5	316	6.38	17.276	187	5.955	0.965	38.25	1.6	366.5	1033.5	0	0	0	1767.15	0.464	0.1095	0.126	0.0605	0.004	0.004	0.002
1597	2249	85.195	126	52.925	13.661	204.95	8.11	0.315	321	425	170	840.5	653.5	17171	1407	10.855	20.873	430.5	8.09	0	97.85	3.95	714.5	2342	1	8.5	0	1416.235	1.179	0.277	0.334	0.201	0.0085	0.0025	0.009
1350	2855.5	33.51	105.5	65.76	14.8665	181.1	5.13	0	205	540	1118.5	3449.5	21	1397	727.5	8.335	11.383	281.5	6.575	0.075	34.3	2.15	658	1454	270.5	3	0	2372.07	1.879	0.4255	0.575	0.2625	0.0085	0.0105	0.0205
1683.5	3684.5	36.86	136.5	87.33	22.3645	259.1	7.005	0	422.5	515	94	1043.5	6.5	3871	637.5	9.635	15.9985	378	5.905	0	20.7	2.3	715.5	1780.5	37.5	3.5	0	2660.93	3.066	0.881	1.1235	0.3055	0.02	0.032	0.02
834	1420	55.055	86	16.435	3.7625	185.95	1.47	0	376	480	515.5	969	68	3753	637.5	12.145	13.8455	285	3.885	1.225	44.9	4.4	629	1952	2.5	0	0	2242.42	0.64	0.1715	0.2045	0.047	0.0065	0.1125	0.02
1939.5	2647	28.52	68.5	56.415	10.0205	275.7	3.575	0	287.5	296.5	1.5	98	9.5	1404.5	345	7.65	12.7055	200.5	7.18	0	10.8	2.7	430	1373	211	0	112.55	1611.715	2.321	0.6515	0.694	0.1425	0.0175	0.0325	0.0115
1001.5	2458.5	42.25	116	43.195	6.157	84.1	3.345	0	122	189	171	693	43.5	5072	367	5.865	8.8915	214	6.345	0	44.65	0.35	580	1039.5	50.5	4	14.8	1765.71	1.612	0.3245	0.353	0.1265	0.014	0.001	0.0115
1693.5	1907.5	145.66	191	58.24	8.5125	257.45	4.875	0.115	232.5	365	17	1561.5	31	3417.5	3374	9.275	11.3835	271.5	8.15	0	111.05	3.75	881.5	2251.5	4.5	54.5	0	1581.3	2.4765	0.559	1.7785	0.1945	0.014	0.021	0.0165
2084	3138	129.905	280	82.815	20.561	445.75	8.445	0	473	660	458	1916.5	203	0	962	9.895	12.5235	487.5	7.8	0	79.6	5.7	1099.5	2302	74.5	52	0	1519.715	3.039	0.901	5.299	0.1625	5e-04	0.062	0.013
1841	3230.5	70.11	151.5	70.67	12.7235	193.3	5.655	0	752	791.5	1	438	9.5	7192	266	19.1	22.5255	905.5	10.875	1.855	24.15	5.95	1191.5	1690	2.5	71	0	915.645	3.388	0.8325	0.945	0.2865	0.0285	0.0035	0.0235
1446	2166	63.275	99.5	58.95	10.2965	232.8	4.365	0	509	522	34	156	9.5	2949.5	366	14.48	20.856	320.5	8.885	1.58	38.3	7	781	2609.5	33	0	0	2657.445	1.216	0.2375	0.274	0.422	0.0645	0	0.0035
2547	3166	117.79	240	130.63	33.2965	280.7	13.055	0	269.5	339.5	7.5	849.5	4.5	1754.5	423	19.395	19.364	551.5	7.615	0.7	29.5	2.5	609.5	1990	54.5	244	0	1589.285	1.6165	0.394	0.805	0.462	0.023	0.0315	0.0085
1672	3412.5	81.115	196.5	72.47	13.027	164.9	4.665	0	333	373.5	112.5	387.5	48.5	2829.5	425.5	9.395	18.9895	377.5	7.46	0	33.2	1.6	988	1970.5	68.5	21.5	0	2973.42	3.8025	0.925	1.78	0.1595	0.0045	0.004	0.0185
1126.5	848	111.175	70.5	26.85	8.38	94.3	3.24	0	64.5	366	18.5	3544.5	119	1025.5	320.5	4.185	9.1075	92	3.215	0	100.05	0.1	257.5	1595	5	22	0	2151.75	0.6755	0.174	0.1905	0.103	0.0015	0.0035	0.003
1537.5	2212.5	114.67	90	61.125	14.231	209.7	7.26	0.62	303	341.5	79.5	245	319	342	557.5	7.595	14.417	247.5	6.89	0	66.9	5.4	1006.5	1562	11	77.5	0	1925.59	1.5055	0.364	0.8785	0.1955	0.007	0.016	0.0085
2843	5213	103.825	304.5	138.835	29.598	690.2	9.27	0	512.5	1083.5	2140	5768	66	7064.5	1960	19.385	31.3	531	23.33	0	181.5	5.3	1898	3879.5	300.5	37.5	0	6748.16	3.9595	0.6225	0.7185	0.4775	0.2425	0.076	0.0385
2049.5	2919.5	117.86	189.5	94.53	27.3535	379.3	7.73	0	493	738.5	128.5	2837.5	112.5	723.5	3729.5	10.21	30.48	377.5	9.28	0	35.15	6.1	971	2460	131.5	0	0	2689.935	1.7165	0.466	0.6115	0.3685	0.033	0.082	0.016
1420	2665.5	68.765	150.5	60.83	18.521	173.6	4.615	0	318	378.5	211	617.5	10.5	1154	559	14.25	18.1665	452.5	5.09	1.49	87.4	2.5	576	1569.5	27.5	30	0	2466.805	1.5575	0.437	0.7255	0.206	0.06	0.004	0.012
1665.5	2723.5	71.585	101.5	67.805	19.4765	323	7.5	0	301	317	25	161	39	357.5	441	15.41	24.858	459	8.075	1.68	56	5.75	695.5	2083	23.5	0	0	1832.635	0.7995	0.1605	0.178	0.3595	0.02	0.2485	0.0525
1194	1316	93.48	88	37.11	9.5335	104.25	3.715	0	335.5	363	22.5	307.5	52	7193	313	9.595	13.474	295	3.965	0.935	103.8	2.85	510.5	1845.5	1.5	32	0	859.24	0.8695	0.1965	0.2205	0.085	0.005	0.001	0.0035
2070.5	3629.5	71.9	239	91.1	33.6725	329.6	13.7	0	259.5	368.5	247	720.5	921	3799	876.5	16.62	24.114	571.5	8.69	0	138.05	1.6	1109.5	2147	253	37	0	3845.37	1.624	0.366	0.4565	0.341	0.098	0.022	0.017
1740.5	2677	77.715	194.5	71.205	18.951	229.4	7.24	0	329	677.5	1331.5	3484.5	20.5	4156	1019.5	12.715	25.7875	518	8.575	0.615	47.35	4.4	913	2679	10	47	0	5326.08	2.3455	0.5965	1.1175	0.7155	0.0195	0.003	0.011
639.5	959.5	27.995	47	21.23	3.2725	100	1.46	0	397	408.5	14	127	35.5	1417	232	10.035	11.972	361.5	6.955	2.035	18.35	3.65	536	1090.5	0.5	14.5	0	777.64	1.066	0.291	0.399	0.044	5e-04	0.0035	0.0095
2170	3695.5	110.1	274.5	76.255	17.2685	422.5	6.525	0	617	1043.5	952	4556	199.5	875	2031	24.945	27.048	667	12.95	2.12	155.55	8	1070	3373.5	182.5	0	0	3509.53	1.409	0.402	0.8065	0.255	0.0365	0.044	0.0165
3387	4928	272.205	229.5	116.89	22.1555	346.55	8.635	0	712.5	963.5	881	2461	188	12	1489.5	26.91	40.5515	1025.5	15.655	8.385	98.5	8.4	1694	3390	504	28	5.6	4134.705	4.0085	0.8515	1.925	0.288	0.008	0.0025	0.0235
1646	3304	44.665	177	80.085	25.9815	368.25	7.365	0	554.5	632.5	128.5	863	23	1144.5	791.5	10.135	16.406	353.5	7.885	0	33.9	7.2	1408	2781.5	117	0	0	2382.81	1.962	0.567	0.64	0.303	0.022	0.078	0.018
3654.5	6144.5	94.255	242.5	164.925	23.9265	1001.8	9.49	0	776	806	19.5	306	120	715	1361	24.875	56.384	904	31.33	0	89.6	7.05	1369.5	4105.5	21.5	3.5	2.05	2039.955	5.1155	1.011	1.1065	0.5195	0.0845	0.12	0.086
1736.5	3184	66.705	212.5	75.015	17.6375	245.15	8.645	0	321	1175.5	6571	6936.5	47.5	4971.5	3225.5	12.35	17.8305	436.5	7.19	0	24.25	4.6	814.5	2444.5	98.5	37	0	3120.83	2.1925	0.517	0.931	0.2135	0.0055	0.0885	0.0435
1762.5	5045	62.895	134	83.015	25.7845	174.45	7.11	0	602.5	856	1005	2516.5	9	4.5	955.5	16.33	26.7255	777.5	13.74	2.86	33.45	4.55	740.5	1886	241.5	23	0	1480.28	1.9515	0.37	1.139	0.285	0.079	0.0095	0.0235
667	1081.5	32.35	69.5	28.105	7.475	41.8	2.685	0	78.5	94	1.5	180	17	2463.5	133.5	4.735	7.2375	195.5	2.225	0	49.05	0	240	796.5	1.5	13	0	418.83	0.7105	0.153	0.1835	0.1175	0.0195	0.001	0.0075
1388	1906.5	92.71	114.5	50.925	9.346	267.5	3.36	0	677.5	723.5	115	502.5	16.5	2778.5	456.5	7.29	10.381	303.5	7.33	0	21.3	6.8	1097	1815.5	43	2	0	1585.74	2.5485	0.6405	0.7455	0.16	0.019	0.0215	0.0185
2077.5	3294.5	145.3	55	80.725	19.44	400	9.385	3.66	414.5	449	55	236.5	226	3933.5	306	11.72	27.7335	360	11.615	0.37	66.7	6.65	1063	2780.5	11	128	0	1566.925	1.933	0.46	0.686	0.341	0.0265	0.007	0.0175
2531	3401.5	121.705	224	84.21	18.3225	423.4	12.195	0	205	308.5	31.5	1195	67.5	26122	1211.5	19.115	32.1965	812	15.705	0	50.25	1.5	791	2805.5	433.5	90	0	4069.105	1.7115	0.263	0.372	0.213	0.006	0.039	0.014
5848.5	8642.5	103.89	971.5	174.465	39.173	1000.85	26.635	0	475	1122.5	156.5	7566	235.5	0.5	11524	20.185	85.4855	1331	16.205	0	102	5.25	2078	5970.5	12	7.5	280.1	5691.635	3.6135	0.673	1.2095	0.652	0.016	0.0435	0.0285
1791	3214.5	52.205	125	93.625	26.0495	332.3	9.575	0.635	391	406.5	7	177	29	1667.5	681	9.69	13.7355	227	8.315	0	17.25	6	1020	1860	4.5	19	0	3650.785	2.714	0.5665	0.882	0.2685	0.0035	0.1555	0.036
699	981	49.375	107	20.155	5.413	154.2	2.53	0	433	1068	2106	6576.5	6	1.5	2667.5	5.97	12.18	220	6.885	0.375	74.5	5.35	824	1615.5	0	0	0	766.075	0.723	0.1695	0.4435	0.021	0.002	5e-04	0.0055
940	1470.5	24.64	106.5	39.67	13.0895	174.2	5.935	0	67.5	135	52.5	781.5	8.5	178.5	708.5	4.85	12.681	183.5	4.46	0	26.25	0.35	292.5	1631.5	207.5	8.5	14	4505.97	0.4855	0.115	0.1255	0.144	0.01	0.0245	0.0065
850	1578.5	76.095	68	21.575	2.422	151.5	2.31	0.02	177	214.5	20	434	20	7569.5	411.5	9.225	11.9675	240	8.94	1.13	79.05	1.7	219.5	1509.5	5.5	0	0	1982.905	0.608	0.066	0.2325	0.057	0.002	0.007	0.01
1497	2322	79.755	300	33.76	9.681	169.95	6.26	0	216.5	602	1211.5	4032	15.5	8582	3085.5	16.155	11.376	567	6.45	0	45.4	2.65	680	2528.5	180.5	4.5	9.25	3302.985	0.801	0.238	0.702	0.095	0	0	0.0025
1614.5	2786	115.765	88.5	64.44	13.252	301.8	4.1	0	208.5	224	24	172	3	501.5	370.5	9.8	13.2495	252	9.935	0	17.3	3.25	648.5	1318	63.5	45	0	1756.885	1.8435	0.403	0.4565	0.1625	0.0085	0.0965	0.045
2921.5	5190	110.23	371	108.545	25.242	767.55	8.81	0	429	599.5	435.5	1719.5	190.5	11474.5	1383	14.355	35.124	605.5	10.36	0	148.5	7.65	1477.5	3479	173	13.5	66.95	4127.88	2.606	0.5535	0.563	0.426	0.0185	0.0855	0.0425
2646.5	4340.5	165.63	95.5	110.02	24.013	416.4	7.95	0	718	743.5	4	309	17	6277	276	10.6	25.193	339.5	12.69	0.005	70.85	14.5	1885	4000.5	6	93	0	1953.655	2.33	0.332	0.4105	0.433	0.1	0.006	0.03
1506	2343	68.065	222	59.175	16.3175	254.75	8.76	0	127.5	247	42	1392	108	7347.5	888	11.33	17.9895	417	7.93	0	76.4	1.4	568	2287	141	0	0	2557.485	0.84	0.1425	0.166	0.2435	0.037	0.026	0.01
2490.5	5873	71.69	230	99.42	37.045	262.5	6.335	0	500	528.5	20.5	318	2	6072	359.5	25.225	42.619	1036	11.915	0.86	10.75	1.8	993.5	2037	0	0	0	1640.845	1.849	0.3795	0.463	0.392	0.0385	0.0065	0.0205
1007.5	363.5	107.925	0	54.49	12.1775	233.95	13.65	13.65	911.5	911.5	0	0	0	0	0	18.17	10.5855	251.5	7.72	2.485	88.85	16.65	891.5	1078	0	0	0	1428.925	2.082	8.3445	4.8245	0	0	0.162	0
1983	2616.5	81.3	114.5	76.905	15.6835	349.6	4.355	0	511.5	538	25	313	20.5	9406.5	152	23.535	20.7135	200.5	16.545	0	29.7	2.8	889.5	2022.5	3.5	27.5	0	2253.12	2.47	0.506	1.6895	0.1775	0.0065	0.0055	0.04
1801.5	2770	80.57	160	73.82	12.053	224	6.03	0	847.5	871.5	6	254	32	3253.5	242	20.165	25.8315	1121	15.6	3.21	47.35	7	1238.5	1798.5	9	63.5	0	997.755	3.486	0.909	1.744	0.488	0.0215	0.015	0.0245
1398.5	2462.5	58.945	186.5	30.325	5.6795	247.95	4.145	0	756.5	884	394	1344	18	7922	1031.5	24.735	19.172	867	9.55	4.475	28.95	6.55	707	1658	0.5	21	0	1981.41	1.1365	0.4205	0.4045	0.073	0.001	0.0295	0.007
3153.5	5212	163.25	249	121.475	22.7755	444.85	7.195	0	602.5	648	14.5	517	21	10769	1176	23.69	29.871	841	14.57	1.655	133.2	8.6	1587.5	2551.5	2	40	0	2095.41	3.7385	0.6615	1.685	0.913	0.0235	0.0595	0.0335
1323	2470	47.695	127.5	45.055	10.4745	230.8	6.3	0	596.5	820.5	603.5	2287.5	173.5	7440	663.5	12.78	25.5645	693.5	11.98	3.12	55	4.4	917	2377.5	240	0	14	2954.74	1.4125	0.3575	0.3935	0.215	0.011	0.003	0.013
2732.5	6007.5	124.2	255.5	106.3	20.484	492.45	37.565	30.005	1698	1751.5	44.5	597.5	79	3034	641.5	27.125	51.284	878	19.285	2.62	85.05	17.4	3545.5	4413	24.5	16.5	0	4248.465	3.1685	0.72	0.84	0.3705	0.021	0.003	0.021
2934	4007.5	117.445	246	107.935	28.766	545.65	7.815	0	742	765	46	229.5	67.5	1113	992	15.905	28.94	585.5	8.46	0.9	108.7	5.85	1395	2438.5	13	52.5	59	2885.94	3.1045	0.7585	0.856	0.3795	0.0095	0.0595	0.0305
2510.5	4115	77.915	204	104.37	20.556	594.75	7.47	0	791.5	827.5	12	419	49.5	2637	822.5	16.69	34.719	461.5	18.16	2.445	32.7	8.8	1589.5	2864	2.5	18.5	16.75	4772.38	3.4675	0.8005	0.904	0.297	0.0105	0.0505	0.04
1971	3001.5	158.95	164.5	65.98	17.3985	257.3	4.94	0	367	484	81	1341	54	2236.5	846.5	15.495	21.4695	421	8.9	1.27	51.25	4.65	850.5	2490	178.5	7	0	2621.395	1.5095	0.3105	0.345	0.266	0.037	0.0195	0.0205
4452	7917	341.755	252	162.05	34.8955	462.2	12.455	2.805	688.5	740.5	41.5	552.5	106	5166.5	523	25.415	48.848	963	17.725	2.21	296.9	4.35	1128.5	3963.5	116	48	0	4908.865	3.212	0.699	0.7955	0.894	0.1075	0.039	0.0795
1877	2164	146.72	117.5	72.155	13.5555	207.55	5.52	0	244.5	271.5	16	275	58.5	2374.5	562.5	7.64	18.4905	392.5	7.675	0	24.05	3.2	854.5	1765	153	16	0	1719.595	2.3985	0.603	0.7425	0.2495	0.009	0.006	0.014
2152	1224	53.61	124.5	29.755	3.7305	316.5	1.9	0	232.5	274	54.5	477.5	0	0	946.5	3.39	24.4235	163	5.21	0	11.25	2.55	483.5	1713.5	129	0	166	2999.885	1.193	0.26	0.285	0.042	0	0.007	0.0135
1684.5	2886	94.57	215.5	61.885	13.46	192.4	10.16	0	153	247.5	100	978	227	23435	659	10.825	20.635	358	8.525	0.785	58	0.9	573	2586.5	96	2	0	1305.51	1.808	0.4545	0.588	0.204	0.004	0	0.0105
2216.5	3412.5	182.18	176	87.27	21.7045	343.2	5.775	0	510.5	544	46	374	37	2376	564	10.485	19.272	402	7.51	0	39.45	4.25	766.5	1983.5	439	70.5	0	2157.39	2.7975	0.6875	0.9275	0.3135	0.0485	0.0375	0.023
3663	6291.5	204.59	391	172.085	52.315	541.3	27.25	7.68	752.5	1004.5	139	2908.5	53	2559.5	3731	25.815	52.824	966.5	16.44	2.87	185.4	3.65	1042	4084.5	84	52	0	2562.985	2.743	0.853	2.354	0.856	0.1	0.0325	0.0235
1690	3050.5	89.545	234.5	80.915	12.0545	313.15	7.105	0	503.5	673.5	271	1771.5	269	4840.5	1463	19.22	27.2445	620	17.265	1.56	142.4	5.65	1172.5	2872	15	24	0	2706.485	2.675	0.605	0.6255	0.236	0.0075	0.071	0.013
2197.5	2329.5	93.755	342.5	54.895	20.9185	404.55	11.78	5.56	545.5	615	60	726	200	0	1620	15.59	31.078	546.5	11.765	2.615	193.65	22.3	1314	4112	14.5	0	15.9	2895.305	0.9895	0.203	0.829	0.786	0.075	0.7095	0.1235
882	235	92.735	0	48.5	10.747	201.8	8.935	8.885	792	792	0	1	0.5	0	1.5	15.93	9.274	226.5	6.6	2.2	82.25	13.2	806	931	0	0	0	1180.285	2.449	1.056	6.512	0.095	0	0.161	0
1777	2892.5	75.605	139.5	76.97	26.5565	212.05	6.825	0	66	76.5	20.5	124	9	516	226	11.415	28.0335	419	7.745	3.385	34.15	0.55	360	1959.5	99	0	0	1551.93	0.5015	0.0485	0.0825	0.38	0.133	0.039	0.0115
886.5	1361	51.035	138	31.87	5.6165	131.65	2.945	0	177.5	359	140	2050.5	92.5	9093	699.5	4.71	8.777	267.5	4.715	0	45.45	3.35	938.5	1846.5	0	1.5	0	2779.025	2.0915	0.543	0.6405	0.084	0.0035	0.002	0.0155
1570.5	2291.5	117.49	67	63.7	11.8265	155.75	3.55	0.685	181	210	0	313.5	63.5	994.5	291	10.82	16.8405	850.5	8.88	0	119.65	2.8	692.5	1550	0	0	0	810.535	1.713	0.309	0.623	0.2105	0.0555	0.013	0.018
1439	2475	49.325	88.5	47.56	15.13	179.7	2.46	0	159.5	167	27.5	80	4.5	342	197.5	9.765	18.101	679.5	5.555	0	11.75	1.6	454.5	908	0	0	28.1	2195.21	0.4285	0.088	0.277	0.2265	0.0345	0.0065	0.014
1807	2041	152.505	114.5	77.585	23.008	249.15	8.465	0	938	995	74	607.5	27	2189.5	362.5	10.775	8.999	251.5	9.1	0	28.8	12.45	1298	2334.5	11	182.5	0	1927.615	2.028	0.521	0.639	0.1695	0.01	0.0075	0.011
979.5	1528	44.24	60.5	38.165	5.761	77.55	3.3	0	300	308	0	94.5	0	0	219.5	11.885	14.724	1194	8.05	0	31.25	2.45	556	690	1	8.5	0	748.65	2.096	0.673	1.1125	0.1305	0.008	0	0
1792	2437.5	115.935	421.5	50.55	12.817	193.1	11.46	1.99	314.5	621	50.5	3445.5	403	2078.5	7582	20.13	26.2215	703	7.895	2.735	187.4	3.25	1571	2896	2.5	24.5	0	2526.12	0.694	0.2275	1.051	0.271	0.0145	0.003	5e-04
894	1296	37.185	48.5	39.73	11.398	160.6	5.065	0	215	312	2.5	1136.5	61	1097.5	781	5.55	5.4325	201	3.3	0	36.45	2.45	587	723	1	24.5	0	1448.68	1.0345	0.277	0.318	0.088	0.002	0.029	0.007
1420.5	1438.5	131.265	101	55.785	15.347	195.2	6.44	0	293	470.5	201.5	1989	96.5	6204.5	1064	6.635	10.824	266	5.235	0.32	113.6	4.1	711.5	1876.5	34	11	0	2454.085	0.784	0.1645	0.2175	0.293	0.0205	0.007	0.01
2087.5	2507.5	111.735	126	91.015	17.537	271.4	12.115	0	117	174.5	84	508.5	262.5	2804.5	832.5	13.745	18.695	395	13.705	0	85.3	1.8	713.5	2586.5	128.5	291	0	2748.165	2.147	0.394	1.237	0.23	0.0095	0.072	0.015
2400.5	3311	144.065	168.5	92.49	12.297	402.25	6.145	0	1512.5	1545.5	5.5	421	29.5	5092.5	247	11.255	23.244	616.5	13.105	0	17.6	17	2482.5	3439	46	0	0	2010.875	5.226	1.351	1.6025	0.3855	0.041	0.0015	0.034
950	1497	73.15	92.5	38.485	9.9215	102.85	4.035	0	148	196.5	22.5	558.5	64	2563.5	1329	5.145	10.0315	223.5	3.19	0.255	124.25	1.1	334	1027	0	0	0	868.965	0.6665	0.1835	0.194	0.114	0.0095	0.0095	0.007
1078.5	1988	69.925	103.5	38.155	8.202	259.6	3.965	0	276.5	283.5	7	78	14.5	512.5	441	19.77	17.944	1186	11.705	0	69.2	3.6	733	1371	2	16.5	0	1594.41	0.899	0.245	0.272	0.1375	0.009	0.03	0.0075
2753.5	4618.5	144.165	196.5	108.585	25.214	332	7.135	0	661.5	726.5	82	707	8.5	3479.5	385	15.22	25.6195	516.5	11.825	0	66.15	9.15	1893	3282	4.5	93.5	0	1697.99	4.405	1.0145	1.087	0.317	0.0115	0.011	0.0285
1840.5	2821.5	24.02	131.5	97.795	26.871	383.65	9.695	0	250.5	267.5	3.5	199	28	847	562.5	8.635	24.702	232	9.44	0	54.9	2.3	592.5	2619.5	1.5	12.5	0	1007.72	1.332	0.205	0.224	0.4925	0.032	0.0545	0.0155
1761	4288.5	75.58	240.5	77.97	23.2485	389.05	12.205	0	322	467.5	124	1675.5	19	21553	5130	10.725	29.875	262	10.475	0	94.2	4.25	970	4106	237	0	0	2890.5	2.1975	0.67	1.143	0.2745	0.002	0.023	0.02
988	983.5	53.35	53.5	36.16	3.1525	130.15	1.615	0	242	261	45.5	208	5	1593	130	2.975	6.3805	86	4.035	0	4.1	2.3	325	950	75.5	3.5	22.95	888.07	2.2725	0.5405	0.676	0.027	5e-04	0.0045	0.007
2226.5	2973.5	131.315	251.5	86.335	22.746	310.25	10.635	0	213.5	308	88	1066	63	11264.5	787	10.72	20.6165	489	9.655	0	235.35	3.2	774	3279	0	0	0	1397.385	1.3995	0.261	0.3015	0.384	0.004	0.0285	0.02
1702.5	3571.5	56.115	117	59.905	9.3775	244.95	9.5	4.64	842.5	866.5	5.5	300.5	3.5	5225.5	467	15.135	24.323	710	12.31	3.325	11.55	7.95	1207	1764.5	156.5	42.5	0	4612.36	2.7985	0.5985	1.0315	0.1275	0	0.021	0.0105
1376	2301	129.125	251.5	39.655	8.8	226.25	3.525	0	358	363	0	40.5	0	568.5	64.5	20.815	17.3275	864.5	12.43	2.485	11.35	5.85	704	1995.5	254.5	48.5	0	2016.825	1.2095	0.3015	0.368	0.0925	0.003	0	0.0065
1589	2603	79.02	209	60.885	18.7655	385.25	9.545	0.425	512.5	2158	759.5	19364	28.5	7322.5	887	11.39	12.964	431	7.92	0	77.15	6.1	921	2520.5	0	6.5	0	1311.575	1.386	0.3835	0.4255	0.182	0.01	0.052	0.0175
2699.5	4078.5	133.43	444.5	124.275	17.3145	578.95	9.54	0	454	594.5	96	1527	183.5	121.5	2254.5	16.425	31.0225	511	15.945	0	125.35	2.3	1022	4048.5	71	120	0	3306.345	7.7315	2.1665	9.6875	0.364	0.0195	0.051	0.0145
1957.5	2845.5	92.945	186.5	80.765	18.779	343.35	5.705	0	165	244.5	22	886	114	11675	431.5	9.39	22.8955	344	8.56	0	17.6	1	547.5	1654	65	0	27.7	1238.815	1.891	0.3615	0.448	0.375	0.053	0.0195	0.033
1009.5	1145.5	61.055	93.5	40.035	11.479	131.25	5.25	0	515.5	642.5	175	1399	78.5	4608	523.5	8.185	9.694	380	5.86	1.005	46.85	4.4	706.5	1930	0	0	0	1047.14	1.4415	0.39	0.445	0.1155	0.0015	0.0035	0.0055
1519	2453	27.49	144	68.495	15.973	307.7	5.625	0.075	195.5	211.5	2	188	24	2620	422	6.905	15.9955	269.5	4.955	0	74.55	1.85	572	1560	0	0	24.55	2888.555	1.116	0.1845	0.236	0.392	0.0205	0.0375	0.0135
2924.5	3578	134.665	466	153.705	47.4075	401.65	29.835	0	235	1405	3214.5	12193.5	439.5	14	8871	17.08	26.6925	519.5	16.815	0	319.65	3.45	1246	4627	68.5	0	0	7513.715	0.8245	0.2805	0.2635	0.4725	0.098	0.0645	0.0115
2618.5	4930	116.855	236.5	129.165	27.751	796.75	11.07	0	713	813.5	352.5	1034	20.5	3351.5	1266.5	15.96	28.1175	424	13.445	0	28.2	7.55	969	3205.5	142	38.5	0	2679.665	2.8985	0.7255	3.8025	0.47	0.048	0.16	0.0345
1257.5	2890.5	59.66	53.5	45.85	12.1745	153.4	3.45	0	295	376	330.5	797.5	19	0.5	259	11.3	19.6585	296.5	8.875	0	48.75	0.55	582	1374	25.5	45	0	1163.52	1.1095	0.1935	0.252	0.179	0.0075	0.0045	0.0165
1724.5	3831.5	68.115	117.5	81.325	18.6525	465.9	5.975	0	770	773.5	0	51.5	9.5	0	537.5	8.8	56.903	376	7.255	12	2.85	8.4	1134.5	2099	462	0	0	2525.74	2.927	0.816	1.6635	0.241	0.001	0.1	0.0335
1873	3633	73.815	167.5	64.055	20.5615	428.9	7.58	0	224	323.5	398.5	982	10	1756.5	779	13.245	20.6515	505.5	10.575	0	42.3	2.35	428.5	1924.5	222	7.5	0	1936.915	0.5585	0.1155	0.1115	0.267	0.017	0.043	0.0185
1505.5	2802	79.13	195.5	49.345	11.735	279.55	6.36	0	65	124.5	9.5	707	12.5	5747	369.5	11.71	13.309	243	9.74	0	62.95	0.95	575	2218.5	17.5	48.5	11.15	4111.17	0.6005	0.1075	0.713	0.1275	0.0135	0.0695	0.0145
