Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36
KCAL	0.276582176089003	-0.0547247817448076	0.127199534937882	-0.144000669853287	0.0517438087206139	-0.0347758225996881	0.0283955139731884	-0.0245624510990037	0.0394233360145232	-0.0356992821366018	-0.00434030590665905	-0.0255330809562419	0.112755908839383	0.078747493967647	-0.073312433688601	-0.0312106515300017	0.0449396682316563	0.0330928262568712	0.0642650474200586	0.107136315971209	-0.132189014611945	-0.0396536535682943	0.052931141270022	0.0225776223181877	0.0103463188626753	0.0104610853528683	-0.000523208743730417	-0.016307309543036	-0.0423242606345125	-0.061721207959247	0.00137771223431023	0.0696416638902171	0.0803485654769709	-0.596922511762858	0.659348997445623	0.00152361960526007
SODI	0.245382443126992	-0.00330081212379939	0.147595353653521	-0.157379567114552	-0.00930939562334002	0.0452068644081638	0.0586618515629291	-0.158399382939301	-0.021401315636143	0.0569142627183582	-0.0595619630301631	-0.0248915378727209	-0.0685275441053823	0.0542036358707071	0.0374779359404945	0.0625642511756595	-0.122732719060867	-0.0923346144838382	0.0562242097116622	-0.0144025762524273	-0.249340177163088	-0.0327066755965752	0.20778712487564	0.281384064175767	-0.0109567839381446	-0.210320058603369	-0.458572476813989	-0.187519418680951	0.497650598929845	-0.22992589824891	0.0324213657706139	-0.110021630591769	-0.0656534662711158	0.110425042040346	-0.0959431674365306	-0.000529517458781707
SUGR	0.171085673089687	-0.112443289784412	0.0660372554547691	0.00871942912400953	0.088338091560887	-0.271740591519789	0.116842417399379	0.211860822430258	0.349792976638846	0.103714667478273	0.0530941200787775	0.0310420043385295	0.224497519466209	0.191246842075729	0.0248024169158971	-0.0478007601791868	0.349675274434091	0.0610429041268526	0.134882405461484	0.490371323182423	-0.22134465117158	0.052094336228769	0.15194825789299	-0.231251009368603	0.0181055853939125	0.0137550579130217	0.0237379750970345	0.0272950746874066	0.0526155289169352	0.0671333195425625	0.00789547572267361	0.0147075853870449	-0.0457896758030667	0.176975110910075	-0.175985638343084	-0.000565213108141438
FF	0.199995486680457	0.25154200969116	0.173817939554853	0.020146012761616	-0.00720439354194102	0.122478724154451	0.049505747338651	0.145215873041772	-0.0792112332688041	-0.140124318122963	0.18742093229297	-0.0142456977339509	-0.0354264577993555	-0.0175942953654286	-0.0322539609979737	-0.140356550307832	0.0179544166410373	0.109655831573422	-0.0590249198774113	-0.289278732294478	0.0120313043328618	-0.013997858557053	0.0417645242789936	-0.541208604574167	0.311904042436557	0.152432042963779	-0.0811111525187222	-0.286027682116067	0.219153463615852	0.0758350757359257	-0.143600521944592	0.228967386380974	-0.112949395527068	-0.00462057411980495	-0.0308931403664136	0.000118814375666596
TFAT	0.257997715804732	-0.0888884478994816	0.094323444452161	-0.157597569134115	0.151221875337022	-0.130585690887942	0.0121228111241026	-0.18956901358943	-0.0625218744719411	-0.0434885836229052	0.0182486525928406	-0.142962808886527	-0.0286861065496024	0.0302612043649076	-0.0696044990210503	0.0566061563972939	-0.0589785033046656	-0.0109810599695947	0.0330303787842335	-0.0296703906918691	0.0171758378560331	-0.0280737222836823	-0.100039217569122	-3.6921941903148e-05	-0.0961159061169919	0.0194400220752884	0.196764693799643	-0.070573399298339	-0.0996718532337539	-0.0459694022948481	-0.105954481024357	0.0116453106395408	0.0260369171665808	-0.503300246492938	-0.657316873694303	-0.000317652801803289
PFAT	0.222163936294484	0.0262017504146083	0.106915661050694	-0.16430613658118	0.0273098765866186	-0.248616098891786	-0.00341474617118915	-0.284255888135013	-0.0703622380620746	-0.117458369398941	0.0504604968580057	-0.187668145399524	0.000928856717040159	0.0213107736031516	-0.127447018832652	-0.00766334896525557	0.0144371737151646	0.0238684083855923	-0.0669577595578689	-0.0594525860380131	0.0443616609728811	0.196505452176121	-0.189667039390319	-0.0415938209095032	-0.466802079238749	0.23469020221719	-0.0377814752180752	0.107548071727148	0.11330850317617	0.205237549446173	-0.261677304791698	0.0843598695414458	0.198804411554909	0.350754672529136	0.169488172592041	-0.000162530899338238
CHL	0.243759804231709	0.0606152430518708	-0.00455260863972039	-0.086044823929219	0.0418263223510929	0.125672732837061	-0.0879927507979692	-0.0188155830480515	-0.0090547055973497	-0.16952234780985	-0.170903587979748	-0.0269553931769296	0.00298951815623299	-0.0568441254963229	0.204133980281195	0.0885202660771614	0.131095516789948	-0.0505760751648662	-0.0524842175027808	-0.209700516333457	-0.041530141393824	0.0823103241794005	0.533941108220357	0.0736059128637117	-0.0576304681341998	-0.000545749190215113	0.588406769133776	0.0102217337360835	0.104865596236306	0.114166843901791	0.132099609188315	-0.134872856964836	-0.0290422391813052	0.121419334823416	0.0441749961067754	7.50501844262725e-05
ATOC	0.20954099286588	0.033823738138328	0.0419701988107744	0.0997221175198732	-0.184154564793868	-0.410505761206109	-0.142238733876269	-0.112528401266551	-0.161167681334187	-0.202954116521314	-0.049668434899866	0.0841938385484997	-0.108241213383262	-0.0863404301943938	-0.0610815776740783	-0.00843073811108063	-0.0218118461701116	0.00760936103594267	-0.0520730756422458	0.00831003598801798	-0.051580097953093	-0.0194315252038211	-0.0908503938809503	-0.172805907232995	0.00573086266653083	0.0751214617954468	0.0206874740685946	0.187529692790655	-0.108168201131475	-0.436234786969337	0.42908702734306	0.0213752348392602	-0.354390579460885	0.0953596019428081	0.0350271083838941	-0.000214859970117006
ATOA	0.0351531398243425	-0.154759589097595	-0.107318896039807	0.28838380075882	-0.302381619557509	-0.361363862531625	-0.304344286539195	0.0369433680544993	-0.196569137346465	-0.204791347759136	-0.122589998722799	0.107393553566488	-0.136938121103967	-0.0497686325306274	-0.000640114275972316	-0.120606998796864	-0.0974199827984025	-0.00730362219098082	0.0569054109213516	0.110170272826746	-0.224645123996397	-0.208980986765249	0.0982883547072896	0.0653041782484762	0.162134819940985	-0.0741546302953673	0.0392022046528493	-0.18079835385654	0.0509874996064522	0.242198686038765	-0.313166986822335	-0.0540946147098629	0.243118512517365	-0.0275222218515322	-0.00936430302926439	5.94495954648947e-05
RET	0.144258820059877	-0.252918053061538	-0.149761989291082	0.270556862901116	-0.0148579286393835	0.201552436497966	0.019464734250711	-0.0901716456701706	0.223812161186672	-0.153940278151451	-0.10470554546925	-0.0651839705267429	-0.173099619803709	0.0620461102587565	-0.140962354588572	-0.0480638609839476	0.178533451240178	-0.339926246901823	0.123225114265398	-0.189425195789657	-0.045498952587504	0.201875180957749	-0.0823645693599729	-0.185657549413446	-0.0388134368044968	-0.197663349505071	-0.0932343655146551	0.0501419173847238	-0.0560700968865261	-0.0186062195250024	-0.0192743937243163	-0.0147198496409223	0.019765078851339	-0.0221004687614223	0.013021348241037	-0.534569962093828
