PC	var_explained
1	0.33229
2	0.08886
3	0.06611
4	0.06343
5	0.04991
6	0.0441
7	0.0363
8	0.03396
9	0.03038
10	0.02843
11	0.02356
12	0.02309
13	0.02179
14	0.01978
15	0.01668
16	0.01638
17	0.01562
18	0.01326
19	0.01178
20	0.01024
21	0.0085
22	0.00795
23	0.00694
24	0.00573
25	0.00482
26	0.00465
27	0.00303
28	0.00282
29	0.00248
30	0.00206
31	0.0016
32	0.0014
33	0.00106
34	0.00088
35	0.00013
36	0
