Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
F_CITMLB	0.0359121104072653	-0.130609556311469	0.16682634917708	-0.115533661622747	0.265904744576486	-0.212868635826279	0.165896675117316	-0.0572882280167176	-0.481019854444429	0.246230676929486	-0.113116462133796	-0.0794660117628174	-0.0793632076371776	-0.192049532226669	0.174680138676606	0.0724844866513415	0.00333265958342059	-0.00433819002084049	-0.0286149492659798	-0.204073787108021	-0.205481019055225	0.310718430636556	-0.0705427155858415	-0.00175276799421875	-0.0348214471021339	-0.271164602736667	0.158856429697809	-0.342578240000872	-0.00112512996074172	-2.93133980950842e-17	0
F_TOTAL	0.1420978190642	-0.151283237601723	0.259708951750482	0.0326453007855297	0.308150440831316	-0.057620678166086	0.353999874497498	-0.197231848267447	-0.275931969491383	0.0287886285088017	-0.0899844128542734	0.0498243847943516	-0.00759768157018697	0.0949102627806077	0.092915941836742	0.00207764861515445	0.0777376688870768	-0.0571904695103347	-0.0275793775535952	-0.00209958885319034	0.141204768586476	-0.148333558954282	0.295283586637732	0.0501195099646049	0.182185723840116	0.370698398245942	-0.201885711423694	0.409240632011318	0.00970154543796709	-9.7118230100325e-17	-1.09894102319103e-16
F_JUICE	0.151798991158972	-0.0486263501233754	0.0750267145353804	0.0660126541514658	0.225078435911245	0.285750531919642	0.324599091142969	0.138511332430179	-0.00470749086581716	-0.165676926622218	0.0138202384067726	0.152250339486341	0.221103116612696	0.291863588373246	-0.306261774329112	-0.129120653095802	0.347264871673838	-0.0631899563938768	-0.158125875217498	0.0752950039403388	0.127913864833494	-0.0201076580817578	0.00886095371577936	-0.236832099113433	-0.124031991655137	-0.375217776481227	0.0651609890099748	-0.154012385604558	0.00542203683511891	-1.65256621073452e-16	9.86594653788374e-17
V_DRKGR	-0.0684927420053785	0.12150771685854	0.300450193206989	0.19297239507433	0.0327151815968273	-0.108835879590934	0.159021544088363	0.241924181541142	0.212223170539557	-0.0122554297578275	-0.139252784274574	-0.260616589320635	0.0903320436109521	0.113053742478805	0.215554663262348	0.107225561483294	-0.254460452515123	0.446875328042909	-0.35248025283619	0.0337967346974493	-0.156823396250077	-0.146128719214573	0.0338433383643304	-0.184325428162313	0.0239388421291165	-0.0635727504883878	0.110362569935679	0.0610227544130624	-0.0164776092278699	0.172570003907058	0.153072170957613
V_REDOR_TOTAL	-0.296803085191607	-0.00393382602628492	0.109043242885264	0.117695048142135	0.33107243657591	0.199291865091567	-0.167863373696632	-0.00941339429608682	0.149950276822835	0.0926952885712338	-0.233124570881528	0.00673919892885179	-0.105898578445042	0.097086938718009	0.0386923482259611	0.0652626654570003	-0.000430905691024912	-0.131648826001532	0.141290816942175	0.222722707942196	0.154646802209155	0.0138133078760452	-0.102039987178262	0.201263223854682	0.549502243552226	-0.145024181805761	-0.0922644218094802	-0.2145715529159	0.00520097453144772	0.178919531249105	0.158704296546052
V_REDOR_OTHER	-0.16031282891692	0.0187659968050202	0.0287754843101327	0.0265244228784925	0.397520752392234	-0.115861203640017	-0.285570663320712	-0.267342934900232	0.213021427790337	0.0538551408096417	-0.136418805923701	-0.257800856622914	-0.146580582708337	0.0281403775156986	-0.0334697128840307	0.0223840591879015	0.246621701175203	0.0619161992343804	0.225033501571202	0.00942948548613687	0.120263324910762	0.101452486559001	0.0238777267666511	-0.399133154586442	-0.36701553303015	0.0545270092915222	0.148653817127703	0.175674941145132	-0.00680786218871703	1.72452513956232e-16	6.5957374337577e-17
V_STARCHY_TOTAL	-0.0891019603026864	-0.00741552347351065	-0.368992592762582	0.381743607391577	-0.0768075987091508	-0.160864337649394	0.185813506971522	-0.0433855315909131	-0.0266143028518903	0.141310894115419	0.215286424442707	0.00084686082915954	0.134701707608404	-0.0961522208692904	0.0397532467866718	0.118149788075521	0.161977190130829	-0.0691546789002864	0.0627637519828187	-0.00406112368223254	0.13967330666082	0.0887718134271582	0.250666176755311	0.164084644072493	-0.0496671438548768	-0.0868782983976617	0.274066396251848	0.103113199448984	-0.0137723827445797	0.398614826282396	0.353577304592288
V_STARCHY_OTHER	0.0142038021478275	0.00396665946419978	-0.145331201095442	0.383253588053947	0.0397988198750032	0.107740842147298	0.229536553671227	-0.341672994342838	0.0276387772496368	-0.0267577880934685	0.0138320115792068	0.05929663767011	0.208883860544357	-0.104787906234446	0.238260025817807	-0.0354291320902084	-0.271229879165007	-0.233182013600682	0.145701106831221	0.0311210928987064	-0.198022985125801	-0.105996369736029	-0.375237881616342	-0.358405225921352	-0.0433686971032189	0.00225665980138054	-0.237068950757446	-0.0558483283860667	0.0169001243226469	-6.34136092757815e-17	-2.29121286328658e-16
V_OTHER	-0.177882980470151	-0.0192437003249334	0.0880566242742556	0.298611479778007	0.102176394979012	0.0541925864348155	-0.110044100539373	0.159666805220114	-0.22466436153611	-0.181900200263321	0.017836078635156	0.166735659444006	-0.408775087409033	0.0181854692597634	-0.369770773515327	-0.244513753059024	-0.104904499985552	0.0146102598501134	0.0399162930862717	-0.28769187773936	-0.304740343782031	-0.114093750221947	-0.024748942487808	0.0118154836503331	-0.14587665222209	0.129200225551931	-0.0963179467217132	-3.84635698237185e-05	-0.00299897650915053	0.230563606278152	0.204513362448673
V_TOTAL	-0.264590174325758	0.0240768960402701	-0.103671645401072	0.515091866687457	0.108156887810369	-0.0650048215452708	0.0862377728718951	0.111451509877051	0.00195299774628004	0.0539809573430325	0.0452423428523804	-0.00933020593225155	-0.0821397294721155	0.00513571710875035	-0.047301845402728	0.0390952242451606	-0.00675247900423418	0.0549276453846598	-0.00248032828629857	-0.0416529254520907	-0.0261493114439709	-0.0255623603956223	0.153000129782975	0.135296285982002	0.0916841715544606	-0.0781129818844252	0.167553412906774	0.0247527497262642	-0.0151404056164313	-0.534616849971416	-0.474213130920015
PF_LEGUMES	-0.0074450764948695	-0.035414388183086	-0.0195988240688351	0.0269224095805938	-0.134164892590067	0.253506884772703	-0.3230376054496	-0.294751952664312	-0.271375198195616	0.0775701057670382	0.047036807843958	-0.385398117654057	0.304500683938802	0.264870589726937	-0.137739688253992	-0.133847823314105	-0.195937897282053	0.0104537239069722	-0.00169325807371276	-0.246876016810203	-0.0861716580140753	-0.0200784818849072	0.293552891727549	-0.0680984787028983	0.186852978525466	-0.226984809380416	-0.00164382802799239	0.0968404253591894	-0.0022935165602016	-8.11180534482237e-17	1.64224532489541e-16
G_WHOLE	-0.0323501550725104	-0.0680519922351443	0.323705423952252	0.110243691657059	-0.288601650781182	-0.185086222172978	-0.191647811113566	-0.0899310312875544	-0.0102579847563391	0.000101368486414576	0.0367573578216591	0.180274429062393	-0.0270028540876238	-0.268457222307561	-0.230733178476977	0.325034841724233	0.182193421623939	-0.282470626840372	-0.218696478557521	0.0666584620533237	-0.0875054075444759	-0.066129209875841	0.0990806881152305	-0.40984725695994	0.285718401957045	-0.0403516201968711	0.0989058632887776	0.0314553946938133	0.0163535489310385	9.63072105222005e-17	1.03177102700865e-16
G_TOTAL	-0.304783436456939	-0.139306471835028	0.0743977232354285	-0.0614789303873556	-0.0833760141137739	0.221126965246628	-0.104690892432118	-0.224378821067309	-0.162454577486059	-0.0127447058672437	-0.145750801077053	0.0760874855152637	-0.0269961716231984	-0.0768199485162574	0.269950935481676	0.0103516117300747	0.134660328010721	-0.0961261301405203	-0.273707345522261	0.0968534156396604	0.0230805242658521	-0.528219045976106	-0.0549403364842064	0.250244942429818	-0.346917281293449	-0.126312933588662	0.186527208989032	0.00794828763024938	-0.0036005330317499	1.02367984151098e-16	2.41235555544755e-17
PF_MEAT	-0.0970574250796657	-0.00432175945718596	-0.091830963992898	0.0631639138225023	-0.301188761905875	0.0870525976444604	0.0249216730259517	0.0794907285672449	0.0178189813250412	0.499401221075915	-0.3378484426902	0.246743368169202	-0.175960677191239	0.387444123321281	0.139702078354884	-0.092910633815646	0.0124854061543096	-0.121701290001405	-0.164314762192109	-0.0702217953796773	0.0483842624568002	0.24153588173159	0.0511810233570295	-0.184385575417853	-0.100452417469262	0.0824868888742618	-0.0790367257736768	0.0456302690499153	0.0168904520905731	-0.174603718495173	0.196844169612271
PF_CUREDMEAT	-0.150040578827845	-0.128485760386702	-0.143900086155054	-0.250105367875979	0.183107223513561	-0.221473287521624	0.129880125245144	-0.0883806502226119	0.127567904103393	-0.00575720190585397	0.239228294918082	-0.0131838057837531	-0.172642291204284	0.242134905360839	-0.155349767821928	0.235725226033687	-0.425680038213068	-0.243971153255139	-0.0944370866043742	0.186954976439111	-0.0612904979056088	-0.143760738349721	0.312293904207889	-0.0457507354628835	-0.153797930490094	-0.0979810624316587	-0.109598080738322	-0.199229362341986	0.0111273159938946	-0.123954808147677	0.139743766567906
PF_ORGAN	0.0046475278820893	-0.00157894192713337	-0.0432475992275427	-0.0651489217893472	0.271028712540528	-0.200116096068226	-0.242217041132997	-0.125414417545291	0.223337254214133	0.20261352043895	0.206575536624158	0.407712297620287	0.268902362478402	0.000344654048311269	0.131980974729406	-0.368433509796392	0.169798153078126	0.148603652524375	-0.159329239253818	0.0278220498090913	-0.401660798130385	-0.0446964231423048	0.153305964829991	0.0478563872721568	0.104266165579899	0.0126273846310776	-0.0403596036140504	-0.0377375794948432	0.000150612028848574	-0.0128422658732642	0.0144780717360984
PF_POULT	-0.120888339974704	0.170586116703623	-0.13142806813697	-0.126232285512302	0.0087401451486721	-0.150065774936138	0.14913018559655	0.00775605935172176	0.130007778954785	-0.274187793816295	-0.531122974970338	-0.0399366039988763	0.184619218884051	-0.346865219370993	-0.0973904565696329	-0.296177077822999	-0.0719522622416947	-0.186781579786568	-0.0081060619591221	-0.164522234130915	0.0185007964454795	-0.0304938333043629	0.240402739377213	-0.00287128485047597	0.0658131166513231	-0.0480751097508114	0.0582028763662606	-0.0133574602914375	-2.81854575225708e-05	-0.224373707823039	0.252953697549536
PF_SEAFD_HI	-0.103053225977085	0.299466554059855	0.199109268121293	-0.0637181015000872	-0.0920675519363461	0.0200822672031751	0.0740030553307877	-0.0789568003154534	-0.0620005832974953	0.11549335547663	-0.0892819544204183	0.347226035551706	0.192494025950772	0.0396050406838671	-0.102645434213358	0.361134941643374	0.0059384915141501	0.320454656736119	0.51982508806604	-0.10527260756606	-0.0451954200662899	-0.179449582401291	0.124890857709544	0.0418251493468706	-0.123184399299883	-0.148749047089474	-0.120273180530241	-0.0369463193293535	-0.000963716659286128	-0.0969756901179781	0.10932813664205
PF_SEAFD_LOW	-0.00882522574296442	0.242507404144038	0.211307677929046	-0.0716371237725129	-0.0341907865892173	0.175284145523904	0.161692675068712	0.0139280341679825	0.20295916177093	0.0839348168688872	0.447042626669689	-0.200356432669678	-0.297657939562203	-0.105294479227964	0.266104218731204	-0.141184105754383	0.210634679092168	-0.145555348375419	0.0630260131005557	-0.326577447475183	0.0362341420488055	-0.13021967012189	0.0472308273915874	-0.0459416109085413	0.108498131366799	-0.149034132199381	-0.0686969727457408	0.00110307461453016	0.00808853128297943	-0.226862691867869	0.255759720248853
PF_TOTAL	-0.293894329296544	0.345158260934423	0.111494244868465	-0.190987716267373	-0.0849562384673238	-0.010808098737213	0.233935155950388	-0.0587628433170626	0.0968167671403409	0.0629556896438339	-0.00668698305545356	0.0657804941156145	-0.0371634642234375	0.0752986861353849	0.0227027400562044	-0.16007233541762	-0.0763630534307537	-0.229861710513756	0.0316478390340784	-0.0958638215237598	-0.0334431409808135	0.0743585460026209	0.129106431145894	-0.0508090314089056	-0.00767752012393714	-0.0263551843555586	0.0839406740322396	0.038903253432319	0.00618916491329753	0.480839418952757	-0.542087172921341
