Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
F_CITMLB	-0.195078186141193	0.0263411625004807	-0.177258570859397	0.330109363322112	-0.210154425190562	0.0835860763646445	-0.0825104822153333	-0.175958950818511	0.0779530758178642	0.118186889955455	-0.121745596008956	-0.184885444373862	0.22221632160407	-0.017148043289511	-0.172579312604237	-0.045026017207314	-0.15039304544791	0.363670116918451	0.178024396670751	0.205517880918687	-0.256266944846504	-0.021909684122199	-0.353697286639177	0.177766183103376	0.105115984218408	0.24611209772489	-0.238931587170124	-0.0115059454981944	0.0300225620099557	2.48464014419202e-16	0
F_TOTAL	-0.18058537779143	0.122393953526907	-0.179244998475338	0.408630776871743	-0.175480443709282	0.00771306776461513	0.109387329756671	0.0386746065104348	0.14303227269175	-0.0450549753869839	0.0227517245938508	0.199826375037383	0.222507379854808	-0.0168819171054998	-0.0620737329589857	-0.0652454121815945	-0.0488012581186323	0.0373589029300727	0.191333003722572	-0.0743247993401714	0.311643952347858	-0.139469810650488	0.239903522659583	0.140504094595156	0.0596934318890509	-0.113171849415653	0.574485183943909	0.0442958902924349	0.00060746362329232	-1.61075584068385e-16	-2.86351946211163e-17
F_JUICE	-0.0580665013916436	0.0791854122747854	0.0418935755003061	0.251602731866916	-0.041095763531126	-0.170153931340269	0.239015223518177	0.236793330362799	-0.0511310720810318	-0.0826079646949533	0.179040233341059	0.398649295419885	0.273930751930174	0.374661045497895	0.304148930482239	0.199096961806446	0.120566107671076	-0.00350738607953523	-0.113662515585732	0.202802084626992	0.0547885776749823	0.245896621149777	-0.150074672443715	-0.0572270646660114	-0.0956738055439241	0.0843485119870943	-0.243205282179616	-0.0113416193754939	-0.00904968617399458	-1.22963628707875e-16	7.05140978947131e-17
V_DRKGR	-0.155137598976237	-0.00993372021366467	-0.0276936934447364	0.289166892563265	0.333916609643824	0.223140264314957	-0.268889646391377	-0.186056925775351	-0.166539242174411	0.121476890804173	-0.134407158436543	0.09753703546794	0.0425206161972415	0.000279645822806185	0.0577778027710528	0.182221367916755	0.114022243978033	0.123440432938538	-0.0509072515141721	0.120378069525992	-0.148835483378335	0.0356631381390369	0.441395393193404	0.0207421321815594	-0.0972425707950253	-0.350219585051235	-0.173655772050535	-0.212805086227127	-0.020518029559219	-0.192692901793587	-0.0755515543571489
V_REDOR_TOTAL	-0.34327093887683	0.0161252013901804	-0.0502038589417598	-0.292398544620719	-0.0281766286933697	0.0243063679689087	-0.138684172899352	0.10944447814761	0.0297674900533683	0.0875958236521691	-0.0920265607951332	0.120254543474554	0.0847083455676779	-0.138323691064761	0.218724682612171	0.046755442200904	-0.0152595375809662	-0.226637097030294	-0.0854593996400758	-0.059449596539378	-0.0827565342524335	0.246883156552425	-0.179041116825808	0.529547778052903	0.263070568600782	-0.167596033239572	0.0542440680611415	0.183222393489383	0.00235423779004867	-0.258244861902648	-0.101253344258587
V_REDOR_OTHER	-0.333067494004191	0.156170218491783	-0.0282482751527362	-0.187587407889891	-0.058989824523925	0.173984996828656	0.0337685638100836	-0.0136474055955272	0.0719823323327436	0.0473351947172428	-0.17189003263096	-0.0238736643342743	0.00984091056366348	-0.0173915065139266	0.307975105838978	0.0986353138029512	-0.343783309175826	-0.118799959603202	0.101198588621357	-0.118434326568715	0.0599729336503877	-0.0103206937696194	0.28581927527178	-0.0603164638683579	-0.34877469997316	0.508448253562208	-0.060556687398663	-0.147188840147374	-0.000568421902615361	-2.3956094731855e-16	1.26764913930152e-16
V_STARCHY_TOTAL	-0.200425689781869	0.081995381001185	0.290391283522965	-0.0543989375922263	0.101077319746828	0.135656769837126	0.376562136916347	-0.0918799912227042	0.104359196529824	-0.20158491086427	-0.0510831242726592	-0.0776129717058364	-0.147045515542727	0.238548643690779	-0.191260090222132	-0.217232189920651	0.122359864251001	0.0700630429293877	-0.210788496158348	0.120505742364153	0.174964611099627	-0.182892735717859	0.0200998928758725	0.158643647226488	0.189794574176332	0.130892859380687	-0.0506084700306239	-0.259324545856951	0.00858595755643943	-0.387224655547156	-0.151824090766652
V_STARCHY_OTHER	-0.29517395660041	0.144074925585284	0.107305772653581	-0.145929330484137	0.00199437391844133	0.135213460529919	0.278920572407792	-0.202468540504911	-0.0444515843750677	-0.0478207699184212	-0.0218311188367497	0.0416855222153689	-0.14252047534913	-0.175415397842528	0.143709205981173	0.166783542235286	-0.191990591103119	0.359495928223432	0.0228068993787598	0.119308061536729	0.118157325984928	0.0311313067738076	-0.176401727631074	-0.391163260848597	0.0279929793112308	-0.330805048133203	0.0371826228456054	0.350714440284965	-0.0411291591296543	-4.61946866941557e-17	1.21236284706411e-16
V_OTHER	-0.341549644969818	0.0604963112879655	-0.00628021042193128	-0.0798370801145303	-0.00578487807682222	-0.202831726146626	-0.262129653683559	0.234531061634018	-0.0845866396288072	0.0667409862690951	0.0626762239338051	0.065130311372623	0.0352015048859816	-0.0310226574462648	-0.106977818487184	-0.124903519715917	0.257787383069526	-0.144086900656435	0.271931792557502	0.101983301911627	-0.174453958863552	-0.189952199826639	-0.151594792182386	-0.479957696301683	-0.0342158963188191	0.0663608296898275	0.135317584606913	-0.0664349104818199	0.0599190596321796	-0.343391382200173	-0.134637822341083
V_TOTAL	-0.44546677334868	0.0778475211456609	0.130737554123364	-0.0970275590297153	0.133908631986139	0.0456976407979069	-0.0452329015761816	0.0531105841858199	-0.0185321638472031	-0.0129495103649902	-0.0681095508992794	0.0599210914465613	-0.0210098591239165	0.0654499188308193	-0.0613659762821526	-0.113444712730038	0.218775082490284	-0.0811379522532868	-0.0285985976375284	0.127237910700424	-0.0599850781401146	-0.0929773229253667	-0.00775404871926823	0.0531075664615078	0.157674944728779	-0.0530019884292916	0.0105399521431547	-0.166170304155348	0.0292129806433795	0.703614416262811	0.275875044290409
