"Axis"	"Eigen"
1	0.0772274573703113
2	0.0450967966084124
3	0.0282181218849171
4	0.0255374988074663
5	0.0232857848393798
6	0.0203085760318231
7	0.0198167342413035
8	0.0193452855668834
9	0.0182736489472107
10	0.0171212774872798
11	0.0168678469790025
12	0.0161721709010398
13	0.015614992011841
14	0.0155388963983587
15	0.0145938688040347
16	0.0145370973026233
17	0.0140815164895523
18	0.0132913652319351
19	0.0130945984323224
20	0.0126238377713964
21	0.012123941493686
22	0.0120084403173094
23	0.0115807037593773
24	0.0111029901826783
25	0.0109803476527515
26	0.0107423957142928
27	0.0105639438776896
28	0.0103155230651796
29	0.00986381840017235
30	0.00981851521094665
31	0.00949021461846389
32	0.00925387831174383
33	0.00918856060371696
34	0.00899448043773046
35	0.00893515072555323
36	0.00878769474007217
37	0.00863565865186612
38	0.00851487069730269
39	0.00832350001211383
40	0.00822487414960078
41	0.00803678351407564
42	0.00779453906202714
43	0.00775997380056842
44	0.00745148646786006
45	0.0073001743936372
46	0.00728032299244729
47	0.00716012769321125
48	0.00705570869192008
49	0.00695089240030303
50	0.0068675030514399
51	0.00671986572591269
52	0.00653156346520971
53	0.00643554266076385
54	0.00622176753252596
55	0.00619518300674853
56	0.00615063883223915
57	0.00606081799146876
58	0.00594447516363504
59	0.00576523241471069
60	0.00567399666716581
61	0.00562375346440662
62	0.00550242724888996
63	0.00540068584308815
64	0.00530692015171533
65	0.00522570274047029
66	0.00514744868956548
67	0.00503129457440937
68	0.0049522781215091
69	0.00491379614953715
70	0.00480627289471211
71	0.00475541149077155
72	0.00469351161993185
73	0.0045751527638088
74	0.0045062355793525
75	0.00442676102828184
76	0.00437272868914858
77	0.00424103977863586
78	0.00420251032059591
79	0.00418254910291754
80	0.00405079928176735
81	0.00401664080335178
82	0.00397249026687391
83	0.00393979373150481
84	0.00377594764415938
85	0.00373952258801644
86	0.00371081992609595
87	0.00359728054074356
88	0.00355302782337257
89	0.00349657992849755
90	0.00345748145664841
91	0.0033874913571405
92	0.00332780765233474
93	0.00328970982031831
94	0.0032119828288163
95	0.00316760085178146
96	0.00309347107751309
97	0.00298394087117136
98	0.00296877610577902
99	0.00290696843480952
100	0.00281260580099694
101	0.00279073391546267
102	0.00272840936261898
103	0.00270364717546135
104	0.00262557737904341
105	0.00254165201355088
106	0.0025083559747866
107	0.00244258717415011
108	0.00235841817241477
109	0.00230543738430929
110	0.0022377214331293
111	0.00218213682601923
112	0.00216415661979959
113	0.00212497641103216
114	0.0020499372768146
115	0.00203926321108321
116	0.00192185135843412
117	0.00185229022241039
118	0.0018186748920073
119	0.00176428694037157
120	0.00173245887417431
121	0.00167714200627752
122	0.00158494267524902
123	0.00154493527952787
124	0.00146963974430718
125	0.00144471424110065
126	0.00140489640589965
127	0.00134102057565831
128	0.0013105404577631
129	0.00124501342491012
130	0.00121742963260708
131	0.00113912713051524
132	0.00109382228941969
133	0.00104869154127772
134	0.000998804298900521
135	0.000947780422202777
136	0.0008333764246842
137	0.000781240688220167
138	0.000762145393206186
139	0.000743547450043131
140	0.000648662998027275
141	0.000626473584818322
142	0.000558887693914639
143	0.000542629391673763
144	0.000463302197810629
145	0.000393853423530435
146	0.000326189779981015
147	0.000280453240589872
148	0.000224802460351119
149	0.000183326399354608
150	0.000153036634287324
151	0
152	-3.42680812926412e-05
153	-6.46917821134926e-05
154	-0.000125404943110396
155	-0.000212590550948973
156	-0.000325990074288696
157	-0.000438401151886038
158	-0.000459645346978475
159	-0.000555689526568272
160	-0.000718333299937945
161	-0.000855889536290806
162	-0.000925711017265313
163	-0.00118829546093832
164	-0.00127401471150712
165	-0.00248476432070869
