"Axis"	"Eigen"
1	0.0329020514257164
2	0.0266323956467432
3	0.0261424555031211
4	0.0228473146186589
5	0.0214267113473898
6	0.01969224822248
7	0.0180703437318338
8	0.0179961685287442
9	0.0176104783574031
10	0.0167794610149083
11	0.0154813378165779
12	0.0152522113945001
13	0.015004490779637
14	0.0148297861077562
15	0.0144261422684371
16	0.0141457110195612
17	0.0133944716360715
18	0.0131132725341611
19	0.0130284380402337
20	0.0125292420342276
21	0.0124143975086092
22	0.0121324855911012
23	0.0117599527946848
24	0.0116100657266953
25	0.0114680955278397
26	0.0108952763260512
27	0.0106315945230765
28	0.010501101728199
29	0.0103603715396303
30	0.0102921306148719
31	0.0100934362007908
32	0.009791762776205
33	0.0097220547778722
34	0.00945916586553114
35	0.00933231671923651
36	0.0092406876265161
37	0.00902033505998902
38	0.00882944211931765
39	0.00859369178539607
40	0.00850274589354273
41	0.00846519133503913
42	0.00835795865767438
43	0.00815023014206657
44	0.00803934414669612
45	0.00775330087330159
46	0.00769414123619265
47	0.00750222468391894
48	0.00737154800400493
49	0.00723144295907339
50	0.00716530682270593
51	0.00710057684025724
52	0.00702800377007223
53	0.00682784037240966
54	0.00674728059082327
55	0.00664114313485006
56	0.00644827029970585
57	0.00643686127841952
58	0.00632387370470682
59	0.00620374222522609
60	0.00617130344000424
61	0.00608136752882705
62	0.00606066086308768
63	0.00594446597856846
64	0.00585134343157772
65	0.00581458858346626
66	0.00563544325446799
67	0.00560909878361153
68	0.00553424309341206
69	0.00545863395980722
70	0.00535579651524657
71	0.00528388192602911
72	0.00524547138601827
73	0.00518679801410108
74	0.00510924787510376
75	0.00501669505322706
76	0.00497823110729359
77	0.00492366314255227
78	0.0048151550874903
79	0.00480783588464116
80	0.00471441638214703
81	0.00464929945782746
82	0.00453460900728689
83	0.00446258024763815
84	0.00443354741283575
85	0.00437920072577546
86	0.00433376583829122
87	0.00433018787836282
88	0.00426867406191604
89	0.00413601251472434
90	0.00410480547394104
91	0.0040489518226403
92	0.00399880789410846
93	0.0039590545572874
94	0.00391879695733151
95	0.00384528713299326
96	0.00380699613895202
97	0.00373297962678523
98	0.00370191761492417
99	0.00369211462060768
100	0.00357500939928537
101	0.0035303367853559
102	0.00350579473360791
103	0.00344195584377939
104	0.00337586628616924
105	0.00328052207331974
106	0.00326776395661275
107	0.00319003158870088
108	0.00311276386903871
109	0.00307255269554492
110	0.00305490541490872
111	0.00299582412951397
112	0.00293761685695183
113	0.00288686191921339
114	0.00286657421294912
115	0.00281473993003139
116	0.00276240541211948
117	0.00273164075819917
118	0.00269722615186189
119	0.00259640187613556
120	0.00256279035741486
121	0.00254245925995655
122	0.00250875653781606
123	0.00246757521644574
124	0.00239004753558875
125	0.00232992663542024
126	0.00224678353833782
127	0.00223150253098199
128	0.00213591147780316
129	0.00207249869967404
130	0.00202522806619587
131	0.00199163151533335
132	0.00196501084841789
133	0.00189002578913527
134	0.00187250177316032
135	0.00182556639608918
136	0.00172027657414773
137	0.00171480962050703
138	0.00162942180466476
139	0.00148536147978607
140	0.00131506636445122
