"Sample"	"X83908"	"X88327"	"X90330"	"X90480"	"X92895"	"X83954"	"X84089"	"X84111"	"X84299"	"X84694"	"X85253"	"X85635"	"X85804"	"X86715"	"X86737"	"X86740"	"X86887"	"X86928"	"X87231"	"X87494"	"X87663"	"X87693"	"X88188"	"X88859"	"X89397"	"X90938"	"X91353"	"X91468"	"X92157"	"X92459"	"X92797"	"X92959"	"X84218"	"X84842"	"X85257"	"X86185"	"X86343"	"X86809"	"X88417"	"X88584"	"X89099"	"X89201"	"X91027"	"X91217"	"X91743"	"X92967"	"X93036"	"X93310"	"X93469"	"X86624"	"X89271"	"X90299"	"X90455"	"X84832"	"X86098"	"X86208"	"X89648"	"X90680"	"X86052"	"X91391"	"X89130"	"X91970"	"X89582"	"X86231"	"X87897"	"X92437"	"X88660"	"X92312"	"X84751"	"X89550"	"X87428"	"X85815"	"X86182"	"X84503"	"X86886"	"X89181"	"X84831"	"X90436"	"X84119"	"X84940"	"X88864"	"X86820"	"X88885"	"X84717"	"X85577"	"X86932"	"X91495"	"X91564"	"X89751"	"X90110"	"X85801"	"X87587"	"X89003"	"X91704"	"X92156"	"X85049"	"X87903"	"X88731"	"X88640"	"X88877"	"X92850"	"X87490"	"X89841"	"X87573"	"X87762"	"X92076"	"X92472"	"X92789"	"X86777"	"X86980"	"X84376"	"X85836"	"X93454"	"X92356"	"X91859"	"X83733"	"X83898"	"X84019"	"X89524"	"X87248"	"X88634"	"X88233"	"X87496"	"X91341"
"X83908"	0	0.927710843373494	0.91566265060241	0.91304347826087	0.909090909090909	0.925925925925926	0.954022988505747	0.950819672131147	0.89247311827957	0.894736842105263	0.936842105263158	0.944444444444444	0.971014492753623	0.885245901639344	0.91025641025641	0.977011494252874	0.961538461538462	0.955555555555556	0.973684210526316	0.969230769230769	0.947368421052632	0.864864864864865	0.961538461538462	0.925925925925926	0.96	0.966101694915254	0.956521739130435	0.938271604938272	0.938461538461538	0.969230769230769	0.963414634146341	0.916666666666667	0.909090909090909	0.971428571428571	0.876712328767123	0.884057971014493	0.923076923076923	0.966292134831461	0.967741935483871	0.963855421686747	0.930555555555556	0.8125	0.888888888888889	0.943181818181818	0.941176470588235	0.955223880597015	0.876712328767123	0.888888888888889	0.939024390243902	0.957446808510638	0.987654320987654	0.96551724137931	0.959459459459459	0.964705882352941	0.961038961038961	0.957894736842105	0.930555555555556	0.976744186046512	0.935483870967742	0.893333333333333	0.98780487804878	0.96078431372549	0.926315789473684	0.944444444444444	0.948717948717949	0.901408450704225	0.975903614457831	0.962025316455696	0.956521739130435	0.943181818181818	0.952380952380952	0.955555555555556	0.966292134831461	0.972972972972973	0.96875	0.92	0.911392405063291	0.986486486486487	0.973684210526316	0.924050632911392	0.931506849315068	0.923076923076923	0.91304347826087	0.815789473684211	0.91566265060241	0.966666666666667	0.962962962962963	0.935483870967742	0.949367088607595	0.861111111111111	0.922330097087379	0.934210526315789	0.871794871794872	0.971014492753623	0.940298507462687	0.91588785046729	0.986486486486487	0.961038961038961	0.972222222222222	0.939393939393939	0.876543209876543	0.97752808988764	0.961038961038961	0.972972972972973	1	0.970588235294118	0.932432432432432	0.984126984126984	0.95	0.95	0.96	0.941176470588235	0.870967741935484	0.968253968253968	0.955223880597015	0.950819672131147	0.915492957746479	0.984848484848485	0.9375	1	0.968253968253968	0.984375	0.962264150943396	0.98
"X88327"	0.927710843373494	0	0.922222222222222	0.906666666666667	0.946666666666667	0.957627118644068	0.923076923076923	0.971014492753623	0.910891089108911	0.965909090909091	0.951456310679612	0.935897435897436	0.973684210526316	0.958333333333333	0.85	0.896551724137931	0.926829268292683	0.947916666666667	0.9375	0.972222222222222	0.971153846153846	0.941860465116279	0.983333333333333	0.978260869565217	0.963414634146341	0.96969696969697	0.987179487179487	0.918604651162791	0.944444444444444	0.986301369863014	0.917647058823529	0.957446808510638	0.960526315789474	0.974025974025974	0.927710843373494	0.95	0.959459459459459	0.979381443298969	0.98019801980198	0.931034482758621	0.936708860759494	0.935897435897436	0.939024390243902	0.958333333333333	0.956989247311828	0.973333333333333	0.965116279069767	0.964285714285714	0.931818181818182	0.917525773195876	0.988636363636364	0.945652173913043	0.975609756097561	0.932584269662921	0.988372093023256	0.980769230769231	0.95	0.978494623655914	0.957142857142857	0.91566265060241	0.977272727272727	0.923809523809524	0.931372549019608	0.935897435897436	0.927710843373494	0.91025641025641	0.977777777777778	0.952941176470588	0.960526315789474	0.98989898989899	0.967391304347826	0.913978494623656	0.979381443298969	0.9625	0.942028985507246	0.964705882352941	0.943181818181818	0.948717948717949	0.975903614457831	0.966292134831461	0.963414634146341	0.959459459459459	0.962025316455696	0.934065934065934	0.956989247311828	0.954545454545455	0.916666666666667	0.926470588235294	0.977272727272727	0.952941176470588	0.982758620689655	0.926829268292683	0.978494623655914	0.931506849315068	0.96	0.966386554621849	1	0.925925925925926	0.948051948051948	0.930555555555556	0.946236559139785	0.911111111111111	0.925925925925926	0.949367088607595	0.971428571428571	0.986842105263158	0.963855421686747	0.955882352941177	0.954022988505747	0.970588235294118	0.91025641025641	0.932432432432432	0.959459459459459	0.909090909090909	0.9	0.955882352941177	0.95	0.957746478873239	0.977777777777778	0.985294117647059	0.956521739130435	0.985915492957746	1	0.964285714285714
"X90330"	0.91566265060241	0.922222222222222	0	0.922077922077922	0.918918918918919	0.975206611570248	0.9	0.971428571428571	0.932692307692308	0.954545454545455	0.941747572815534	0.923076923076923	0.946666666666667	0.958904109589041	0.918604651162791	0.897727272727273	0.965116279069767	0.914893617021277	0.951219512195122	0.972602739726027	0.941176470588235	0.930232558139535	0.931034482758621	0.932584269662921	0.911392405063291	0.970149253731343	0.947368421052632	0.931818181818182	0.945205479452055	0.958333333333333	0.955056179775281	0.935483870967742	0.974358974358974	0.933333333333333	0.953488372093023	0.9375	0.931506849315068	0.936170212765957	0.96	0.955555555555556	0.924050632911392	0.923076923076923	0.857142857142857	0.936842105263158	0.934782608695652	0.96	0.91566265060241	0.976744186046512	0.932584269662921	0.907216494845361	0.977272727272727	0.957446808510638	0.9375	0.978723404255319	0.964705882352941	0.971153846153846	0.975903614457831	0.978723404255319	0.942857142857143	0.929411764705882	0.988888888888889	0.954128440366973	0.942307692307692	0.936708860759494	0.941176470588235	0.976190476190476	0.918604651162791	0.953488372093023	0.918918918918919	0.99	0.956521739130435	0.914893617021277	0.969072164948454	0.962962962962963	0.986301369863014	0.965116279069767	0.955555555555556	0.949367088607595	0.963855421686747	0.955056179775281	0.963855421686747	0.973684210526316	0.935897435897436	0.934782608695652	0.979166666666667	0.970588235294118	0.917647058823529	0.957746478873239	0.988888888888889	0.96551724137931	0.982905982905983	0.927710843373494	0.956521739130435	0.902777777777778	0.960526315789474	0.957983193277311	0.9625	0.952380952380952	0.948717948717949	1	0.946808510638298	0.957894736842105	0.939759036144578	0.894736842105263	0.986111111111111	0.931506849315068	0.964285714285714	0.941176470588235	0.942528735632184	0.985714285714286	0.897435897435897	0.947368421052632	0.945945945945946	0.893939393939394	0.96	0.971428571428571	0.896103896103896	0.91304347826087	0.955056179775281	0.923076923076923	0.926470588235294	1	1	0.982758620689655
"X90480"	0.91304347826087	0.906666666666667	0.922077922077922	0	0.934426229508197	0.931372549019608	0.95	0.982142857142857	0.909090909090909	0.945205479452055	0.967032967032967	0.904761904761905	0.984126984126984	0.948275862068966	0.901408450704225	0.906666666666667	0.942857142857143	0.925925925925926	0.955882352941177	0.96551724137931	0.931034482758621	0.945205479452055	0.955555555555556	0.974358974358974	0.971014492753623	0.981132075471698	0.968253968253968	0.887323943661972	0.931034482758621	0.96551724137931	0.945945945945946	0.95	0.934426229508197	0.968253968253968	0.897058823529412	0.939393939393939	0.875	0.950617283950617	0.977011494252874	0.946666666666667	0.888888888888889	0.904761904761905	0.942028985507246	0.976190476190476	0.9625	0.983870967741935	0.91304347826087	1	0.961038961038961	0.988888888888889	0.91304347826087	0.949367088607595	0.970588235294118	0.974683544303797	0.971830985915493	0.966292134831461	0.970588235294118	0.905405405405405	0.927272727272727	0.944444444444444	0.958904109589041	0.935483870967742	0.944444444444444	0.868852459016393	0.958333333333333	0.940298507462687	0.96	1	0.859649122807018	0.976190476190476	0.89041095890411	0.951807228915663	0.9375	0.904761904761905	0.964912280701754	0.957746478873239	0.960526315789474	0.985074626865672	0.971014492753623	0.96	0.955882352941177	0.932203389830508	0.9375	0.878378378378378	0.907894736842105	0.854166666666667	0.915492957746479	0.770833333333333	0.929577464788732	0.928571428571429	0.96	0.911764705882353	0.948051948051948	0.87719298245614	0.915254237288136	0.971698113207547	0.985074626865672	0.971830985915493	0.953125	0.967213114754098	0.95	0.962962962962963	0.942028985507246	0.970149253731343	0.964285714285714	0.967213114754098	0.971428571428571	0.963636363636364	0.930555555555556	1	0.955882352941177	0.934426229508197	0.967213114754098	0.945454545454545	0.95	0.963636363636364	0.970588235294118	1	0.973684210526316	0.9	0.964285714285714	1	0.978723404255319	1
"X92895"	0.909090909090909	0.946666666666667	0.918918918918919	0.934426229508197	0	0.96078431372549	0.92	0.941176470588235	0.943181818181818	0.942857142857143	0.916666666666667	0.9	0.890909090909091	0.862745098039216	0.943661971830986	0.960526315789474	0.924242424242424	0.95	0.953846153846154	0.924528301886792	0.953488372093023	0.927536231884058	0.926829268292683	0.959459459459459	0.903225806451613	0.914893617021277	0.912280701754386	0.958904109589041	0.907407407407407	0.944444444444444	0.91304347826087	0.905405405405405	0.949152542372881	0.966666666666667	0.956521739130435	0.953125	0.909090909090909	0.962025316455696	0.938271604938272	0.929577464788732	0.901639344262295	0.935483870967742	0.923076923076923	0.922077922077922	0.947368421052632	0.867924528301887	0.925373134328358	0.970588235294118	0.915492957746479	0.988505747126437	1	0.987341772151899	0.969230769230769	0.987012987012987	0.955223880597015	0.988636363636364	0.984848484848485	0.96	0.962962962962963	0.957142857142857	0.957142857142857	0.945054945054945	0.966292134831461	0.952380952380952	0.971428571428571	0.96969696969697	0.986486486486487	0.971428571428571	0.966666666666667	0.9625	0.96	0.975609756097561	0.975	0.984615384615385	0.962962962962963	0.971014492753623	0.972972972972973	0.984375	0.985074626865672	0.958333333333333	0.9375	0.909090909090909	0.951612903225806	0.947368421052632	0.961038961038961	0.980392156862745	0.957746478873239	0.962962962962963	0.971830985915493	0.971428571428571	0.97979797979798	0.924242424242424	0.96	0.983333333333333	0.948275862068966	0.990476190476191	0.984375	0.970588235294118	0.984126984126984	0.96551724137931	0.948051948051948	0.934210526315789	0.970588235294118	0.96875	1	0.96551724137931	0.954545454545455	0.981132075471698	0.942857142857143	0.980769230769231	0.96969696969697	0.966666666666667	0.96551724137931	1	0.96551724137931	0.941176470588235	0.969230769230769	0.982142857142857	0.958333333333333	1	0.962264150943396	0.92156862745098	1	0.948717948717949
"X83954"	0.925925925925926	0.957627118644068	0.975206611570248	0.931372549019608	0.96078431372549	0	0.931623931623932	0.934782608695652	0.877049180327869	0.886792452830189	0.937007874015748	0.942307692307692	0.96039603960396	0.903225806451613	0.88785046728972	0.939655172413793	0.915094339622642	0.967741935483871	0.981818181818182	0.936842105263158	0.94488188976378	0.876190476190476	0.976744186046512	0.87962962962963	0.943396226415094	0.932584269662921	0.970873786407767	0.909090909090909	0.91578947368421	0.947916666666667	0.927927927927928	0.949579831932773	0.907216494845361	0.96078431372549	0.862745098039216	0.911764705882353	0.96	0.958677685950413	0.951612903225806	0.928571428571429	0.900990099009901	0.877551020408163	0.963636363636364	0.941666666666667	0.957983193277311	0.938775510204082	0.925925925925926	0.924528301886792	0.929203539823009	0.96875	0.954954954954955	0.975206611570248	0.962616822429907	0.957264957264957	0.934579439252336	0.976923076923077	0.942857142857143	0.910714285714286	0.969072164948454	0.83	0.982608695652174	0.955223880597015	0.961832061068702	0.932038834951456	0.973451327433628	0.923076923076923	0.9375	0.982456140350877	0.929292929292929	0.941666666666667	0.900900900900901	0.959349593495935	0.913793103448276	0.942307692307692	0.969072164948454	0.973214285714286	0.938053097345133	0.981308411214953	0.953271028037383	0.965217391304348	0.943396226415094	0.980392156862745	0.920792079207921	0.872727272727273	0.851851851851852	0.945054945054945	0.927272727272727	0.901098901098901	0.89622641509434	0.816326530612245	0.909774436090226	0.935185185185185	0.890909090909091	0.980582524271845	0.95	0.920863309352518	0.920792079207921	0.954128440366973	0.981132075471698	0.990291262135922	0.91304347826087	0.931623931623932	0.934579439252336	0.942307692307692	0.979381443298969	0.927835051546392	0.981981981981982	0.957446808510638	0.907407407407407	0.989583333333333	0.972477064220184	0.980769230769231	0.869565217391304	0.979381443298969	0.97029702970297	0.946236559139785	0.990909090909091	0.958762886597938	0.974137931034483	1	0.96875	0.935483870967742	0.965116279069767	0.988095238095238
"X84089"	0.954022988505747	0.923076923076923	0.9	0.95	0.92	0.931623931623932	0	0.91044776119403	0.923076923076923	0.918604651162791	0.952380952380952	0.924050632911392	0.974358974358974	0.945205479452055	0.906976744186046	0.886363636363636	0.928571428571429	0.842696629213483	0.925925925925926	0.972972972972973	0.961904761904762	0.905882352941176	0.932203389830508	0.978723404255319	0.964285714285714	0.90625	0.826086956521739	0.79746835443038	0.945945945945946	0.944444444444444	0.943820224719101	0.958333333333333	0.961538461538462	0.961538461538462	0.941860465116279	0.938271604938272	0.917808219178082	0.936842105263158	0.980582524271845	0.956043956043956	0.963855421686747	0.924050632911392	0.914634146341463	0.948453608247423	0.96875	0.960526315789474	0.954022988505747	0.965116279069767	0.967741935483871	0.961165048543689	0.965909090909091	0.923913043478261	0.938271604938272	0.989583333333333	0.988636363636364	0.990654205607477	0.951219512195122	0.968085106382979	0.91304347826087	0.904761904761905	0.977777777777778	0.944954128440367	0.952830188679245	0.9375	0.965909090909091	0.964285714285714	0.931818181818182	0.929411764705882	0.9875	0.99009900990099	0.945652173913043	0.95959595959596	0.969387755102041	0.924050632911392	0.972602739726027	0.98876404494382	0.956043956043956	0.936708860759494	0.976470588235294	0.967032967032967	0.964285714285714	0.974025974025974	0.975609756097561	0.912087912087912	0.957894736842105	0.985714285714286	0.892857142857143	0.958333333333333	0.966292134831461	0.988888888888889	0.96551724137931	0.941176470588235	0.910112359550562	0.933333333333333	0.974358974358974	0.949579831932773	0.95	0.927710843373494	0.975308641975309	0.987179487179487	0.979591836734694	0.936170212765957	0.952941176470588	0.924050632911392	0.957746478873239	0.946666666666667	0.964705882352941	0.893939393939394	0.978021978021978	1	0.884615384615385	0.974683544303797	0.960526315789474	0.878787878787879	0.917808219178082	0.926470588235294	0.925	0.944444444444444	0.978260869565217	0.971014492753623	0.942857142857143	1	1	0.983050847457627
"X84111"	0.950819672131147	0.971014492753623	0.971428571428571	0.982142857142857	0.941176470588235	0.934782608695652	0.91044776119403	0	0.924050632911392	0.918032786885246	0.9625	0.945454545454545	0.96078431372549	0.888888888888889	0.953125	0.971014492753623	0.967213114754098	0.914285714285714	0.888888888888889	0.957446808510638	0.948717948717949	0.862068965517241	0.909090909090909	0.938461538461538	0.928571428571429	0.897435897435897	0.875	0.920634920634921	0.914893617021277	0.911111111111111	0.953125	0.957142857142857	0.92	0.981132075471698	0.933333333333333	0.886792452830189	0.96	0.972222222222222	0.96	0.985074626865672	0.964912280701754	0.925925925925926	0.949152542372881	0.943661971830986	0.971428571428571	0.96	0.933333333333333	0.949152542372881	0.985294117647059	0.974358974358974	0.950819672131147	0.985915492957746	0.927272727272727	0.939393939393939	1	0.9875	0.982758620689655	0.985507246376812	0.883720930232558	0.951612903225806	0.984375	0.988505747126437	0.975609756097561	0.982456140350877	0.967741935483871	0.928571428571429	0.969230769230769	0.933333333333333	0.981132075471698	0.986486486486487	0.985507246376812	0.986666666666667	0.957746478873239	0.945454545454545	0.978723404255319	0.983870967741935	0.96969696969697	1	0.928571428571429	0.953125	0.983050847457627	1	0.982142857142857	0.956521739130435	0.956521739130435	0.952380952380952	0.935483870967742	1	0.934426229508197	0.967741935483871	0.955056179775281	0.983870967741935	0.955223880597015	1	0.96078431372549	0.934782608695652	0.924528301886792	0.949152542372881	0.981818181818182	1	0.926470588235294	0.986111111111111	0.983606557377049	0.964285714285714	1	0.980392156862745	0.983333333333333	1	0.96875	0.953488372093023	0.947368421052632	0.981132075471698	0.96	1	1	1	0.982758620689655	1	0.984848484848485	1	1	1	1	1
"X84299"	0.89247311827957	0.910891089108911	0.932692307692308	0.909090909090909	0.943181818181818	0.877049180327869	0.923076923076923	0.924050632911392	0	0.882978723404255	0.920353982300885	0.897727272727273	0.942528735632184	0.914634146341463	0.918367346938776	0.865979381443299	0.926315789473684	0.935185185185185	0.935483870967742	0.952380952380952	0.90990990990991	0.820224719101124	0.943661971830986	0.897959183673469	0.935483870967742	0.906666666666667	0.905882352941176	0.885416666666667	0.846153846153846	0.886075949367089	0.884210526315789	0.933333333333333	0.879518072289157	0.955056179775281	0.868131868131868	0.759493670886076	0.929411764705882	0.913461538461538	0.916666666666667	0.885416666666667	0.911111111111111	0.831325301204819	0.925531914893617	0.934579439252336	0.932692307692308	0.965909090909091	0.802325581395349	0.811764705882353	0.941176470588235	0.974137931034483	0.927083333333333	0.932692307692308	0.968421052631579	0.971698113207547	0.936842105263158	0.974358974358974	0.957446808510638	0.971698113207547	0.951807228915663	0.869565217391304	0.980392156862745	0.959016393442623	0.930434782608696	0.897727272727273	0.938144329896907	0.9	0.94	0.948979591836735	0.955056179775281	0.982142857142857	0.931372549019608	0.944954128440367	0.963302752293578	0.956989247311828	0.976470588235294	0.948453608247423	0.861702127659574	0.989473684210526	0.946808510638298	0.95049504950495	0.946808510638298	0.965909090909091	0.933333333333333	0.900990099009901	0.878787878787879	0.9625	0.96039603960396	0.925925925925926	0.94949494949495	0.868131868131868	0.88135593220339	0.866666666666667	0.852631578947368	0.891566265060241	0.864197530864197	0.912698412698413	0.989473684210526	0.969387755102041	0.932584269662921	0.988888888888889	0.923076923076923	0.923076923076923	0.969387755102041	0.978947368421053	0.963855421686747	0.954022988505747	0.91304347826087	0.975903614457831	0.928571428571429	0.975609756097561	0.946808510638298	0.943181818181818	0.890243902439024	0.963855421686747	0.916666666666667	0.963414634146341	0.968421052631579	0.976744186046512	0.970873786407767	0.935897435897436	0.938271604938272	0.988235294117647	0.972972972972973	0.941176470588235
"X84694"	0.894736842105263	0.965909090909091	0.954545454545455	0.945205479452055	0.942857142857143	0.886792452830189	0.918604651162791	0.918032786885246	0.882978723404255	0	0.95959595959596	0.916666666666667	0.957142857142857	0.90625	0.925925925925926	0.965909090909091	0.9625	0.909090909090909	0.933333333333333	0.954545454545455	0.926315789473684	0.868421052631579	0.923076923076923	0.901234567901235	0.961038961038961	0.95	0.927536231884058	0.964705882352941	0.924242424242424	0.921875	0.964285714285714	0.918604651162791	0.861538461538462	0.957746478873239	0.88	0.871428571428571	0.925373134328358	0.931818181818182	0.979166666666667	0.952380952380952	0.932432432432432	0.852941176470588	0.948717948717949	0.978494623655914	0.966292134831461	0.985915492957746	0.88	0.876712328767123	0.965116279069767	0.979591836734694	0.987951807228916	0.966292134831461	0.946666666666667	0.953488372093023	0.975	0.936842105263158	0.960526315789474	0.953488372093023	0.9375	0.896103896103896	0.963414634146341	0.961538461538462	0.96	0.945945945945946	0.909090909090909	0.904109589041096	0.964285714285714	0.95	0.942857142857143	0.978494623655914	0.96551724137931	0.967741935483871	0.978260869565217	0.973684210526316	1	0.949367088607595	0.91358024691358	1	0.947368421052632	0.939024390243902	0.961038961038961	0.985915492957746	0.959459459459459	0.917647058823529	0.942528735632184	0.950819672131147	0.951219512195122	0.96969696969697	0.975903614457831	0.923076923076923	0.933962264150943	0.9625	0.91566265060241	0.957142857142857	0.942028985507246	0.927272727272727	0.973333333333333	0.987654320987654	0.958904109589041	0.985915492957746	0.931034482758621	0.978021978021978	0.962025316455696	0.945945945945946	1	0.956521739130435	0.961538461538462	0.96875	0.938271604938272	1	0.974358974358974	0.957746478873239	0.857142857142857	0.984848484848485	0.941176470588235	0.935483870967742	0.974025974025974	0.985294117647059	0.964285714285714	0.967741935483871	0.936507936507937	0.984848484848485	0.982142857142857	0.980769230769231
