"Axis"	"Eigen"
1	0.0422226275901049
2	0.0342984294948727
3	0.0296560244609098
4	0.025852015718915
5	0.0245715461774777
6	0.023189942121493
7	0.021656702135539
8	0.0207776482525035
9	0.0195225246546223
10	0.0192987331294776
11	0.0191839860273103
12	0.0183533731632337
13	0.0172161801249681
14	0.0167778160243628
15	0.0164635928300339
16	0.0158973810729227
17	0.0153424476134986
18	0.0147747784965356
19	0.0142594123751452
20	0.0139728463885105
21	0.0136661723023566
22	0.0135655609743711
23	0.0127739759735342
24	0.0126815301587065
25	0.0124338668595763
26	0.0121102350161158
27	0.0118078056173157
28	0.0116661689513585
29	0.0115366332340293
30	0.01134609406832
31	0.0110481405467893
32	0.0109236363600799
33	0.0102459248180245
34	0.0100951695452275
35	0.00980257697192027
36	0.0097305198538728
37	0.00931336493593937
38	0.0091152089170149
39	0.00909430574988485
40	0.00881538401212892
41	0.00872279811212189
42	0.0085611364611256
43	0.00850428524118682
44	0.00836431656595629
45	0.00806196790179643
46	0.00785191755935858
47	0.00780097802380584
48	0.00775753800178433
49	0.00767040547107938
50	0.00736753278071755
51	0.00732164019748755
52	0.00721056507092696
53	0.00708609761291736
54	0.00697581311091981
55	0.00693191005233051
56	0.00666018938238967
57	0.00658888953236177
58	0.00643407176783081
59	0.00614692881044393
60	0.00613445469843446
61	0.00606219321858335
62	0.00595450802736103
63	0.00589138273150567
64	0.0057084524030086
65	0.0056621254403991
66	0.00556189226986231
67	0.00543908809678621
68	0.0053780495459903
69	0.00520377785849027
70	0.00511546167536686
71	0.00508914518300517
72	0.00493694145880158
73	0.00488060734770018
74	0.00478617492204667
75	0.0046385242322804
76	0.00457944324788907
77	0.00446127408839561
78	0.00434789524764563
79	0.00424005965811508
80	0.0041695610317659
81	0.00411069181539608
82	0.00401549266645817
83	0.00395103484337819
84	0.0039262784454754
85	0.00378771321507115
86	0.00369201972209375
87	0.00351921216561716
88	0.00345538460412844
89	0.00336053688151042
90	0.003299780925083
91	0.00322583301968075
92	0.00317853951014267
93	0.00313628294814003
94	0.00303675386812358
95	0.00287666644098878
96	0.00285904264422787
97	0.00279458280988817
98	0.00273192660487329
99	0.002638694854614
100	0.00249921663511489
101	0.00249121332148032
102	0.00239448643353951
103	0.00237733948830513
104	0.00227184714875758
105	0.00216526313303948
106	0.00214347338679614
107	0.00202571989343607
108	0.00189084448561241
109	0.0017992469921046
110	0.00179779723253234
111	0.00170849236962347
112	0.00166392981128497
113	0.00157509040216701
114	0.00154692113990869
115	0.00147810124760331
116	0.00138515801433991
117	0.00128570244831151
118	0.00116875994302442
119	0.00116285991827005
120	0.00111040552354501
121	0.000994177142751948
122	0.000868888421161835
123	0.000830788165912959
124	0.000759462731503136
125	0.000705637490295296
126	0.000658010502151951
127	0.000547525181118725
128	0.000436683614511197
129	0.000411674521591465
130	0.000339258023243172
131	0.000198238386768731
132	0.000140926510091096
133	0
134	-9.33118831255024e-06
135	-8.27794876370054e-05
136	-0.000289679850548944
137	-0.000435425127194936
138	-0.000542180917939034
139	-0.000700792385688256
140	-0.00168969544644626
