"Sample"	"X86515"	"X86817"	"X86875"	"X92954"	"X84108"	"X85684"	"X86335"	"X86558"	"X86657"	"X86674"	"X87186"	"X88173"	"X88303"	"X90481"	"X90511"	"X92135"	"X92283"	"X92513"	"X92876"	"X93109"	"X93326"	"X83755"	"X83834"	"X84309"	"X84443"	"X84575"	"X85456"	"X85681"	"X85685"	"X85900"	"X86480"	"X87583"	"X88002"	"X88021"	"X88054"	"X88191"	"X88203"	"X89803"	"X90021"	"X90995"	"X91166"	"X91220"	"X92168"	"X92286"	"X92340"	"X93355"	"X84109"	"X85054"	"X85648"	"X86318"	"X87985"	"X89352"	"X89371"	"X85928"	"X86546"	"X86732"	"X87123"	"X88764"	"X91950"	"X93143"	"X92544"	"X86573"	"X91302"	"X90367"	"X91461"	"X91578"	"X87175"	"X89320"	"X88438"	"X92185"	"X89173"	"X89184"	"X89649"	"X85057"	"X84609"	"X86542"	"X85332"	"X86500"	"X87256"	"X93565"	"X86581"	"X83789"	"X84424"	"X86565"	"X88355"	"X89319"	"X92170"	"X85571"	"X87417"	"X88719"	"X88838"	"X91733"	"X92535"	"X92989"	"X85120"	"X92883"	"X84226"	"X87198"	"X87832"	"X88320"	"X89103"	"X90088"	"X92831"	"X92019"	"X84752"	"X86982"	"X90046"	"X90849"	"X90941"	"X91099"	"X89822"	"X90355"	"X86451"	"X85109"	"X85598"	"X87114"	"X87710"	"X85918"	"X88253"	"X93463"	"X85215"	"X85491"	"X86178"	"X87228"	"X90694"	"X91343"	"X90057"	"X83894"	"X88544"	"X88125"	"X90824"	"X85735"	"X91004"	"X90171"	"X86505"	"X91747"	"X86806"	"X87064"	"X89650"	"X90594"	"X84315"
"X86515"	0	0.865546218487395	0.938271604938272	0.892857142857143	0.956989247311828	0.903846153846154	0.882352941176471	0.915492957746479	0.947368421052632	0.952941176470588	0.904255319148936	0.953488372093023	0.963636363636364	0.971698113207547	0.913461538461538	0.894736842105263	0.928571428571429	0.949367088607595	0.968085106382979	0.91025641025641	0.929292929292929	0.929824561403509	0.95049504950495	0.951456310679612	0.884615384615385	0.925925925925926	0.963414634146341	0.938775510204082	0.894308943089431	0.846153846153846	0.93	0.902654867256637	0.955752212389381	0.909090909090909	0.958762886597938	0.950413223140496	0.929292929292929	0.912280701754386	0.96551724137931	0.945054945054945	0.958333333333333	0.96969696969697	0.884615384615385	0.908045977011494	0.910714285714286	0.933333333333333	0.980769230769231	0.911764705882353	0.931372549019608	0.981651376146789	0.978260869565217	0.844036697247706	0.935483870967742	0.963636363636364	0.938271604938272	0.945652173913043	0.921052631578947	0.956989247311828	0.931372549019608	0.972477064220184	0.936507936507937	0.948275862068966	0.957627118644068	0.980392156862745	0.939759036144578	0.97	0.94	0.975609756097561	0.923076923076923	0.895348837209302	0.923664122137405	0.951612903225806	0.98019801980198	0.984848484848485	0.968503937007874	1	0.979591836734694	0.963855421686747	0.948717948717949	0.9	0.964601769911504	0.989690721649485	0.955752212389381	0.938271604938272	0.936842105263158	0.926829268292683	0.940594059405941	0.91566265060241	0.964285714285714	0.91578947368421	0.916666666666667	0.852272727272727	0.965909090909091	0.916666666666667	0.933962264150943	0.982142857142857	0.900900900900901	0.950980392156863	0.876288659793814	0.941747572815534	0.966666666666667	0.921348314606742	0.913978494623656	0.989010989010989	0.930232558139535	0.87378640776699	0.962962962962963	0.912087912087912	0.962962962962963	0.890756302521008	0.933333333333333	0.954022988505747	0.962962962962963	0.956521739130435	0.904255319148936	0.909090909090909	0.897727272727273	0.98019801980198	0.929577464788732	1	0.846153846153846	0.962962962962963	0.949367088607595	0.942528735632184	0.980952380952381	0.919540229885057	0.875	0.975	0.973333333333333	0.934782608695652	0.930232558139535	0.958904109589041	0.9625	0.98780487804878	0.966666666666667	0.922222222222222	0.924242424242424	0.901234567901235	0.946666666666667	0.988235294117647	0.963636363636364
"X86817"	0.865546218487395	0	0.883495145631068	0.891304347826087	0.932203389830508	0.846774193548387	0.892857142857143	0.884210526315789	0.933884297520661	0.927272727272727	0.871794871794872	0.927927927927928	0.908396946564885	0.954545454545455	0.881889763779528	0.854700854700855	0.938775510204082	0.933333333333333	0.958677685950413	0.934579439252336	0.911290322580645	0.913669064748201	0.937007874015748	0.921259842519685	0.935779816513762	0.925925925925926	0.893203883495146	0.91869918699187	0.89261744966443	0.855769230769231	0.929133858267717	0.883211678832117	0.972027972027972	0.87	0.925619834710744	0.96	0.928571428571429	0.899280575539568	0.965277777777778	0.922413793103448	0.884057971014493	0.952	0.964285714285714	0.912280701754386	0.897810218978102	0.924657534246575	0.9453125	0.852459016393443	0.85	0.970588235294118	0.871559633027523	0.923611111111111	0.896551724137931	0.9	0.935185185185185	0.884955752212389	0.932692307692308	0.894736842105263	0.878048780487805	0.915384615384615	0.934640522875817	0.913669064748201	0.993377483443709	0.882352941176471	0.943298969072165	0.944	0.928571428571429	0.993506493506494	0.923611111111111	0.882882882882883	0.903225806451613	0.925675675675676	0.960629921259842	0.956521739130435	0.947368421052632	1	0.915966386554622	0.954545454545455	0.900990099009901	0.947712418300654	0.964539007092199	0.950413223140496	0.972027972027972	0.991228070175439	0.951612903225806	0.974522292993631	0.953846153846154	0.946902654867257	0.954954954954955	0.926829268292683	0.896907216494845	0.916666666666667	0.96551724137931	0.888888888888889	0.948148148148148	0.932835820895522	0.913669064748201	0.920634920634921	0.954545454545455	0.930232558139535	0.920353982300885	0.949579831932773	0.96	0.983193277310924	0.956896551724138	0.956834532374101	0.915384615384615	1	0.953703703703704	0.881944444444444	0.947761194029851	0.947368421052632	0.923664122137405	0.912408759124088	0.944	0.962121212121212	0.992	0.984615384615385	0.980582524271845	0.972727272727273	0.97029702970297	0.972727272727273	0.943396226415094	0.991666666666667	0.953846153846154	0.939655172413793	0.927927927927928	0.952830188679245	0.96078431372549	0.967479674796748	0.93859649122807	0.939393939393939	0.990990990990991	0.981818181818182	0.948275862068966	0.923076923076923	0.947368421052632	0.982758620689655	0.971428571428571	0.982300884955752	0.971223021582734
"X86875"	0.938271604938272	0.883495145631068	0	0.96	0.915492957746479	0.931818181818182	0.943661971830986	0.903846153846154	0.933333333333333	0.970149253731343	0.975308641975309	0.939393939393939	0.943820224719101	0.94047619047619	0.943181818181818	0.924050632911392	0.962264150943396	0.95	0.959459459459459	0.951612903225806	0.951219512195122	0.9375	0.976190476190476	0.939759036144578	0.936507936507937	0.967741935483871	0.968253968253968	0.909090909090909	0.973451327433628	0.939393939393939	0.976470588235294	0.927835051546392	0.957446808510638	0.933333333333333	0.859154929577465	0.971153846153846	0.951219512195122	0.938775510204082	0.979591836734694	0.914285714285714	0.882978723404255	0.921052631578947	0.901639344262295	0.928571428571429	0.926315789473684	0.875	0.963855421686747	0.929411764705882	0.914634146341463	0.965909090909091	0.84375	0.96078431372549	0.917808219178082	0.894117647058824	0.935483870967742	0.884057971014493	0.892857142857143	0.9	0.8875	0.878048780487805	0.991150442477876	0.9375	0.948979591836735	0.923076923076923	0.973684210526316	1	0.963855421686747	0.96078431372549	1	0.943661971830986	0.974576271186441	0.962264150943396	0.893333333333333	0.906976744186046	0.932692307692308	0.979166666666667	0.987341772151899	0.984615384615385	0.983606557377049	0.990990990990991	0.989583333333333	0.96	0.989690721649485	0.984615384615385	0.9875	0.990990990990991	0.925925925925926	0.970588235294118	0.984848484848485	1	0.982456140350877	0.9875	1	1	0.989130434782609	0.967032967032967	0.96969696969697	0.988372093023256	0.988636363636364	0.952941176470588	0.986111111111111	0.972972972972973	1	1	0.985915492957746	0.978723404255319	0.930232558139535	0.974025974025974	0.933333333333333	0.962962962962963	1	0.940298507462687	1	0.958333333333333	0.98780487804878	1	0.986842105263158	0.935897435897436	1	0.87719298245614	1	0.984126984126984	0.967213114754098	0.985915492957746	0.951807228915663	0.957746478873239	0.939393939393939	0.912280701754386	0.924528301886792	0.96	0.971428571428571	0.981818181818182	1	0.983870967741935	1	0.959459459459459	1	0.985294117647059	0.982758620689655	1	0.919540229885057
"X92954"	0.892857142857143	0.891304347826087	0.96	0	0.944954128440367	0.935483870967742	0.933962264150943	0.932584269662921	0.982758620689655	0.940594059405941	0.93859649122807	0.961538461538462	0.960629921259842	0.975806451612903	0.926229508196721	0.911504424778761	0.918604651162791	0.958762886597938	0.963963963963964	0.95959595959596	0.912280701754386	0.947368421052632	0.912280701754386	0.95	0.917525773195876	0.94488188976378	0.95959595959596	0.957264957264957	0.923076923076923	0.909090909090909	0.903508771929825	0.864	0.912	0.959183673469388	0.974137931034483	0.956834532374101	0.921739130434783	0.873015873015873	0.938461538461538	0.944444444444444	0.971223021582734	0.947368421052632	0.95	0.923809523809524	0.931297709923664	0.918518518518519	0.949152542372881	0.837837837837838	0.923728813559322	0.942622950819672	0.972477064220184	0.933333333333333	0.916666666666667	0.96875	0.869565217391304	0.883495145631068	0.969072164948454	0.963963963963964	0.923728813559322	0.925619834710744	0.951724137931034	0.955223880597015	0.985611510791367	0.991735537190083	0.934065934065934	0.974576271186441	0.892857142857143	0.964028776978417	0.925373134328358	0.923809523809524	0.925675675675676	0.903703703703704	0.93859649122807	1	0.935714285714286	0.976470588235294	0.927272727272727	0.94949494949495	1	0.905109489051095	0.977272727272727	0.973451327433628	0.961832061068702	0.97029702970297	0.927927927927928	0.928571428571429	0.958333333333333	0.971428571428571	0.95	0.93859649122807	0.909090909090909	0.908256880733945	0.920792079207921	0.951923076923077	0.968503937007874	0.960629921259842	0.931297709923664	0.966942148760331	0.959016393442623	0.932773109243697	0.981651376146789	0.86	0.946902654867257	0.97196261682243	0.932038834951456	0.910569105691057	0.907563025210084	0.991379310344828	0.948453608247423	0.91304347826087	0.968253968253968	0.941747572815534	0.859649122807018	0.913385826771654	0.965811965811966	0.913793103448276	0.973214285714286	0.919642857142857	0.989247311827957	0.98	0.989130434782609	0.948453608247423	0.958762886597938	1	0.983739837398374	0.981818181818182	0.971428571428571	0.98989898989899	0.98936170212766	0.954954954954955	0.910891089108911	1	0.99	0.969387755102041	0.932692307692308	0.904761904761905	0.965116279069767	0.961165048543689	0.978947368421053	0.990291262135922	0.918032786885246
"X84108"	0.956989247311828	0.932203389830508	0.915492957746479	0.944954128440367	0	0.882978723404255	0.853333333333333	0.866666666666667	0.941860465116279	0.918918918918919	0.919540229885057	0.92	0.894736842105263	0.947368421052632	0.905263157894737	0.909090909090909	0.88135593220339	0.942857142857143	0.9	0.929577464788732	0.922222222222222	0.892156862745098	0.934065934065934	0.887640449438202	0.901408450704225	0.896907216494845	0.929577464788732	0.920454545454545	0.941666666666667	0.92	0.886363636363636	0.883495145631068	0.91	0.943661971830986	0.864197530864197	0.843137254901961	0.922222222222222	0.925233644859813	0.878787878787879	0.89873417721519	0.925925925925926	0.955056179775281	0.916666666666667	0.897435897435897	0.902912621359223	0.908256880733945	0.897727272727273	0.926315789473684	0.888888888888889	0.959183673469388	0.9375	0.964601769911504	0.91566265060241	0.928571428571429	0.945205479452055	0.91358024691358	0.971830985915493	0.939759036144578	0.936170212765957	0.91578947368421	0.966942148760331	0.953703703703704	0.963636363636364	0.944444444444444	0.901315789473684	0.978260869565217	0.934065934065934	0.982608695652174	0.982608695652174	0.938271604938272	0.952380952380952	0.919642857142857	0.906976744186046	0.905660377358491	0.939130434782609	0.96551724137931	0.965909090909091	0.959459459459459	0.986111111111111	0.957627118644068	0.961538461538462	0.927710843373494	0.951923076923077	0.945205479452055	0.917647058823529	0.975	0.957446808510638	0.961538461538462	0.945945945945946	0.894117647058824	0.938461538461538	0.942528735632184	0.975	0.962025316455696	0.96	0.917525773195876	0.933962264150943	0.923076923076923	0.876404494382023	0.888888888888889	0.909090909090909	0.89873417721519	0.917647058823529	0.922077922077922	0.922077922077922	0.93	0.948979591836735	0.96551724137931	0.91304347826087	0.939655172413793	0.98019801980198	0.876712328767123	0.948979591836735	0.952830188679245	0.989247311827957	0.96875	0.952380952380952	0.978260869565217	0.984848484848485	0.897058823529412	0.984615384615385	0.958333333333333	0.986301369863014	0.98780487804878	0.968421052631579	0.950617283950617	0.948051948051948	0.986111111111111	0.9375	0.965116279069767	0.9625	0.984848484848485	0.986301369863014	0.957746478873239	0.962962962962963	0.939759036144578	1	1	0.970588235294118	1	0.970588235294118
"X85684"	0.903846153846154	0.846774193548387	0.931818181818182	0.935483870967742	0.882978723404255	0	0.788235294117647	0.851351351351351	0.951456310679612	0.910112359550562	0.819148936170213	0.886363636363636	0.900900900900901	0.916666666666667	0.87962962962963	0.810526315789474	0.863013698630137	0.929411764705882	0.928571428571429	0.851851851851852	0.893203883495146	0.879310344827586	0.924528301886792	0.905660377358491	0.920454545454545	0.931034482758621	0.905882352941176	0.891089108910891	0.933333333333333	0.833333333333333	0.826530612244898	0.871794871794872	0.941176470588235	0.864197530864197	0.931372549019608	0.92	0.914285714285714	0.918032786885246	0.959349593495935	0.844444444444444	0.91869918699187	0.962264150943396	0.944444444444444	0.927083333333333	0.907563025210084	0.920634920634921	0.914285714285714	0.855769230769231	0.916666666666667	0.946902654867257	0.926315789473684	0.928	0.950980392156863	0.929824561403509	0.967032967032967	0.870967741935484	0.91566265060241	0.90625	0.964601769911504	0.928571428571429	0.971014492753623	0.916666666666667	0.917355371900826	0.912621359223301	0.898203592814371	0.981651376146789	0.903846153846154	0.961240310077519	0.936507936507937	0.927083333333333	0.896296296296296	0.913385826771654	0.900990099009901	0.943661971830986	0.9140625	0.973333333333333	0.8	0.880952380952381	0.928571428571429	0.939393939393939	0.940677966101695	0.95049504950495	0.983870967741935	0.931818181818182	0.951923076923077	0.962962962962963	0.904761904761905	0.86046511627907	0.967391304347826	0.972222222222222	0.837837837837838	0.920792079207921	0.96875	0.923913043478261	0.947826086956522	0.939130434782609	0.916666666666667	0.883495145631068	0.841584158415842	0.83	0.947916666666667	0.927835051546392	0.898989898989899	0.979591836734694	0.876404494382023	0.902654867256637	0.956521739130435	0.908163265306122	0.917647058823529	0.90625	0.983050847457627	0.923913043478261	0.947368421052632	0.967741935483871	0.942857142857143	0.973451327433628	0.95	0.952830188679245	0.975609756097561	0.942528735632184	0.907894736842105	0.904761904761905	0.903614457831325	0.91304347826087	0.915094339622642	0.866666666666667	0.833333333333333	0.96551724137931	0.963414634146341	0.907216494845361	0.901098901098901	0.962962962962963	0.988888888888889	0.97752808988764	0.925531914893617	0.90625	0.917808219178082	0.945652173913043	0.951807228915663	0.978260869565217	0.966101694915254
"X86335"	0.882352941176471	0.892857142857143	0.943661971830986	0.933962264150943	0.853333333333333	0.788235294117647	0	0.88135593220339	0.94047619047619	0.852941176470588	0.835443037974684	0.917808219178082	0.880434782608696	0.898876404494382	0.891304347826087	0.853658536585366	0.836363636363636	0.892307692307692	0.911392405063291	0.861538461538462	0.908045977011494	0.911764705882353	0.855421686746988	0.945652173913043	0.865671641791045	0.939393939393939	0.911764705882353	0.931034482758621	0.903508771929825	0.82089552238806	0.769230769230769	0.835051546391753	0.919191919191919	0.91044776119403	0.928571428571429	0.87378640776699	0.956043956043956	0.933962264150943	0.91	0.896103896103896	0.914285714285714	0.929411764705882	0.914285714285714	0.936708860759494	0.922330097087379	0.936363636363636	0.932584269662921	0.91304347826087	0.898876404494382	0.958333333333333	0.975308641975309	0.963963963963964	0.964705882352941	0.927083333333333	0.943661971830986	0.883116883116883	0.924242424242424	0.951219512195122	0.911111111111111	0.947916666666667	0.966386554621849	0.932692307692308	0.891089108910891	0.905882352941176	0.928571428571429	0.966292134831461	0.967391304347826	0.991228070175439	0.954545454545455	0.936708860759494	0.925619834710744	0.9375	0.904761904761905	0.981818181818182	0.956521739130435	0.945454545454545	0.858974358974359	0.928571428571429	0.955882352941177	0.929203539823009	0.918367346938776	0.964285714285714	0.980952380952381	0.943661971830986	0.977272727272727	0.929203539823009	0.857142857142857	0.887323943661972	0.914285714285714	0.954545454545455	0.824561403508772	0.928571428571429	0.961038961038961	0.904109589041096	0.959183673469388	0.97	0.922330097087379	0.921348314606742	0.86046511627907	0.946236559139785	0.962025316455696	0.924050632911392	0.783783783783784	0.961538461538462	0.89041095890411	0.95	0.947916666666667	0.952380952380952	0.91044776119403	0.947826086956522	0.969387755102041	0.961038961038961	0.969387755102041	0.981308411214953	0.966292134831461	0.956989247311828	0.963855421686747	0.954545454545455	0.916666666666667	0.942028985507246	0.896551724137931	0.926470588235294	0.971428571428571	0.961538461538462	0.921348314606742	0.878378378378378	0.887323943661972	0.985714285714286	0.918032786885246	0.89873417721519	0.92	0.916666666666667	0.985915492957746	0.909090909090909	0.935064935064935	0.911392405063291	0.928571428571429	0.931506849315068	0.903225806451613	0.943661971830986	0.98019801980198
"X86558"	0.915492957746479	0.884210526315789	0.903846153846154	0.932584269662921	0.866666666666667	0.851351351351351	0.88135593220339	0	0.890625	0.928571428571429	0.895522388059702	0.929824561403509	0.9375	0.933333333333333	0.909090909090909	0.848484848484849	0.82051282051282	0.875	0.920634920634921	0.88	0.930555555555556	0.931034482758621	0.9	0.902777777777778	0.905660377358491	0.964285714285714	0.901960784313726	0.897058823529412	0.940594059405941	0.929824561403509	0.916666666666667	0.895348837209302	0.965116279069767	0.9	0.892307692307692	0.968421052631579	0.959459459459459	0.920454545454545	0.954022988505747	0.844827586206897	0.921348314606742	0.957142857142857	0.925925925925926	0.952380952380952	0.892857142857143	0.935483870967742	0.973333333333333	0.906666666666667	0.904109589041096	0.975	0.916666666666667	0.989583333333333	0.939393939393939	0.975903614457831	0.963636363636364	0.866666666666667	0.94	0.920634920634921	0.974358974358974	0.935897435897436	0.990384615384615	0.943181818181818	0.989247311827957	0.928571428571429	0.957446808510638	0.986301369863014	0.945205479452055	0.978947368421053	0.978947368421053	0.918032786885246	0.953271028037383	0.936842105263158	0.942857142857143	0.914285714285714	0.959183673469388	1	0.985714285714286	0.924528301886792	1	0.97	0.988505747126437	0.938461538461538	0.952941176470588	0.982142857142857	0.985915492957746	0.990196078431373	0.96	1	0.982456140350877	0.957746478873239	0.934782608695652	0.956521739130435	0.949152542372881	0.949152542372881	0.987951807228916	0.950617283950617	0.978021978021978	0.973684210526316	0.961038961038961	0.933333333333333	1	0.953125	0.956521739130435	0.983870967741935	0.95	0.939024390243902	0.935897435897436	0.985507246376812	0.877551020408163	0.95959595959596	0.98780487804878	0.931034482758621	0.98780487804878	0.965909090909091	0.986301369863014	0.987179487179487	0.96969696969697	0.986301369863014	0.978260869565217	0.942307692307692	0.977777777777778	0.962264150943396	1	1	0.973684210526316	0.916666666666667	0.849056603773585	0.980769230769231	0.909090909090909	0.954545454545455	0.967213114754098	1	0.981132075471698	0.981132075471698	0.950819672131147	0.953846153846154	1	0.96551724137931	0.979591836734694	0.924528301886792	0.988095238095238
"X86657"	0.947368421052632	0.933884297520661	0.933333333333333	0.982758620689655	0.941860465116279	0.951456310679612	0.94047619047619	0.890625	0	0.949367088607595	0.922222222222222	0.95	0.92	0.938144329896907	0.940594059405941	0.935483870967742	0.938461538461538	0.930555555555556	0.941860465116279	0.932432432432432	0.888888888888889	0.945454545454545	0.947368421052632	0.948453608247423	0.948051948051948	0.829787234042553	0.960526315789474	0.946236559139785	0.951612903225806	0.95	0.958762886597938	0.897196261682243	0.953271028037383	0.945945945945946	0.932584269662921	0.929203539823009	0.947368421052632	0.886792452830189	0.963636363636364	0.96551724137931	0.965217391304348	0.933333333333333	0.961538461538462	0.94047619047619	0.945454545454545	0.900900900900901	0.936170212765957	0.95	0.98019801980198	0.95	0.939759036144578	0.938053097345133	0.978021978021978	0.961538461538462	0.987341772151899	0.97752808988764	0.972972972972973	0.941860465116279	0.95959595959596	0.94	0.857142857142857	0.954954954954955	0.973684210526316	0.968421052631579	0.975903614457831	0.934065934065934	1	0.974358974358974	0.983050847457627	0.965116279069767	0.977272727272727	0.966666666666667	0.968085106382979	0.983333333333333	0.949579831932773	0.95	0.989247311827957	0.974358974358974	0.958904109589041	0.958677685950413	0.952830188679245	1	0.981818181818182	0.987341772151899	0.967391304347826	0.983870967741935	0.969387755102041	0.962962962962963	0.948051948051948	0.978947368421053	0.971428571428571	0.944444444444444	0.963414634146341	0.9375	0.940594059405941	0.941176470588235	0.945454545454545	0.947916666666667	0.990196078431373	0.990196078431373	0.988372093023256	0.977272727272727	0.98936170212766	0.963855421686747	0.963855421686747	0.962264150943396	0.970873786407767	1	1	0.958677685950413	1	1	0.95049504950495	0.954128440366973	0.956989247311828	0.959183673469388	0.965909090909091	0.989583333333333	1	1	0.985294117647059	0.987012987012987	0.915492957746479	0.951219512195122	0.925531914893617	1	1	0.986666666666667	0.971014492753623	1	0.938271604938272	0.955223880597015	0.930555555555556	1	0.988372093023256	0.903614457831325	1	1	0.986111111111111	1	0.930693069306931
"X86674"	0.952941176470588	0.927272727272727	0.970149253731343	0.940594059405941	0.918918918918919	0.910112359550562	0.852941176470588	0.928571428571429	0.949367088607595	0	0.897435897435897	0.893939393939394	0.934065934065934	0.917647058823529	0.956521739130435	0.871794871794872	0.884615384615385	0.935483870967742	0.918918918918919	0.9375	0.873417721518987	0.970588235294118	0.901234567901235	0.916666666666667	0.923076923076923	0.946808510638298	0.920634920634921	0.939024390243902	0.9375	0.926470588235294	0.91566265060241	0.940594059405941	0.947916666666667	0.953125	0.962962962962963	0.932038834951456	0.965116279069767	0.940594059405941	0.948979591836735	0.960526315789474	0.92	0.9375	0.90625	0.931506849315068	0.95	0.952830188679245	0.94047619047619	0.943820224719101	0.942528735632184	0.919540229885057	0.959459459459459	0.971698113207547	0.987654320987654	0.934065934065934	0.938461538461538	0.961038961038961	0.984375	0.961038961038961	0.989010989010989	0.967391304347826	0.982608695652174	0.980582524271845	1	0.988372093023256	0.974193548387097	0.951219512195122	0.977011494252874	0.961904761904762	0.951923076923077	0.973684210526316	0.912280701754386	0.981981981981982	0.938271604938272	1	0.954128440366973	0.96	0.935897435897436	0.970149253731343	0.968253968253968	0.963963963963964	0.979591836734694	0.948051948051948	0.99	0.970149253731343	0.975609756097561	0.982300884955752	0.977272727272727	0.971830985915493	0.970588235294118	0.976190476190476	0.929824561403509	0.975609756097561	1	0.942857142857143	1	0.910112359550562	0.980582524271845	0.977272727272727	0.977777777777778	0.977777777777778	0.972972972972973	0.974025974025974	0.95	0.972602739726027	0.943661971830986	0.979381443298969	0.956043956043956	1	0.969230769230769	0.944954128440367	0.956043956043956	0.972222222222222	0.978494623655914	0.98019801980198	1	0.97752808988764	0.974358974358974	0.951219512195122	0.907407407407407	0.936507936507937	0.964285714285714	0.969230769230769	1	1	1	0.973333333333333	0.971830985915493	1	1	0.974683544303797	0.972602739726027	0.964912280701754	1	0.9	0.944444444444444	0.961038961038961	0.961538461538462	1	0.966666666666667	1	0.978947368421053
