Food	FFQ	correlation	pval	qval	Significance
Milk NFS	Axis.1	-0.0542508553731751	0.40576008593738	0.857438893190821	
Milk NFS	Axis.2	-0.0897806262492067	0.168317175362072	0.807489243790544	
Milk cows fluid whole	Axis.1	0.411139539684853	4.40854232415914e-11	5.89730706702769e-07	*
Milk cows fluid whole	Axis.2	0.414227838401004	3.05082951858844e-11	5.1013683087697e-07	*
Milk cows fluid 2 fat	Axis.1	0.376545380047752	2.12382816718167e-09	2.10447773276957e-05	*
Milk cows fluid 2 fat	Axis.2	0.404067797886609	1.00991561953935e-10	1.28663249929314e-06	*
Milk cows fluid 1 fat	Axis.1	-0.0593370449174078	0.363110454693744	0.843966227954745	
Milk cows fluid 1 fat	Axis.2	-0.164212353275261	0.0113458696406266	0.807489243790544	
Milk cows fluid skim or nonfat 0 5 or less butterfat	Axis.1	-0.235795061665029	0.000249662832454866	0.428171757660096	
Milk cows fluid skim or nonfat 0 5 or less butterfat	Axis.2	-0.296083510420257	3.50993562130396e-06	0.0167687174307797	*
Milk cows fluid lactose reduced 2 fat	Axis.1	0.0721771404433785	0.26841403304437	0.814183577461234	
Milk cows fluid lactose reduced 2 fat	Axis.2	-0.0166133730170791	0.799167270233404	0.966461073002936	
Milk cows fluid lactose reduced whole	Axis.1	0.0447185794863059	0.493257600022301	0.885738226122334	
Milk cows fluid lactose reduced whole	Axis.2	-0.052330252590358	0.422608344752514	0.862581814926245	
Buttermilk fluid 1 fat	Axis.1	0.102757586904703	0.114623427800764	0.807489243790544	
Buttermilk fluid 1 fat	Axis.2	0.0799225675925467	0.220255509706998	0.807489243790544	
Buttermilk fluid 2 fat	Axis.1	-0.00951459138006508	0.884154953129056	0.981186981888781	
Buttermilk fluid 2 fat	Axis.2	-0.0532817117283645	0.414211422927038	0.860048614988628	
Buttermilk fluid whole	Axis.1	-0.00951459138006508	0.884154953129056	0.981186981888781	
Buttermilk fluid whole	Axis.2	-0.0532817117283645	0.414211422927038	0.860048614988628	
Milk evaporated whole formerly NS as to dilution used in coffee or tea 	Axis.1	-0.0637362600533996	0.328562587217587	0.832767262535431	
Milk evaporated whole formerly NS as to dilution used in coffee or tea 	Axis.2	-0.0122877699518624	0.850739651296675	0.975856791380103	
Milk soy ready to drink not babys	Axis.1	-0.0704079762124816	0.280353078567033	0.816571381613464	
Milk soy ready to drink not babys	Axis.2	-0.0932429955246378	0.152433764046675	0.807489243790544	
Milk almond ready to drink	Axis.1	-0.0413624473720595	0.52629530245195	0.89812697236683	
Milk almond ready to drink	Axis.2	-0.0370097306255344	0.570755305761805	0.91047237577744	
Yogurt plain lowfat milk	Axis.1	0.0856313224205857	0.188939812565251	0.807489243790544	
Yogurt plain lowfat milk	Axis.2	0.0589904665564035	0.36592495538656	0.843966227954745	
Yogurt fruit variety NS as to type of milk	Axis.1	-0.0292611566530266	0.654020344462554	0.934492470403239	
Yogurt fruit variety NS as to type of milk	Axis.2	-0.0143830845846493	0.825664409788589	0.970646306531451	
Yogurt fruit variety lowfat milk	Axis.1	-0.148953390761756	0.0218022521968003	0.807489243790544	
Yogurt fruit variety lowfat milk	Axis.2	-0.0707929823977474	0.277724865741427	0.816571381613464	
Yogurt fruit variety nonfat milk	Axis.1	-0.136328485094775	0.0359531924472401	0.807489243790544	
Yogurt fruit variety nonfat milk	Axis.2	-0.180961289166764	0.00520217248826353	0.807489243790544	
Milk chocolate NFS	Axis.1	0.0751652719025142	0.249046678385109	0.808619583809881	
Milk chocolate NFS	Axis.2	0.0428156612102929	0.511853288720629	0.892375250815	
Milk chocolate reduced fat milk based 2 formerly lowfat 	Axis.1	-0.0570875482803905	0.381618080318315	0.84981897277667	
Milk chocolate reduced fat milk based 2 formerly lowfat 	Axis.2	-0.0922915363866313	0.15668103817335	0.807489243790544	
Chocolate syrup whole milk added	Axis.1	-0.0283679033777933	0.663927712569827	0.936793136620741	
Chocolate syrup whole milk added	Axis.2	-0.00860254109651492	0.895192572648707	0.983100978160207	
Carry out milk shake flavors other than chocolate	Axis.1	-0.0218835601741497	0.737510368552825	0.953878213631947	
Carry out milk shake flavors other than chocolate	Axis.2	0.0161748053461106	0.804360621498456	0.966461073002936	
Milk dry not reconstituted NS as to whole lowfat or nonfat	Axis.1	0.0266408558641822	0.683248130032527	0.94013559582023	
Milk dry not reconstituted NS as to whole lowfat or nonfat	Axis.2	-0.0266408558641822	0.683248130032527	0.94013559582023	
Cream light fluid	Axis.1	-0.070396323404219	0.280432886358034	0.816736130459039	
Cream light fluid	Axis.2	0.00244080035079689	0.970184385071726	0.995002297601801	
Cream half and half	Axis.1	-0.00599427983486366	0.926861956713801	0.988825783458699	
Cream half and half	Axis.2	-0.0455616010341137	0.485135852418997	0.884306797908203	
Cream half and half fat free	Axis.1	-0.0371069063822538	0.569743636319369	0.909552724619954	
Cream half and half fat free	Axis.2	-0.0808740267305532	0.214794157493926	0.807489243790544	
Cream heavy whipped sweetened	Axis.1	-0.0292215692319911	0.654458157600812	0.934789269118249	
Cream heavy whipped sweetened	Axis.2	0.0517091891420011	0.428142460755579	0.865300482672201	
Cream substitute liquid	Axis.1	0.00819929061628295	0.900079268260031	0.985220158227411	
Cream substitute liquid	Axis.2	0.118050523227001	0.0696616335788455	0.807489243790544	
Cream substitute flavored liquid	Axis.1	0.123303798841693	0.0580340111821681	0.807489243790544	
Cream substitute flavored liquid	Axis.2	0.0279615044255145	0.668454741889521	0.937800133883895	
Cream substitute fat free liquid	Axis.1	0.0640892958418875	0.325885062303219	0.832601312083466	
