"Sample"	"X92319"	"X84234"	"X86996"	"X87376"	"X88976"	"X89041"	"X89284"	"X89495"	"X89511"	"X89637"	"X90185"	"X90282"	"X90633"	"X90873"	"X91596"	"X91603"	"X92124"	"X92184"	"X92277"	"X92668"	"X93488"	"X93682"	"X83911"	"X84033"	"X84229"	"X84409"	"X84576"	"X84783"	"X84913"	"X86356"	"X86889"	"X87470"	"X88083"	"X88116"	"X88485"	"X88530"	"X89175"	"X89622"	"X89743"	"X90028"	"X90642"	"X90651"	"X90889"	"X91261"	"X91900"	"X92026"	"X92062"	"X92838"	"X93277"	"X84128"	"X84826"	"X86350"	"X88339"	"X90168"	"X92186"	"X93093"	"X93275"	"X85158"	"X88439"	"X88950"	"X89476"	"X90932"	"X93252"	"X89434"	"X91383"	"X86493"	"X88402"	"X90808"	"X88293"	"X84948"	"X93206"	"X88703"	"X89146"	"X93189"	"X91443"	"X91842"	"X84437"	"X86736"	"X85111"	"X85580"	"X89647"	"X91753"	"X92346"	"X86210"	"X88696"	"X87255"	"X87721"	"X84927"	"X90369"	"X88099"	"X85527"	"X91222"	"X84285"	"X88552"	"X91026"	"X85911"	"X86566"	"X87311"	"X88351"	"X89470"	"X93181"	"X90542"	"X89475"	"X89927"	"X85443"	"X86127"	"X92198"	"X92419"	"X83909"	"X83963"	"X85231"	"X87297"	"X90721"	"X91888"	"X85302"	"X86908"	"X92233"	"X92413"	"X93279"	"X84062"	"X93086"	"X89362"	"X91253"	"X91627"	"X89684"	"X86150"	"X91111"	"X85209"	"X88138"	"X89545"	"X87250"	"X83958"	"X85453"	"X86590"	"X84893"	"X88721"	"X92748"	"X83736"	"X87163"	"X92353"	"X83924"	"X86534"	"X90700"	"X86697"	"X83845"	"X90069"	"X85722"	"X86482"	"X89712"	"X93024"	"X87891"
"X92319"	0	0.981818181818182	0.951219512195122	0.985074626865672	0.986111111111111	1	1	0.987654320987654	0.916666666666667	0.975609756097561	0.96	0.971830985915493	0.985714285714286	0.989010989010989	1	1	0.983050847457627	0.985294117647059	0.984615384615385	0.970149253731343	0.972972972972973	0.988636363636364	0.985915492957746	0.985074626865672	0.974025974025974	1	1	0.986111111111111	0.978723404255319	0.925	1	0.987179487179487	1	0.988095238095238	1	0.987341772151899	0.985714285714286	1	0.931506849315068	0.954545454545455	0.985714285714286	0.930555555555556	1	0.916666666666667	0.9875	0.971428571428571	0.987341772151899	0.972222222222222	1	1	0.964285714285714	0.953125	0.962025316455696	0.986486486486487	0.984375	0.973684210526316	0.989247311827957	0.986486486486487	0.971014492753623	0.935064935064935	1	0.977011494252874	0.964285714285714	0.941176470588235	0.957746478873239	0.987012987012987	0.984615384615385	0.984615384615385	0.985074626865672	0.96	1	0.987341772151899	0.96875	1	0.986666666666667	0.986111111111111	0.985294117647059	0.984375	0.983606557377049	1	0.981818181818182	0.971014492753623	0.986111111111111	0.966101694915254	0.986666666666667	0.984848484848485	0.980769230769231	0.954022988505747	1	0.987341772151899	1	0.986301369863014	1	0.943661971830986	0.98780487804878	1	0.96875	0.98780487804878	0.988372093023256	0.954545454545455	0.984126984126984	0.985294117647059	0.974025974025974	0.986301369863014	0.983870967741935	0.983050847457627	0.983333333333333	0.984126984126984	1	1	0.988888888888889	0.972972972972973	0.957142857142857	0.987179487179487	1	0.964285714285714	1	0.954545454545455	0.984126984126984	1	0.988235294117647	0.966666666666667	0.985714285714286	0.956521739130435	1	0.975609756097561	1	0.983333333333333	0.961538461538462	1	0.973333333333333	0.969230769230769	0.983870967741935	0.983333333333333	0.984615384615385	0.984615384615385	0.985294117647059	0.942307692307692	0.983606557377049	0.958333333333333	0.981481481481482	1	0.984375	0.963636363636364	0.986111111111111	0.986301369863014	1	0.983333333333333	0.96969696969697	1	1
"X84234"	0.981818181818182	0	0.925925925925926	0.918918918918919	0.928571428571429	0.906976744186046	0.953488372093023	0.961538461538462	0.888888888888889	0.962962962962963	0.936170212765957	0.928571428571429	0.897435897435897	0.950819672131147	0.894736842105263	0.942857142857143	0.857142857142857	0.891891891891892	0.944444444444444	0.921052631578947	0.933333333333333	0.948275862068966	0.952380952380952	0.918918918918919	0.914893617021277	0.970588235294118	0.971428571428571	0.953488372093023	0.9375	0.964285714285714	0.972222222222222	0.9375	0.971428571428571	0.963636363636364	0.975609756097561	0.938775510204082	0.925	0.972222222222222	0.958333333333333	0.975	0.925	0.957446808510638	0.96875	0.967213114754098	0.96078431372549	0.952380952380952	0.96	0.954545454545455	0.982456140350877	0.980769230769231	0.982758620689655	0.916666666666667	0.981132075471698	0.978260869565217	0.972222222222222	0.979591836734694	0.952380952380952	0.978260869565217	0.976190476190476	1	1	0.966101694915254	1	0.976744186046512	0.977777777777778	0.979591836734694	0.972972972972973	0.972972972972973	0.918918918918919	1	0.942857142857143	0.980392156862745	0.972972972972973	1	0.956521739130435	0.977272727272727	0.975	0.972222222222222	0.96969696969697	1	0.923076923076923	0.976190476190476	0.977272727272727	0.935483870967742	0.978723404255319	1	0.958333333333333	0.95	1	1	0.981481481481482	0.954545454545455	0.974358974358974	0.978260869565217	1	1	0.944444444444444	0.942307692307692	0.927272727272727	0.975	0.971428571428571	1	0.959183673469388	0.977777777777778	0.970588235294118	0.933333333333333	0.96875	0.941176470588235	1	0.977777777777778	0.932203389830508	0.978723404255319	0.953488372093023	0.98	0.961538461538462	0.96551724137931	1	0.975	0.971428571428571	1	0.982456140350877	0.96969696969697	0.951219512195122	0.952380952380952	1	1	1	0.9	0.94	0.953488372093023	0.979166666666667	0.945945945945946	0.870967741935484	0.96875	0.972972972972973	0.914285714285714	0.921052631578947	0.92	0.96969696969697	0.978260869565217	1	1	0.972222222222222	0.925925925925926	0.928571428571429	0.904761904761905	1	0.821428571428571	0.974358974358974	1	1
"X86996"	0.951219512195122	0.925925925925926	0	0.90625	0.943661971830986	0.959459459459459	0.958333333333333	0.909090909090909	0.933333333333333	0.951219512195122	0.857142857142857	0.897058823529412	0.893939393939394	0.894117647058824	0.971428571428571	0.936507936507937	0.872727272727273	0.955882352941177	0.9375	0.940298507462687	0.96	0.954022988505747	0.972222222222222	0.970588235294118	0.934210526315789	0.951612903225806	0.984615384615385	0.972602739726027	0.923076923076923	0.926829268292683	0.984848484848485	0.961538461538462	0.918032786885246	0.9125	0.985915492957746	0.975	0.893939393939394	0.953125	0.904109589041096	0.924242424242424	0.942028985507246	0.960526315789474	0.967213114754098	0.905882352941176	0.949367088607595	0.861538461538462	0.921052631578947	0.944444444444444	0.952380952380952	1	0.901234567901235	0.985294117647059	0.909090909090909	0.930555555555556	0.936507936507937	0.904109589041096	0.945054945054945	0.930555555555556	0.942028985507246	0.95	1	0.97752808988764	0.977011494252874	0.942857142857143	0.958904109589041	0.918918918918919	0.96969696969697	0.96969696969697	0.923076923076923	0.947368421052632	0.969230769230769	0.975	0.96969696969697	0.987654320987654	0.973684210526316	1	0.940298507462687	0.969230769230769	0.967741935483871	0.982758620689655	0.964285714285714	0.926470588235294	0.972602739726027	1	0.96	0.985294117647059	0.981481481481482	0.931034482758621	0.938461538461538	0.975	0.924050632911392	0.944444444444444	0.985507246376812	0.9	0.9375	0.951612903225806	0.96969696969697	0.924050632911392	0.927710843373494	0.907692307692308	0.984615384615385	0.955882352941177	0.92	0.958904109589041	0.934426229508197	0.931034482758621	0.95	0.952380952380952	0.982142857142857	0.986666666666667	0.955056179775281	0.916666666666667	0.91304347826087	0.9875	0.982142857142857	0.96551724137931	0.961538461538462	0.955882352941177	0.9	0.9875	0.9	0.950819672131147	1	0.972222222222222	0.985714285714286	0.938271604938272	0.985507246376812	0.983870967741935	0.922077922077922	0.986486486486487	0.902777777777778	0.985294117647059	0.951612903225806	0.983870967741935	0.96969696969697	0.985074626865672	0.890625	0.944444444444444	0.950819672131147	0.915492957746479	0.924528301886792	0.983870967741935	0.936507936507937	0.964912280701754	0.986486486486487	0.972972972972973	0.967213114754098	0.983870967741935	0.985507246376812	0.958333333333333	0.962264150943396
"X87376"	0.985074626865672	0.918918918918919	0.90625	0	0.944444444444444	0.964912280701754	0.924528301886792	0.935483870967742	0.892857142857143	0.885245901639344	0.949152542372881	0.903846153846154	0.92156862745098	0.929577464788732	0.961538461538462	0.934782608695652	0.9	0.94	0.91304347826087	0.918367346938776	0.928571428571429	0.926470588235294	0.901960784313726	0.938775510204082	0.967213114754098	0.955555555555556	0.956521739130435	0.963636363636364	0.933333333333333	0.939393939393939	0.934782608695652	0.932203389830508	0.883720930232558	0.938461538461538	0.981132075471698	0.915254237288136	0.92156862745098	0.934782608695652	0.912280701754386	0.96078431372549	0.942307692307692	0.948275862068966	0.977272727272727	0.958333333333333	0.879310344827586	0.808510638297872	0.967741935483871	0.982456140350877	0.939393939393939	0.984375	0.890625	0.98	0.96875	0.964912280701754	0.911111111111111	0.931034482758621	0.96	0.964912280701754	0.962264150943396	1	1	1	0.985714285714286	0.962962962962963	0.905660377358491	0.931034482758621	0.979591836734694	0.936170212765957	0.938775510204082	0.966666666666667	1	0.950819672131147	0.936170212765957	0.984126984126984	0.983050847457627	1	0.94	0.957446808510638	0.954545454545455	0.975	0.947368421052632	0.942307692307692	0.982142857142857	0.977272727272727	0.947368421052632	0.98	0.972222222222222	0.943661971830986	0.959183673469388	0.967741935483871	0.953125	0.945454545454545	0.916666666666667	0.907407407407407	0.901639344262295	0.955555555555556	0.91304347826087	0.953125	0.955882352941177	0.895833333333333	0.933333333333333	0.980769230769231	0.95	0.964285714285714	0.906976744186046	0.926829268292683	0.902439024390244	0.933333333333333	0.973684210526316	0.964285714285714	0.972602739726027	0.96551724137931	0.963636363636364	0.983870967741935	0.973684210526316	0.975609756097561	1	0.980769230769231	0.956521739130435	0.983870967741935	0.985507246376812	0.977777777777778	1	0.962962962962963	0.980769230769231	0.96969696969697	0.980392156862745	0.815789473684211	0.968253968253968	0.982142857142857	0.966101694915254	0.959183673469388	0.978260869565217	0.977272727272727	0.936170212765957	0.979591836734694	0.980769230769231	0.973684210526316	0.954545454545455	0.982758620689655	0.973684210526316	1	0.911111111111111	0.921052631578947	0.944444444444444	0.884615384615385	0.977272727272727	0.953488372093023	0.980392156862745	1	0.972222222222222
"X88976"	0.986111111111111	0.928571428571429	0.943661971830986	0.944444444444444	0	0.967741935483871	0.912280701754386	0.924242424242424	0.936507936507937	0.971830985915493	0.936507936507937	0.931034482758621	0.928571428571429	0.905405405405405	0.964912280701754	0.941176470588235	0.911111111111111	0.862745098039216	0.942307692307692	0.884615384615385	0.934426229508197	0.945945945945946	0.948275862068966	0.963636363636364	0.96969696969697	0.980392156862745	0.980769230769231	0.983606557377049	0.975903614457831	0.958333333333333	0.897959183673469	0.953846153846154	0.980769230769231	0.957746478873239	0.982758620689655	0.985294117647059	0.909090909090909	0.981132075471698	0.969230769230769	0.982456140350877	0.983050847457627	0.935483870967742	0.958333333333333	0.961038961038961	0.970588235294118	0.929824561403509	0.921875	0.967213114754098	0.972602739726027	1	0.958904109589041	0.981818181818182	0.940298507462687	0.967741935483871	0.961538461538462	0.984848484848485	0.9625	0.967741935483871	0.96551724137931	0.924242424242424	0.980392156862745	0.973684210526316	0.958904109589041	0.983333333333333	0.983870967741935	0.969230769230769	0.981481481481482	0.962264150943396	0.982142857142857	1	0.981132075471698	0.954545454545455	0.981481481481482	0.954545454545455	0.984375	1	0.982456140350877	0.941176470588235	0.914893617021277	1	0.977272727272727	0.983050847457627	0.966666666666667	1	0.984375	1	0.975609756097561	0.961038961038961	0.981818181818182	0.954545454545455	0.971428571428571	1	1	0.967741935483871	0.985915492957746	1	0.981481481481482	0.971428571428571	0.972972972972973	0.982456140350877	0.94	0.964285714285714	0.9375	0.913793103448276	0.980392156862745	0.957446808510638	0.979591836734694	0.980769230769231	1	0.967213114754098	0.947368421052632	0.968253968253968	1	0.985074626865672	0.976744186046512	0.978260869565217	0.920634920634921	0.925925925925926	0.96078431372549	0.953846153846154	0.972602739726027	0.98	0.96551724137931	0.983333333333333	0.964285714285714	0.986111111111111	1	0.979591836734694	0.90625	0.966666666666667	0.96875	1	0.980392156862745	0.979591836734694	0.962264150943396	0.981481481481482	0.982456140350877	1	0.98	0.984126984126984	1	1	0.961538461538462	0.977777777777778	0.983606557377049	0.983870967741935	0.958333333333333	0.979591836734694	1	0.983606557377049	1
"X89041"	1	0.906976744186046	0.959459459459459	0.964912280701754	0.967741935483871	0	0.967741935483871	0.91044776119403	0.921875	0.928571428571429	0.954545454545455	0.967741935483871	0.966666666666667	0.975308641975309	0.890909090909091	0.943396226415094	0.9375	0.909090909090909	0.963636363636364	0.928571428571429	0.953125	0.974358974358974	0.95	0.886792452830189	0.985507246376812	0.941176470588235	0.981481481481482	0.967741935483871	0.951807228915663	0.930555555555556	0.981818181818182	0.955223880597015	0.962264150943396	0.972972972972973	0.890909090909091	0.955882352941177	0.949152542372881	0.962962962962963	0.985294117647059	0.983050847457627	0.949152542372881	0.985074626865672	0.980392156862745	0.987654320987654	0.971428571428571	0.967213114754098	0.955882352941177	0.951612903225806	0.986842105263158	0.985915492957746	1	0.964285714285714	0.986111111111111	0.984615384615385	0.981818181818182	0.985294117647059	1	1	1	0.986111111111111	1	1	1	1	1	1	0.963636363636364	0.924528301886792	0.982758620689655	0.938461538461538	0.943396226415094	0.985714285714286	1	1	0.919354838709677	1	1	1	1	0.978723404255319	1	0.983606557377049	0.950819672131147	0.980392156862745	0.969230769230769	0.945454545454545	0.976744186046512	0.962025316455696	1	1	1	0.968253968253968	0.982758620689655	1	0.986301369863014	0.981132075471698	1	0.972222222222222	0.987012987012987	1	0.981481481481482	1	1	0.951612903225806	0.941176470588235	1	0.938775510204082	0.981481481481482	1	1	0.962025316455696	0.984848484848485	0.967741935483871	1	0.977777777777778	0.979166666666667	0.985507246376812	1	0.981481481481482	1	1	0.980769230769231	1	0.983870967741935	0.983050847457627	0.986486486486487	1	1	1	0.984126984126984	1	0.982456140350877	0.981132075471698	1	0.944444444444444	0.944444444444444	0.947368421052632	0.977777777777778	0.980769230769231	0.984615384615385	0.930232558139535	1	0.981818181818182	1	0.933333333333333	0.951612903225806	0.980392156862745	0.938775510204082	1	0.950819672131147	1
"X89284"	1	0.953488372093023	0.958333333333333	0.924528301886792	0.912280701754386	0.967741935483871	0	0.955882352941177	0.936507936507937	0.926470588235294	0.936507936507937	0.949152542372881	0.947368421052632	0.948051948051948	0.946428571428571	0.897959183673469	0.911111111111111	0.905660377358491	0.92156862745098	0.945454545454545	0.934426229508197	0.96	0.948275862068966	0.963636363636364	0.953846153846154	0.916666666666667	0.94	0.912280701754386	0.924050632911392	0.897058823529412	0.941176470588235	0.953846153846154	0.94	0.957746478873239	0.927272727272727	0.954545454545455	0.928571428571429	0.875	0.953125	0.925925925925926	0.928571428571429	0.952380952380952	0.958333333333333	0.947368421052632	0.955223880597015	0.910714285714286	0.868852459016393	0.932203389830508	0.91304347826087	0.970588235294118	0.986666666666667	0.943396226415094	0.985714285714286	1	1	0.969230769230769	0.949367088607595	1	0.947368421052632	0.985714285714286	0.96	0.973684210526316	0.944444444444444	0.983333333333333	1	0.969230769230769	1	0.92156862745098	0.982142857142857	0.953125	1	0.985294117647059	0.942307692307692	0.985294117647059	1	0.966666666666667	0.982456140350877	0.897959183673469	0.98	0.977777777777778	0.977272727272727	0.983050847457627	0.983606557377049	1	1	0.962962962962963	0.975609756097561	1	0.981818181818182	0.985294117647059	0.971428571428571	0.983870967741935	1	0.984126984126984	0.971428571428571	0.96	0.962264150943396	0.985915492957746	0.972972972972973	0.982456140350877	0.96078431372549	0.982456140350877	0.96969696969697	0.983870967741935	0.980392156862745	0.979166666666667	0.958333333333333	0.96078431372549	1	0.983870967741935	0.961038961038961	1	0.966666666666667	1	1	0.978260869565217	0.953846153846154	0.925925925925926	1	0.953846153846154	0.972602739726027	1	1	1	0.964285714285714	0.957142857142857	0.944444444444444	0.979591836734694	0.970588235294118	0.983606557377049	1	0.962962962962963	0.980392156862745	0.979591836734694	0.981481481481482	0.981481481481482	0.982456140350877	0.976744186046512	0.98	1	0.976744186046512	0.979591836734694	0.981132075471698	0.977777777777778	1	0.983870967741935	0.936170212765957	0.979591836734694	0.963636363636364	0.983606557377049	0.95
"X89495"	0.987654320987654	0.961538461538462	0.909090909090909	0.935483870967742	0.924242424242424	0.91044776119403	0.955882352941177	0	0.929577464788732	0.962025316455696	0.914285714285714	0.955882352941177	0.887096774193548	0.928571428571429	0.903225806451613	0.95	0.905660377358491	0.936507936507937	0.933333333333333	0.969230769230769	0.942857142857143	0.964285714285714	0.939393939393939	0.984615384615385	0.915492957746479	0.948275862068966	0.912280701754386	0.955882352941177	0.931818181818182	0.88	0.875	0.973333333333333	0.983606557377049	0.98780487804878	0.9375	0.931506849315068	0.938461538461538	0.967213114754098	0.958904109589041	0.969230769230769	0.921875	0.958333333333333	0.964912280701754	0.965116279069767	0.974025974025974	0.90625	0.869565217391304	0.941176470588235	0.894736842105263	0.960526315789474	0.988095238095238	0.984375	0.904109589041096	0.971830985915493	0.967213114754098	1	0.966292134831461	0.942028985507246	0.985294117647059	0.987341772151899	0.983333333333333	0.9125	0.924050632911392	1	1	0.958904109589041	1	0.933333333333333	0.952380952380952	0.944444444444444	0.967213114754098	0.945945945945946	0.984126984126984	0.973684210526316	0.986301369863014	0.985714285714286	0.969230769230769	0.983870967741935	0.983050847457627	0.981481481481482	0.981132075471698	0.985294117647059	0.940298507462687	1	0.972222222222222	0.934426229508197	0.98	0.927710843373494	0.968253968253968	0.931506849315068	0.961538461538462	0.985915492957746	1	0.971830985915493	0.934210526315789	0.929824561403509	0.984126984126984	0.948051948051948	0.924050632911392	1	0.912280701754386	0.953125	0.959459459459459	0.985915492957746	0.983333333333333	0.925925925925926	0.964912280701754	0.966666666666667	1	0.985915492957746	0.927710843373494	0.972222222222222	0.890625	0.973333333333333	1	0.962962962962963	0.986842105263158	0.883333333333333	0.966666666666667	0.915492957746479	0.975609756097561	0.983050847457627	0.954545454545455	0.985507246376812	0.984848484848485	0.975	0.984615384615385	0.907407407407407	0.871428571428571	0.907692307692308	0.986486486486487	0.968253968253968	0.983333333333333	0.982758620689655	0.950819672131147	1	0.984848484848485	1	1	0.957142857142857	0.918367346938776	0.964912280701754	0.913793103448276	0.9	0.940298507462687	0.941176470588235	0.964912280701754	0.946428571428571	0.96875	0.955882352941177	0.98
"X89511"	0.916666666666667	0.888888888888889	0.933333333333333	0.892857142857143	0.936507936507937	0.921875	0.936507936507937	0.929577464788732	0	0.869565217391304	0.909090909090909	0.883333333333333	0.859649122807018	0.938271604938272	0.836363636363636	0.927272727272727	0.875	0.894736842105263	0.909090909090909	0.932203389830508	0.888888888888889	0.935897435897436	0.935483870967742	0.949152542372881	0.942028985507246	0.944444444444444	0.964285714285714	0.883333333333333	0.888888888888889	0.857142857142857	0.886792452830189	0.876923076923077	0.905660377358491	0.917808219178082	0.933333333333333	0.895522388059702	0.879310344827586	0.907407407407407	0.892307692307692	0.932203389830508	0.839285714285714	0.924242424242424	0.962264150943396	0.91025641025641	0.880597014925373	0.918032786885246	0.911764705882353	0.96969696969697	0.933333333333333	0.972602739726027	0.948051948051948	0.910714285714286	0.958904109589041	0.985294117647059	0.946428571428571	0.956521739130435	0.9	0.954545454545455	0.916666666666667	1	0.944444444444444	0.935897435897436	0.961538461538462	0.96875	0.903225806451613	0.956521739130435	0.983050847457627	0.947368421052632	0.931034482758621	0.925373134328358	0.946428571428571	0.895522388059702	0.909090909090909	0.972222222222222	0.970588235294118	0.969230769230769	0.967213114754098	0.907407407407407	0.943396226415094	0.959183673469388	0.936170212765957	0.934426229508197	0.936507936507937	0.942307692307692	0.939393939393939	0.966101694915254	0.931818181818182	0.851351351351351	0.966101694915254	0.911764705882353	0.959459459459459	0.866666666666667	0.949152542372881	0.938461538461538	0.9	0.924528301886792	0.888888888888889	0.850746268656716	0.842857142857143	0.95	0.84	0.95	0.942028985507246	0.903225806451613	0.924528301886792	0.897959183673469	0.9	0.925925925925926	0.979166666666667	0.96969696969697	0.924050632911392	0.970588235294118	0.883333333333333	0.926470588235294	0.957446808510638	0.916666666666667	0.971830985915493	0.967213114754098	0.905660377358491	0.876923076923077	0.987341772151899	0.981818181818182	0.934426229508197	0.862068965517241	0.95	0.945945945945946	0.966666666666667	0.854166666666667	0.880597014925373	0.901639344262295	0.971014492753623	0.948275862068966	0.944444444444444	0.942307692307692	0.867924528301887	0.96551724137931	0.913793103448276	0.886363636363636	0.901960784313726	0.985294117647059	0.957446808510638	0.981481481481482	0.886792452830189	0.959183673469388	0.953125	0.866666666666667	0.92156862745098	0.877551020408163	0.966666666666667	0.969230769230769	0.955555555555556
"X89637"	0.975609756097561	0.962962962962963	0.951219512195122	0.885245901639344	0.971830985915493	0.928571428571429	0.926470588235294	0.962025316455696	0.869565217391304	0	0.96	0.82258064516129	0.940298507462687	0.954545454545455	0.955223880597015	0.934426229508197	0.909090909090909	0.868852459016393	0.918032786885246	0.954545454545455	0.914285714285714	0.914634146341463	0.956521739130435	0.96969696969697	0.974025974025974	0.932203389830508	0.967741935483871	0.876923076923077	0.933333333333333	0.911392405063291	0.968253968253968	0.902777777777778	0.896551724137931	0.975903614457831	0.923076923076923	0.947368421052632	0.940298507462687	0.916666666666667	0.945945945945946	0.938461538461538	0.955882352941177	0.959459459459459	0.983333333333333	0.965909090909091	0.875	0.909090909090909	0.947368421052632	0.942857142857143	0.925	0.875	0.951807228915663	0.969230769230769	0.975	1	0.951612903225806	0.945945945945946	0.978260869565217	1	0.971014492753623	1	0.983870967741935	0.988636363636364	0.964285714285714	0.985915492957746	0.957746478873239	0.987012987012987	1	0.935483870967742	0.9375	0.96	0.968253968253968	0.918918918918919	0.935483870967742	0.974358974358974	0.944444444444444	0.926470588235294	0.954545454545455	0.968253968253968	0.983606557377049	0.963636363636364	0.943396226415094	0.940298507462687	0.957142857142857	0.948275862068966	0.986666666666667	0.969230769230769	0.96078431372549	0.965909090909091	0.969230769230769	0.961038961038961	0.935897435897436	0.957746478873239	0.9375	0.928571428571429	0.922077922077922	0.95	0.935483870967742	0.935897435897436	0.951807228915663	0.938461538461538	0.950819672131147	0.954545454545455	0.960526315789474	0.957746478873239	0.932203389830508	0.96551724137931	0.929824561403509	0.950819672131147	0.981481481481482	0.972222222222222	0.954022988505747	0.986666666666667	0.957142857142857	1	0.962264150943396	0.964285714285714	0.946666666666667	0.985294117647059	0.967741935483871	0.960526315789474	1	1	1	0.941176470588235	0.954545454545455	0.849315068493151	0.920634920634921	0.966101694915254	0.961538461538462	0.986111111111111	0.959459459459459	0.953125	0.967213114754098	0.966101694915254	0.952380952380952	0.984615384615385	0.970149253731343	0.9	0.949152542372881	1	0.962264150943396	0.966101694915254	0.968253968253968	0.982142857142857	1	0.972222222222222	0.910714285714286	0.966101694915254	0.953846153846154	0.986111111111111	0.96078431372549
