"Sample"	"X86515"	"X86831"	"X89237"	"X92105"	"X83820"	"X84108"	"X84622"	"X84804"	"X84817"	"X85684"	"X85740"	"X86335"	"X86558"	"X86657"	"X86674"	"X87186"	"X88303"	"X90511"	"X90711"	"X90772"	"X92135"	"X92138"	"X93109"	"X83755"	"X84239"	"X84443"	"X85681"	"X85900"	"X86480"	"X86949"	"X88002"	"X88054"	"X88170"	"X88191"	"X88516"	"X88692"	"X89079"	"X89803"	"X89902"	"X90021"	"X90158"	"X90545"	"X91166"	"X91220"	"X92286"	"X92370"	"X93146"	"X89371"	"X89490"	"X90332"	"X91432"	"X85928"	"X86699"	"X87215"	"X88764"	"X92188"	"X93143"	"X86334"	"X89633"	"X86573"	"X91461"	"X89848"	"X92185"	"X89173"	"X89184"	"X85562"	"X91760"	"X91584"	"X86500"	"X87256"	"X90739"	"X86913"	"X84424"	"X85808"	"X92617"	"X85571"	"X87417"	"X88719"	"X88934"	"X91733"	"X92989"	"X93337"	"X90526"	"X92883"	"X87198"	"X89015"	"X89103"	"X90088"	"X93304"	"X84727"	"X85875"	"X88329"	"X88406"	"X90675"	"X92561"	"X91099"	"X89822"	"X86404"	"X89551"	"X93540"	"X86451"	"X83944"	"X85061"	"X85109"	"X85598"	"X87114"	"X88253"	"X86859"	"X85215"	"X85491"	"X87228"	"X88019"	"X90694"	"X91343"	"X92993"	"X88010"	"X92048"	"X83894"	"X91440"	"X88544"	"X90824"	"X85735"	"X89263"	"X91004"	"X92103"	"X91748"	"X91747"	"X86806"	"X92990"	"X87064"	"X86987"	"X89650"	"X90594"
"X86515"	0	0.918367346938776	0.928571428571429	0.933333333333333	0.981818181818182	0.959183673469388	0.867924528301887	0.963636363636364	0.936507936507937	0.932203389830508	0.955555555555556	0.895833333333333	0.921052631578947	0.945454545454545	0.979166666666667	0.938775510204082	0.985074626865672	0.928571428571429	0.945454545454545	0.980769230769231	0.916666666666667	0.980392156862745	0.902439024390244	0.949152542372881	0.970588235294118	0.909090909090909	0.964285714285714	0.904761904761905	0.945454545454545	0.963636363636364	0.966101694915254	0.96078431372549	0.980769230769231	0.96875	0.95	0.96	0.942307692307692	0.928571428571429	0.98	0.982142857142857	0.958333333333333	0.928571428571429	0.983333333333333	0.980769230769231	0.914893617021277	0.902439024390244	0.956521739130435	0.941176470588235	0.982456140350877	0.978723404255319	0.966101694915254	0.966666666666667	0.98	0.976744186046512	0.959183673469388	0.976744186046512	0.962264150943396	0.96	0.947368421052632	0.954545454545455	0.947368421052632	0.929824561403509	0.895833333333333	0.943661971830986	0.967213114754098	0.962962962962963	0.96078431372549	0.95	0.959183673469388	0.953488372093023	0.979591836734694	0.895833333333333	0.96875	0.969230769230769	0.924528301886792	0.92156862745098	0.934782608695652	0.962962962962963	0.984615384615385	0.844444444444444	0.938775510204082	0.94	0.983606557377049	0.982456140350877	0.967741935483871	0.91044776119403	0.956521739130435	0.914893617021277	0.954545454545455	0.933333333333333	0.938461538461538	0.954545454545455	0.970588235294118	0.978723404255319	0.954545454545455	0.907692307692308	0.946428571428571	0.95	0.962962962962963	0.953488372093023	0.964912280701754	1	0.931818181818182	0.928571428571429	0.944444444444444	0.942307692307692	0.894736842105263	0.883720930232558	0.857142857142857	0.954545454545455	0.96	0.931034482758621	0.983050847457627	0.911111111111111	0.929824561403509	0.962962962962963	0.943396226415094	0.977272727272727	0.853658536585366	0.95	0.934782608695652	0.948717948717949	0.941176470588235	0.977777777777778	0.953488372093023	0.926829268292683	0.914893617021277	0.945945945945946	0.888888888888889	0.931818181818182	0.951219512195122	0.923076923076923	1
"X86831"	0.918367346938776	0	0.944444444444444	0.948275862068966	0.980769230769231	0.978723404255319	0.982142857142857	0.92	0.933333333333333	0.947368421052632	0.952380952380952	0.936170212765957	0.972972972972973	1	0.977777777777778	0.957446808510638	0.916666666666667	0.963636363636364	0.981481481481482	0.936170212765957	0.957446808510638	0.979166666666667	0.975609756097561	0.964912280701754	0.984848484848485	0.977272727272727	0.962264150943396	0.951219512195122	0.962264150943396	0.941176470588235	0.982456140350877	0.979591836734694	0.958333333333333	0.983870967741935	0.973684210526316	0.957446808510638	0.869565217391304	0.982142857142857	0.978723404255319	0.961538461538462	0.978260869565217	0.975609756097561	1	1	0.956521739130435	1	1	1	0.981481481481482	0.977272727272727	0.982456140350877	0.982758620689655	1	1	1	1	0.938775510204082	1	0.882352941176471	1	0.973333333333333	0.982456140350877	0.863636363636364	0.971428571428571	0.96551724137931	0.96078431372549	0.91304347826087	0.973684210526316	0.956521739130435	0.975609756097561	1	0.979591836734694	0.967213114754098	0.984126984126984	0.961538461538462	0.980392156862745	0.954545454545455	0.96078431372549	0.983870967741935	0.934782608695652	0.934782608695652	0.958333333333333	0.964912280701754	0.981481481481482	0.910714285714286	0.970588235294118	0.875	0.956521739130435	0.951219512195122	0.977272727272727	0.96875	0.976190476190476	1	1	0.951219512195122	0.885245901639344	1	0.983050847457627	0.96078431372549	0.975609756097561	0.981818181818182	0.959183673469388	1	0.982142857142857	0.981132075471698	0.938775510204082	1	0.902439024390244	0.972222222222222	0.951219512195122	0.979166666666667	1	0.982142857142857	0.977777777777778	0.982456140350877	0.980769230769231	0.94	0.975609756097561	0.952380952380952	1	0.904761904761905	0.944444444444444	0.914893617021277	0.925	0.923076923076923	0.975	0.857142857142857	0.971428571428571	0.972222222222222	0.952380952380952	0.974358974358974	1	1
"X89237"	0.928571428571429	0.944444444444444	0	0.920634920634921	0.928571428571429	0.877551020408163	0.933333333333333	0.826923076923077	0.873015873015873	0.864406779661017	0.959183673469388	0.924528301886792	0.902439024390244	0.949152542372881	0.872340425531915	0.943396226415094	0.971428571428571	0.933333333333333	0.966666666666667	0.882352941176471	0.923076923076923	0.943396226415094	0.911111111111111	0.935483870967742	0.986301369863014	0.980392156862745	0.949152542372881	0.958333333333333	0.966666666666667	0.948275862068966	0.968253968253968	0.924528301886792	0.982142857142857	0.955223880597015	0.930232558139535	0.962962962962963	0.907407407407407	0.950819672131147	0.981481481481482	0.966101694915254	0.961538461538462	0.934782608695652	0.898305084745763	0.963636363636364	0.981481481481482	0.979166666666667	0.938775510204082	0.982456140350877	0.983606557377049	1	0.984375	0.918032786885246	0.981481481481482	0.956521739130435	0.962264150943396	1	0.964912280701754	0.962962962962963	0.967741935483871	0.971830985915493	0.962962962962963	0.951612903225806	0.963636363636364	0.917808219178082	0.953125	0.909090909090909	1	1	0.962264150943396	0.979166666666667	0.981132075471698	0.982142857142857	0.970588235294118	0.985714285714286	1	0.964912280701754	0.980769230769231	1	1	0.962962962962963	0.981818181818182	1	1	0.983606557377049	0.96969696969697	0.945205479452055	0.96	0.92156862745098	0.958333333333333	0.980392156862745	0.926470588235294	0.837209302325581	1	0.916666666666667	0.958333333333333	0.958333333333333	1	1	1	0.979166666666667	0.983870967741935	1	0.98	0.950819672131147	0.983333333333333	1	0.930232558139535	0.938775510204082	1	0.958333333333333	0.981818181818182	0.984615384615385	1	0.94	1	0.983050847457627	0.947368421052632	1	0.98	0.977777777777778	0.96078431372549	0.977272727272727	0.982456140350877	1	0.957446808510638	0.956521739130435	0.962264150943396	1	0.976744186046512	0.98	1	0.977777777777778	1
"X92105"	0.933333333333333	0.948275862068966	0.920634920634921	0	0.950819672131147	0.886792452830189	0.866666666666667	0.951612903225806	0.928571428571429	0.890625	0.92156862745098	0.849056603773585	0.957446808510638	0.9	0.903846153846154	0.867924528301887	0.929577464788732	0.953846153846154	0.952380952380952	0.948275862068966	0.909090909090909	0.888888888888889	0.872340425531915	0.923076923076923	0.916666666666667	0.962962962962963	0.918032786885246	0.875	0.952380952380952	0.934426229508197	0.954545454545455	0.966101694915254	0.983333333333333	0.878787878787879	0.979591836734694	0.928571428571429	0.913793103448276	0.96969696969697	0.907407407407407	0.934426229508197	0.945454545454545	0.94	0.970149253731343	0.948275862068966	0.907407407407407	0.918367346938776	0.901960784313726	0.983606557377049	0.952380952380952	0.981818181818182	0.938461538461538	0.970588235294118	1	1	0.982758620689655	1	0.967213114754098	0.928571428571429	0.847457627118644	0.973333333333333	0.964705882352941	0.985294117647059	0.948275862068966	0.975308641975309	0.971014492753623	0.967741935483871	0.948275862068966	0.888888888888889	0.946428571428571	0.895833333333333	0.945454545454545	0.929824561403509	0.986301369863014	0.986486486486487	0.984375	0.913793103448276	0.963636363636364	0.984126984126984	0.942857142857143	0.96551724137931	0.947368421052632	0.929824561403509	0.888888888888889	0.96875	0.875	0.934210526315789	0.962962962962963	0.964912280701754	0.961538461538462	0.923076923076923	0.973333333333333	0.92	0.973684210526316	0.962962962962963	0.851063829787234	0.946666666666667	0.969230769230769	0.971014492753623	0.87719298245614	0.96078431372549	0.969230769230769	0.983606557377049	0.981481481481482	0.985074626865672	0.984375	0.983870967741935	0.979591836734694	0.981818181818182	0.933333333333333	0.92	0.928571428571429	0.939393939393939	0.953846153846154	0.924528301886792	0.938461538461538	0.984126984126984	0.967741935483871	1	1	0.958333333333333	0.963636363636364	0.957446808510638	0.931034482758621	0.981132075471698	0.980769230769231	0.938775510204082	0.964912280701754	0.978260869565217	0.956521739130435	1	0.98	0.958333333333333	1
"X83820"	0.981818181818182	0.980769230769231	0.928571428571429	0.950819672131147	0	0.866666666666667	0.909090909090909	0.963636363636364	0.919354838709677	0.932203389830508	0.906976744186046	0.918367346938776	0.921052631578947	0.905660377358491	0.911111111111111	0.916666666666667	0.9375	0.928571428571429	0.925925925925926	0.94	0.869565217391304	0.916666666666667	0.953488372093023	0.912280701754386	0.939393939393939	0.883720930232558	0.945454545454545	0.930232558139535	0.884615384615385	0.836734693877551	0.929824561403509	0.918367346938776	0.918367346938776	0.952380952380952	0.894736842105263	0.938775510204082	0.877551020408163	0.928571428571429	0.914893617021277	0.903846153846154	0.888888888888889	0.928571428571429	0.929824561403509	0.94	0.9375	0.928571428571429	0.956521739130435	0.92	0.945454545454545	0.956521739130435	0.966101694915254	0.912280701754386	0.9375	0.952380952380952	0.914893617021277	0.976744186046512	0.962264150943396	0.980392156862745	0.96551724137931	0.954545454545455	0.933333333333333	0.948275862068966	1	0.943661971830986	0.913793103448276	0.901960784313726	0.918367346938776	0.95	0.98	1	0.979591836734694	0.96078431372549	0.96875	0.969230769230769	0.944444444444444	0.981481481481482	0.957446808510638	0.962962962962963	0.96875	0.938775510204082	0.96	0.895833333333333	0.966666666666667	0.925925925925926	0.984126984126984	0.971830985915493	0.956521739130435	0.9375	0.954545454545455	0.956521739130435	0.954545454545455	1	0.955223880597015	0.978723404255319	0.977777777777778	0.940298507462687	0.982758620689655	0.967213114754098	0.962962962962963	0.977272727272727	0.927272727272727	1	0.978260869565217	0.928571428571429	0.963636363636364	0.962264150943396	0.975609756097561	0.978723404255319	0.974358974358974	0.977777777777778	1	0.949152542372881	0.947368421052632	1	0.910714285714286	0.981818181818182	0.962962962962963	0.977272727272727	0.978260869565217	0.975609756097561	0.886363636363636	1	0.941176470588235	0.977777777777778	0.953488372093023	0.952380952380952	0.891304347826087	0.973684210526316	0.974358974358974	1	0.951219512195122	0.975609756097561	0.973684210526316
"X84108"	0.959183673469388	0.978723404255319	0.877551020408163	0.886792452830189	0.866666666666667	0	0.9	0.869565217391304	0.892857142857143	0.905660377358491	0.8	0.829268292682927	0.875	0.94	0.926829268292683	0.906976744186046	0.894736842105263	0.9	0.918367346938776	0.933333333333333	0.906976744186046	0.906976744186046	0.918918918918919	0.924528301886792	0.951612903225806	0.925	0.94	0.921052631578947	0.895833333333333	0.938775510204082	0.923076923076923	0.883720930232558	0.956521739130435	0.826923076923077	0.942857142857143	0.906976744186046	0.91304347826087	0.92156862745098	0.904761904761905	0.869565217391304	0.928571428571429	0.918918918918919	0.943396226415094	0.956521739130435	0.904761904761905	0.918918918918919	0.951219512195122	0.934782608695652	0.918367346938776	0.951219512195122	0.901960784313726	0.924528301886792	0.977777777777778	0.945945945945946	0.954545454545455	0.973684210526316	0.91304347826087	0.978260869565217	0.942307692307692	0.967741935483871	0.897058823529412	0.901960784313726	0.956521739130435	0.970588235294118	0.925925925925926	0.914893617021277	0.956521739130435	0.911764705882353	0.954545454545455	0.974358974358974	0.977272727272727	0.909090909090909	0.929824561403509	0.966666666666667	0.938775510204082	0.958333333333333	0.926829268292683	0.891304347826087	0.983333333333333	0.931818181818182	0.955555555555556	0.956521739130435	0.963636363636364	0.918367346938776	0.927272727272727	0.866666666666667	0.897435897435897	0.878048780487805	0.861111111111111	0.925	0.933333333333333	0.921052631578947	0.984375	0.951219512195122	0.948717948717949	0.935483870967742	0.981132075471698	0.964285714285714	0.959183673469388	0.918918918918919	0.941176470588235	1	0.95	0.962264150943396	0.980392156862745	0.958333333333333	0.972222222222222	0.976190476190476	0.970588235294118	0.948717948717949	0.978260869565217	0.963636363636364	0.981481481481482	0.976744186046512	0.962962962962963	0.959183673469388	0.9375	0.974358974358974	0.975609756097561	0.942857142857143	0.952380952380952	0.971428571428571	0.957446808510638	0.975	0.918918918918919	0.945945945945946	0.930232558139535	1	0.939393939393939	1	0.972972972972973	0.942857142857143	1
"X84622"	0.867924528301887	0.982142857142857	0.933333333333333	0.866666666666667	0.909090909090909	0.9	0	0.890909090909091	0.907692307692308	0.901639344262295	0.9375	0.903846153846154	0.875	0.931034482758621	0.96078431372549	0.88	0.892307692307692	0.933333333333333	0.912280701754386	0.944444444444444	0.833333333333333	0.901960784313726	0.775	0.918032786885246	0.927536231884058	0.869565217391304	0.872727272727273	0.863636363636364	0.931034482758621	0.849056603773585	0.951612903225806	0.924528301886792	0.944444444444444	0.955223880597015	0.904761904761905	0.943396226415094	0.907407407407407	0.950819672131147	0.854166666666667	0.948275862068966	0.941176470588235	0.886363636363636	0.934426229508197	0.903846153846154	0.9	0.911111111111111	0.893617021276596	0.964285714285714	0.949152542372881	0.938775510204082	0.951612903225806	0.96875	0.962264150943396	0.978723404255319	0.981481481481482	0.978723404255319	0.964912280701754	0.962962962962963	0.896551724137931	0.986111111111111	0.975609756097561	0.968253968253968	0.963636363636364	0.946666666666667	0.953125	0.96551724137931	0.982142857142857	0.930232558139535	0.92156862745098	0.934782608695652	0.981132075471698	0.924528301886792	0.970588235294118	0.955882352941177	0.910714285714286	0.946428571428571	0.918367346938776	0.96551724137931	0.923076923076923	0.943396226415094	0.962962962962963	0.903846153846154	0.918032786885246	0.966666666666667	0.903225806451613	0.9	0.980392156862745	0.942307692307692	0.979591836734694	0.916666666666667	0.971830985915493	0.888888888888889	0.927536231884058	0.938775510204082	0.863636363636364	0.943661971830986	0.967213114754098	0.919354838709677	0.928571428571429	0.911111111111111	0.983870967741935	0.982456140350877	0.959183673469388	0.950819672131147	0.983333333333333	0.982758620689655	0.930232558139535	0.96	0.871794871794872	0.863636363636364	0.923076923076923	0.9	0.933333333333333	0.918367346938776	0.951612903225806	0.96551724137931	0.983050847457627	0.979166666666667	0.914893617021277	0.977777777777778	0.94	0.928571428571429	0.925925925925926	0.936170212765957	0.911111111111111	0.978723404255319	0.942307692307692	1	0.9	0.9375	1	0.954545454545455	1
"X84804"	0.963636363636364	0.92	0.826923076923077	0.951612903225806	0.963636363636364	0.869565217391304	0.890909090909091	0	0.885245901639344	0.87719298245614	0.909090909090909	0.92	0.923076923076923	0.946428571428571	0.888888888888889	0.94	0.887096774193548	0.87037037037037	0.927272727272727	0.875	0.94	0.895833333333333	0.904761904761905	0.967213114754098	0.985714285714286	0.979166666666667	0.964912280701754	0.931818181818182	0.964912280701754	0.925925925925926	0.966666666666667	0.961538461538462	0.961538461538462	0.919354838709677	0.951219512195122	0.96078431372549	0.857142857142857	0.948275862068966	0.980392156862745	0.945454545454545	0.959183673469388	0.904761904761905	0.931034482758621	0.961538461538462	0.96	0.977777777777778	0.957446808510638	0.962264150943396	0.982758620689655	1	0.983606557377049	0.894736842105263	1	1	1	0.977272727272727	0.962962962962963	0.980769230769231	0.890909090909091	1	0.9875	0.966666666666667	0.92	0.929577464788732	0.984126984126984	0.882352941176471	0.961538461538462	1	0.938775510204082	0.930232558139535	1	0.981132075471698	0.953125	0.96969696969697	0.925925925925926	0.962962962962963	0.91304347826087	0.924528301886792	0.953125	0.96078431372549	0.96078431372549	1	0.95	1	0.898305084745763	0.895522388059702	0.911111111111111	0.818181818181818	0.931818181818182	0.979166666666667	0.939393939393939	0.853658536585366	0.971014492753623	0.957446808510638	0.955555555555556	0.971428571428571	1	0.967741935483871	0.982142857142857	0.904761904761905	0.983050847457627	0.962264150943396	0.978723404255319	0.948275862068966	0.982456140350877	0.962962962962963	0.925	0.934782608695652	1	0.906976744186046	0.980769230769231	0.967213114754098	0.948275862068966	0.979591836734694	1	1	0.944444444444444	1	0.933333333333333	1	0.888888888888889	0.864864864864865	0.9	0.880952380952381	0.977777777777778	0.953488372093023	0.916666666666667	1	0.948717948717949	0.933333333333333	0.952380952380952	0.976190476190476	1
"X84817"	0.936507936507937	0.933333333333333	0.873015873015873	0.928571428571429	0.919354838709677	0.892857142857143	0.907692307692308	0.885245901639344	0	0.825396825396825	0.884615384615385	0.836363636363636	0.916666666666667	0.938461538461538	0.888888888888889	0.854545454545454	0.917808219178082	0.836065573770492	0.887096774193548	0.87719298245614	0.833333333333333	0.932203389830508	0.857142857142857	0.841269841269841	0.905405405405405	0.946428571428571	0.830508474576271	0.836734693877551	0.887096774193548	0.903225806451613	0.892307692307692	0.933333333333333	0.967741935483871	0.930555555555556	0.94	0.932203389830508	0.918032786885246	0.890625	0.949152542372881	0.920634920634921	0.890909090909091	0.943396226415094	0.838709677419355	0.933333333333333	0.872727272727273	0.962962962962963	0.964912280701754	0.916666666666667	0.985294117647059	0.964912280701754	0.941176470588235	0.841269841269841	0.983606557377049	0.981481481481482	0.949152542372881	0.962264150943396	0.952380952380952	0.932203389830508	0.955882352941177	0.974358974358974	0.916666666666667	0.875	0.967741935483871	0.821917808219178	0.895522388059702	0.901639344262295	0.967741935483871	0.980769230769231	0.892857142857143	0.962962962962963	0.910714285714286	0.915254237288136	0.930555555555556	0.901408450704225	0.885245901639344	0.862068965517241	0.928571428571429	0.936507936507937	0.945205479452055	0.854545454545454	0.932203389830508	0.915254237288136	0.957142857142857	0.938461538461538	0.943661971830986	0.894736842105263	0.927272727272727	0.872727272727273	0.903846153846154	0.946428571428571	0.888888888888889	0.836734693877551	0.961538461538462	0.964912280701754	0.924528301886792	0.935064935064935	0.955223880597015	0.986301369863014	0.969230769230769	0.981818181818182	0.90625	0.984375	0.945454545454545	0.955882352941177	0.903225806451613	0.88135593220339	0.94	0.927272727272727	0.98	0.944444444444444	0.967213114754098	0.926470588235294	0.940298507462687	0.96551724137931	0.971428571428571	0.901639344262295	0.919354838709677	1	0.982456140350877	0.980769230769231	0.909090909090909	0.96	0.916666666666667	1	0.943396226415094	0.92156862745098	0.912280701754386	0.91304347826087	0.891304347826087	0.964285714285714	0.941176470588235	0.980769230769231	0.979591836734694
"X85684"	0.932203389830508	0.947368421052632	0.864406779661017	0.890625	0.932203389830508	0.905660377358491	0.901639344262295	0.87719298245614	0.825396825396825	0	0.92	0.8	0.883720930232558	0.951612903225806	0.923076923076923	0.82	0.943661971830986	0.864406779661017	0.879310344827586	0.909090909090909	0.795918367346939	0.927272727272727	0.818181818181818	0.887096774193548	0.930555555555556	0.942307692307692	0.898305084745763	0.795454545454545	0.859649122807018	0.915254237288136	0.96969696969697	0.947368421052632	0.947368421052632	0.91044776119403	0.934782608695652	0.927272727272727	0.872727272727273	0.936507936507937	0.964285714285714	0.967741935483871	0.944444444444444	0.938775510204082	0.9375	0.947368421052632	0.964285714285714	0.938775510204082	0.942307692307692	0.983333333333333	0.984375	0.981481481481482	0.9375	0.954545454545455	0.982456140350877	0.959183673469388	0.925925925925926	0.98	0.931034482758621	0.964912280701754	0.919354838709677	0.972972972972973	0.884615384615385	0.953846153846154	0.947368421052632	0.921052631578947	0.923076923076923	0.967213114754098	0.983050847457627	0.957446808510638	0.905660377358491	0.938775510204082	1	0.96551724137931	0.971830985915493	0.986301369863014	0.950819672131147	0.892857142857143	0.962962962962963	0.983870967741935	0.986111111111111	0.927272727272727	0.927272727272727	0.96551724137931	0.938461538461538	0.951612903225806	0.907692307692308	0.947368421052632	0.942307692307692	0.884615384615385	0.918367346938776	0.962264150943396	0.929577464788732	0.94	0.986842105263158	0.9	0.94	0.916666666666667	0.984615384615385	0.955223880597015	0.894736842105263	0.96	0.96875	0.983333333333333	0.961538461538462	0.984848484848485	0.933333333333333	0.983606557377049	0.979166666666667	0.942307692307692	0.906976744186046	0.895833333333333	0.907407407407407	0.887096774193548	0.919354838709677	0.88	0.903225806451613	0.875	0.913793103448276	1	0.961538461538462	0.979166666666667	0.901960784313726	0.956521739130435	0.87037037037037	0.980769230769231	0.938775510204082	0.914893617021277	0.925925925925926	0.904761904761905	0.955555555555556	0.961538461538462	0.936170212765957	0.957446808510638	0.977777777777778
