"Sample"	"X84498"	"X85230"	"X85239"	"X86149"	"X86687"	"X86918"	"X87223"	"X90164"	"X90375"	"X91414"	"X91856"	"X91911"	"X92119"	"X92750"	"X93208"	"X93413"	"X93508"	"X84583"	"X84642"	"X84646"	"X84668"	"X84720"	"X85516"	"X86641"	"X87148"	"X87319"	"X87806"	"X87824"	"X87859"	"X88738"	"X88851"	"X88982"	"X88984"	"X89068"	"X89122"	"X90571"	"X91064"	"X91683"	"X91725"	"X92160"	"X92568"	"X93374"	"X84611"	"X87127"	"X91356"	"X91643"	"X92918"	"X83832"	"X85325"	"X87322"	"X93016"	"X91128"	"X85711"	"X87084"	"X90653"	"X92524"	"X86192"	"X90582"	"X87503"	"X87778"	"X92929"	"X85016"	"X88244"	"X92299"	"X92849"	"X90156"	"X83757"	"X83887"	"X89014"	"X92085"	"X84217"	"X90210"	"X86143"	"X83891"	"X93113"	"X84051"	"X85249"	"X84796"	"X85618"	"X92814"	"X93532"	"X92554"	"X88848"	"X89402"	"X87560"	"X91069"	"X92409"	"X92901"	"X91865"	"X87783"	"X85166"	"X92872"	"X85867"	"X88046"	"X93196"	"X86239"	"X89028"	"X91010"	"X93608"	"X87081"	"X84805"	"X85233"	"X88908"	"X89288"	"X90075"	"X90859"	"X92368"	"X85756"	"X87870"	"X91702"	"X89395"	"X85522"	"X89565"	"X89652"	"X90000"	"X87641"	"X87454"	"X91482"	"X92407"	"X85614"	"X87638"	"X85192"	"X93052"	"X90677"	"X90409"	"X93438"	"X93286"	"X92703"	"X92562"	"X87577"	"X92386"	"X93386"	"X91507"	"X85368"	"X89400"	"X89168"	"X85761"	"X88518"	"X89616"	"X89253"
"X84498"	0	0.88135593220339	0.936170212765957	0.932203389830508	0.955882352941177	0.951612903225806	0.938461538461538	0.919354838709677	0.947368421052632	0.903225806451613	0.945205479452055	0.92156862745098	0.943396226415094	0.941176470588235	0.944444444444444	0.925	0.920634920634921	0.934426229508197	0.911764705882353	0.961538461538462	0.895522388059702	0.934426229508197	0.940298507462687	0.955223880597015	0.950819672131147	0.919354838709677	0.95	0.945454545454545	0.902777777777778	0.954545454545455	0.929824561403509	0.96551724137931	0.96875	0.972222222222222	0.952380952380952	0.959183673469388	0.952941176470588	0.967391304347826	0.887096774193548	0.929824561403509	0.9375	0.888888888888889	1	1	0.972972972972973	0.928571428571429	0.964285714285714	0.90625	0.924242424242424	0.987179487179487	0.971014492753623	0.96969696969697	0.986486486486487	0.954545454545455	0.985507246376812	1	0.985074626865672	0.984126984126984	0.967741935483871	1	0.963636363636364	0.986842105263158	0.974025974025974	0.962264150943396	0.9875	1	0.986666666666667	1	0.945205479452055	0.972972972972973	0.936507936507937	0.974025974025974	1	0.967213114754098	1	1	0.981818181818182	1	0.964912280701754	0.913793103448276	0.984375	1	1	0.987179487179487	0.884615384615385	1	1	1	0.901408450704225	0.962264150943396	1	0.98876404494382	0.983050847457627	1	0.983870967741935	0.962264150943396	0.987654320987654	0.970588235294118	0.984848484848485	0.888888888888889	0.971830985915493	0.981132075471698	1	1	0.944444444444444	0.984375	1	0.984848484848485	0.984848484848485	1	0.892307692307692	0.95	0.987179487179487	1	0.984375	0.987654320987654	0.985507246376812	1	0.982142857142857	0.94	1	0.98	0.963636363636364	0.957446808510638	1	1	0.984848484848485	1	0.983606557377049	0.964285714285714	0.940298507462687	1	1	1	0.980769230769231	0.979591836734694	0.969230769230769	0.949152542372881	1	0.957446808510638
"X85230"	0.88135593220339	0	0.829268292682927	0.910714285714286	0.954545454545455	0.913793103448276	0.901639344262295	0.916666666666667	0.945945945945946	0.918032786885246	0.91304347826087	0.872340425531915	0.941176470588235	0.893617021276596	0.92156862745098	0.909090909090909	0.935483870967742	0.95	0.875	0.917808219178082	0.925373134328358	0.932203389830508	0.954545454545455	0.96969696969697	0.949152542372881	0.916666666666667	0.962025316455696	0.943396226415094	0.867647058823529	0.919354838709677	0.927272727272727	0.964705882352941	0.950819672131147	0.971428571428571	0.915254237288136	0.934782608695652	0.951807228915663	0.905882352941176	0.919354838709677	0.886792452830189	0.952380952380952	0.939759036144578	1	1	0.972222222222222	0.971830985915493	0.981818181818182	0.953846153846154	0.954545454545455	0.973333333333333	0.904761904761905	0.96875	0.971830985915493	0.984848484848485	0.953846153846154	1	0.984615384615385	0.983606557377049	0.931034482758621	0.988235294117647	0.962264150943396	0.986486486486487	0.973333333333333	0.94	0.960526315789474	1	0.957746478873239	0.982758620689655	0.972602739726027	0.986301369863014	0.934426229508197	0.930555555555556	1	0.983333333333333	1	0.967741935483871	1	0.928571428571429	0.903846153846154	0.929824561403509	0.983870967741935	0.986111111111111	1	0.973333333333333	0.962962962962963	1	1	0.958333333333333	0.958904109589041	0.980769230769231	0.967213114754098	0.976744186046512	0.964285714285714	0.929824561403509	1	0.980769230769231	0.933333333333333	0.985074626865672	0.951612903225806	0.9375	1	1	0.982758620689655	0.983333333333333	0.911764705882353	0.983870967741935	0.958904109589041	0.968253968253968	0.934426229508197	0.979591836734694	0.955223880597015	0.966101694915254	0.915492957746479	0.983333333333333	0.854545454545454	0.918918918918919	0.985074626865672	0.967741935483871	0.92156862745098	0.959183673469388	0.982142857142857	0.979166666666667	0.981481481481482	0.906976744186046	1	0.934426229508197	0.934426229508197	1	0.947368421052632	0.962962962962963	0.954545454545455	1	0.972972972972973	0.98	0.959183673469388	0.933333333333333	0.968253968253968	0.983050847457627	0.980392156862745	0.955555555555556
"X85239"	0.936170212765957	0.829268292682927	0	0.846153846153846	0.895833333333333	0.880952380952381	0.891304347826087	0.833333333333333	0.912280701754386	0.888888888888889	0.865384615384615	0.878787878787879	0.8125	0.714285714285714	0.885714285714286	0.920634920634921	0.91304347826087	0.931818181818182	0.923076923076923	0.932203389830508	0.857142857142857	0.931818181818182	0.918367346938776	0.96	0.930232558139535	0.886363636363636	0.952380952380952	0.888888888888889	0.929824561403509	0.914893617021277	0.897435897435897	0.956521739130435	0.909090909090909	0.943396226415094	0.857142857142857	0.777777777777778	0.940298507462687	0.930555555555556	0.891304347826087	0.897435897435897	0.936170212765957	0.956521739130435	0.959183673469388	0.957446808510638	0.945454545454545	0.982142857142857	0.947368421052632	0.938775510204082	0.96078431372549	0.983333333333333	0.96078431372549	0.958333333333333	1	0.9375	0.980392156862745	0.918918918918919	0.958333333333333	0.977777777777778	0.977777777777778	0.970588235294118	0.973684210526316	0.982758620689655	0.929824561403509	0.942857142857143	1	0.96	0.964285714285714	0.976190476190476	0.946428571428571	0.964285714285714	0.911111111111111	0.948275862068966	0.961538461538462	0.953488372093023	0.970588235294118	0.956521739130435	0.944444444444444	0.926829268292683	0.948717948717949	0.928571428571429	0.931818181818182	0.924528301886792	0.958333333333333	0.983333333333333	0.888888888888889	0.974358974358974	0.959183673469388	0.96969696969697	0.928571428571429	0.942857142857143	0.955555555555556	0.956521739130435	0.923076923076923	0.902439024390244	0.928571428571429	0.942857142857143	0.984126984126984	0.96	0.957446808510638	0.893617021276596	0.962264150943396	0.909090909090909	0.925	0.928571428571429	0.945454545454545	0.955555555555556	0.928571428571429	0.911111111111111	0.979166666666667	0.9375	0.981132075471698	0.977272727272727	1	1	0.978260869565217	0.967741935483871	0.96	0.956521739130435	0.945945945945946	1	0.975	0.935483870967742	0.973684210526316	0.892857142857143	0.970588235294118	0.934782608695652	0.934782608695652	1	0.976744186046512	0.974358974358974	0.94	0.975	0.952380952380952	0.939393939393939	0.970588235294118	0.933333333333333	0.957446808510638	0.976744186046512	0.941176470588235	0.966666666666667
"X86149"	0.932203389830508	0.910714285714286	0.846153846153846	0	0.918032786885246	0.888888888888889	0.933333333333333	0.892857142857143	0.928571428571429	0.854545454545454	0.909090909090909	0.936170212765957	0.840909090909091	0.86046511627907	0.893617021276596	0.92	0.913793103448276	0.928571428571429	0.938461538461538	0.944444444444444	0.887096774193548	0.947368421052632	0.952380952380952	0.898305084745763	0.964912280701754	0.931034482758621	0.960526315789474	0.895833333333333	0.972222222222222	0.950819672131147	0.943396226415094	0.9375	0.910714285714286	0.938461538461538	0.890909090909091	0.878048780487805	0.923076923076923	0.888888888888889	0.896551724137931	0.923076923076923	0.95	0.950617283950617	0.950819672131147	0.931034482758621	0.924242424242424	0.955223880597015	0.96078431372549	0.968253968253968	0.984615384615385	0.942857142857143	0.935483870967742	0.932203389830508	1	0.950819672131147	0.968253968253968	0.94	0.95	0.982758620689655	0.946428571428571	0.949367088607595	0.980392156862745	0.971428571428571	0.957746478873239	0.958333333333333	0.986666666666667	0.968253968253968	0.924242424242424	0.962962962962963	0.971428571428571	0.971014492753623	0.949152542372881	0.927536231884058	0.984848484848485	0.945454545454545	0.978723404255319	0.948275862068966	0.914893617021277	0.944444444444444	0.981132075471698	0.982456140350877	0.947368421052632	0.939393939393939	0.932203389830508	0.972222222222222	0.94	0.980769230769231	0.950819672131147	0.931818181818182	0.957142857142857	0.958333333333333	0.947368421052632	0.924050632911392	0.962264150943396	0.884615384615385	0.925925925925926	0.958333333333333	0.945205479452055	0.968253968253968	0.966666666666667	0.951612903225806	0.96969696969697	0.911111111111111	0.962962962962963	0.925925925925926	0.924242424242424	0.928571428571429	0.942028985507246	0.931034482758621	0.966666666666667	0.955555555555556	1	0.945454545454545	0.927536231884058	0.982456140350877	0.96551724137931	0.959459459459459	0.951612903225806	0.948275862068966	0.980392156862745	1	0.961538461538462	0.930232558139535	0.916666666666667	0.976744186046512	0.933333333333333	0.983606557377049	0.983606557377049	1	1	1	0.96875	0.981132075471698	0.970588235294118	0.956521739130435	0.978723404255319	0.977272727272727	0.931034482758621	0.903846153846154	0.957446808510638	0.952380952380952
"X86687"	0.955882352941177	0.954545454545455	0.895833333333333	0.918032786885246	0	0.903225806451613	0.941176470588235	0.923076923076923	0.949367088607595	0.940298507462687	0.918918918918919	0.925925925925926	0.907407407407407	0.903846153846154	0.928571428571429	0.952941176470588	0.890625	0.903225806451613	0.945205479452055	0.95	0.945205479452055	0.96969696969697	0.927536231884058	0.971830985915493	0.936507936507937	0.939393939393939	0.964285714285714	0.929824561403509	0.948717948717949	0.925373134328358	0.967741935483871	0.943181818181818	0.954545454545455	0.945205479452055	0.938461538461538	0.875	0.954545454545455	0.898876404494382	0.941176470588235	0.915254237288136	0.955882352941177	0.943181818181818	0.985915492957746	0.939393939393939	0.932432432432432	0.96	0.983333333333333	0.957142857142857	0.986301369863014	0.987654320987654	0.957746478873239	0.985714285714286	0.96	0.925373134328358	0.986111111111111	0.948275862068966	0.940298507462687	0.936507936507937	0.984848484848485	0.929411764705882	0.983050847457627	0.961038961038961	0.962025316455696	0.982456140350877	0.936708860759494	0.91044776119403	0.960526315789474	0.984126984126984	0.947368421052632	0.946666666666667	0.985507246376812	0.962025316455696	0.986486486486487	0.952380952380952	0.962962962962963	0.921875	0.964912280701754	0.951612903225806	1	0.984615384615385	0.96969696969697	0.945945945945946	0.890625	0.962025316455696	0.948275862068966	0.948275862068966	0.909090909090909	0.981481481481482	0.974683544303797	0.982456140350877	0.985074626865672	0.955056179775281	0.967213114754098	0.935483870967742	0.96875	0.982456140350877	0.988095238095238	0.957142857142857	0.939393939393939	0.971830985915493	0.972972972972973	0.963636363636364	0.915254237288136	0.918032786885246	0.987179487179487	0.985074626865672	0.961538461538462	0.970588235294118	0.985507246376812	0.962264150943396	1	0.984615384615385	1	0.984615384615385	1	0.988095238095238	0.942028985507246	0.985294117647059	0.983050847457627	1	0.966666666666667	0.981132075471698	0.983050847457627	0.980392156862745	0.981818181818182	0.939393939393939	0.985507246376812	0.948275862068966	0.984375	1	0.972222222222222	0.949152542372881	0.976190476190476	0.901960784313726	0.943396226415094	0.980769230769231	0.985507246376812	0.984375	0.944444444444444	0.980392156862745
"X86918"	0.951612903225806	0.913793103448276	0.880952380952381	0.888888888888889	0.903225806451613	0	0.9	0.896551724137931	0.945205479452055	0.934426229508197	0.878787878787879	0.938775510204082	0.895833333333333	0.891304347826087	0.92	0.907894736842105	0.879310344827586	0.949152542372881	0.924242424242424	0.901408450704225	0.854838709677419	0.872727272727273	0.903225806451613	0.901639344262295	0.948275862068966	0.933333333333333	0.948051948051948	0.92156862745098	0.958904109589041	0.9	0.925925925925926	0.9125	0.95	0.940298507462687	0.788461538461538	0.883720930232558	0.868421052631579	0.904761904761905	0.88135593220339	0.905660377358491	0.934426229508197	0.9125	0.984615384615385	0.950819672131147	0.926470588235294	0.956521739130435	0.962264150943396	0.953125	0.985074626865672	0.914285714285714	0.953846153846154	0.968253968253968	0.971428571428571	0.984615384615385	0.919354838709677	0.962264150943396	0.984375	1	1	0.950617283950617	1	0.942857142857143	0.958904109589041	0.893617021276596	0.973684210526316	0.984848484848485	0.926470588235294	0.925925925925926	0.957746478873239	0.957142857142857	0.933333333333333	0.914285714285714	0.970149253731343	0.96551724137931	0.979591836734694	0.932203389830508	0.96078431372549	0.886792452830189	0.857142857142857	0.983050847457627	0.949152542372881	0.892307692307692	0.984375	0.914285714285714	0.92156862745098	1	0.918032786885246	0.804878048780488	0.91304347826087	0.938775510204082	0.949152542372881	0.9125	0.963636363636364	0.96551724137931	0.983050847457627	1	0.902777777777778	0.953125	0.967741935483871	0.936507936507937	0.955223880597015	0.914893617021277	0.925925925925926	0.909090909090909	0.926470588235294	0.931034482758621	0.897058823529412	0.915254237288136	0.915254237288136	0.957446808510638	1	0.96551724137931	0.944444444444444	0.96551724137931	0.931034482758621	0.946666666666667	0.883333333333333	0.983870967741935	0.961538461538462	0.936170212765957	1	0.933333333333333	0.897959183673469	1	1	0.933333333333333	0.967741935483871	1	0.982758620689655	0.962264150943396	0.985074626865672	1	1	0.888888888888889	0.91304347826087	0.931818181818182	0.950819672131147	1	0.914893617021277	1
"X87223"	0.938461538461538	0.901639344262295	0.891304347826087	0.933333333333333	0.941176470588235	0.9	0	0.885245901639344	0.948051948051948	0.921875	0.916666666666667	0.88	0.924528301886792	0.9	0.925925925925926	0.925925925925926	0.921875	0.918032786885246	0.928571428571429	0.921052631578947	0.897058823529412	0.935483870967742	0.875	0.971014492753623	0.968253968253968	0.920634920634921	0.963414634146341	0.865384615384615	0.888888888888889	0.90625	0.931034482758621	0.916666666666667	0.936507936507937	0.943661971830986	0.883333333333333	0.916666666666667	0.902439024390244	0.933333333333333	0.888888888888889	0.912280701754386	0.904761904761905	0.954022988505747	0.955223880597015	0.920634920634921	0.945205479452055	0.944444444444444	0.982758620689655	0.940298507462687	0.971428571428571	0.974358974358974	0.971428571428571	0.985294117647059	0.958904109589041	0.970588235294118	0.940298507462687	0.982758620689655	0.954545454545455	0.968253968253968	0.968253968253968	0.977011494252874	0.964285714285714	0.96	0.961038961038961	0.962962962962963	0.987654320987654	0.985714285714286	0.945205479452055	0.912280701754386	0.973684210526316	0.915492957746479	0.920634920634921	0.933333333333333	0.971830985915493	0.950819672131147	0.941176470588235	0.919354838709677	0.944444444444444	0.932203389830508	0.947368421052632	0.984126984126984	0.918032786885246	0.944444444444444	0.954545454545455	0.947368421052632	0.964912280701754	0.982758620689655	0.888888888888889	0.94	0.902777777777778	0.88	0.952380952380952	0.916666666666667	0.948275862068966	0.933333333333333	0.967741935483871	0.88	0.907894736842105	0.907692307692308	0.903225806451613	0.907692307692308	0.986301369863014	0.981481481481482	0.966666666666667	0.984126984126984	0.945205479452055	0.984615384615385	0.946666666666667	0.96969696969697	0.920634920634921	0.94	0.957142857142857	0.967741935483871	0.974358974358974	0.984126984126984	0.935483870967742	0.935897435897436	0.940298507462687	0.953125	0.925925925925926	0.961538461538462	0.983050847457627	0.980392156862745	0.945454545454545	0.936170212765957	0.961538461538462	0.9375	0.920634920634921	1	0.983870967741935	0.964912280701754	0.909090909090909	0.983050847457627	0.975	0.941176470588235	0.92	0.98	0.9375	0.967213114754098	0.942307692307692	0.936170212765957
"X90164"	0.919354838709677	0.916666666666667	0.833333333333333	0.892857142857143	0.923076923076923	0.896551724137931	0.885245901639344	0	0.946666666666667	0.936507936507937	0.929577464788732	0.851063829787234	0.829787234042553	0.847826086956522	0.88	0.950617283950617	0.936507936507937	0.950819672131147	0.957142857142857	0.918918918918919	0.841269841269841	0.950819672131147	0.955223880597015	0.938461538461538	0.95	0.9	0.9625	0.944444444444444	0.901408450704225	0.953846153846154	0.928571428571429	0.927710843373494	0.951612903225806	0.957142857142857	0.916666666666667	0.888888888888889	0.952380952380952	0.906976744186046	0.866666666666667	0.928571428571429	0.864406779661017	0.901234567901235	0.9375	0.9	0.958333333333333	0.942857142857143	0.963636363636364	0.970149253731343	0.870967741935484	0.96	0.970588235294118	0.936507936507937	0.942857142857143	0.903225806451613	0.985294117647059	0.944444444444444	0.969230769230769	0.983870967741935	0.967213114754098	0.951807228915663	0.962962962962963	0.986666666666667	0.931506849315068	0.92	1	0.970149253731343	0.958333333333333	0.983050847457627	0.898550724637681	0.880597014925373	0.821428571428571	0.931506849315068	0.940298507462687	0.949152542372881	0.938775510204082	0.898305084745763	0.942307692307692	0.890909090909091	1	0.949152542372881	0.857142857142857	0.957746478873239	0.936507936507937	0.987012987012987	0.944444444444444	0.963636363636364	0.885245901639344	0.98	0.9	0.851063829787234	0.984126984126984	0.901234567901235	0.907407407407407	0.830188679245283	0.912280701754386	0.92	0.948051948051948	0.921875	0.9	0.921875	0.956521739130435	0.94	0.96551724137931	0.949152542372881	0.897058823529412	0.967741935483871	0.9	0.952380952380952	0.96875	0.98	0.985714285714286	0.983606557377049	0.96	1	0.967741935483871	0.9875	0.954545454545455	0.984375	0.943396226415094	0.980392156862745	0.982456140350877	0.936170212765957	0.88	0.933333333333333	0.980392156862745	0.952380952380952	0.96875	1	0.929824561403509	1	0.955223880597015	0.982456140350877	0.973684210526316	0.96	0.980392156862745	0.911111111111111	0.96875	0.983333333333333	0.96078431372549	0.978723404255319
"X90375"	0.947368421052632	0.945945945945946	0.912280701754386	0.928571428571429	0.949367088607595	0.945205479452055	0.948051948051948	0.946666666666667	0	0.873239436619718	0.927710843373494	0.936507936507937	0.866666666666667	0.935483870967742	0.954545454545455	0.946236559139785	0.918918918918919	0.959459459459459	0.951219512195122	0.918604651162791	0.925	0.959459459459459	0.9625	0.962025316455696	0.944444444444444	0.974025974025974	0.921348314606742	0.970588235294118	0.965909090909091	0.974683544303797	0.957142857142857	0.926315789473684	0.973684210526316	0.963855421686747	0.945945945945946	0.95	0.913978494623656	0.971153846153846	0.948051948051948	0.926470588235294	0.933333333333333	0.959183673469388	0.9875	0.987179487179487	0.976744186046512	0.988372093023256	0.955223880597015	0.962025316455696	0.98780487804878	0.97752808988764	0.975308641975309	0.974358974358974	0.988372093023256	0.974683544303797	0.948717948717949	0.955223880597015	0.961038961038961	0.986666666666667	0.986666666666667	0.98989898989899	0.985294117647059	0.977011494252874	0.941860465116279	0.969230769230769	0.978021978021978	0.975	0.988505747126437	1	0.94047619047619	0.952380952380952	0.987179487179487	0.954022988505747	0.975609756097561	0.943661971830986	1	0.987012987012987	0.985074626865672	0.986301369863014	0.985714285714286	1	0.930555555555556	0.925925925925926	0.987341772151899	0.988888888888889	0.923076923076923	1	0.9875	0.984126984126984	0.941176470588235	0.936507936507937	1	0.96969696969697	0.909090909090909	0.972602739726027	0.91304347826087	1	1	0.975	0.974025974025974	0.921052631578947	1	0.984615384615385	0.986111111111111	0.986486486486487	1	0.973333333333333	0.98876404494382	0.987179487179487	0.987179487179487	1	0.987951807228916	0.986486486486487	0.988888888888889	1	0.986842105263158	0.989247311827957	1	1	0.985294117647059	0.984375	0.971014492753623	0.983870967741935	0.985294117647059	0.983333333333333	1	1	0.974025974025974	1	0.986301369863014	0.985507246376812	0.975308641975309	0.985714285714286	1	1	0.984375	0.966666666666667	1	0.972222222222222	0.984615384615385	0.929824561403509
"X91414"	0.903225806451613	0.918032786885246	0.888888888888889	0.854545454545454	0.940298507462687	0.934426229508197	0.921875	0.936507936507937	0.873239436619718	0	0.930555555555556	0.9	0.923076923076923	0.92	0.903846153846154	0.883116883116883	0.920634920634921	0.934426229508197	0.927536231884058	0.934210526315789	0.878787878787879	0.934426229508197	0.955882352941177	0.870967741935484	0.933333333333333	0.936507936507937	0.923076923076923	0.945454545454545	0.960526315789474	0.954545454545455	0.948275862068966	0.953488372093023	0.952380952380952	0.957746478873239	0.918032786885246	0.9375	0.914634146341463	0.944444444444444	0.938461538461538	0.929824561403509	0.9375	0.928571428571429	0.985294117647059	0.953125	0.972972972972973	0.928571428571429	0.982456140350877	0.970588235294118	0.971014492753623	0.974025974025974	0.955882352941177	0.96969696969697	0.986486486486487	0.954545454545455	0.923076923076923	0.982456140350877	0.96969696969697	0.967741935483871	0.950819672131147	0.939759036144578	0.924528301886792	0.973333333333333	0.902777777777778	0.981481481481482	0.9875	0.985507246376812	0.914285714285714	0.966101694915254	0.915492957746479	0.972972972972973	0.984848484848485	0.932432432432432	0.941176470588235	0.95	0.980769230769231	0.952380952380952	0.923076923076923	0.949152542372881	0.946428571428571	0.932203389830508	0.968253968253968	0.928571428571429	0.985074626865672	0.960526315789474	0.982456140350877	0.982456140350877	0.970149253731343	0.96	0.973684210526316	0.981481481481482	0.984375	0.941176470588235	0.909090909090909	0.967213114754098	0.913793103448276	0.962264150943396	0.921052631578947	0.939393939393939	0.969230769230769	0.923076923076923	0.971830985915493	0.961538461538462	1	0.967213114754098	0.914285714285714	0.916666666666667	0.973684210526316	0.936507936507937	0.953125	0.96	0.985915492957746	0.95	0.932432432432432	0.967213114754098	0.916666666666667	0.948717948717949	0.970588235294118	0.935483870967742	0.882352941176471	0.980769230769231	0.964912280701754	0.959183673469388	0.944444444444444	0.934782608695652	0.980769230769231	0.984848484848485	0.969230769230769	0.964285714285714	0.983606557377049	0.964285714285714	0.940298507462687	0.982758620689655	0.947368421052632	0.980769230769231	0.96078431372549	0.958333333333333	0.984848484848485	0.966666666666667	0.981132075471698	0.886363636363636
