"Sample"	"X84431"	"X87426"	"X90522"	"X91183"	"X83995"	"X84950"	"X85898"	"X86021"	"X86054"	"X86417"	"X87265"	"X87684"	"X89735"	"X90391"	"X90581"	"X90696"	"X91670"	"X92614"	"X93048"	"X93489"	"X93663"	"X84413"	"X84593"	"X85634"	"X86034"	"X87375"	"X87757"	"X87805"	"X88126"	"X89087"	"X91259"	"X91830"	"X92254"	"X92702"	"X88661"	"X90473"	"X90813"	"X91549"	"X92074"	"X93624"	"X84169"	"X90815"	"X92486"	"X84702"	"X90585"	"X87872"	"X92964"	"X87506"	"X88146"	"X92393"	"X88132"	"X85374"	"X91252"	"X87333"	"X88637"	"X89491"	"X90009"	"X92418"	"X93451"	"X92199"	"X92275"	"X91594"	"X85007"	"X85946"	"X86296"	"X88425"	"X88575"	"X93282"	"X85825"	"X87138"	"X88222"	"X91442"	"X93547"	"X85630"	"X90396"	"X84612"	"X84926"	"X86183"	"X90004"	"X92841"	"X86747"	"X89891"	"X91364"	"X91966"	"X91131"	"X83866"	"X87857"	"X91976"	"X86718"	"X84808"	"X86284"	"X93063"	"X93044"	"X88545"	"X86487"	"X86540"	"X93373"	"X84195"	"X88350"	"X84030"	"X84368"	"X92390"	"X86897"	"X91292"	"X88337"	"X91952"	"X89204"	"X92987"	"X88075"
"X84431"	0	0.781818181818182	0.742424242424242	0.761904761904762	0.961538461538462	0.91025641025641	0.96	0.91304347826087	0.962264150943396	0.943396226415094	0.944444444444444	0.959459459459459	0.948275862068966	0.955882352941177	0.958333333333333	0.921052631578947	0.957142857142857	0.966101694915254	0.890909090909091	0.939024390243902	0.87037037037037	0.909090909090909	0.972972972972973	0.891891891891892	0.935897435897436	0.966101694915254	0.9875	0.924242424242424	0.945205479452055	0.981481481481482	0.975308641975309	0.978494623655914	0.968253968253968	0.952380952380952	0.940298507462687	0.925925925925926	0.947368421052632	0.855072463768116	0.898305084745763	0.921052631578947	0.92	0.893939393939394	0.887323943661972	0.890909090909091	0.985714285714286	1	0.987179487179487	0.966292134831461	0.9625	0.986301369863014	0.947368421052632	0.925373134328358	0.985074626865672	0.972222222222222	0.985074626865672	0.955223880597015	0.984126984126984	0.982758620689655	1	0.968253968253968	1	0.955882352941177	0.983870967741935	0.945454545454545	1	0.98	0.987179487179487	0.9125	1	1	0.981132075471698	0.986666666666667	0.984375	0.985074626865672	0.985074626865672	0.984126984126984	0.984615384615385	0.955882352941177	0.924528301886792	0.971428571428571	0.96551724137931	0.984615384615385	0.981481481481482	1	0.939024390243902	0.987654320987654	0.944444444444444	0.968253968253968	1	0.953846153846154	0.942307692307692	1	0.938461538461538	0.984126984126984	0.96875	0.910714285714286	0.983870967741935	0.982456140350877	0.984848484848485	0.958333333333333	0.96551724137931	0.962962962962963	0.952380952380952	0.905660377358491	0.96551724137931	0.923076923076923	0.905660377358491	1	0.944444444444444
"X87426"	0.781818181818182	0	0.857142857142857	0.846153846153846	0.98	0.948717948717949	0.979166666666667	0.956521739130435	0.96	0.94	0.92	0.972222222222222	0.964285714285714	0.96969696969697	0.956521739130435	0.932432432432432	0.955223880597015	0.964285714285714	0.964285714285714	0.975609756097561	0.982456140350877	0.938461538461538	0.971830985915493	0.917808219178082	0.947368421052632	0.945454545454545	0.96	0.953846153846154	0.942857142857143	0.916666666666667	0.961038961038961	0.904761904761905	0.892857142857143	0.967213114754098	0.9375	0.981481481481482	0.986842105263158	0.972972972972973	0.931034482758621	0.946666666666667	0.885714285714286	0.813559322033898	0.865671641791045	0.945454545454545	1	0.95	0.944444444444444	0.988636363636364	0.961038961038961	0.985714285714286	0.963636363636364	0.938461538461538	0.968253968253968	0.985714285714286	0.968253968253968	0.969230769230769	0.966101694915254	0.943396226415094	0.988235294117647	0.983606557377049	0.987179487179487	0.9375	0.983050847457627	0.981481481481482	1	0.956521739130435	0.986666666666667	0.962962962962963	0.986486486486487	0.982758620689655	0.98	0.986111111111111	0.983606557377049	0.984375	0.951612903225806	0.910714285714286	0.967213114754098	1	0.981132075471698	0.985294117647059	0.982142857142857	0.967213114754098	0.980392156862745	0.984375	0.962962962962963	0.946666666666667	0.966292134831461	0.983606557377049	1	0.934426229508197	0.938775510204082	1	0.96875	0.948275862068966	0.983870967741935	0.945454545454545	0.983050847457627	0.981481481481482	0.984126984126984	0.931818181818182	0.924528301886792	0.872340425531915	1	0.981481481481482	0.982142857142857	0.895833333333333	0.962264150943396	1	0.981132075471698
"X90522"	0.742424242424242	0.857142857142857	0	0.802631578947368	0.936507936507937	0.934782608695652	0.934426229508197	0.886075949367089	0.903225806451613	0.970149253731343	0.870967741935484	0.977272727272727	0.957746478873239	0.88	0.964705882352941	0.956043956043956	0.938271604938272	0.942857142857143	0.895522388059702	0.947368421052632	0.861538461538462	0.9375	0.965116279069767	0.932584269662921	0.921348314606742	0.972222222222222	0.955555555555556	0.962962962962963	0.977272727272727	0.953846153846154	0.978723404255319	0.951456310679612	0.945945945945946	0.917808219178082	0.987951807228916	1	1	0.917647058823529	0.973684210526316	0.932584269662921	0.931818181818182	0.911392405063291	0.930232558139535	0.972222222222222	0.975609756097561	0.974025974025974	0.989010989010989	0.96039603960396	0.945054945054945	0.976470588235294	0.971830985915493	0.9375	0.9875	0.951807228915663	0.974683544303797	0.975308641975309	0.973333333333333	0.985915492957746	0.9375	0.945945945945946	0.967391304347826	0.962962962962963	0.972972972972973	0.873015873015873	0.987951807228916	0.950819672131147	0.977777777777778	0.91304347826087	0.929411764705882	0.972602739726027	0.984848484848485	0.988636363636364	0.973684210526316	0.961538461538462	1	0.867647058823529	1	0.987951807228916	0.939393939393939	0.9375	0.957142857142857	1	0.96969696969697	0.961538461538462	0.936170212765957	0.956043956043956	0.971428571428571	0.973684210526316	0.985915492957746	0.89041095890411	0.920634920634921	0.961038961038961	0.948717948717949	0.973333333333333	0.974025974025974	0.911764705882353	0.986666666666667	0.985714285714286	0.961038961038961	0.95	0.971830985915493	0.954545454545455	0.944444444444444	0.955882352941177	0.876923076923077	0.921875	0.816666666666667	0.966666666666667	0.870967741935484
"X91183"	0.761904761904762	0.846153846153846	0.802631578947368	0	1	0.943181818181818	0.96551724137931	0.975308641975309	0.983870967741935	0.984126984126984	0.934426229508197	0.988095238095238	0.985294117647059	0.974025974025974	1	0.902439024390244	0.948051948051948	0.954545454545455	0.970149253731343	1	0.954545454545455	0.947368421052632	0.975609756097561	0.941176470588235	0.965909090909091	0.985294117647059	0.965116279069767	0.902777777777778	0.988095238095238	0.983870967741935	0.988888888888889	0.990196078431373	0.986111111111111	0.972222222222222	0.887323943661972	0.952380952380952	0.952380952380952	0.925925925925926	0.926470588235294	0.91566265060241	0.914634146341463	0.905405405405405	0.89873417721519	1	0.932432432432432	0.972222222222222	0.976470588235294	0.98989898989899	0.941860465116279	0.962025316455696	0.96969696969697	0.961038961038961	0.986666666666667	0.962025316455696	0.986666666666667	0.987012987012987	0.985915492957746	0.936507936507937	0.989583333333333	0.986111111111111	0.98876404494382	1	0.955882352941177	0.96875	0.946666666666667	0.964912280701754	1	0.932584269662921	0.963855421686747	1	0.983606557377049	0.962962962962963	1	0.972972972972973	1	0.925373134328358	0.957746478873239	0.946666666666667	0.934426229508197	0.974358974358974	0.96969696969697	0.986301369863014	1	0.972972972972973	0.932584269662921	0.977272727272727	0.95959595959596	0.986111111111111	0.984848484848485	0.986666666666667	0.983870967741935	0.958333333333333	0.930555555555556	0.985915492957746	0.942857142857143	0.954545454545455	0.890625	0.984615384615385	0.972602739726027	0.945454545454545	0.953846153846154	0.984126984126984	0.96	0.984615384615385	0.96969696969697	0.915254237288136	0.918032786885246	0.963636363636364	0.951612903225806
"X83995"	0.961538461538462	0.98	0.936507936507937	1	0	0.954545454545455	0.941176470588235	0.927272727272727	0.916666666666667	0.947368421052632	0.948717948717949	0.948275862068966	0.928571428571429	0.962264150943396	0.964912280701754	0.96875	0.944444444444444	0.928571428571429	0.953488372093023	0.955882352941177	0.953488372093023	0.981818181818182	0.983050847457627	0.96875	0.953125	0.977272727272727	0.968253968253968	0.962264150943396	0.966101694915254	0.945945945945946	0.984848484848485	0.974025974025974	0.957446808510638	0.958333333333333	0.962264150943396	0.975609756097561	0.967741935483871	1	0.957446808510638	0.952380952380952	1	0.982142857142857	0.967213114754098	0.977272727272727	0.981481481481482	1	0.967213114754098	1	1	0.964285714285714	1	0.943396226415094	0.980392156862745	0.982456140350877	0.938775510204082	0.981132075471698	0.978723404255319	0.976190476190476	0.957142857142857	0.957446808510638	0.984615384615385	1	0.931818181818182	0.923076923076923	0.942307692307692	0.90625	0.932203389830508	0.924242424242424	0.966666666666667	0.977777777777778	0.972972972972973	0.983050847457627	1	1	1	1	0.979591836734694	0.981481481481482	1	0.981818181818182	0.976744186046512	0.979591836734694	1	0.980392156862745	0.985714285714286	0.96875	0.974025974025974	0.979166666666667	0.976190476190476	0.980392156862745	0.973684210526316	1	0.96078431372549	0.978723404255319	0.979591836734694	1	1	1	0.914893617021277	1	1	1	1	1	1	0.974358974358974	0.975609756097561	1	1
"X84950"	0.91025641025641	0.948717948717949	0.934782608695652	0.943181818181818	0.954545454545455	0	0.953125	0.928571428571429	0.939393939393939	0.955882352941177	0.892307692307692	0.917647058823529	0.914285714285714	0.938271604938272	0.96551724137931	0.934065934065934	0.871794871794872	0.929577464788732	0.882352941176471	0.914893617021277	0.958904109589041	0.884615384615385	0.954022988505747	0.934065934065934	0.946236559139785	0.898550724637681	0.921348314606742	0.911392405063291	0.954545454545455	0.970588235294118	0.873563218390805	0.877551020408163	0.947368421052632	0.92	0.951219512195122	0.986111111111111	0.978494623655914	0.894117647058824	0.888888888888889	0.922222222222222	0.945054945054945	0.926829268292683	0.919540229885057	0.848484848484849	0.963855421686747	0.92	0.955555555555556	0.919191919191919	0.957446808510638	0.977011494252874	0.880597014925373	0.939024390243902	0.9625	1	0.98780487804878	0.924050632911392	0.960526315789474	0.927536231884058	0.96	0.974358974358974	0.885057471264368	0.883116883116883	0.973684210526316	0.942028985507246	0.963855421686747	0.984615384615385	0.894117647058824	0.926315789473684	0.966666666666667	0.959459459459459	0.938461538461538	0.941860465116279	0.947368421052632	0.975308641975309	0.907894736842105	0.987179487179487	0.934210526315789	0.883116883116883	0.985915492957746	0.925925925925926	0.986486486486487	0.974683544303797	0.985507246376812	0.922077922077922	0.903225806451613	0.897727272727273	0.942307692307692	0.947368421052632	0.957746478873239	0.922077922077922	0.90625	0.935064935064935	0.987951807228916	0.902777777777778	0.934210526315789	0.914285714285714	0.885714285714286	0.971830985915493	0.975	1	0.958333333333333	0.971014492753623	0.946428571428571	0.942028985507246	0.958333333333333	0.971014492753623	1	0.984126984126984	0.956521739130435
"X85898"	0.96	0.979166666666667	0.934426229508197	0.96551724137931	0.941176470588235	0.953125	0	0.944444444444444	0.911764705882353	0.944444444444444	0.885714285714286	0.964912280701754	0.925	0.94	0.963636363636364	0.896551724137931	0.942307692307692	0.925	0.897435897435897	0.921875	0.925	0.981132075471698	0.964285714285714	0.915254237288136	0.898305084745763	0.951219512195122	0.95	0.980769230769231	0.964912280701754	0.942857142857143	0.984375	0.959459459459459	0.955555555555556	0.956521739130435	1	1	1	0.983333333333333	0.978260869565217	0.984126984126984	0.983870967741935	0.981481481481482	0.983333333333333	1	0.980769230769231	0.978723404255319	1	1	0.984375	0.943396226415094	0.923076923076923	0.897959183673469	0.979591836734694	0.981818181818182	0.979591836734694	0.938775510204082	0.977777777777778	0.975	0.985714285714286	0.978260869565217	0.984126984126984	0.980769230769231	0.953488372093023	0.974358974358974	0.918367346938776	0.935483870967742	0.983333333333333	0.970149253731343	0.947368421052632	1	0.971428571428571	0.982456140350877	0.978260869565217	0.91304347826087	0.979591836734694	0.954545454545455	1	0.980769230769231	0.916666666666667	0.875	0.975609756097561	1	1	0.979591836734694	0.985294117647059	0.984126984126984	0.986842105263158	1	0.975	0.979591836734694	0.972222222222222	0.934782608695652	0.98	1	0.978723404255319	0.976190476190476	0.977272727272727	0.947368421052632	0.979166666666667	0.967741935483871	0.975609756097561	1	0.96	0.947368421052632	0.95	0.972972972972973	0.947368421052632	0.892857142857143	0.945945945945946
"X86021"	0.91304347826087	0.956521739130435	0.886075949367089	0.975308641975309	0.927272727272727	0.928571428571429	0.944444444444444	0	0.947368421052632	0.929824561403509	0.931034482758621	0.948717948717949	0.935483870967742	0.944444444444444	0.961038961038961	0.9125	0.96	0.9	0.9	0.917647058823529	0.88135593220339	0.930555555555556	0.961538461538462	0.925925925925926	0.91358024691358	0.918032786885246	0.938271604938272	0.944444444444444	0.891891891891892	0.909090909090909	0.964705882352941	0.924731182795699	0.939393939393939	0.873015873015873	0.944444444444444	0.932203389830508	0.950617283950617	0.894736842105263	0.939393939393939	0.884615384615385	0.963855421686747	0.931506849315068	0.936708860759494	0.88135593220339	0.944444444444444	0.971014492753623	0.923076923076923	0.885057471264368	0.926829268292683	0.855072463768116	0.916666666666667	0.986842105263158	0.841269841269841	0.855072463768116	0.91044776119403	0.958333333333333	0.921875	0.950819672131147	0.894117647058824	0.939393939393939	0.925925925925926	0.898550724637681	0.953846153846154	0.894736842105263	0.972972972972973	0.923076923076923	0.894736842105263	0.904761904761905	0.975308641975309	0.953125	0.946428571428571	0.948051948051948	0.955223880597015	0.957142857142857	0.957142857142857	0.938461538461538	0.955882352941177	0.944444444444444	0.983606557377049	0.9	0.859649122807018	0.940298507462687	0.983050847457627	0.957142857142857	0.917647058823529	0.939024390243902	0.947368421052632	0.939393939393939	0.933333333333333	0.926470588235294	0.867924528301887	0.971428571428571	0.911764705882353	0.970149253731343	0.971014492753623	0.935483870967742	0.96969696969697	0.967213114754098	0.956521739130435	0.962264150943396	0.984375	0.983333333333333	0.934782608695652	0.932203389830508	0.916666666666667	0.948275862068966	0.913793103448276	0.981132075471698	0.830188679245283
"X86054"	0.962264150943396	0.96	0.903225806451613	0.983870967741935	0.916666666666667	0.939393939393939	0.911764705882353	0.947368421052632	0	0.948717948717949	0.923076923076923	0.931034482758621	0.904761904761905	0.923076923076923	0.947368421052632	0.919354838709677	0.964285714285714	0.878048780487805	0.930232558139535	0.956521739130435	0.954545454545455	0.982142857142857	0.966101694915254	0.953125	0.9375	0.977777777777778	0.952380952380952	0.962962962962963	0.983606557377049	0.918918918918919	0.9375	0.961038961038961	0.936170212765957	0.959183673469388	0.981818181818182	0.951219512195122	1	0.967741935483871	0.979591836734694	0.969230769230769	0.96875	0.982456140350877	0.984126984126984	1	1	1	1	1	0.9375	0.982758620689655	0.977272727272727	0.963636363636364	0.980769230769231	0.964912280701754	0.96078431372549	0.962264150943396	0.957446808510638	0.976744186046512	0.957746478873239	0.958333333333333	0.953125	0.981818181818182	0.956521739130435	0.925	0.981818181818182	0.909090909090909	0.950819672131147	0.956521739130435	0.967213114754098	0.931818181818182	1	0.948275862068966	0.958333333333333	1	1	0.957446808510638	1	0.981818181818182	0.975609756097561	0.903846153846154	1	0.98	0.947368421052632	0.96078431372549	0.956521739130435	0.953125	0.987341772151899	1	1	0.94	0.947368421052632	0.980392156862745	0.961538461538462	1	0.9375	0.954545454545455	1	1	0.980392156862745	0.970588235294118	0.977272727272727	0.921052631578947	1	1	0.977272727272727	0.948717948717949	0.925	0.96969696969697	0.975609756097561
"X86417"	0.943396226415094	0.94	0.970149253731343	0.984126984126984	0.947368421052632	0.955882352941177	0.944444444444444	0.929824561403509	0.948717948717949	0	0.897435897435897	0.95	0.906976744186046	0.963636363636364	0.948275862068966	0.9375	0.946428571428571	0.955555555555556	0.955555555555556	0.942028985507246	0.955555555555556	0.945454545454545	0.931034482758621	0.953846153846154	0.954545454545455	0.906976744186046	0.969230769230769	0.944444444444444	0.95	0.948717948717949	0.938461538461538	0.948051948051948	0.9375	0.916666666666667	0.963636363636364	0.976744186046512	0.984615384615385	0.951612903225806	1	0.96969696969697	0.953125	0.964912280701754	0.984375	0.978260869565217	0.963636363636364	0.980392156862745	0.984375	0.987012987012987	0.985294117647059	0.983050847457627	0.904761904761905	0.982456140350877	0.961538461538462	1	0.981132075471698	0.981818181818182	0.979591836734694	0.977272727272727	0.986486486486487	0.98	0.985074626865672	0.982142857142857	0.979166666666667	0.976744186046512	1	0.972222222222222	0.968253968253968	0.986111111111111	0.967741935483871	1	0.974358974358974	0.966666666666667	0.959183673469388	0.981132075471698	0.981132075471698	1	0.980392156862745	0.982142857142857	1	1	0.977777777777778	0.980392156862745	0.975	0.981132075471698	0.971830985915493	0.96969696969697	0.9875	0.98	0.977272727272727	0.981132075471698	0.975	1	0.962264150943396	0.979591836734694	1	0.978260869565217	0.957446808510638	0.976744186046512	0.980769230769231	0.971428571428571	1	0.975609756097561	1	0.976744186046512	1	1	1	1	0.976190476190476
