Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
PHOS	0.264684024463393	-0.0909431579175882	0.220431093077441	0.045668469323423	-0.131677787352479	-0.0318340628390856	0.231219844738774	-0.187733085931487	0.226594870928493	0.0536565775917888
TFAT	0.262347481935407	-0.0460053734046428	0.0793594563646565	-0.217180840996138	0.253328186145179	0.0787059293883011	0.0720616330344017	0.0616149301418525	-0.206369397400489	0.00845955618476656
CARB	-0.0286525512986317	-0.272935944090888	-0.295053650137196	-0.0702964973546065	0.020970671249103	-0.0553145250260569	0.21809186073464	-0.235266041889386	-0.138155305444867	-0.0649546480935947
MOIS	0.0319667231804444	-0.245514227178541	-0.240010739569183	-0.017596687986088	-0.25955266763799	-0.140537829456419	-0.285197499602168	-0.181836616550143	0.0599135782620804	-0.254112648715196
CAFF	-0.0999129061065244	-0.346095970920699	0.0133371657534922	-0.185376885047528	0.0471895357784371	0.0872286540118261	0.0407885786102321	-0.137229074524869	0.0033571629839674	-0.213453807142778
IRON	0.153405541625346	-0.211432545535227	-0.314579734412753	0.034916013688183	0.148409722712927	0.00411473555800047	0.0381802906854916	0.0392956467116417	0.219252002808444	0.504331087706455
CALC	0.0512919201915525	-0.253661510516234	-0.122888401264871	-0.295538407054279	-0.0760667422477017	-0.0173857847385202	-0.202322544538136	0.228099760434755	-0.254057052910326	0.0840935346967757
FIBE	0.0145959031480998	0.288290637713368	-0.232016378585793	-0.214739368679857	0.0156527924799411	0.0254575430650767	0.0340453181430312	-0.175113225745614	0.200643649394205	0.0269623603312664
MAGN	0.293034393173942	0.0642915923989361	-0.117967929248534	-0.0867062261847416	-0.126593568287658	-0.198288626541622	0.129716333335915	-0.119453676452255	0.310691896165502	0.224066936063137
POTA	0.217906226269596	0.132721107637714	-0.0230810562639138	-0.265606315988311	0.0124626387928974	-0.317750807168058	0.0897918361085735	-0.168119864720996	0.0473261455745678	-0.218682915643106
SODI	0.221513053558718	-0.0752034115672505	-0.167410410336583	0.280696497085225	-0.0430675489538252	0.0503838060064836	0.30167899302621	0.0723153220143989	-0.0688294492227443	0.0699701026994389
SFAT	0.174509822272867	-0.217573568530835	0.1320661781329	-0.216655809710625	0.244459186380406	-0.0150005589358876	-0.0118755263834627	0.189994773504285	0.0282259194891804	-0.00208133343021011
FF	0.221382648007281	0.18593254820577	-0.290017068983123	0.0304906843022197	-0.0331324551032155	-0.0695972616844934	-0.0499231252248776	0.0577561846166405	-0.126329161110421	-0.0150449426186282
CHOLN	0.311352060893924	-0.0102650226028052	0.109998108148905	0.163269804311347	-0.108773468352642	0.0829719736917283	0.0989336049446454	0.166487372749625	-0.0558116321745393	-0.270276892753555
VC	0.162019211324827	0.247861840407792	0.000108811520883825	-0.206148361527809	0.20324034143644	0.140093105969698	-0.215370720634177	-0.13464066962423	0.136118609286984	0.120908677218295
VB1	-0.032678155282267	0.0884590903965136	-0.198367644038801	-0.0656281004138462	0.264188479824121	-0.514376476718331	0.125718152703458	-0.0864788849335132	-0.176354629687874	-0.17774918555232
VB2	0.247775702451827	-0.210141746127835	0.0943319365902057	0.0246116188178114	-0.109037758254194	-0.118255172379876	-0.322620436139851	0.0959509355551515	-0.105091442375362	-0.167292080480686
FDFE	0.153259709191235	-0.0537927352086275	-0.388446163940877	0.153386983130246	0.0738485055084607	0.0832891699943799	-0.0288498018593487	-0.0426185706258381	-0.0421967638036207	-0.237053924737143
FA	-0.0097648860273079	-0.266018548932099	-0.254727033587389	0.182265086623865	0.137080666933947	0.188323619282564	0.0115112357423029	-0.116173019645814	0.0733327824522847	0.0388310776449532
VARA	0.220589770539375	-0.103303931593131	-0.0892371717030197	0.282300331281666	0.0322282837395554	0.0296781791641108	-0.325202843391072	0.228181268169334	0.118699880305603	0.104556754433797
CRYP	0.0723244615602015	-0.145665476675799	0.0996487531784308	-0.261303112129765	-0.309240300801244	0.151374191053207	0.00853041105581957	-0.338750550837709	-0.383502847451835	0.374649430019227
LYCO	-0.0430051764339261	-0.118289656835677	-0.123919059541162	-0.398088197110422	-0.1218202218029	-0.00613632391147603	0.102524201623226	0.32557648244517	0.230225978718695	-0.00174690548060567
LZ	0.189274791691131	0.120884360997217	0.0823231792373201	0.0627499318090387	-0.261936607372827	-0.279923648599899	-0.410044594922469	-0.169209735387456	-0.0580684038847734	0.164462881580036
ATOC	0.164344814026935	0.19706910980608	-0.225813104362057	-0.151475557209836	-0.0630726401604082	0.320939366927972	-0.0717917951041423	0.0266505623416998	-0.142063054457403	-0.177212487806613
S140	0.122270820523236	-0.215592472491294	0.190737098602175	-0.218477656936901	0.24161957121858	-0.0783201330848737	-0.0883474125070103	0.100686693437202	0.257431870369938	-0.0562084575905465
VITD	0.312295987045977	0.0919476561257114	0.15133028374642	0.0498518645735431	0.104644825023801	0.12723414318851	0.000139006801284585	-0.0679646203738062	0.146294006773174	-0.181627870592245
M221	0.0351388612002686	-0.132583310461579	0.122839225213753	0.0911640117492367	0.397517475353663	0.177816016259485	-0.208646797068307	-0.516979268801205	0.00807094005942193	-0.0519701968479794
PFAT	0.253870461999555	0.183188592476463	0.005820431131117	-0.0463090482274417	0.209630181987759	0.117371905836417	0.108537111541073	0.102869624807135	-0.412941993855095	0.121994450438221
VITE_ADD	-0.0963823222453614	0.173482425882386	-0.182684523159647	-0.214848866308443	-0.113551823723357	0.395605811341567	-0.181401785402125	0.000212493590958587	0.193114014938227	-0.135927921034997
