PC	var_explained
1	0.32681
2	0.09853
3	0.07961
4	0.0604
5	0.04938
6	0.03643
7	0.03558
8	0.03366
9	0.03154
10	0.02953
11	0.025
12	0.02292
13	0.02109
14	0.01968
15	0.01696
16	0.01518
17	0.01412
18	0.01164
19	0.01119
20	0.00938
21	0.00822
22	0.00689
23	0.00547
24	0.00514
25	0.00441
26	0.00385
27	0.00334
28	0.0029
29	0.00236
30	0.00195
31	0.00148
32	0.00133
33	0.00122
34	0.00117
35	0.00068
36	0.00046
37	0.00037
38	0.00012
