SEQN	SDDSRVYR	RIDSTATR	RIAGENDR	RIDAGEYR	RIDAGEMN	RIDRETH1	RIDRETH3	RIDEXMON	RIDEXAGM	DMQMILIZ	DMQADFC	DMDBORN4	DMDCITZN	DMDYRSUS	DMDEDUC3	DMDEDUC2	DMDMARTL	RIDEXPRG	SIALANG	SIAPROXY	SIAINTRP	FIALANG	FIAPROXY	FIAINTRP	MIALANG	MIAPROXY	MIAINTRP	AIALANGA	DMDHHSIZ	DMDFMSIZ	DMDHHSZA	DMDHHSZB	DMDHHSZE	DMDHRGND	DMDHRAGE	DMDHRBR4	DMDHREDU	DMDHRMAR	DMDHSEDU	WTINT2YR	WTMEC2YR	SDMVPSU	SDMVSTRA	INDHHIN2	INDFMIN2	INDFMPIR
83732	9	2	1	62	NA	3	3	1	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	1	1	62	1	5	1	3	134671.370419	135629.507405	1	125	10	10	4.39
83733	9	2	1	53	NA	3	3	1	NA	2	NA	2	2	7	NA	3	3	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	0	1	53	2	3	3	NA	24328.560239	25282.425927	1	125	4	4	1.32
83734	9	2	1	78	NA	3	3	2	NA	1	2	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	NA	2	2	0	0	2	2	79	1	3	1	3	12400.008522	12575.838818	1	131	5	5	1.51
83736	9	2	2	42	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	3	1	1	2	2	1	2	2	1	2	2	1	5	5	0	2	0	2	42	1	4	3	NA	17627.674984	18234.736219	2	126	7	7	1.23
83737	9	2	2	72	NA	1	1	1	NA	2	NA	2	2	2	NA	2	4	NA	2	2	1	1	2	2	1	2	2	NA	5	5	1	1	1	1	34	2	5	1	5	11252.311968	10878.684022	1	128	14	14	2.82
83741	9	2	1	22	NA	4	4	1	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	0	2	47	1	4	1	5	37043.087007	39353.307397	2	128	7	7	2.08
83742	9	2	2	32	NA	1	1	1	NA	2	NA	2	2	6	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	4	4	1	1	0	1	31	1	4	1	4	22744.355082	23557.163453	1	125	6	6	1.03
83744	9	2	1	56	NA	4	4	1	NA	2	NA	1	1	NA	NA	3	3	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	0	1	56	1	3	3	NA	20395.53531	20068.662891	2	126	3	3	1.19
83747	9	2	1	46	NA	3	3	1	NA	2	NA	2	1	8	NA	5	6	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	46	2	5	6	NA	34513.077877	35673.964272	1	121	3	3	0.75
83752	9	2	2	30	NA	2	2	1	NA	2	NA	1	1	NA	NA	4	6	2	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	2	31	1	5	6	NA	36978.419865	38680.531261	1	124	15	15	5
83754	9	2	2	67	NA	2	2	1	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	7	7	0	3	2	1	73	1	5	1	5	10495.865944	10191.914345	1	128	6	6	0.89
83755	9	2	1	67	NA	4	4	2	NA	1	1	1	1	NA	NA	5	2	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	1	1	67	1	5	2	NA	14080.095558	13991.639152	1	126	5	5	2.04
83757	9	2	2	57	NA	2	2	1	NA	2	NA	1	1	NA	NA	1	4	NA	1	2	2	1	2	2	1	2	2	1	5	5	1	0	0	2	57	1	1	4	NA	11709.112101	12413.062527	1	120	5	5	0.77
83759	9	2	2	19	NA	1	1	1	235	2	NA	1	1	NA	15	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	0	2	43	1	4	3	NA	18928.631028	19250.414038	2	121	7	7	1.74
83761	9	2	2	24	NA	5	6	2	NA	2	NA	2	2	2	NA	5	5	2	1	2	2	1	2	2	1	2	2	3	1	1	0	0	0	2	24	2	5	5	NA	15420.801307	18010.012692	1	119	1	1	0
83762	9	2	2	27	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	5	2	1	2	2	1	2	2	NA	NA	NA	NA	2	1	0	0	0	2	21	1	3	5	NA	38387.34103	43424.328288	1	132	8	6	2.12
83767	9	2	2	54	NA	5	6	1	NA	2	NA	2	1	7	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	6	6	0	2	0	2	54	2	4	3	NA	21914.036865	23219.518074	2	122	14	14	2.99
83769	9	2	1	49	NA	5	6	2	NA	2	NA	2	1	6	NA	2	1	NA	1	2	2	1	2	2	1	2	2	1	4	4	0	1	0	1	49	2	2	1	5	26837.741442	28350.831746	1	132	10	10	2.97
83773	9	2	2	80	NA	3	3	2	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	1	1	0	0	1	2	80	1	3	2	NA	37582.053359	39939.418885	1	131	7	7	3.57
83775	9	2	2	69	NA	2	2	2	NA	2	NA	2	1	8	NA	1	4	NA	2	2	2	2	2	2	2	2	1	2	1	1	0	0	1	2	69	2	1	4	NA	7250.103342	8799.980525	2	119	2	2	0.55
83776	9	2	2	58	NA	1	1	1	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	NA	NA	NA	NA	3	3	0	1	1	1	68	1	5	1	5	21433.175988	21493.64217	2	128	14	14	3.72
83781	9	2	2	27	NA	4	4	2	NA	2	NA	1	1	NA	NA	5	5	2	1	2	2	1	2	2	1	2	2	1	2	2	0	0	1	2	60	1	5	2	NA	34068.859547	38537.18944	2	119	77	77	NA
83784	9	2	1	22	NA	2	2	1	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	NA	NA	NA	1	2	2	1	4	4	0	0	0	1	45	NA	NA	1	NA	38148.533472	42493.486456	2	121	NA	NA	NA
83787	9	2	2	68	NA	1	1	1	NA	2	NA	2	1	7	NA	1	3	NA	2	2	1	1	2	1	2	2	2	2	1	1	0	0	1	2	68	2	1	3	NA	8842.349896	10732.606587	1	128	4	4	1.49
83788	9	2	2	69	NA	3	3	2	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	1	2	1	70	1	5	1	4	50114.531635	49234.971244	2	120	7	7	1.79
83789	9	2	1	66	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	6	NA	1	2	2	1	2	2	1	2	2	1	2	1	0	0	1	1	66	1	5	6	NA	181684.438654	181461.242024	1	132	10	9	5
83790	9	2	1	56	NA	3	3	1	NA	2	NA	1	1	NA	NA	1	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	1	2	62	1	3	1	1	31179.690344	32402.172747	2	126	4	4	1
83791	9	2	2	80	NA	3	3	2	NA	2	NA	1	1	NA	NA	2	1	NA	1	2	2	1	2	2	1	2	2	NA	2	2	0	0	2	1	80	1	2	1	2	59524.529308	62213.984015	2	123	12	12	NA
