FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
81105500	BUTTER-VEGETABLE OIL BLEND	Butter_vegetable_oil_blend	Butter-vegetable oil blend	0	81105500.0
81106010	BUTTER REPLACEMENT, FAT-FREE POWDER	Butter_replacement_fat_free_powder	Butter replacement, fat-free powder	0	81106010.0
81201000	ANIMAL FAT OR DRIPPINGS	Animal_fat_or_drippings	Animal fat or drippings	0	81201000.0
81203000	SHORTENING, NS AS TO VEGETABLE OR ANIMAL	Shortening_NS_as_to_vegetable_or_animal	Shortening, NS as to vegetable or animal	0	81203000.0
81301000	GARLIC SAUCE	Garlic_sauce	Garlic sauce	0	81301000.0
81301020	LEMON-BUTTER SAUCE	Lemon_butter_sauce	Lemon-butter sauce	0	81301020.0
81302010	HOLLANDAISE SAUCE	Hollandaise_sauce	Hollandaise sauce	0	81302010.0
81302040	SANDWICH SPREAD	Sandwich_spread	Sandwich spread	0	81302040.0
81302050	TARTAR SAUCE	Tartar_sauce	Tartar sauce	0	81302050.0
81302060	HORSERADISH SAUCE	Horseradish_sauce	Horseradish sauce	0	81302060.0
81302070	PESTO SAUCE	Pesto_sauce	Pesto sauce	0	81302070.0
81322000	HONEY BUTTER	Honey_butter	Honey butter	0	81322000.0
82101000	VEGETABLE OIL, NFS	Vegetable_oil_NFS	Vegetable oil, NFS	0	82101000.0
82101500	COCONUT OIL	Coconut_oil	Coconut oil	0	82101500.0
82102000	CORN OIL	Corn_oil	Corn oil	0	82102000.0
82103500	FLAXSEED OIL	Flaxseed_oil	Flaxseed oil	0	82103500.0
82104000	OLIVE OIL	Olive_oil	Olive oil	0	82104000.0
82105000	PEANUT OIL	Peanut_oil	Peanut oil	0	82105000.0
82105500	RAPESEED OIL	Rapeseed_oil	Rapeseed oil	0	82105500.0
82106000	SAFFLOWER OIL	Safflower_oil	Safflower oil	0	82106000.0
82107000	SESAME OIL	Sesame_oil	Sesame oil	0	82107000.0
83100100	SALAD DRESSING, NFS, FOR SALADS	Salad_dressing_NFS_for_salads	Salad dressing, NFS, for salads	0	83100100.0
83100200	SALAD DRESSING, NFS, FOR SANDWICHES	Salad_dressing_NFS_for_sandwiches	Salad dressing, NFS, for sandwiches	0	83100200.0
83101000	BLUE OR ROQUEFORT CHEESE DRESSING	Blue_or_roquefort_cheese_dressing	Blue or roquefort cheese dressing	0	83101000.0
83102000	CAESAR DRESSING	Caesar_dressing	Caesar dressing	0	83102000.0
83103000	COLESLAW DRESSING	Coleslaw_dressing	Coleslaw dressing	0	83103000.0
83104000	FRENCH OR CATALINA DRESSING	French_or_Catalina_dressing	French or Catalina dressing	0	83104000.0
83105500	HONEY MUSTARD DRESSING	Honey_mustard_dressing	Honey mustard dressing	0	83105500.0
83106000	ITALIAN DRESSING, MADE WITH VINEGAR AND OIL	Italian_dressing_made_with_vinegar_and_oil	Italian dressing, made with vinegar and oil	0	83106000.0
83107000	MAYONNAISE, REGULAR	Mayonnaise_regular	Mayonnaise, regular	0	83107000.0
83108000	MAYONNAISE, IMITATION	Mayonnaise_imitation	Mayonnaise, imitation	0	83108000.0
83109000	RUSSIAN DRESSING	Russian_dressing	Russian dressing	0	83109000.0
83110000	MAYONNAISE-TYPE SALAD DRESSING	Mayonnaise_type_salad_dressing	Mayonnaise-type salad dressing	0	83110000.0
83112000	AVOCADO DRESSING	Avocado_dressing	Avocado dressing	0	83112000.0
83112500	CREAMY DRESSING	Creamy_dressing	Creamy dressing	0	83112500.0
83112950	POPPY SEED DRESSING	Poppy_seed_dressing	Poppy seed dressing	0	83112950.0
83112990	SESAME DRESSING	Sesame_dressing	Sesame dressing	0	83112990.0
83114000	THOUSAND ISLAND DRESSING	Thousand_Island_dressing	Thousand Island dressing	0	83114000.0
83115000	YOGURT DRESSING	Yogurt_dressing	Yogurt dressing	0	83115000.0
83200100	SALAD DRESSING, LIGHT, NFS	Salad_dressing_light_NFS	Salad dressing, light, NFS	0	83200100.0
83201000	BLUE OR ROQUEFORT CHEESE DRESSING, LIGHT	Blue_or_roquefort_cheese_dressing_light	Blue or roquefort cheese dressing, light	0	83201000.0
83202020	FRENCH OR CATALINA DRESSING, LIGHT	French_or_Catalina_dressing_light	French or Catalina dressing, light	0	83202020.0
83203000	CAESAR DRESSING, LIGHT	Caesar_dressing_light	Caesar dressing, light	0	83203000.0
83204000	MAYONNAISE, LIGHT	Mayonnaise_light	Mayonnaise, light	0	83204000.0
83204050	MAYONNAISE-TYPE SALAD DRESSING, LIGHT	Mayonnaise_type_salad_dressing_light	Mayonnaise-type salad dressing, light	0	83204050.0
83204500	HONEY MUSTARD DRESSING, LIGHT	Honey_mustard_dressing_light	Honey mustard dressing, light	0	83204500.0
83205450	ITALIAN DRESSING, LIGHT	Italian_dressing_light	Italian dressing, light	0	83205450.0
83206000	RUSSIAN DRESSING, LIGHT	Russian_dressing_light	Russian dressing, light	0	83206000.0
83207000	THOUSAND ISLAND DRESSING, LIGHT	Thousand_Island_dressing_light	Thousand Island dressing, light	0	83207000.0
83208500	KOREAN DRESSING OR MARINADE	Korean_dressing_or_marinade	Korean dressing or marinade	0	83208500.0
83210100	CREAMY DRESSING, LIGHT	Creamy_dressing_light	Creamy dressing, light	0	83210100.0
91101000	SUGAR, NFS	Sugar_NFS	Sugar, NFS	0	91101000.0
91101010	SUGAR, WHITE, GRANULATED OR LUMP	Sugar_white_granulated_or_lump	Sugar, white, granulated or lump	0	91101010.0
91101020	SUGAR, WHITE, CONFECTIONER'S, POWDERED	Sugar_white_confectioner_s_powdered	Sugar, white, confectioner's, powdered	0	91101020.0
91102010	SUGAR, BROWN	Sugar_brown	Sugar, brown	0	91102010.0
91104100	SUGAR, CINNAMON	Sugar_cinnamon	Sugar, cinnamon	0	91104100.0
91107000	SUGAR SUBSTITUTE, SUCRALOSE, POWDER	Sugar_substitute_sucralose_powder	Sugar substitute, sucralose, powder	0	91107000.0
91108000	SUGAR SUBSTITUTE, STEVIA, POWDER	Sugar_substitute_stevia_powder	Sugar substitute, stevia, powder	0	91108000.0
91108010	SUGAR SUBSTITUTE, STEVIA, LIQUID	Sugar_substitute_stevia_liquid	Sugar substitute, stevia, liquid	0	91108010.0
91200000	SUGAR SUBSTITUTE, POWDER, NFS	Sugar_substitute_powder_NFS	Sugar substitute, powder, NFS	0	91200000.0
91200040	SUGAR SUBSTITUTE, SACCHARIN, POWDER	Sugar_substitute_saccharin_powder	Sugar substitute, saccharin, powder	0	91200040.0
91200110	SUGAR SUBSTITUTE, SACCHARIN, LIQUID	Sugar_substitute_saccharin_liquid	Sugar substitute, saccharin, liquid	0	91200110.0
91201010	SUGAR SUBSTITUTE, ASPARTAME, POWDER	Sugar_substitute_aspartame_powder	Sugar substitute, aspartame, powder	0	91201010.0
91300010	SYRUP, NFS	Syrup_NFS	Syrup, NFS	0	91300010.0
