Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
BMXWT	0.00914465234159901	-0.0325544923789801	0.00541922535371665	-0.0848979806464623	0.112921721112513	-0.050493893606773	0.0959812304306177	0.34488060585774	-0.216639126626212	-0.258421217439953	0.236849232284596	0.0307879559343428	-0.520929065497689	-0.0748561618157784	0.436971436104807	0.198112888155958	0.0585882751310924	0.17974525929001	-0.177110802610648	-0.126806598260962	-0.020749826155641	-0.00856478576347957	0.206143898756733	0.129922997118618	-0.117060898824961	-0.102854976186843	-0.0332107162026231	0.0382232540834388	-0.0180587771671819	-1.21496508323668e-16	0	0
F_CITMLB	0.17008206999974	0.0336094067010251	0.183872445192115	-0.0562583759640444	0.00139189725361205	0.0962782800088079	0.284536974809448	0.458405373952348	-0.0133904828670906	-0.0693779988100855	0.242513587413836	0.0119963504671862	0.228858322712423	-0.209862994110937	-0.0457804707145717	-0.18208413155228	-0.122104534609087	-0.0359118159554699	0.407518043810548	-0.104454592626225	-0.0325560049579745	-0.186009817721412	-0.0271581406238737	-0.120841255391743	-0.00845100875045127	0.127958563318239	0.0667912809559391	-0.0187163135947051	-0.0381456495495438	-0.384846945920152	-0.0527260608139127	-0.138573582512304
F_OTHER	0.0830518809481132	-0.0163469256307854	0.348718711473275	0.101894516142919	0.0427861373719476	0.311538499481651	-0.271225824474781	-0.0557176441946477	-0.0357426401614955	0.0512498110100119	-0.284116432696466	0.097923267869868	-0.20474203011569	0.13981564327388	-0.102655432182291	-0.057117426536261	0.241150206892128	0.195896098507555	0.0198375773178611	-0.0832990395900009	0.330363629147489	-0.119000321398413	0.182339238333207	-0.00868563874958054	0.159580394767962	-0.190521876891949	-0.0434881016733085	0.0754626915414398	0.0486504492832644	-0.399846981385051	-0.0547811447648642	-0.143974713206515
F_JUICE	0.066928221598496	-0.175288319469297	0.202797341546629	0.139946980318417	-0.337560079059099	0.135555511544462	-0.207427733624916	0.0125422263826948	-0.227278560100963	0.0628257508775023	-0.00251811281248079	-0.137108386164047	0.184661867879861	0.0727984644714028	0.274478170205103	0.226229672677852	-0.165433211103864	-0.312576512016602	-0.263985710161098	0.0542815530717862	-0.197361139539104	0.171003095046204	-0.164814664067831	0.169209967053267	-0.142517867650889	0.0883904277254567	-0.0561801840003875	0.000625066489933549	0.0223169947624848	-0.342574843427703	-0.046934559879899	-0.12335247514792
F_TOTAL	0.182188247923	-0.0803889094680715	0.419047372704799	0.100440759618192	-0.14683359806161	0.311746453580325	-0.104893144186389	0.237391674507469	-0.145797891245116	0.0229469684137586	-0.0316680903468849	-0.00479296637987531	0.104091953812752	0.00011785094411805	0.0529886719561652	-0.0230930060189113	-0.0108505919767122	-0.0637897133791076	0.111372128220894	-0.0822757170079092	0.0778472354868263	-0.090779623548462	0.00898224950396698	0.0119700670569824	0.0175793304140495	0.00501232649580409	-0.0163772318830028	0.0347391630846469	0.0186062806703915	0.667395046122951	0.0914366403626957	0.240311956409316
V_DRKGR	0.227980728594915	-0.263290706360724	-0.119287243540978	0.232835695570278	0.0536448742670871	-0.0424198047798325	-0.0714583829846132	-0.1118102304733	-0.0583935851660578	-0.0743654921165018	0.147179862391927	-0.139060627651831	0.0220053365879589	-0.193496666983432	-0.179840563419624	-0.225174556208356	0.26614636325808	-0.175624053890321	-0.0478698315322239	0.178487408329167	-0.0663684591087696	-0.315821729551858	0.156936019164405	0.247547756148063	-0.359708283980493	-0.273577000140745	0.165181320583958	-0.012870834070543	-0.109147719903198	-0.0525269096925464	-0.102896503389585	0.185029120299907
V_REDOR_TOTAL	0.258413032260827	0.0491340306000483	0.117968458858805	0.289379601650931	-0.0814740966638619	-0.190560886516284	-0.0399104210963493	0.0407648422822802	0.195340872320171	0.106114162320174	0.105909215754178	0.174627322768236	-0.0351013578134763	0.262546362673348	-0.0245043872665297	0.169191931927057	-0.0979923125020494	0.343669800725069	0.00574494183667725	0.0530025260007302	-0.118988283993271	0.0262904598699136	-0.072134865625813	-0.411098464492078	-0.403575938956702	-0.0820389276869612	0.016430603848864	-0.0899272493861145	0.199519910669792	-0.0585146387135758	-0.114626041318136	0.206121246980121
V_REDOR_OTHER	0.231831986813918	-0.0734308691043187	0.0223206723764257	0.35457698935036	0.0921334386832601	-0.0730849373989276	-0.094167371959879	-0.0862082863108442	0.123987056951441	0.0914208584812431	0.187173603406485	-0.0322607793820601	-0.129625607955311	-0.17672163421351	-0.156589203258806	-0.00286713087808033	-0.343847993264298	-0.0314388825823198	0.0483045005283751	-0.0440389942500498	0.0202252198231011	0.348107438498167	0.514981768960127	0.104041560158421	0.200816446026674	0.252796380565935	-0.130781018275911	0.0411739865963782	-0.089436471281242	4.85722573273506e-17	1.85615411929518e-16	1.45716771982052e-16
V_STARCHY_TOTAL	0.235817457778752	-0.0351402059423461	-0.026991495600506	-0.362027390904121	-0.218175046897223	0.0174657323345094	0.0231305457013147	-0.263474833120074	0.00157048390210905	0.247245434492286	0.111075551457022	0.114583328136953	-0.142127167127914	-0.166863870362767	0.248855848553629	-0.121861959561881	0.0656738181767165	-0.00946230945439409	0.163157049902327	0.0163384655106989	0.155654356578744	0.0274357187515197	-0.101864648841797	0.0529777198746955	0.0674258031478838	0.0746129680766773	-0.337761271364967	-0.164831625377626	-0.0330754228917352	-0.12282428000243	-0.240604083079855	0.432655730431142
V_STARCHY_OTHER	0.175411050757709	-0.0833603897519236	0.126075212322232	-0.410499336359378	-0.156203628908797	0.02729971209883	0.00715467647531393	-0.258602350403201	0.125279577740033	-0.0196806528371975	0.0318805965120982	-0.155827588762309	0.0501933740095548	-0.144949606253096	0.0237750835621247	0.233782163264381	0.00243586564563238	-0.0180976334592432	0.0601951041894469	-0.162128388627112	-0.194367204152279	0.12494249836103	0.234147264031944	-0.253392815748793	0.0565583207487019	-0.26251232237941	0.411327898807774	0.348012462023326	-0.0244255010760728	-6.24500451351651e-17	-3.55618312575245e-17	-2.94902990916057e-17
V_OTHER	0.280162935426372	-0.0980534966393418	0.0704787977321441	0.172175267238106	0.0203076149259212	-0.185937762956058	0.400681911823021	0.0597421668564825	-0.0441146852161066	-0.0265431765356978	-0.165203735561788	0.0519894102389244	-0.0607480124996048	0.0816961477648847	-0.135394448888324	0.072050637564885	-0.134416231164318	0.0249770436402947	-0.289509008786363	-0.106577702938473	-0.00980301186910555	-0.0717332177128407	-0.30995751011325	0.170055775465475	0.466240148611221	-0.128337229061087	0.181188493536559	0.0911051498340523	-0.0942217298324993	-0.0696623332026242	-0.136463586882733	0.245389654673511
V_TOTAL	0.423393016780932	-0.123815711891345	0.0125017296560184	-0.018534914606691	-0.153118570181624	-0.135495798660727	0.138174589058383	-0.177515277180962	0.030715581518184	0.172667695397725	0.0899840758371965	0.115455383251401	-0.126533273363343	-0.0538072721691	0.0574405189402028	-0.0665305436340449	0.0389262200079682	0.0642144637061219	-0.0129214366601326	0.0395462207237907	0.0447417744796121	-0.093433056241936	-0.168520271054758	0.0409016504206775	-0.0097956962054562	-0.10614166040088	-0.107703298375109	-0.111128882155114	-0.0262433902448229	0.178503136780946	0.349675028025465	-0.628787769215352
PF_LEGUMES	0.00942882673481942	0.0929784582179166	0.230376157810946	-0.0371412683345835	0.0207122351221318	-0.20470442171318	-0.115804845922569	-0.0581552099230632	0.304778348195077	-0.371392217570003	-0.283022965835	0.190522935698244	-0.0701194981713914	0.000192660140811001	0.155338958619438	0.21970876036281	-0.243240816970978	-0.176632787131555	0.346819025567078	0.310755020114844	-0.0384251407003473	-0.14216735879372	0.0171473947847997	0.223087654204166	-0.00718012249574692	-0.13216554109024	-0.00457190880454164	-0.141500966565069	-0.191352022442677	4.33680868994202e-17	1.46692553937289e-16	1.36175792864179e-16
