"PC"	"var_explained"
1	0.292414833549217
2	0.0784628832763177
3	0.0699037858251734
4	0.0612823954546973
5	0.0459595915883971
6	0.0364782743022409
7	0.0360812291374863
8	0.0314259631463227
9	0.027621450966695
10	0.0251140771453291
11	0.0244235600993147
12	0.022666260433159
13	0.0215849125162874
14	0.0208967487474518
15	0.0191586996805599
16	0.0181823025848355
17	0.0161361607906301
18	0.0151506778712591
19	0.0147260117294765
20	0.0129522991804518
21	0.0118950766377233
22	0.00967713277747215
23	0.00917332583096215
24	0.00836359371952008
25	0.00778306395500406
26	0.00709441667165758
27	0.00701303600703752
28	0.00639607183190856
29	0.00553521969614768
30	0.00509691491587843
31	0.00482357631160309
32	0.00426392463184456
33	0.0037490610275655
34	0.00340256963572084
35	0.00331681442701104
36	0.00290338184700507
37	0.00259906248822289
38	0.00231098857540954
39	0.00193448805070023
40	0.001520312280824
41	0.000525850655479752
