Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
KCAL	-0.28878743149932	0.0857555045184964	-0.0772257473422974	0.0493253019453152	-0.0246618425244302	0.0577237361217769	-0.0398882758412676	0.0214828112008126	-0.0654395932392413	0.0179028383797058	0.0652642686492856	-0.0441063491870248	-0.0370263767416947	0.0636554549887991	-0.0604542396843489	-0.0109083973524891	-0.0398778176490682	-0.0266395326729704	0.0855814018097693	0.0593481165420582	-0.15537313041424	-0.0439742521288501	-0.0268222405443701	-0.0389533062816969	0.0566476879335992	0.0827478250022318	0.011296111389555	0.00164903059554494	0.039697990154685	0.0707660066105975	0.0372082959313275	-0.0855022933956706	-0.704203990334463	0.558594347762333
SODI	-0.270004322902541	0.08527947922543	-0.15197226667659	-0.0131465571802798	0.0313827954195161	-0.0143909127939496	0.057648958902954	0.127716482512407	-0.0388060607361457	-0.0997776509497096	0.0708686104752236	0.00566262356080458	-0.00171265763812182	0.0096969541841294	0.0329689236947703	-0.0287019379798541	0.0732918953718771	0.00658053752553121	0.0835898177947365	0.00767422236842645	-0.224299932967865	-0.0452672151764036	-0.394478347916134	-0.150975816485727	0.028014149777927	0.201577331573295	-0.105738383764832	0.491955338430247	-0.378149744507014	0.27882368556938	-0.218383620466545	0.0716385315543616	0.212026613563248	-0.0290007050680167
SUGR	-0.203660720286577	0.0206389742342523	0.0694613756202536	0.124281124065967	-0.074209825356821	0.0580195562137543	-0.262908543857702	-0.304178089879456	-0.265017957203606	0.150697982071616	0.0777152522204208	0.0278659027057683	-0.036590452000193	0.123180711079929	-0.278279506891519	0.0646564453146662	-0.26944638725534	-0.000572091856171084	0.274695686088385	0.336854969943604	-0.180517923589562	-0.103698065061424	0.106407692316497	0.101747572406305	0.402000814565144	0.0156806183129498	0.0860902869302004	-0.00489622903153855	0.0444720029889116	-0.0284421911398743	0.0182668669426658	0.113165378695242	0.19580238398853	-0.138985460791367
POTA	-0.258465178676879	-0.150335058786007	-0.0355334287976319	0.081112428928309	-0.0512865052665014	-0.176119594107407	0.0469606592790275	0.00113838975543891	-0.0411823406447801	0.161765022641849	-0.0889024623634185	-0.0342455572822296	-0.0244392272944396	-0.0366595731952167	-0.111442729315324	-0.13532248903794	0.0497665802049734	-0.0867374052656166	-0.116875491254762	-0.213357382013548	0.0308442153260101	0.00434546149037931	0.401959542972288	-0.173163862850171	0.0935528135214046	-0.157837414475862	0.107904763158338	-0.037340127207314	-0.0246815829867586	0.587141492612678	0.0377621623364707	-0.358784102252014	0.10596033690914	-0.0463667251370201
TFAT	-0.273934767407875	0.146322272933327	-0.0752632027444761	0.0233768701436899	-0.0304427308309388	0.122594459745142	-0.00666000412464248	0.0914911379013173	0.0234658609798693	-0.0999702100753495	0.0582458412650349	-0.127590444224254	-0.129558754578654	0.0578418909977447	0.0696668635302177	-0.025180328796869	-0.0442588128022252	0.0121307827559243	-0.0488368043469449	0.0153786474476216	0.0750497073424595	0.0773951124736761	0.109971680170332	0.069264490956758	0.00051367731102803	-0.0327263520653674	-0.00312829939811735	0.073677337946698	-0.178763439404214	-0.185321586250221	0.0141852701454014	-0.1911469139934	-0.427255220520127	-0.70128132768961
PFAT	-0.254855990530696	0.108886925871132	-0.152187678365671	0.0782020619823551	-0.0385441136315164	0.125406927927432	0.162714133745431	0.0266933547930292	0.0798158413465789	0.0105295411395512	0.070784284385739	-0.0994188130241215	-0.140229650049742	0.163114049984267	0.0115793588845002	0.0944826502275231	-0.18119017740893	0.0431492804911216	0.0678859424310486	-0.0637121239743863	0.0816656146095292	0.166200544773917	0.0642539493746073	0.282736063894718	-0.108770955473313	-0.0517482163219998	-0.363538869788312	0.0174335478036896	-0.111022394588123	-0.197500394549411	0.333073752033247	-0.324866854220534	0.354560560051286	0.265690906108576
CHL	-0.219913380012804	-0.129960240396913	-0.101932677996641	-0.203922703599023	0.0290141024729856	0.00101354587227219	-0.0156928304020898	0.147984701019806	0.140592383060074	0.11080675776849	0.163856599462068	-1.28768631597227e-05	-0.0392516619717572	0.233644304611176	0.115292347580394	0.0865486813749626	0.0634062331927929	-0.175764438142653	-0.37038732786723	0.0954118087144471	0.192431127211429	-0.61439326353584	-0.0239516317331912	0.27323729385638	0.110668926419466	-0.0478186643263188	0.0763734985191741	0.0415622561804942	0.116819340247625	-0.0257270866658742	-0.0800040188382963	0.0647354762646637	0.0674855091872727	0.0385331228788469
ATOC	-0.202634360128956	-0.0604076633470279	0.0496854721565318	0.183968688126321	-0.157527308115339	0.220718477526773	0.374299799745059	-0.182256680791239	0.0957500467510268	-0.0293642865710982	-0.165391600084057	-0.0170428879596187	-0.0755156176772394	0.0673456990389119	0.104868140416596	0.00229366667145483	0.0582112449104683	0.0909202657574654	0.0470699798783927	-0.118336265627879	0.000263345066930185	-0.0660338127844417	0.364979656720707	-0.0347546365570278	-0.00767172729841233	-0.101925205834034	-0.207537052139871	-0.0641175553854004	-0.119489831522607	-0.030161531580518	-0.319100187762282	0.518014561240321	-0.0238458491558343	0.0548527005225739
ATOA	0.0318802334324009	-0.123169240865351	0.372765685485061	0.0873177111328924	-0.139136171782457	0.293369369028309	0.334204704303994	-0.212078907173521	0.166150837886016	-0.219666087075289	-0.133379068137396	0.145047827722805	0.032584128932686	0.0850672503147567	0.159230503551067	0.00816163829410293	0.138298624374823	0.0549520882285338	-0.0164218616582383	0.0877735518737431	-0.239757439422063	-0.210429863910894	-0.128706086833205	-0.064784083754617	0.130944525796111	0.0610337129961271	0.227007810697777	0.102846038745318	0.0249510671160508	0.0115430286448644	0.327937433215308	-0.285399235213808	0.00808283816736883	-0.0358806023643129
VARA	-0.113641564307241	-0.296810865286429	0.298857757791964	0.0285365405538704	-0.0200455005668366	0.19587588542336	-0.111970477791878	0.148422137847356	-0.062606473901927	-0.0505235744501911	0.168818608828218	0.176649503628315	-0.0633560582890149	0.338718503775358	-0.115800249041463	0.174641457682637	0.0635298679621001	-0.115697972825484	-0.00373321460139929	0.282127684498742	0.0244759423704505	0.28644258121919	-0.0912309407533065	0.00354993910575239	-0.444128462826902	-0.237864771790834	0.0277787604318176	-0.0678696881531658	-0.0101287450461582	0.183584561497353	-0.159875070307108	0.00273428798860668	-0.000319990392466381	-0.00974920495911524
