PHOS	CARB	FIBE	TFAT	SFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	FF	B12A	VC	VD	CALC	MAGN	SODI	POTA	SELE	CAFF	THEO	ALCO	MOIS	S140	S120	M161	M201	M221	P183	P184	P226
1137.5	256.935	19.6	83.625	31.655	359.1	12.335	6.215	769	65.5	887	37	1158	706	17.675	1.6705	22.3275	582.5	293.5	6.385	80.25	11.8	2157	350.5	3690.5	2829	112	92	0	0	2576.305	3.767	8.2955	1.302	0.2315	0.0215	1.6755	5e-04	0.019
1210	356.76	20.15	83.945	23.711	192.3	6.15	0	526.5	21.5	261	31.5	846.5	438	13.04	1.1725	20.352	319	171.5	0	23.1	0.7	797	343.5	3065.5	2011.5	103.55	84.5	3	0	3724.885	1.7405	0.483	1.01	0.2755	0.022	0.94	0.0015	0.0015
1821	223.23	29.05	101.345	39.7245	316.4	7.415	0	773.5	20.5	1894	40.5	4112.5	2223	12.535	1.982	12.7045	485.5	344.5	0	37.15	8.85	1917.5	317	4092.5	2719.5	113.55	0	0	0	2065.07	4.3505	1.321	1.3345	0.308	0.005	1.969	0.007	0.028
1038.5	185.39	12.8	77.22	27.997	332.85	7.605	0	576.5	756.5	2232.5	52.5	1719	692	11.87	2.0355	20.0925	417.5	176	0	55.05	2.3	398.5	258	2401	2629.5	101.7	357.5	44	17.5	1709.43	2.7835	0.783	1.061	0.18	0.0115	1.7235	0.0025	0.0085
1344	201.905	17.35	70.76	24.3065	300.8	8.56	0	642	11.5	4572.5	17	5064	7998.5	13.02	2.1485	22.2575	606.5	335.5	0	26.05	1.05	1083.5	335	4032	2274.5	110.95	272.5	0	42.5	4303.06	2.54	1.6575	0.98	0.209	0.006	1.269	0.039	0.0165
1640.5	288.845	15.9	49.845	15.605	331.45	4.695	0	859.5	1528.5	3861	5.5	703	814.5	18.095	2.514	36.765	708	184	1.29	147.6	9.05	1199	326.5	4120.5	3378	161.1	0	0	0	2242.825	1.262	0.3465	0.9045	0.1845	0.001	1.292	0.0015	0.0345
924.5	103.385	19.55	107.97	24.8475	387.15	12.28	0	520.5	47.5	3012.5	248	2284	6050	9.26	1.8635	11.748	390.5	357.5	0	125.85	3.3	682.5	262.5	3208.5	2578	70.35	343.5	34.5	0	3057.315	1.2025	0.2405	1.8635	0.2625	0.01	3.0905	0	0.059
1801.5	261.715	23.55	130.4	34.377	498.1	14.645	0	273.5	80	435.5	226	1958.5	843.5	14.01	2.2835	35.6955	442	319.5	0	147.15	4.8	665.5	368.5	4652.5	4292.5	126.15	271.5	50	0	2581.525	1.196	0.1625	1.826	0.546	0.0185	2.949	0	0.037
1562.5	301.2	22.6	139.175	32.5145	524.4	14.125	0.085	435	94.5	1132.5	47	2569	1409.5	20.29	1.814	45.9205	651	337.5	1.34	126.8	20.4	474	379.5	4261.5	4450.5	137.95	65.5	0	35.1	3817.95	1.4585	0.299	2.1115	1.226	0.093	4.3185	0.117	0.5365
1088.5	136.145	9	67.84	17.89	451.15	6.035	0	294.5	28.5	432	53.5	0	816.5	9.385	1.9725	26.2175	294	144.5	0	58	3.05	407.5	181.5	3251	1982	172.8	107.5	0	21.15	2217.42	1.1545	0.306	1.033	0.27	0.084	2.164	5e-04	0.038
1711.5	213.675	14.75	97.915	35.8665	286.15	8.38	0	470	12.5	273.5	8.5	4729.5	249.5	15.72	1.7185	31.4955	404.5	153.5	0	31.9	2.35	930	273.5	4928	2615.5	103	138.5	51	0	3171.62	2.821	2.596	1.4685	0.421	0.024	1.6045	0.0025	0.0085
889	126.235	9.1	55.115	15.2895	483	6.175	0	524.5	39	1942.5	80	2850	4577.5	8.195	1.6335	11.965	267.5	201.5	0	92.45	3.9	488	188.5	2074.5	1923	84.6	120.5	19.5	14.4	3413.235	0.779	0.193	0.7745	0.1765	0.0025	1.155	5e-04	0.077
1144	157.27	14.1	57.08	16.388	302.7	5.15	0	243	44.5	436	58	4214.5	603	10.985	1.7255	27.514	347.5	187	0	145.3	1.75	732.5	248	3026.5	2376	115.8	220	8.5	0	2546.57	0.8865	0.319	0.961	0.179	0.004	1.696	0	0.029
