PHOS	CARB	FIBE	TFAT	SFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	FF	B12A	VC	VD	CALC	MAGN	SODI	POTA	SELE	CAFF	THEO	ALCO	MOIS	S140	S120	M161	M201	M221	P183	P184	P226
1551.5	218.45	17.7	98.05	34.067	294.85	9.17	0	500.5	19.5	388	19	1453	657.5	12.065	2.025	25.718	610	222	0	57.45	7.7	1024.5	325	4423	2343	197.35	104	27.5	0	2065.005	3.3375	1.145	1.725	0.555	0.0135	1.8045	0.0155	0.134
1503.5	364.175	12.65	83.035	26.834	548.25	6.495	0	720.5	1682.5	4156	393	4409.5	1396.5	9.81	3.2745	20.9485	235	181.5	0	146.3	4.6	598.5	272	3233.5	3748.5	108.3	825.5	0	0	7076.355	1.95	0.5255	1.106	0.3175	0	1.5175	0	0.039
1393.5	145.555	13	79.555	18.438	507.9	9.805	0	567	273	3161	195.5	1755	5539.5	9.875	1.303	15.769	274	230	0	70.7	12.15	703.5	262	2870	2288	136	39	19	0	1670.02	1.274	0.318	0.7655	0.455	0.1295	2.9545	0.104	0.7735
1029.5	231.685	20.4	68.595	20.0785	244.65	5.215	0.115	156	33	347.5	36.5	3180.5	441.5	13.545	1.451	17.6185	342	162	0	122.85	1.65	460.5	258.5	2947	2220	118.65	33.5	0	0	2001.815	1.1385	0.2575	1.247	0.1905	0.0055	1.719	0.0025	0.075
620	166.305	8.05	29.73	8.0795	116.65	3.99	0	102	141	677	13.5	4651.5	403	5.16	0.7705	12.353	90.5	63.5	0	22.85	0.4	195.5	139	2812	1360	52	186.5	49	0	1245.515	0.3355	0.051	0.226	0.0875	0.0035	0.401	0	0.02
1163.5	100.77	7.75	72.06	27.39	257.4	4.735	0	219	20	257	17	1336	165.5	7.93	1.2095	24.5865	171.5	120.5	0	9.1	1.7	1022.5	204	2171.5	1564	109.3	0	0	14	1480.93	2.462	0.4055	2.01	0.2775	0.008	0.6945	0.115	5e-04
2507	375.06	22.15	105.995	31.8215	471.75	18.6	8.275	1229	899	3129.5	280	4940	2161	17.84	3.773	33.3315	827.5	287.5	0.6	172.8	7	1832	514.5	3935	3347.5	227.6	48	33	37.15	2285.325	3.0625	0.905	1.185	0.3305	0.0345	2.0985	5e-04	0.0275
1186.5	139.245	13.5	58.2	22.1175	211.8	4.23	0	374.5	388.5	1049	1.5	2.5	1013.5	5.82	1.8085	12.5165	286	157	0	53.8	3.05	722	227	2080	1929.5	78.95	318	29	29.45	2172.21	2.267	0.7505	0.525	0.079	0.0045	1.6305	0.001	0.031
1031.5	171.265	23.85	33.595	10.2345	223.85	4.415	0	297.5	323.5	1068	12.5	729	552	9.04	1.3745	11.1485	326	280.5	0	36.85	4.3	699	343	1768.5	2123	64.9	133	11.5	0	2522.96	0.883	0.269	0.368	0.083	0.006	0.7975	5e-04	0.0145
1024	216.81	11.3	46.92	11.6905	199.75	4.805	0.04	574.5	1758.5	5396	25	19.5	1775.5	7.62	3.1855	38.6735	210	158	5.775	87.6	3.35	796.5	225.5	2038	2610	69.8	148	18.5	0	3160.495	0.7815	0.1265	0.418	0.141	0.009	1.24	5e-04	0.003
1195.5	186.765	10.15	68.115	25.369	302.65	4.6	0	207	0	74	2	904.5	220.5	12.25	1.3295	19.0325	319	109.5	0	15.5	2.4	437.5	174.5	4015	2000.5	112.65	101	42.5	0	2318.325	1.8585	2.5795	1.0005	0.2525	0.0195	1.22	0.001	0.015
