PC	var_explained
1	0.28341
2	0.08435
3	0.07964
4	0.06294
5	0.04199
6	0.03894
7	0.03506
8	0.03225
9	0.03008
10	0.02667
11	0.02425
12	0.02365
13	0.02184
14	0.02122
15	0.0203
16	0.01731
17	0.016
18	0.01585
19	0.01525
20	0.01421
21	0.01223
22	0.01202
23	0.01006
24	0.00834
25	0.0077
26	0.00689
27	0.00596
28	0.00523
29	0.00459
30	0.00403
31	0.00334
32	0.00279
33	0.00253
34	0.00243
35	0.00224
36	0.0021
37	0.00121
38	8e-04
39	0.00031
40	0
