F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_OTHER	V_OTHER	V_TOTAL	PF_LEGUMES	G_WHOLE	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
0.046182	1.369875	0.162	1.578057	0.555825	0.3413775	0.030189	0	0	0.8844355	1.781638	0.4278	1.3068	3.784737	0	0.23275	0	2.4279295	0	0	5.2861195	1.4324	0.5474	0.64564	0.3801145	0.1739835	0.629125	1.834423	20.029098	24.3691675	6.6356225	0.5025
0	0	0	0	0	0.0692895	0	1.047	0.80325	0	1.1162895	0	0.2292	3.983	2.0569	0.51315	0	1.575	0	0	5.42505	1.28	0	0	0.37105	0	0.37459	0.74564	13.2945	21.686832	10.105003	0
0.0525	0.031752	0.047	0.131252	0.0992545	0.2011395	0.1576395	0	0	1.132664	1.433058	0	0.2695	4.1778515	5.4825	0	0	0.3621875	0	0	7.8856395	0.4216	1.333584	0.285768	0.1495	0	0	0.379647	25.416091	47.056454	15.929458	0
0	0	0	0	0	0.753375	0.753375	0	0	0.3705	1.123875	3.0915	2.679	7.1205	0	3.15252	0	0	0	0	3.159865	0.007345	0	0	0	0	0.220625	0.220625	11.54953	33.144068	3.106053	1.584
6.4387	0.660508	0	7.099208	1.0898915	0.808339	0.5103995	0.417451	0.199827	1.3388015	3.654483	0.26565	2.0522265	8.3222115	4.937875	0.11385	0	0	0	0	10.3852875	0.5	2.604	2.2295625	0	0.2825105	0.06	0.3425105	28.877192	5.3698195	1.233225	0
0	0	0	0	0.127575	0.6079125	0.1366875	0.2559375	0	0.6589915	1.6504165	0	0.1402875	4.837992	3.89835	0.9429	0	3.4263	2.2977	0	10.66875	0.0291	0	0.0744	1.386525	0	0.564525	1.9513125	30.7583445	17.16609	44.71351	3.6285
0	0	0	0	0	0.4077125	0	0.19145	0	0.4587315	1.057894	0	0.06496	9.4049	3.4575	0.8436	0	0	0	0	5.8107	1.5096	0	0	0.0888	0	1.96795	2.05675	17.903934	53.00537	0.6342	0
0.5727	0.4253	0.009	1.007	0.16653	0.1516	0.099	0.944158	0.944158	0.2554925	1.5177805	0	2.893943	4.758393	3.11655	0.283	0	0	0	0	4.463725	1.064175	0	0	0.2796	0	0	0.3021	5.0124	74.450656	16.938745	0
0.0255	1.06165	0	1.08715	0	0.462	0	0.195	0	0.1161	0.7731	0	2.0486	8.3258	0.5805	0.13675	0	0.6	0	0	1.48495	0	0.1677	0	0.2304	0.306	1.087232	1.738832	27.6919	20.91867	14.785154	0
0.246125	0	0.13485	0.380975	0	1.28621	0.496472	0.4248	0	0.571514	2.282524	0	1.6539245	6.1451965	3.53322	0.201	0	0	0	0	6.0406965	0.94225	0.197664	1.1665625	0.0315	0	0.815416	0.846916	22.585293	36.692743	14.1471645	0
0	1.6562	0	1.6562	0.09833	0.184708	0.184708	1.9043175	0.076545	0.174995	2.3623505	0	0	4.6548475	0	0	0	0.9568125	0	1.655362	2.7339245	0.12175	0	0	0	0	1.52	1.52	21.160869	30.45292	1.1669	0
0	0.9224925	0.16496	1.0874525	0	0.0338	0	0	0	0.35305	0.38685	0	4.81575	7.33005	0.7625	0	0	1.7561	0	0	3.45904	0.759	0.18144	0	1.22785	0	0.501855	1.956505	13.5349	21.437644	12.0400335	0
0	0	0.793	0.793	0	1.2442875	0.146625	0.7199375	0.1105625	0.650231	2.614456	1.0305	1.0791	10.7816595	2.2163125	0.4942	0	1.152	0	0	4.8025125	0.94	0	0	1.907125	0	0.3570625	2.2677875	11.53997	44.2583325	2.8220295	0
0	0	0.04495	0.04495	0.3015	0	0	2.1553375	0.2655	0	2.4568375	0	0.6886	7.99675	0	0	0	0	0	2.7736	3.2598	0.473	0	0.0132	1.95707	0	0	1.997975	35.4318275	13.4903805	17.703445	0
0	0.1035125	0	0.1035125	0	0.08	0	0	0	0.212	0.292	0	1.3944	3.7725	1.728	0	0	0.53	0	0	3.8155	0	0	1.5575	0.7503	0	0	0.7503	18.6674	13.5747625	9.5882	0
