F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_OTHER	V_OTHER	V_TOTAL	PF_LEGUMES	G_WHOLE	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
3.023375	0	0.023122	3.046497	0	0.4291235	0	0	0	0.572169	1.001292	0.4647495	0	7.370291	2.015271	0	0	0.7008	0	0	3.716471	1.0004	0	0	0.2418375	0	0.4376085	0.679446	13.98053	33.85689	19.27904	0
0.1253	1.3513	0.072	1.5486	0	0.71225	0.35625	0.35	0	0.3068	1.36905	0	1.4188	10.29193	3.3115	1.9768	0	0	0	0	6.8332	0.5425	0	1.0024	1.6379	0	1.443	3.0809	54.44855	49.57867	24.39384	0.528
0	0.284375	0	0.284375	0.0015	1.01909	0.4544	0.19375	0	0.464906	1.679246	0	0	12.345	5.956925	0.4942	0	1.846	3.1008	4.98155	16.37947	0	0	0	0.0125	0	0.24675	0.25925	21.87376	41.80342	6.9558	8.568
0	0.3302	0	0.3302	0	0.6691	0	0.0318955	0.0318955	0.2244085	0.925404	0	0	5.651388	1.42325	0.4942	0	0.2870595	0	0	2.206468	0.001958	0	0	0.320724	0	1.18794	1.508664	14.70667	20.69273	10.8843	0.924
0.8304885	0.657725	0.502003	1.990217	0.302375	1.227937	0.22	0	0	0.6764395	2.206752	0	1.29245	6.9207	2.3625	2.7533	0	0	0	0	8.15686	0.878935	0	2.162125	0.24015	0	0.3319375	0.5720875	26.77866	73.00043	10.8496	0
1.399275	0.0021	0	1.401375	0.166052	0.166052	0.166052	0	0	0	0.332104	0	1.026025	3.442693	0	0	0	2.557253	0	0	3.508378	0.951125	0	0	0.890625	0.56175	0	1.897275	10.74557	14.65702	55.10957	0
0.2546	1.7656	0	2.0202	0	0.9778955	0	0	0	0.931743	1.909639	3.1517	0.5454	8.381134	0.47075	2.259649	0	5.251697	0	0	11.0439	3.0618	0	0	0.8595525	0	0.830585	1.690138	33.01713	66.25703	8.610534	0.88575
0	0.04896	0.001	0.04996	0	0.114	0	1.4905	0	0.03125	1.63575	0.141	0	5.432941	0.8885	1.868613	0	0	0	0	3.255444	0.216911	0	0.28142	0.430257	0	0.453075	0.883332	27.26903	52.72811	19.11969	0
0.28862	0.23167	0.62	1.14029	0	0.0419	0.0219	0.3304805	0	0.482525	0.8549055	0	2.122675	3.427833	1.49	0	0	4.47	0	0	8.785475	2.825475	0	0	0	0.40824	0	0.40824	12.33103	26.36376	6.49213	0.525
0.23538	0.1785	0.992	1.40588	0.0959055	0.259151	0.0959055	0.105438	0	0.213619	0.6741135	0	0.565287	2.226596	0.582032	1.020663	1.107099	2.2005	0	0	8.365029	0.6811	0	2.773635	0.06	0.49875	0	0.55875	22.11564	29.78372	17.34636	0
0	1.16645	0.01034	1.17679	0	0.10725	0	0.0975	0	0.5846	0.78935	0	0.238	1.757625	0.0975	0	0	0	0	0.10725	0.45855	0	0	0.2538	0.2188375	0	0.24675	0.4655875	5.79076	9.072612	17.15783	0.6525
0	0.0119	0	0.0119	1.186733	0.309175	0	0	0	1.23875	2.734659	0	1.257815	4.019165	5.486937	0.9884	0	0	0	0	16.95099	0.883575	0.612102	8.979975	0.456075	0.1141875	0.630525	1.243288	58.96895	43.68244	15.47446	0
0	0	0	0	0.9856	0.489125	0.4875	0	0	0.045855	1.52058	6.827065	2.1192	6.603957	5.3607	7.9518	0	0	0	0	16.85449	2.554991	0	0.987	0.1723915	0	0	0.1723915	20.66465	46.35911	9.580248	0
0.584687	0.741942	0.507997	1.834626	0.07326	0.050883	0.0287455	0	0	1.471363	1.595506	0.4142875	1.6296	8.277265	0	0.0537625	0	0	0	0	0.4922625	0.3461	0	0.0924	0.111368	0	0.0115	0.1240185	39.43832	21.49317	19.44814	1.23
0.00575	1.22705	0	1.2328	0	0.5886485	0.1512875	0.935436	0.2548	0.326565	1.85065	1.61133	0.99435	4.80365	0	0	0	4.408637	0	0	4.876481	0.467844	0	0	0.02605	0	0	0.07	27.66436	27.06532	6.807225	0
0.4529155	0.032157	0	0.4850725	0	0.14995	0.08645	0.8214625	0.2564625	0.44015	1.411563	0.86995	0.7952	1.47785	4.45325	1.18255	0	0	0	0	7.2144	1.5786	0	0	2.830525	0.3805245	0.15625	3.3673	10.07633	18.8751	3.500694	0.555
0	0	0	0	0.6707845	0.33145	0	0	0	1.519481	2.521715	0	0	2.817117	12.1021	0	0	0	0	0	15.23139	2.002799	0.035454	1.091038	0.03425	0.581175	0.5131225	1.128548	23.12476	27.30933	8.115141	0
0.25455	1.7539	0.496	2.50445	0.3458305	0.5594875	0.11965	0	0	0.5053825	1.4107	0	0.9333125	3.414062	0	0	0	2.07	3.876	5.0622	11.95406	0.56916	0	0.3767	0.08	0.2034	0	0.2834	17.16807	8.209342	7.75624	1.218
0.2484	0.6893285	0	0.9377285	0	0.583432	0.0965815	0.368786	0.104562	1.391525	2.343743	0	0	7.633417	2.91779	0.1817465	1.676451	3.433761	0	0	9.266732	1.056984	0	0	0.036028	0	0.626605	0.6632105	26.8431	35.92724	7.21343	0
0.0467475	1.661304	0.9672	2.675251	0	0.089	0	0.365	0	0.292646	0.746646	0	0.2725	8.357968	2.6756	1.8924	0	0	0	0	11.8011	2.0866	0	5.1465	1.6242	0	0.79015	2.4301	33.66655	64.63669	11.59506	1.8438
0	3.10315	0.304425	3.407575	1.77391	3.033591	0.5184535	0.06747	0.06747	2.574314	7.449285	0	6.479219	12.08018	0	0	0	0	0	0	4.11612	0.00135	0	4.11477	0.2214	0	0.9468045	1.168205	60.36843	24.03849	12.32606	0
0.6465	0.0255	0	0.672	0	0.07695	0	0	0	0.22475	0.3017	0	0	2.401784	1.1799	1.18255	0	0	0	0	3.816693	0.91386	0	0.5403825	0.8195495	0.306	0	1.125549	2.521089	14.39202	7.125328	1.008
0.191475	1.058955	0.023994	1.274425	0.4095	0.3376625	0	0.2870875	0	0.4446	1.47885	4.09805	0.5544	8.9196	0	0	0	0.576	0	0	1.336	0.76	0	0	1.56251	0	2.963472	4.525982	25.97308	57.76957	1.1956	0
0	0	0	0	0.45225	0.3459865	0	0.195	0	0.561819	1.555055	0	1.0089	8.775247	0.2089	2.31155	0	0	0	0	3.931453	0.522746	0	0.8882575	0.056865	0	1.832325	1.88919	27.90497	27.38892	7.176548	3.04725
0.9936	0.1185	0	1.1121	0.30175	0.1095	0	0	0	0.721927	1.133177	0	1.3293	2.19186	1.33875	0.8208	0	0.24948	0	0.519	6.562615	1.612335	0	2.02225	0.4108	0	0.4902	0.901	59.19425	27.88202	0.5446	0
0.922925	0	0	0.922925	1.690889	0.4130285	0	0.305	0.305	0.388828	2.797745	0	0	1.297039	4.793175	0.6123075	0	1.341988	0	0	7.464745	0.7172745	0	0	0.234	0	1.912028	2.151681	14.36138	58.49737	14.90982	0
0.8642595	1.002455	1.057303	2.924018	0.0043	0.113198	0.014598	0	0	0.3138105	0.4313085	1.0305	1.213118	7.711194	0.7988625	0.7803	0	0	0	0	3.707062	2.1279	0	0	1.5298	0	0	1.5298	28.90884	26.16132	28.5483	0
0	0.3876215	0	0.3876215	0.3716025	0.432875	0.103125	2.751462	0	1.035586	4.591526	0.86625	0.4854	4.928645	2.85	1.342552	0	1.50855	4.4115	0	10.23003	0.025425	0	0.0920025	0.006	0	0	0.006	79.8915	34.20569	11.96345	2.52
0.0034875	0.816	0.248	1.067487	0	0.67554	0.009375	0.708	0.259875	0.1559645	1.539505	0	1.228862	4.361237	0.5034375	0.1544375	0	0	0	0	1.633687	0.80925	0	0.1665625	0.33985	0	0	0.33985	12.42231	14.955	3.528307	0
0	0.6217	0.257725	0.879425	0.4968	0.1583	0	0.66625	0	0.1352	1.45655	0	0.26445	4.612532	0.7125	0.1575	0	1.3948	0	0	2.3929	0	0	0.1281	0.6235	0	0.1875	0.811	20.98695	37.07224	23.04046	0
