Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
PHOS	0.246904951656515	-0.0697652685524252	0.0793253109257119	-0.068352458611573	0.0448022700035108	-0.10085930382808	0.0524110274381773	-0.0441310597935049	0.065946285141171	-0.0949429377173462	0.0126588367455412	-0.000870274233845254	-0.101199432934319	0.0144705915820818	0.216970772164722	-0.125183063326145	-0.182437876009696	0.0483071799508084	0.0223753393484726	0.190617317100949	-0.32955756048132	-0.0832002337007267	-0.0264294631944426	0.260292845111799	0.145420948824698	0.0898888115642815	-0.239180011494859	-0.233293303040979	-0.020881830411073	0.0929113914831501	0.0627462762858782	0.0603360622734966	0.399531832715549	0.164949993950557	-0.0234770180835332	-0.206034076109584	-0.396634962593899	0.100532277648303	0.0916598241206902	0.00258423520133455
CARB	0.187670480075808	-0.149482153975951	-0.164547671709676	0.0171953689288485	0.0372136035355926	0.19405579189354	0.283396795603071	0.17326795161928	0.170433880074034	-0.0454689135099905	0.0118432203869315	0.00542721386565212	-0.157339691576999	-0.126527047416837	0.204012448729429	-0.0271349817989191	0.208002391320254	0.13917244535877	-0.000854245856165932	-0.12795061625888	0.0446014289217431	-0.0113454867393966	-0.104035602862686	0.0266575674471346	-0.103468552586865	-0.111319902254757	-0.0218332961078559	-0.00463104528722622	-0.0862697986703572	0.053769380696985	0.0909494682730287	0.117448665539873	-0.0677327906096024	-0.0850316159441754	-0.643771593138067	-0.204453130805225	0.123230160508176	-0.12938637293738	-0.0511488614054273	-0.00454364935714252
SUGR	0.0948139356281414	-0.211730666434669	-0.0951162874384613	-0.0432765074507465	0.183801217196567	0.363096386809314	0.234361433651161	0.0342489469303908	0.0250779937697733	-0.210389219860152	0.0819790632319478	-0.21029036376346	-0.0294360993105679	-0.212127295505743	0.164749134981883	-0.0995440202405263	0.35158365117851	-0.0452555746667684	0.0200340717596437	-0.237243205193981	-0.0376853684772976	0.0477862095630353	0.0637665960975006	-0.0625029661347928	0.0725638703134231	0.0626334927847755	0.1197980385248	-0.172051301916668	0.126294347592746	-0.00400978055505519	0.03128930999889	-0.0769372316581683	0.10863067525895	-0.047318660072502	0.478216501996653	0.135806872652216	-0.019180504859441	0.0391754756353143	0.0408593657678263	0.00392419993745148
FF	0.208483404059973	-0.0147102451107952	-0.0954158133743555	0.201318907693453	-0.185157179164424	-0.100024427655262	-0.0387882385618947	-0.134006086014377	0.273009718201695	0.0907064092493442	0.0383844701455427	-0.0713916693510911	0.0447861280064457	-0.0433218012305008	0.025047323848259	0.000947865644039814	-0.00508738002130024	-0.0964878733018212	-0.0319415526076412	0.101046427736225	0.148833826259243	0.0707704121278792	-0.192393442060599	-0.255723712351637	0.273188127723431	-0.456424139014812	0.0254476202993613	-0.261058782809422	-0.0864485277053773	0.253426638289773	-0.145040733061636	-0.25049334265394	0.0661767692923653	0.227995267659939	0.0574760950365273	0.0477215190202528	0.0880869134475007	-0.143270582269551	-0.0384791616373337	0.00328172165446688
TFAT	0.221658513581974	-0.209631853289734	0.16363448538348	0.0859375200806344	-0.0756104954539892	0.121456230001177	-0.0589387841388413	0.0525876697620406	0.0296185335535556	0.117796480464939	-0.0343461011240035	0.0687513599711939	0.101509543931735	-0.0179512334748972	-0.0813610794328398	-0.0712115933390536	-0.0713137480420266	-0.0201679624793184	-0.0936464721965505	0.043290005069132	0.0215047878580274	0.00808440322273814	0.106324644887579	0.0196469145703703	-0.0264683737150773	-0.00756477114552907	0.232113210746516	0.0493882160511746	-0.00582058992752904	0.0416289366118776	-0.0875986041727785	0.168995559325341	-0.0452396327087954	0.034570542403289	-0.00958685703421017	-0.0539259642886514	0.133182702565566	0.0339453485263833	0.808964903694526	0.00958278673887731
PFAT	0.185912949358491	-0.155150559053792	0.139871522529545	0.165265866285268	-0.207899848174248	0.169949119551623	-0.0765952786664306	-0.0708022751304521	0.139240524323465	0.0574661092647578	0.00448763542404955	0.0968338473923997	0.122921708603397	-0.0444368991237908	-0.124757970370206	-0.156446049602736	0.0429262372759542	0.147522609700512	-0.214849020600739	0.163424782437959	0.119685654540068	-0.0735374933754512	0.308116618593227	0.140276406048057	-0.125514866381347	0.0570923809489634	0.405281716751777	-0.102358280198379	-0.0455119152223474	-0.0843079687482661	-0.156464854016206	0.135727289861965	0.0576807835591107	0.000971621039724258	-0.00733106005427432	-0.0360442331043641	-0.154984732920563	0.108686281624726	-0.452914441685747	0.000803778376251595
CHOL	0.161343180578685	-0.0640160737985722	0.285516855193836	0.0133885760431134	-0.0218281969066303	0.021030916106252	0.174546683249745	-0.334684346173426	-0.18963753704303	0.0997666628661865	-0.0932732421940415	-0.144535033785529	-0.211400287480478	0.0411892698394231	-0.159785956172895	0.133551184913457	0.121505219953157	0.0627985246405586	-0.150700526436313	-0.146713894431513	-0.0284196162571468	-0.0591237814550386	-0.0282985179299888	-0.027036852103202	-0.0371219067917234	-0.145135388026002	-0.153816080954447	0.0560520175540721	-0.156913375898956	-0.101282831293963	-0.0215055257713106	0.160495507961838	-0.204070610140741	0.0108416056224651	0.0501046224457116	0.150135650701364	-0.385662002389855	-0.428948376699924	0.0280697449213558	0.00748533003408975
ATOC	0.176377768170552	0.0706366678463889	-0.0907115524483349	-0.151442140786059	-0.10996091538088	0.215154179679226	-0.213928308604508	-0.0302964510206821	0.301465927071621	0.21968094833496	-0.0257516356489102	-0.236959091366846	-0.204286830562416	0.0450622029297988	-0.102504227721325	0.113473666550798	-0.234541928314761	0.0279083719200026	0.0423067558292301	-0.157247525595278	-0.108826661154189	-0.0945788201699444	0.0102356209377631	0.095744937818146	-0.0742834926867878	0.197149550673124	0.00495445785843143	0.0312851478789123	0.339972237149565	0.010772858015978	-0.000881156931525576	-0.040491366297882	0.217421861518938	0.0366568492786958	-0.136650127818767	0.414346520681732	0.132721074228159	-0.179109258336739	-0.0274461748923546	0.00759963937759396
RET	0.176624284389298	-0.149975036748267	-0.0190455644276652	-0.108654830803675	0.316347795490162	-0.0620447413847303	-0.113301427965361	-0.189850826516524	-0.269469068172942	0.0704011392998967	0.0872081724095053	-0.0262630982732892	0.134599885204027	0.159915115894481	-0.111312799408116	-0.0636816652352922	0.102045051745496	0.0735483473536111	-0.106496451056359	-0.054528680556523	0.323512534872732	-0.0213655349164056	-0.00705103332063186	0.11803493913496	-0.00847268114081094	-0.0815859796365671	-0.0132763245031023	-0.0297327542926956	0.262120219084204	-0.0429438957562424	0.0494523462352813	-0.362106659280753	0.133775723546156	-0.0326477291580598	-0.199426574059844	-0.0463838959753349	-0.0604929107066421	0.0728089346187574	0.0429412945272085	-0.450005178526386
VARA	0.181473786032912	0.071373789217996	-0.169106341999455	0.228835997338634	0.253099273048471	-0.0460563817048564	-0.168501831310774	-0.0202903623758622	-0.273226169722299	0.0345028783994578	0.122023914765801	-0.102871941374347	-0.0479632548456286	0.0776834037233196	-0.0371815614066333	0.0101771380041615	0.0933873244164182	0.128112573544606	-0.0525774246578845	0.0911558053055397	0.143767719971306	-0.163755731103851	-0.125684706032779	-0.0522775155471906	-0.151776327038386	0.102595475767023	0.00279645766449738	-0.145902664199256	0.1437561836743	0.0422535295405691	-0.0297530735822837	-0.0110496466382638	-0.00923523556223249	0.0351966120868779	-0.0317070327423459	-0.0428208279000903	-0.0122192894972536	0.0312246502870331	0.0273663937459871	0.698794624761218
