Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
F_CITMLB	-0.0415268310561029	0.283579539894029	-0.144331072712969	0.175949434824889	-0.0446772939993749	0.149852271015076	-0.106793927498814	0.166224852349351	0.103193099163454	0.213655301459959	0.0521862515586253	-0.378121391836149	-0.178193778255262	0.359630803485965	0.112523521699821	0.1154815437961	-0.347116916864969	-0.0812184445990231	-0.141156435762904	-0.0658666799009313	0.103073695926775	0.299407233589638	0.10574741871567	-0.113600845507642	-0.138689106620136	0.11387382056294	0.0323514860554882	-0.0456148737839552	0	-0.320099496312386
F_OTHER	-0.170689698228022	0.352371257338854	-0.1155603449721	0.210739790638996	0.128079567913415	-0.0613040721192441	0.046090079084718	-0.0789211673598349	0.185391268284993	-0.0432036222923841	-0.0871989755181225	0.219492166304961	-0.179905134608741	-0.247470459995828	-0.0171705505188607	0.0537193728218025	0.0993048200969596	0.347868430833899	0.00275551738019485	-0.0575059754166699	-0.137327567974777	0.00240020741829616	-0.404381625474109	0.1620521610072	0.10837440107588	0.0216505619128685	0.025765019008021	0.011654398829308	5.04270718010706e-17	-0.464501627969308
F_JUICE	-0.125563636249186	0.0258399969840006	-0.0296216263497737	0.255472650904134	0.161435841546723	0.244605375185437	0.0552610077157707	0.239523178525715	-0.420837375500941	-0.165391951428224	0.247331255312974	0.0178792902868527	0.26602690802064	0.00861924086221673	-0.360211077942088	-0.115656297957383	0.145943460531139	-0.0934001840750564	0.101619624246635	0.118211373847387	-0.0233102269606405	-0.0804398194196462	0.246357658827988	-0.0524148546922134	0.100260387632924	-0.0464148911619976	-0.0281362429141497	-0.00224346778152957	-8.95451453741902e-17	-0.391662866507719
F_TOTAL	-0.195017420208775	0.363975067132505	-0.153364834085688	0.349802702051487	0.14915576016871	0.158612744987508	0.0121997433105462	0.151826579827602	-0.0628424141618791	-0.0226375323668245	0.100525255043107	-0.016617754433167	-0.0500941127159093	0.00487422452014291	-0.155508704382396	0.0228644687079832	-0.0107636967329594	0.136204313629251	-0.00564529201037858	-0.00205876636736241	-0.054925197168185	0.0900402578910015	-0.079099687933892	0.0252870010523907	0.0622017093080031	0.0389722411286486	0.0155506409332954	-0.0138486426242826	1.47343221908108e-16	0.726893904963699
V_DRKGR	-0.143916405944122	0.283528343387387	-0.00185051274691952	0.18291173663576	0.0516192272177463	0.000335145526135642	-0.11805322885235	-0.295545135382729	0.293558476130162	-0.187149524601525	0.0115929858509155	0.102926452906412	0.0804798956130083	-0.0913846389091691	0.237374178421337	0.272549643375419	0.129706246158002	-0.276793793015356	0.181139830170946	-0.120283898901481	0.115330123639436	-0.210734944368073	0.431390876597397	-0.088162111848394	-0.0238364925906527	-0.187395431250265	-0.00111255410366225	-0.236892353241853	-3.2401358896071e-17	1.33573707650214e-16
V_REDOR_TOTAL	-0.274323560381172	0.0430067295842783	0.153303842454264	-0.211687526802305	0.0223995088190796	0.359580729494847	-0.190458762315273	-0.196304343116775	0.00440190940181395	-0.142746787688479	-0.0583366485518734	-0.0947967317380518	0.0367913532762052	-0.0850279964372	0.0162694489737469	-0.276640010103026	0.0411969956804728	-0.0733739904066072	0.147118152323861	0.284615401801215	-0.0701796552390404	0.252422384708136	-0.280087200853068	-0.149543077186706	-0.351557353100868	-0.136147277543599	0.181595195349168	-0.278423589677244	3.27023203289195e-16	-3.38271077815477e-17
V_REDOR_OTHER	-0.175083393626517	0.19396425560984	0.18225310040476	-0.295727467197405	-0.214912086397805	0.163828262013788	-0.070131890097061	-0.0890351479953959	0.022351200898865	0.0323268537010372	-0.0734324346908473	-0.38890679753076	0.173834866046688	0.0321024394981074	-0.0435859337610011	0.153154919960227	0.0802233671535372	0.0549152979616389	-0.0380720140376585	0.0371889573895351	-0.346861585740678	0.0378354051720059	0.109617426009854	0.37788619389885	0.399506590050645	-0.0654362524240577	-0.239456525179641	0.0178923204526607	-1.20772746824214e-16	-9.54097911787244e-17
V_STARCHY_TOTAL	-0.120687275688986	-0.0271851094630487	0.232908917410047	-0.123925337363712	0.407111363710819	-0.185025370847544	0.395307390485016	0.0558009232578346	-0.0463985074016084	0.0690186060127702	0.110547100284843	-0.0185279506894173	-0.04405899847852	0.15158801784933	-0.0125791265499127	0.0609795963751889	0.089767785610327	-0.123417300184871	-0.27941632388181	-0.127177303532197	-0.0126937252186264	0.0221930304906428	-0.0520127196898139	0.217443602440975	-0.0798068902067026	0.0722323485007407	-0.0290796965848385	-0.571706173625835	-2.94771034158668e-16	1.23165366794353e-16
V_STARCHY_OTHER	-0.0568663177400343	0.119929709467806	0.150033671593504	-0.27842883448716	0.308994319713831	-0.0591355128830551	0.0622165224719468	0.0845257316153171	0.0476666236806919	0.301343996869116	0.0150600803344058	0.12193295361247	0.121927104943031	0.144159628695453	0.0653055698108613	0.12244593446539	-0.03489122686592	0.549571569452351	0.341754154066094	0.214236247857408	0.0430757280436339	0.0257845989282707	0.26321665932641	-0.237886893319975	-0.0716627438131165	-0.0291881361872259	-0.0819059608315475	0.0474400748551467	8.44512084825029e-17	-7.13405029495462e-17
V_TOTAL	-0.316442371659074	0.123715402730343	0.274541703007019	-0.16248303679357	0.289962571235988	0.0915475491788453	0.127493990773987	-0.0865593377032454	0.0771749851681927	-0.083462091462449	0.0799732947913453	-0.0193006470366496	0.0838643171778614	0.0152416646039416	0.0512452567199139	-0.0284644595124433	0.000638958957924437	-0.224267993467407	-0.117134045059737	-0.206501652643072	0.151630727843195	-0.0516072392039956	-0.0571494520950402	0.0296144923715804	-0.142313541474036	0.194025650291314	0.0636874156984652	0.661644222208644	-1.65468298299223e-16	1.43982048506075e-16
