"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"PF_CUREDMEAT",-0.191480295287318,0.0234492566631744,0.436910165600069,-0.0432601659701505,-0.18659519758595,0.0362892007144235,-0.13021212689226,0.00918502585178216,0.213775597121276,-0.178649325201799,-0.0509160212504815,0.0443990371434094,-0.128878926889653,-0.163426672225534,0.080862816037958,-0.0398467951933879,0.317386484043735,0.36018716736866,-0.35976136823055,-0.428482680214079,-0.0405948459253946,-0.136230217794922,0.0156130464172429,-0.0559349969427123,0.114577783053183,-0.0477895713719071,-0.0257694003653533,-0.00864633160039083,-0.000935376781584226,3.14485256815887e-07,-5.21039235114357e-12,1.07975665803682e-09,2.76398247402155e-17,-7.94105508662259e-17,-8.97467782808948e-17,3.29135637483932e-17,-8.07361355680806e-17
"PF_ORGAN",-0.143407958099543,-0.101350685527737,0.193371778079637,0.0160811773266066,-0.061836536598988,-0.0142860481955474,0.00725336153343667,0.214918285139389,-0.112838054621701,-0.214588378573842,0.304290288386576,0.0491884939435198,-0.0227222338736034,0.432850550218929,-0.464835126839234,0.305199205870584,-0.0168959415511036,0.0265672596515159,-0.336289099733859,0.161013084127541,0.0834937457427562,-0.0683983460667676,0.27106818214385,0.0189415100070173,-0.0255519612368295,-0.0603080943783839,0.00428413918611004,0.0234601664091002,-0.00139180286983278,1.24747810474322e-06,-1.45908361487553e-13,3.02398158378136e-11,7.74084775689413e-19,-2.22398293160003e-18,-2.5134607540885e-18,9.21781843798901e-19,-2.26110744111618e-18
"PF_POULT",-0.259992846974071,0.150615271755725,0.460739351759756,-0.0482251708030913,-0.316408223195495,-0.106842958182557,-0.080996981189035,0.254339974704459,0.0728240379866353,-0.340929488956236,-0.00442461644919076,0.202227143655708,0.0115658228489083,0.206393206951922,-0.0932268337063923,-0.265749055653565,-0.0571404540869381,-0.190954047251161,0.390434337578873,0.0196984502199948,0.0597120968558123,0.0842629814097818,-0.0820719189758326,-0.129634018565343,-0.00733209459689157,-0.0251410622593058,0.0115955640399422,0.0159263126953931,-0.000258818946873231,-2.63056741340383e-06,-1.01452767503812e-11,2.10272773725372e-09,5.38260404090406e-17,-1.54644812693423e-16,-1.74773673846783e-16,6.40961666355609e-17,-1.57226268125875e-16
"PF_SEAFD_HI",-0.142145620119475,0.156250627222903,0.165319092225683,0.0131547389334986,0.0579324519788995,-0.20774968413996,0.0212025223415648,-0.0225892919952023,-0.144471767897228,0.460058033640292,0.0528270486634176,0.563804259304384,-0.160527543637676,-0.0865518397773577,0.202822359909,-0.0176932067156447,0.00938119900251501,-0.149288247828921,-0.322173642480826,0.308501890043993,-0.107482114127169,0.0142448514173255,-0.0461780524145839,0.0746039189229416,0.0876567005208748,0.0372943312272157,0.0497997630130057,0.0121059734366076,0.000648052667476336,1.56093558488593e-06,-5.90030019539904e-12,1.222757594092e-09,3.13003906994945e-17,-8.99275335909961e-17,-1.01632671357924e-16,3.72725736982875e-17,-9.14286762162946e-17
"PF_SEAFD_LOW",-0.217125574207692,0.0870647270885235,0.150947973029613,0.122116586866454,0.053738108710908,-0.114341918188051,0.0644992689646106,-0.279626569508796,-0.37571396687444,-0.0823472296701301,0.14305605814551,-0.151810989445492,0.171385008883496,-0.305354273543679,-0.0506844197682913,-0.188985313107647,-0.554483129911311,-0.031590643755367,-0.125198982254051,-0.15468699942084,-0.175736262752595,-0.05575443705683,0.207105481727022,-0.0639385353522776,-0.0604628963530386,-0.151040966501604,0.0365493365111302,0.00912661383289217,0.000320213391875228,4.37457444762782e-06,-3.62203700276429e-12,7.50850242582207e-10,1.92204129794286e-17,-5.52211744075224e-17,-6.24088668558817e-17,2.2887709810563e-17,-5.61429706073291e-17
"PF_EGGS",-0.254558110852368,0.143064053173808,-0.0290733003568202,-0.0680171064683801,0.162037871538058,0.131716129934109,0.276001695824254,-0.257103599597399,-0.256639759284311,0.239817185764669,-0.0732203167281413,0.271681034223725,0.246425106520411,-0.0271852266069472,-0.303705337572082,0.181969573689338,0.296770921378632,-0.116899472547856,0.143160310821817,-0.171358053495936,-0.0451199436459197,-0.242839245079981,-0.0628690913665294,-0.255056426653832,-0.204761809324714,0.00260208283682476,-0.0918763995127011,-0.0449867443844651,0.00227897848687914,-2.28562232289725e-06,-6.98445458102778e-12,1.4476446614287e-09,-1.02232786631242e-24,-2.12221968332934e-25,2.30204552870441e-25,-6.53916446550401e-25,1.88432446167098e-25
"PF_SOY",0.330002937073257,0.112807092268402,-0.0850623074011538,-0.0655840229636845,0.0193715349029191,-0.0613248950865466,0.350988112507863,-0.0103953982526214,-0.103499933016407,-0.14768484656845,0.145343326701651,-0.185918175002559,-0.621172151930022,-0.0825764027631769,-0.0917982805596027,-0.0346113350720906,0.122911359195879,-0.224004971842851,-0.0907235344029167,-0.137644888420482,-0.101050989889769,0.148896300321991,-0.0436700490601591,-0.0644694181544862,-0.249236899891132,0.16862495018077,0.164267430392108,0.00376865778715377,-0.0207045096806294,-2.78630209068112e-06,-5.29402897226185e-12,1.09707121237149e-09,-7.74752768556894e-25,-1.60828704174082e-25,1.74456366708573e-25,-4.95558616983702e-25,1.42800112976153e-25
"PF_NUTSDS",-0.470703039528138,0.265363005143318,-0.233996297392612,-0.0462481099901707,-0.184929525087007,0.191487162265799,0.513616971383449,-0.112745938964247,0.0313548182703448,0.0765053538443515,0.119695749365737,-0.107448568404448,0.0685787653400405,0.04851872631195,0.0362258346762863,0.0924972016565747,0.0359187599193429,0.154069610210755,0.159330779329917,0.0292713611187284,0.0663742061620522,0.00982682322024991,0.118505494116167,0.0695828573420173,0.315651873180929,0.00939268961224643,0.26136277062051,-0.106745424830037,0.00514754444995791,-2.34475339984212e-06,-1.65565387923212e-11,3.43141631459708e-09,-2.42326893850103e-24,-5.03039501521369e-25,5.45664253409813e-25,-1.55000712389441e-24,4.46649747863471e-25
"PF_LEGUMES",-0.235944791688526,0.0659196470777529,-0.0943752335269664,-0.776751005563729,0.0492610698822644,0.290583238847144,-0.270321394183569,-0.248911030470093,-0.0908332270392753,-0.0962095448642846,-0.196630634766501,0.00265726549973919,-0.135687316286544,0.105932444054335,0.0135311414989689,-0.0107841821766678,-0.0781687661665968,-0.0530427436038629,-0.053017670146228,0.0485168863306487,0.00510017939927522,-0.0143416235101384,0.026857205195366,-0.0483582909476514,0.0436718323469648,0.00883362091877508,0.016587046198611,-0.00750873440855132,-0.000212941446343793,-0.0057862437498362,-5.23863009686422e-15,-1.77912947036476e-16,5.0281775065671e-30,3.96578020531801e-30,-7.58796138833931e-31,3.96677140651187e-30,-1.42406697511164e-30
"D_TOTAL",-0.307096493980676,-0.611056205122139,-0.159359140800074,0.336051902642646,-0.139920797524901,-0.00368986255636961,-0.0362937177128079,-0.396393667360988,0.161717175943409,-0.192611421961763,0.0678135821521103,0.0881856166024137,-0.178699054584765,-0.0234211143074788,0.0397048671981777,-0.0080931212693383,0.0910265982645316,-0.171017474121183,0.00176407171580223,0.0527842284934012,-0.0447530169617049,0.11663165901418,0.139314331405971,-0.0658190948904784,0.0101008452293107,0.00406554730493681,-0.0891092541259959,-0.0848248128799835,0.106139415869267,-8.41921549466308e-06,1.44284331472887e-15,-4.55375184528869e-18,-5.19439825058585e-31,6.63702166037338e-31,4.74514782894161e-31,-3.32411523038925e-31,-1.94438962803891e-31
"D_MILK",-0.0311235145521522,-0.117169062339888,-0.141478063963327,0.209786313762833,-0.109070551732069,0.289109005145072,-0.129953999251369,-0.275148054933083,0.488728277032647,0.0497208775466946,0.186067362482532,0.179901876957349,0.242091495533627,0.201446106830055,0.0693051017466109,0.173647150601301,-0.166308625169866,-0.305879842406358,-0.110033018251592,-0.287238172098934,-0.123515601541438,0.162917315694266,-0.00860993535053555,-0.0602114562826544,0.0532291020774477,0.133563942423758,0.0525009676535544,0.0583969492985839,-0.0507139760236062,1.06822122192844e-06,-1.28276137504862e-15,-6.3671402998231e-18,-2.33747921276363e-31,-3.01267833276921e-31,-1.61151234256104e-31,1.27625757597709e-31,3.82892640001878e-32
"D_YOGURT",-0.241084708123997,0.0335027458008234,-0.1447921087419,0.117774688798787,-0.303443352406856,0.105786937595623,0.133881771541995,-0.203556477547729,0.41223664141126,0.0429076996031632,0.0621859007283864,0.100979985961486,-0.215360415594861,-0.10412675028952,-0.0507924992421011,-0.0224225184810177,-0.281360917706645,0.409656256733061,0.0421322630001022,0.28670360337949,0.104390213531057,-0.199534015978341,-0.0384730069950286,-0.244834614779775,-0.179135009919751,0.12779087942473,-0.0345752948661178,0.0646062382581562,-0.0161743182175653,2.65622096839295e-06,7.31715261061434e-17,4.47167357070321e-19,-8.31103720093735e-31,-8.85544843268525e-32,5.13937586979333e-32,2.18455530999285e-31,8.42858309789641e-32
"D_CHEESE",-0.463435459721501,-0.654718740971622,-0.0249064969817052,0.226052087380745,-0.0102403726069124,-0.125179016190465,-0.0476468408533263,-0.234848496152359,-0.110539988586936,-0.192635124951538,-0.0730093802378077,0.00624235714689515,-0.0795435024535832,-0.112608314711603,0.0444451761887795,-0.0775920832243476,0.211734245075135,-0.0506453223973571,0.0628692810459055,0.190795940353451,0.0343007584608883,0.0215615300733219,0.140783876289328,0.0205807021460086,0.0330842278488763,-0.0938711768750114,-0.0761955781395919,-0.114264305232615,-0.107454212684476,5.62042135398678e-06,-1.92811831639668e-15,1.95306656113595e-17,3.73996674042181e-31,-3.76128325182095e-31,-4.11318502349231e-31,2.34568385257827e-31,1.64951642769316e-31
"OILS",-0.508902298839428,0.227518702671504,-0.0315501201817589,-0.196503413016284,0.155522555976326,0.0582892033570957,0.543877433989468,0.137871009167048,0.0265371476329147,-0.110723131744433,-0.00937358330806247,-0.0508474658709959,-0.116944902455853,-0.122005378461443,0.0442237475597727,0.109318177678825,-0.00888140831070721,-0.0774135512021924,0.0461907045711868,0.00318098010525944,-0.113926187247495,0.143413058243679,0.111592641796742,-0.00943457275428543,0.223861322950802,0.0448986980240796,-0.341105360965468,0.162227753272124,-0.00629147956135377,5.51682801143304e-06,-9.87480305283233e-16,-2.0225786347722e-17,3.32441488037494e-31,-2.90312639339578e-31,-4.29650939242082e-32,-4.52813481186073e-32,3.87789584389875e-32
"SOLID_FATS",-0.534025312264358,-0.632269291910418,0.0553528386487977,0.154788765772245,0.0472993914326804,0.0357622199462185,0.0191257253394848,-0.142534428431736,-0.103049227697784,0.0518033564632949,-0.157803548351258,-0.0959249370983727,-0.0127209795162834,0.0483042045602817,-0.0114933285168539,-0.0266576194661593,0.179123047735951,-0.016643644745931,0.0757803356276843,0.0239125207577835,-0.0371957089484516,-0.112302630486768,-0.0579284261273791,0.04592034281028,0.00443123867978354,-0.129187775061129,0.224178197064241,0.296451600373942,0.0100992718251754,-2.39372807676097e-06,1.47715912242879e-16,-1.72540624608153e-17,3.32441488037494e-31,-4.12645638306571e-31,-1.57726678611113e-32,1.17990834867157e-31,7.21880921332385e-32
"ADD_SUGARS",0.0343047633917498,-0.396852526107163,-0.102810986776394,0.0575857787039585,-0.0165206207852653,0.141881936520002,0.1320410959104,0.185573316205782,0.210429600830503,0.343852413291093,-0.114729909379526,-0.0138549739917307,-0.396151150098726,0.195177390888918,-0.230972589544382,-0.095770105420359,-0.249909332848607,-0.103522443617133,0.0681953334408914,-0.15800435650078,-0.19515419425795,-0.248756806914348,-0.134532662803036,0.103575721567807,0.126848453318064,-0.249382033660672,-0.0722389194045363,-0.0814559848602463,-0.00583173200464174,-2.33800041686568e-06,-1.01229316374953e-15,6.40858482829754e-19,6.07744595318544e-31,1.35342291767586e-31,2.95627694305772e-32,-4.44658607261585e-33,-4.30815239030105e-32
"A_DRINKS",-0.0541033580836027,-0.124311496517392,0.168963404067242,0.109704111428691,0.0258194042422189,0.0802702205573888,-0.000484280448252094,0.0850451914525205,0.143571765659304,0.334425550257102,-0.488127407629724,-0.0620773135996001,0.0776503300397672,-0.178529746731004,-0.507111000092921,-0.247809408009136,-0.0122603895080213,-0.00148252175998602,-0.140310182608473,0.00779690616868961,0.138959616251529,0.316341284210809,0.148284739511375,-0.0807981772697608,0.0750848907542113,0.142531678834935,0.0430980704500689,-0.00569598690048847,0.00166065876675617,5.4628350143048e-07,1.68481447024715e-16,3.63772600221421e-18,-1.6881794314404e-31,5.18089379953493e-32,6.59189222923335e-32,8.3496944341413e-32,4.38547924759361e-34
