"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"F_TOTAL",0.640683811935252,0.23397886388222,-0.219563458163984,0.462231147200177,-0.172699240785338,0.0625578400869903,-0.13262685564444,0.197955144245522,-0.117397432292953,0.152332025150071,-0.00356176339860682,0.128522179862479,-0.127137704716896,0.294452044385442,-0.0268630440842836,-0.104646939760565,0.027267948260352,-0.111122405265474,-0.0329890244296679,-0.00421224914474608,-0.0119820507187741
"F_CITMLB",0.338821647730673,0.411508885204458,-0.180257383916977,0.278721214510764,-0.674643989345954,-0.129031285180146,-0.0907564659040451,0.100574329751891,-0.115125074765433,-0.131145481228836,0.00978087552453087,0.052830154557834,0.0008457298646614,-0.213659859062737,0.142592478877997,-0.0475452662328887,0.0653678304802702,0.0199953520066906,0.0869147592187622,0.0412333739061,0.00504073603225932
"SOLID_FATS",0.686816951815859,0.261510254837641,-0.262131599867316,-0.330644673661697,0.20997937014594,-0.0306397772721482,-0.370510203799176,0.0252106161861253,0.0554939212769687,0.248436699615645,0.0626251186517456,-0.0303514936001992,0.0166558927338342,0.0177279215584577,0.0410142420637556,-0.0262978919753752,0.055929790304996,0.107831238529847,-0.0691188231739649,0.0592581917167899,0.0570865313703691
"V_TOTAL",0.788994855703113,-0.104774568929562,0.250679086722738,0.216069312864509,-0.212866615275379,0.189842885764515,-0.0952720190569421,0.0713469195779151,0.113814290815527,0.130574567601172,-0.192697469896185,-0.218283038915527,0.00439194173205528,0.0468004942355799,0.0813607020322683,0.0742162486008133,0.0170930132093126,0.136604878285295,-0.0131467831325552,-0.111287336171163,-0.0288552061039792
"V_REDOR_TOTAL",0.819571809131648,0.19549469906162,0.134746193052672,0.135578580322675,-0.208098260870493,0.140674909247584,-0.222781684674303,-0.0876681524499879,-0.00731141064277452,-0.165054725474199,-0.0328122522356944,-0.00338077495380073,-0.012430929902728,-0.0866443681795784,-0.255879548453406,-0.0224757692636848,-0.173194127584833,0.0222756848106188,0.0116944488212236,-0.00766902890601024,0.0204994448965944
"V_STARCHY_TOTAL",0.504777945341151,-0.604209235994136,-0.250197670457189,0.0885266694550628,-0.103457164193899,-0.271695700275042,0.0823581298905594,-0.0889533818205309,-0.133708527946155,0.000844983901706532,0.0155801710127878,-0.35663399784525,0.150017722866569,0.077708663802967,-0.127060039685985,0.0289731693321384,0.105518907270246,-0.044720540626895,0.0697614421260723,0.0391240749178835,0.010424511957306
"V_STARCHY_OTHER",0.363752731751636,-0.650711258527666,-0.102358374391955,0.378219257687148,-0.114202822692653,-0.277605797066645,-0.0624758987385374,0.0386665040913795,-0.0862448231424703,-0.225942613756217,0.197640963864801,0.230868406828411,0.0891696505380038,-0.0189736937502758,0.0324279543958294,0.125073519696246,-0.00811467636930892,0.0322257881545588,-0.135008817239853,0.00615066660821841,-0.000112357946578116
"G_WHOLE",0.474729061498577,0.35699728151837,-0.081253177208094,-0.264071391202208,-0.101178191745014,-0.3012736681097,0.556816703067783,-0.119069219736574,0.166592907994723,-0.147743994313197,0.119292661306454,0.117511951384142,0.072116076089532,0.200323421130468,-0.0219709050100814,-0.0549824678388965,-0.0170753974315706,0.129765401937851,0.0290989778430554,0.0284736771288684,-0.0194654860192732
"G_TOTAL",0.598130618786496,0.379470851514645,-0.206396428406076,-0.518621518685135,-0.0570691833126231,-0.213242066979412,-0.0294717174580843,-0.186913785163907,0.135872951081396,-0.160188193293705,-0.0373401472345185,0.076888814393986,-0.0336656758811319,-0.0496411545217733,-0.0241494983432549,0.0775231397183804,0.101173103926954,-0.123131625207546,-0.0259538662032984,-0.119942184245547,0.00798621790806197
"PF_TOTAL",0.775798692194732,-0.170195318097822,0.202838582223579,-0.145120456886799,0.257708868012718,-0.0083683382888775,0.220448864999964,0.131040185965338,-0.221201928465828,-0.00886759462176774,-0.125146282027876,0.115783831880563,-0.195058274049196,0.0624929544902212,0.0973469309977298,0.169653485678375,-0.0636440265881906,-0.019912678999149,0.103137905905107,0.0255562811292377,0.0262204196225123
