"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"PF_MEAT",0.171090798939709,-0.470730054641983,-0.495132865483396,-0.47895404208772,0.0233611630632085,-0.14058934017911,0.0749688017652155,0.161557889030028,-0.243133363936781,-0.0541688117742057,-0.286173561108038,0.00815999654976139,-0.202607042649272,-0.114126434167023,-0.0488247046385746,-0.126323456326815,-0.00101538286678266,0.0551145020424554,-0.0479163797265663,-0.000476048454870231,-0.028186717439367
"D_TOTAL",0.277542106835346,0.288915672734577,-0.482424300766386,0.29944795129097,0.530227231034319,0.132660171109046,-0.217299110336146,0.064773220796321,0.204916722736933,-0.208821141551875,0.163957809475807,-0.0866534322045404,-0.161055058690615,-0.0620175382228694,-0.0423967904385699,0.0835165665006799,0.0480937566475034,0.0236246497307162,0.0348664657840497,0.0504488552497295,-0.0420036286021625
"PF_SEAFD_HI",0.227546528776768,-0.0527137028566914,0.552967867862214,-0.247095442029446,-0.0542163922731615,0.461170026482517,-0.1001253431589,-0.30447791069541,-0.267236076889452,-0.33876574346483,0.15623187023714,-0.113343518594143,-0.119141660983307,0.0803537175355889,0.0631297834168213,-0.063902978455309,0.072222206878364,0.00672269494185848,-0.0423647098485769,0.0322566450095338,-0.00396385359757005
"PF_SEAFD_LOW",0.632513489728095,-0.32922373858559,0.00963653103051049,0.086287297131364,0.523764338328874,-0.0994186432313807,-0.256199761455675,-0.0747953182925861,0.0118174216010434,-0.121082308522425,0.0101448806186729,0.0863540351277022,0.215399182543027,-0.0198242716410615,0.128001117439252,-0.178194840180156,-0.0486633709312155,-0.0250986480347503,0.0730546256836315,-0.053941390574187,-0.00463890099304869
"PF_EGGS",0.558748729145675,-0.120501718694833,0.419606162174948,0.0877701823638615,0.0990273047183247,-0.148578345179583,0.251198634421586,-0.0958172209160062,-0.0722947489153431,0.388332580685197,0.402112509792865,0.048828911831074,-0.142491754370618,-0.190918383357064,-0.0583120631697366,-0.0523129794963484,0.0369394949501057,-0.00352674418071786,0.0058713701753425,-0.0263634942029662,-0.0154282174541531
"PF_SOY",-0.48425488652176,0.269114867493276,0.317094204759972,0.346040755027346,0.269562830989072,-0.388022256713992,0.107587205307596,0.328141410737124,-0.113770601925326,-0.255040702494223,0.0473727609758557,-0.127722051890176,-0.11297557210766,0.0245191820946123,-0.0479313179685577,-0.0618866702679128,0.0551282136597926,0.0596428828414126,-0.00697244956741856,-0.0783339502317815,0.0385279376123563
"OILS",0.594419175931891,0.333450810077275,0.476098614859093,-0.0751800999407902,0.0931476340727599,-0.295077025220516,0.160800885650903,0.216158038814986,0.118077547111434,-0.0449056195188405,-0.121733608840822,-0.237839669235834,0.0730910516151719,-0.0766866077422188,0.072986103132363,-0.0146648717384205,-0.06301802998281,-0.104015495414027,-0.0970206707797173,0.0786091043680216,-0.0182384419500445
"D_MILK",0.0983904139433826,-0.0371674228982354,-0.682481474967722,0.311026544655084,-0.0073150386603413,0.23857839505486,0.475044419584766,-0.206210842777965,0.0560892948675079,-0.0227313356579188,0.102279289391348,-0.210377099404274,-0.10189744573168,-0.0369045778847164,0.121086136268586,-0.0414144574238129,-0.0965263704818132,-0.0308807852488254,-0.0471164905229145,-0.0363236098231429,0.0306836001225868
"D_YOGURT",0.366439262655524,0.252651230028285,-0.014440868333417,0.255022966725882,0.281822954395714,0.521530538251921,0.451513607926694,0.0820311461768472,-0.163595955728252,-0.00481015659727525,-0.2144215052357,0.147087520961533,0.222928756868242,-0.105851838046001,-0.0783014209440636,0.00246420918447866,0.109647065316093,0.00866422457814266,-0.0318616298348974,0.00651709676393443,0.00633542228426872
"ADD_SUGARS",-0.189334127197989,0.643851120264499,-0.280366843913394,-0.0914234218815122,0.133424836091809,-0.17167056656078,-0.115862527338891,-0.0958797102265682,-0.569852032370331,0.0970769746319463,0.114328375196146,-0.101786122203349,0.143361231743862,0.0205621875027062,0.0200945531759599,0.0760088626806784,-0.0753117749315475,0.0202250353090696,-0.013813286152599,-0.0333541973215391,-0.02504436663605
"A_DRINKS",0.108977094617454,-0.148828954495879,-0.147782211971662,-0.521733452708254,-0.165587472035093,0.398274009241768,0.0524565451169869,0.567487963152948,0.0195111611512334,-0.0685119576016885,0.368754344973869,-0.0583897338554494,0.116436084770296,0.00805194015842856,-0.00638632394738798,0.00277014527044935,-0.0291062236340441,-0.0238492005563564,0.0201986397831155,-0.0336831437025978,-0.000174827024839971
