"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64"
"PROT",-0.790045233211089,-0.202575589277829,0.0910987523292861,-0.142477308173999,0.0830717004297533,-0.00709209644512412,0.357524614791701,-0.0297942002557793,0.0435287915735423,-0.0642757179445892,0.132464200842471,-0.0717831671584395,0.0159089571412977,-0.0477480927883902,0.0664178764594982,-0.0896237865208794,0.131713684563592,-0.0379885937136629,0.17152457037339,0.00283474211556689,-0.0746841557566741,-0.023034762493336,0.0430909204414398,-0.0421162580841198,0.154344907619242,-0.025411048088025,-0.0324169414570527,-0.0274829063533938,0.0226758251976375,0.0767065492059295,-0.0567127309806763,-0.0262532501238444,-0.0213525231660283,0.0389942578079735,0.0705059091132723,-0.00202981237791557,-0.0446474872829513,-0.0646038433475541,-0.0247633493020976,0.0294581088233544,0.0683527304030686,0.00265214525905122,0.000431613396869762,-0.0392590279819526,-0.000980070187839697,-0.0285103801361265,-0.00471439846319063,-0.0382319321019478,0.0743900413951065,0.00320236284367925,0.0253645715009702,0.0177476908620382,-0.0119387586643607,-0.0472764754497692,-0.00741669981602879,-0.00671514901582474,-0.0135434955472233,0.00210217142297537,0.00179456198161508,0.000117438145142379,0.000933941270986669,0.000394348158122357,0.000459586804551737,9.83616764986058e-07
"TFAT",-0.88145281253586,0.0931353002869943,-0.10989640398506,-0.10425495097304,0.0906887053027808,-0.34046359925584,-0.0573484126422737,0.155101049699105,0.070133604476542,0.0488171219500484,-0.0332492419331362,0.0575568967944,-0.0151852996881883,-0.0261238346236167,-0.0318030579017211,0.0349760986311054,-0.0399222373442911,0.0411929542101304,0.0698244439300199,0.0626130050167985,-0.00441897956875467,-0.0504999690706938,0.0535458962659582,0.0132315049206127,-0.00545429048350674,0.00693967625711894,0.0428436740257761,-8.19971310501337e-05,0.0193150231987087,-0.0125395767306454,-0.0144752415892044,0.032285707186052,0.0163146569490205,0.00212149306171094,-0.00712725787192697,-0.00862168851215669,-0.0168846928067842,-0.00169718550329196,-0.00486166336265034,0.00554761540381931,0.0127383082846801,0.0119754817646187,0.00148067066706987,-0.00288634742405881,0.0159468901639878,-0.0130160972794779,-0.014100874475182,0.00731170771317605,0.0098634564795387,0.0171418290108385,0.0162954060392365,-0.0172379274378878,-0.00607478964137752,0.00860445315225919,-0.00569210917685676,0.0144502767997786,0.00348847587661289,-0.00508948371977887,-0.00488786593750353,-0.00257702210862834,-0.0234589504451067,0.00110635401246026,-0.00408482810353663,-3.0083497851122e-06
"CARB",-0.671058380655252,0.0344955497959763,-0.288235014537567,0.0531132716809735,0.201868709494038,0.228340535231438,-0.296103057605285,-0.125978178654793,0.224193510522846,0.0674247234606304,0.0798698155241057,-0.0775216184771896,0.0509971596663158,0.0547495311195567,0.117985015517342,0.14888344901029,0.172155066520241,0.0894703321302772,-0.0259402045265276,-0.0715076195669861,0.0467649371218803,-0.180447253000405,0.133043564856908,0.0527818815951701,-0.0225892505689902,-0.102256933514674,-0.0515663355174946,-0.00852379731185881,-0.00770188422069688,-0.0810268057484664,-0.0174947679328528,0.0214588891671118,0.0609829973816894,0.0114149687291262,-0.0537201735568309,0.0119167362138715,-0.0124820235272242,0.0709501098780742,0.0510117450894964,-0.0275829056802657,-0.0311284924712437,-0.0119442910050327,-0.0848734117649397,-0.0759893961860993,-0.0676009636185763,0.0316930071771676,-0.00845493961125182,-0.0428905239473088,0.01474344187115,-0.00716447466810528,0.0101728853202885,0.00485717508049579,-0.00267855870428823,-0.000470785088365075,0.00298859494498337,0.00943482775155638,-0.00325459043008921,0.000355891967936072,-0.00036441343418088,7.45134859547945e-05,0.000221537486501987,-5.696486142686e-05,0.000187436096417609,2.91531474438333e-06
"MOIS",-0.439020133028469,0.0987827559689623,0.0707527635417156,0.259198274183034,0.113107683034039,0.362523804469554,-0.0592399945501534,0.0454347638030976,0.111423527530124,0.35226358956587,0.160567982071067,0.0662159265175748,-0.241120691282219,-0.0700884678337293,-0.161523498768772,-0.0706120650995585,-0.133729079872385,-0.0700921320396555,0.174237949661199,-0.304440803739722,0.101306108909538,0.0799024769939298,-0.136840186302662,0.29508327209212,-0.0219764827750217,0.0551656516726926,0.0765555518144537,-0.130531473733488,0.0355495228839076,-0.0393944956915717,-0.101388702377835,-0.0489103209717662,0.00259846056889812,0.0427575920708907,-0.00606907751615506,-0.0144407007009211,-0.0174805646888579,0.00820234344945979,0.00189622335596936,0.0223647594567981,0.00351567161500366,-0.0284051840412158,0.021656610102399,-0.00838574344667098,-0.000151137221197008,-0.00864049566452881,0.00499723624575334,0.000884283568280686,0.00538675689086931,0.00348842081510191,0.00214574828353248,0.00102860345678082,0.00484851628977505,0.00283519157441571,0.00452664025897002,0.00288280649788886,0.00131799175467855,-8.6236454576982e-05,0.000214864848796215,2.1973584751169e-05,-5.01984339122158e-06,-9.08658400486845e-06,-3.16927325401022e-05,-1.39330208456825e-06
"ALC",-0.118633929903545,0.0245396053926895,0.0284104159189909,-0.0669621282413101,0.0949058385202479,0.275373730308406,0.120740185059692,-0.126553905889328,0.118714381707012,0.480699326232219,0.0402053725845838,0.0654332563556809,-0.488728699053342,0.0631030218072215,-0.159836572083558,0.451964800292719,0.0833067566863978,-0.0200051691840071,-0.0573260363602576,0.229244186902201,-0.136421918341608,0.163930433806703,-0.0165104988122338,-0.156524888125387,0.00871589590705267,-0.024134780355326,-0.0188240973345053,0.0598543883135052,0.00671010460031532,0.0290173619365356,0.00644227803244657,-0.0182623161027551,0.0253548639161541,-0.0077035171845387,0.00355469842521166,-0.00737916888102351,0.00170345897304995,-0.00633076174308453,0.0218517961462525,0.00535230437678087,0.00548473597461889,0.0107846649944754,0.000634924847313726,-0.00188206869490832,0.00351168038558632,-0.00509967823281202,0.00289363444145246,0.00125917530336604,0.00707180241832847,-0.00314368935408715,-0.000644884186501639,-0.00204541218322334,-0.000714164848677816,0.000238887145992809,-0.00161610536645446,-0.000468441712886236,-0.00108910051650471,-0.00072848545391162,0.000116133052285564,4.24686363704326e-05,9.94644781772982e-05,4.93108097937214e-05,-5.07661024066853e-06,-3.36364462238189e-08
"CAFF",0.00284626810096262,-0.173309503031923,0.0220832129895831,0.0454259561670475,-0.0201727708090925,0.359015088310075,0.242674522103545,-0.0203830832153287,-0.00984220852675951,0.406897581009467,-0.288821170375325,0.359939948959871,0.0906205147849739,-0.377903016199245,0.152725048473208,-0.237786288104018,-0.275455457325411,0.127926453353917,-0.0526030170788722,-0.00318373568470955,-0.0712475160185505,-0.10723087228898,0.119911060817921,-0.057426043977883,-0.00514862664425892,-0.158557584217433,-0.0633043045503875,0.0608751945768536,-0.0173539790461095,-0.0462975292866773,-0.0269587539256699,0.00323670079917478,-0.00601969767682703,0.00247277781781252,-0.029836356001632,0.00328424261337853,0.00564877635452624,-0.0270934775020787,0.032542511995383,0.00101457907925958,0.00276798226547272,-0.00441153367161245,-0.00577850144276551,0.00946277533804613,-0.00210438604255248,-0.0118350475299456,0.00282877031402725,0.0186690237343885,0.0170948470336388,-0.00848655264753382,-0.00885888815406898,-0.00642074003655012,0.000248468106524309,-0.00143560118646573,-0.00173623345886282,-0.00547669110032333,-0.00118043006198351,0.000243464292424007,0.000299388945531136,-5.23590207938219e-05,-9.383649382527e-05,4.11765391364699e-05,3.50507429269057e-05,-1.44061378135134e-07
"THEO",-0.105348651088006,0.206986642508152,0.0456084965379131,0.126445159299121,-0.108967372591393,-0.199512798679526,-0.2650521425798,-0.454326583536179,0.135961418432591,0.174021651967582,-0.277030509444969,-0.0429038283342689,0.343282479214849,0.138778651612089,0.177281086459498,0.144592005533354,-0.245912124237751,-0.208700449314399,0.298779943087327,0.00486946523209109,-0.0356957486752582,0.139489125389184,-0.206831230620019,-0.00147895435256764,0.0964030826658216,-0.0491122869736908,-0.00147197465869967,0.0549398251464338,-0.0195703076642959,0.0497529373401924,-0.00367805718897172,0.0232762778797086,-0.0305117719954599,-0.0195215059517475,0.0258026010243058,0.0378889160964822,-0.00914074299919166,0.0131913960506752,0.0436926025361386,-0.00295859301218034,0.0044315155427374,0.00762004679771999,-0.0192307772944047,-0.031788219342036,0.000392577914484264,-0.022918222278905,0.0099201222300445,-0.00127476095411417,-0.00665655071194663,0.002452273021726,0.00884892741104742,-0.00282232918237872,0.00110815221355205,0.00737673973033042,-0.000697488733409138,-0.00171932760777118,0.000406486037642185,0.00303700465779768,0.000156840164766043,6.98165029633187e-06,-2.07162815571981e-05,-2.66840043686334e-05,1.00030236888603e-05,-1.23359677039209e-06
"SUGR",-0.435149149785464,0.151473394766522,-0.199021882395888,0.0376670088822955,-0.100504083513886,0.149259643439256,-0.290226046273508,-0.366597845158331,0.372037256007564,0.205764573169877,0.0786229492574609,-0.128949755540464,0.123058906747774,0.23333118889222,0.210750347552119,0.0790828992866907,0.0920996517556745,0.144430356656473,-0.212152897520202,-0.0683328308942753,0.034500025434143,-0.154618140747299,0.154166047510831,0.0284128795104479,-0.0211471606987943,-0.00509128645733991,-0.00953342271362149,-0.0986465311946638,0.0153871754194415,0.0772862196972162,-0.0464230229165091,-0.0339713775318981,-0.0527721524273851,-0.0400358216649007,0.032908129793279,0.0194439140370025,0.00645814514157722,-0.0797592330960402,-0.0345261497522928,0.00413473151743543,0.0025362851487766,-0.00724994950093383,0.0616309454776924,0.0533182780438932,0.033362392087472,-0.0316461153785989,8.07011563093063e-06,0.0292000037532283,-0.0012267190175823,0.00923972958476457,-0.00642684493397139,-0.00468475513448827,0.000981709663878538,0.00182741102520876,-0.00173429917159515,-0.00631760825519956,0.00427396883308554,0.000337041523879895,0.000164924525265592,-4.48489950449559e-05,-2.90932245576184e-05,3.7738953515158e-05,-9.1311518429625e-05,-2.30938556313009e-06
"FIBE",-0.648672395611617,0.00967514523398236,-0.156062177451136,0.545952716336241,0.0396311141220593,0.010124569866159,-0.165303978984966,-0.0421883414255722,-0.106448125026399,-0.00635037120593747,0.122149328014092,-0.0460771243269257,0.0795057351545245,-0.140673142609852,-0.0638577239712311,-0.0297113584322848,0.176936633443015,-0.114226626964011,0.00204580859097192,-0.0308746130286114,0.183904404723991,-0.0341294554161341,-0.0431566783915764,-0.0948408780015169,-0.0305972912968221,-0.103760620774877,-0.0218990981529843,0.0381940206759511,-0.0357741338663135,-0.0142894777287786,0.0634156051849012,-0.0898258063728318,0.0703329788883492,-0.0397870399172425,-0.0513841072841335,0.0102249784348562,0.0392118598470716,0.0502231335507449,0.102816682369162,0.0170022237577101,0.111585110393901,0.0170106457184614,0.0778960829715745,-0.0121960351311573,0.057540399386318,0.0190891205383564,0.0229284380264267,0.0217925113059213,0.00632902562860652,0.0078440330404578,0.00271763402165701,0.00317317450363906,-0.00878502017691847,0.00326780309631034,-0.0045013399594861,0.000216183544255254,-0.00458386088811248,0.00081683063167719,-0.000143808040094482,-8.36061954242433e-05,0.000232083757974461,6.12928801824382e-05,-1.21344062414353e-05,7.25985124384642e-07
"CALC",-0.697579672609908,0.171704341014036,-0.248650356909842,-0.278472643522995,-0.217377523930387,0.12568803227152,0.0454283953986243,-0.0192694627622382,0.221362045203868,-0.0457591066184475,-0.0395723936027449,0.00292485490940168,-0.0125943860869574,-0.0161826260343601,-0.0811881252034645,-0.149615792797677,0.0765868564342403,-0.0508444387859398,-0.104991459277528,-0.249263088747283,0.00415260846178157,0.136020522749926,-0.00532360780101703,-0.115005647248528,0.0980397722914512,0.148477711438987,-0.0158524211058375,0.0824379831563459,-0.00683961001256745,0.0462011516490191,-0.100433453654132,0.0272162494233951,0.0326208820874488,-0.0231199582299829,-0.0980407185560381,0.00899314253668872,-0.0142788592831231,-0.0362117492316321,0.0543964395535295,-0.0290610282253708,-0.0197259458745034,0.0654157734351556,-0.04610737411116,-0.0236964989839802,0.027954581223638,0.0080345285563235,-0.0474841800378077,0.0467538195593569,-0.0394087206888817,-0.00677895271953831,-0.00853375705087784,0.00148221011397865,-0.0129659116579211,-0.024589914135127,-0.0117529201373054,-0.00467768169516383,-0.00379720676627987,-0.00247458243357043,-0.000962522968672764,-0.000139922438236874,-0.000237179447836066,0.000255276102461497,0.000107689747912009,6.63782878783597e-06
