FoodID	taxonomy	Main.food.description
12310100.0	L1_Milk_and_Milk_Products;Sour_cream	Sour cream
12310300.0	L1_Milk_and_Milk_Products;Sour_cream_reduced_fat	Sour cream reduced fat
12310350.0	L1_Milk_and_Milk_Products;Sour_cream_light	Sour cream light
12310370.0	L1_Milk_and_Milk_Products;Sour_cream_fat_free	Sour cream fat free
12350000.0	L1_Milk_and_Milk_Products;Dip_sour_cream_base	Dip sour cream base
12350100.0	L1_Milk_and_Milk_Products;Spinach_dip	Spinach dip
12350110.0	L1_Milk_and_Milk_Products;Spinach_and_artichoke_dip	Spinach and artichoke dip
13110100.0	L1_Milk_and_Milk_Products;Ice_cream_regular_flavors_other_than_chocolate	Ice cream regular flavors other than chocolate
13110110.0	L1_Milk_and_Milk_Products;Ice_cream_regular_chocolate	Ice cream regular chocolate
13110120.0	L1_Milk_and_Milk_Products;Ice_cream_rich_flavors_other_than_chocolate	Ice cream rich flavors other than chocolate
13110130.0	L1_Milk_and_Milk_Products;Ice_cream_rich_chocolate	Ice cream rich chocolate
13110200.0	L1_Milk_and_Milk_Products;Ice_cream_soft_serve_flavors_other_than_chocolate	Ice cream soft serve flavors other than chocolate
13120790.0	L1_Milk_and_Milk_Products;Ice_cream_sundae_cone	Ice cream sundae cone
13130300.0	L1_Milk_and_Milk_Products;Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk_	Light ice cream flavors other than chocolate formerly ice milk 
13130700.0	L1_Milk_and_Milk_Products;Light_ice_cream_soft_serve_blended_with_candy_or_cookies	Light ice cream soft serve blended with candy or cookies
13200110.0	L1_Milk_and_Milk_Products;Pudding_NFS	Pudding NFS
13210220.0	L1_Milk_and_Milk_Products;Pudding_chocolate_NS_as_to_from_dry_mix_or_ready_to_eat	Pudding chocolate NS as to from dry mix or ready to eat
13210280.0	L1_Milk_and_Milk_Products;Pudding_flavors_other_than_chocolate_NS_as_to_from_dry_mix_or_ready_to_eat	Pudding flavors other than chocolate NS as to from dry mix or ready to eat
13210300.0	L1_Milk_and_Milk_Products;Custard	Custard
13210520.0	L1_Milk_and_Milk_Products;Pudding_tapioca_made_from_dry_mix_made_with_milk	Pudding tapioca made from dry mix made with milk
13220110.0	L1_Milk_and_Milk_Products;Pudding_flavors_other_than_chocolate_prepared_from_dry_mix_milk_added	Pudding flavors other than chocolate prepared from dry mix milk added
13252600.0	L1_Milk_and_Milk_Products;Tiramisu	Tiramisu
14010000.0	L1_Milk_and_Milk_Products;Cheese_NFS	Cheese NFS
14101010.0	L1_Milk_and_Milk_Products;Cheese_Blue_or_Roquefort	Cheese Blue or Roquefort
14103020.0	L1_Milk_and_Milk_Products;Cheese_Brie	Cheese Brie
14104100.0	L1_Milk_and_Milk_Products;Cheese_Cheddar	Cheese Cheddar
14104200.0	L1_Milk_and_Milk_Products;Cheese_Colby	Cheese Colby
14104250.0	L1_Milk_and_Milk_Products;Cheese_Colby_Jack	Cheese Colby Jack
14104400.0	L1_Milk_and_Milk_Products;Cheese_Feta	Cheese Feta
14104700.0	L1_Milk_and_Milk_Products;Cheese_goat	Cheese goat
14105010.0	L1_Milk_and_Milk_Products;Cheese_Gouda_or_Edam	Cheese Gouda or Edam
14105200.0	L1_Milk_and_Milk_Products;Cheese_Gruyere	Cheese Gruyere
14106200.0	L1_Milk_and_Milk_Products;Cheese_Monterey	Cheese Monterey
14107010.0	L1_Milk_and_Milk_Products;Cheese_Mozzarella_NFS	Cheese Mozzarella NFS
14107020.0	L1_Milk_and_Milk_Products;Cheese_Mozzarella_whole_milk	Cheese Mozzarella whole milk
14107030.0	L1_Milk_and_Milk_Products;Cheese_Mozzarella_part_skim	Cheese Mozzarella part skim
14108010.0	L1_Milk_and_Milk_Products;Cheese_Parmesan_dry_grated	Cheese Parmesan dry grated
14108020.0	L1_Milk_and_Milk_Products;Cheese_Parmesan_hard	Cheese Parmesan hard
14108400.0	L1_Milk_and_Milk_Products;Cheese_Provolone	Cheese Provolone
14109010.0	L1_Milk_and_Milk_Products;Cheese_Swiss	Cheese Swiss
14109030.0	L1_Milk_and_Milk_Products;Cheese_Swiss_reduced_fat	Cheese Swiss reduced fat
14110010.0	L1_Milk_and_Milk_Products;Cheese_Cheddar_reduced_sodium	Cheese Cheddar reduced sodium
14133000.0	L1_Milk_and_Milk_Products;Queso_Fresco	Queso Fresco
14201010.0	L1_Milk_and_Milk_Products;Cheese_cottage_creamed_large_or_small_curd	Cheese cottage creamed large or small curd
14201500.0	L1_Milk_and_Milk_Products;Cheese_Ricotta	Cheese Ricotta
14203020.0	L1_Milk_and_Milk_Products;Cheese_cottage_salted_dry_curd	Cheese cottage salted dry curd
14204010.0	L1_Milk_and_Milk_Products;Cheese_cottage_lowfat_1_2_fat_	Cheese cottage lowfat 1 2 fat 
14301010.0	L1_Milk_and_Milk_Products;Cheese_cream	Cheese cream
14303010.0	L1_Milk_and_Milk_Products;Cheese_cream_light_or_lite_formerly_called_Cream_Cheese_Lowfat_	Cheese cream light or lite formerly called Cream Cheese Lowfat 
14410110.0	L1_Milk_and_Milk_Products;Cheese_American	Cheese American
14410120.0	L1_Milk_and_Milk_Products;Cheese_American_reduced_fat	Cheese American reduced fat
14410380.0	L1_Milk_and_Milk_Products;Cheese_processed_cream_cheese_product_nonfat_or_fat_free	Cheese processed cream cheese product nonfat or fat free
14410600.0	L1_Milk_and_Milk_Products;Cheese_processed_with_vegetables	Cheese processed with vegetables
14420100.0	L1_Milk_and_Milk_Products;Cheese_spread_American_or_Cheddar_cheese_base	Cheese spread American or Cheddar cheese base
14420200.0	L1_Milk_and_Milk_Products;Cheese_spread_cream_cheese_regular	Cheese spread cream cheese regular
14630100.0	L1_Milk_and_Milk_Products;Cheese_fondue	Cheese fondue
14640100.0	L1_Milk_and_Milk_Products;Cheese_sandwich_grilled	Cheese sandwich grilled
14650100.0	L1_Milk_and_Milk_Products;Cheese_sauce	Cheese sauce
14660200.0	L1_Milk_and_Milk_Products;Cheese_nuggets_or_pieces_breaded_baked_or_fried	Cheese nuggets or pieces breaded baked or fried
21000100.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_NS_as_to_cut_cooked_NS_as_to_fat_eaten	Beef NS as to cut cooked NS as to fat eaten
21000110.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_NS_as_to_cut_cooked_lean_and_fat_eaten	Beef NS as to cut cooked lean and fat eaten
