Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29
GRMS	0.192481707709865	-0.0851082136090526	0.266889920027611	-0.141693811221418	0.0130544311034467	-0.116643832037677	0.214669584422539	-0.0127516763242476	-0.151343715213011	0.177850595528281	-0.0840214289365009	-0.177086716654224	-0.0860812752612492	0.699443048315227	-0.242572536058438	-0.0702445962086663	-0.196552584209794	-0.0287290741536989	0.210825448161411	0.0762337891073556	-0.170822117343607	-0.0758016699579045	-0.0121095692757633	-0.0362714742285231	0.124658128699022	0.0443921177405901	0.0628439427902564	0.0574827210117913	0.0121365729511396
SODI	0.266798652180986	0.0615685979692445	0.0306584387875399	0.046837144857426	-0.165142239611839	-0.148785973324557	-0.198953141753749	-0.16606732115748	-0.0828828965620897	-0.258834277972747	0.0458866722773721	-0.032164129176432	0.137599819562186	0.0468825190318334	0.0989034429585249	-0.106252450847716	-0.16267433348539	-0.109436057077869	0.0908330454403753	0.0651683668063584	0.22991703039165	0.0760786103213166	-0.517567542735452	0.0773536578736325	-0.00185379913603219	0.414422563210392	-0.290599189217717	-0.205161642871951	-0.0661905268814185
CARB	0.264901713100328	0.0483048281832925	0.203228549533339	-0.0604292169446401	-0.050642998410088	0.0963549398573109	-0.201787479076762	0.0594898389029558	0.122778537931145	-0.139947330031015	0.00287943216356032	0.0553659765160127	-0.157318837518304	-0.136729385327074	0.0229750976596719	0.0655478516857554	-0.204246336180297	-0.445039721311797	0.17003768926159	-0.0746280706962286	0.126477450789983	0.0530049092503823	-0.11972691199526	0.258730231315093	0.163446216852522	-0.330098823124859	0.457420106472689	0.124879497085361	0.0747194418537492
SUGR	0.175877039959013	0.0882716860576192	0.0342574272301836	-0.105387581038868	-0.0699560381649002	0.415859735293932	-0.127344336048989	0.324913038052823	0.378930616712258	-0.0331112192191345	-0.210741804667898	-0.114321691026035	-0.263546591924668	0.0203681834095408	-0.0982153598915742	0.136961605332795	0.199893895854476	-0.186810955861905	0.0266475761920477	-0.0814096576352257	-0.30082038885492	0.0691173528245148	-0.0116213502877073	-0.130235966443181	-0.011654676031684	0.251363505735307	-0.295207144708074	-0.0429628724605451	-0.0454058131286139
MAGN	0.25141266794697	-0.0774319462135439	0.185639637141216	-0.209296258620574	-0.0319263794501376	0.0441473478227874	0.147024800926375	0.0247212311503798	-0.0607115905267861	0.0982203505091513	0.0445701405205955	0.224847898061224	0.154632013381974	-0.209134780073138	0.371961480932321	0.00503603763940873	-0.258256618267841	-0.0383942862095717	-0.00552195803780078	-0.0717547078437277	-0.0486474212084614	-0.219454518685422	0.413714965028276	0.019086667759548	0.39702896369277	0.203967004634801	-0.231278232032663	-0.0382902063780179	0.0763973937809525
TFAT	0.256323224569448	0.216356122672098	-0.157942630817562	0.102236017043227	-0.0992940670657124	-0.0106817215680192	-0.00991638542732513	0.0999065120571757	-0.127243192118024	-0.0315219907105976	0.0110797428960005	-0.117525497661504	0.112974610217107	0.0470946192700301	0.0958721254500177	-0.129426489612221	0.171976122195617	-0.0171418859326114	0.145437400424953	0.229617614347053	0.0148542806744558	0.115548894605377	0.231742662666662	0.128643384221132	0.105015500241509	-0.278787469066567	-0.16362000437166	0.140718749656718	-0.66113395485937
SFAT	0.244349114246192	0.281024935668593	-0.111588619500368	0.100854952586513	0.0416377086406247	0.00787703662891731	-0.0142048031368813	0.107850889485839	-0.00942582167242298	-0.0329056741356865	0.054008003765823	-0.14507424580158	-0.0059352983155648	0.0618004798403066	0.0657975265908552	-0.0885963981772642	0.0379717239777218	0.0773098284409622	0.0937694677145977	0.240917854363082	0.146574212562102	-0.00408019052046719	0.069668655237798	-0.0268606304742797	-0.070976249891622	-0.312388266384171	-0.344492387503908	0.129627282228734	0.66668304231323
CHOL	0.201974679541298	0.0122936987870089	-0.322243152724371	0.173029623303707	0.139432845505347	0.038999495626697	0.0327680692707708	-0.236927023802525	0.0187803794308647	-0.212606539628289	-0.414968350163401	-0.2367346371306	-0.0318914900618495	-0.0676504213408979	-0.171346870771112	0.133173102094749	-0.0792078366123502	0.136605175353533	0.024143937474565	0.00448146843013601	-0.0478428584333542	-0.297779876798934	0.15828192567232	0.185173733583074	0.157864407030001	-0.0187667917507061	0.139842166931638	-0.445917902091576	0.0332521516467899
ATOC	0.224845226611334	-0.0756769428473778	-0.119641950307384	0.23283960348556	-0.262907383152148	0.0420026831048683	0.101439581939494	-0.139666913444067	-0.159448328997629	0.261014223348444	0.0100160119149705	0.0601263569217678	0.153294252077068	-0.0382862668993925	0.0560875192073308	-0.166104299229434	0.458695491888785	-0.136693650563054	0.279503303399875	-0.220552781838255	-0.181643133552278	0.129884721968581	0.0814687358189036	0.180133022409815	-0.116030756537195	0.24203871469353	0.231278452729592	-0.00485276518405429	0.226225273482821
ACAR	0.0428654577066314	-0.266546030134034	-0.0374366983592679	0.304117888821632	-0.218187774527981	0.069179017436106	-0.0161789047114588	-0.42046897494935	0.241357237490391	0.270114590695686	0.0962586692847329	0.0700986402941648	-0.39250200037781	0.0278033506658448	0.0982861654395899	0.0444929969296796	-0.110951945781514	-0.121844682521869	0.112753547734221	0.176059265198028	0.204386769378724	0.0319446748809158	0.118780873337294	-0.34050769327967	-0.0153737027554339	-0.118222269928611	-0.111164387351507	-0.122509475147627	-0.0813583077880645
