Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
UserName	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
User_Day	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallNo	1	1.25	2	2.1	3	3	0.875595035770913
FoodAmt	1395.2	1795.3256375	2126.4125	2101.106365	2492.0625	2663.2628	453.075055604223
KCAL	1323.1402005	1513.968125	1858.8539375	2009.55828835	2543.624981	2772.64575	572.81908819489
PROT	38.549255	62.5154271875	104.327799595	102.558354974	133.8356201	185.576385	46.1924361373999
TFAT	40.533522345	81.317705	88.768450625	99.0999997395	112.94470345	177.16881	36.3573255698099
CARB	61.39264	109.65902235125	182.2645025	172.9463346665	244.51112125	281.3244275	81.8330766396201
MOIS	1049.907645	1500.93441358125	1747.51903125	1698.5683138035	1995.30916375	2176.9113	386.779665732288
ALC	0	0	2.295	5.3034	11.409	14.04	6.2666778758765
CAFF	0	5.215	36.72	77.557	144.36	229.71	94.2819895667601
THEO	0	0	0	9.0565	3.78	48.175	18.0155883195637
SUGR	8.5319034	27.1709615625	42.79479758	50.360310231	58.02169125	111.7801625	34.0754293955649
FIBE	11.4265	12.9858375	14.5979784	18.14219077	20.9106596	33.903775	7.81282369964599
CALC	241.6400305	697.35771875	853.060221	838.63845975	942.1036875	1493.7225	330.345340373097
IRON	7.31352	10.716548125	12.82771	13.6528119775	16.0105396875	22.7809112	4.53839690846704
MAGN	172.051	249.66965725	316.249125	304.277751	372.19753125	407.226	88.4786015718347
PHOS	808.23875	1135.74615625	1830.2892	1645.1908436	1996.04505825	2524.6525	562.640592491685
POTA	1515.30975	2219.041875	2879.438776	3053.24922495	3638.053875	4653.9535	1078.06458929952
SODI	2550.0885	3926.66475	4380.1321875	4859.31763695	5162.3920625	10280.607304	2099.10512133105
ZINC	5.6415325	7.45464809875	10.302785	11.2011364025	13.550110625	22.2833425	4.94355564512022
COPP	0.55893725	0.994104211625	1.23938675	1.40961490915	1.9510141875	2.4030875	0.61368301200664
SELE	42.7607	112.2768875	140.3761625	147.344801885	176.7879323125	249.34355	66.5722048231202
VC	12.734	56.75365625	72.8005264	96.09067278	112.978	237.6015	67.1823570374013
VB1	0.7786680305	1.2134864375	1.525888125	1.70428713955	1.596523055	4.570951875	1.06263131300888
VB2	0.94949825	1.39981596875	1.99151325	2.05337372515	2.662997543	3.336335	0.772996694724685
NIAC	10.92888775	17.50739765575	20.545126975	25.0999341741	30.45267525	56.9373245	13.6968659518963
VB6	1.268744258	1.5268415625	2.097294957	2.2266326672	2.4822526875	4.6696245	0.983498824558488
FOLA	247.306119	309.357375	360.615125	408.6074538	445.877375	846.671544	173.930662384133
FA	0	7.9575	61.82	84.154	120.85375	238.975	87.9665802323688
FF	148.79875	188.40458925	310.68475	325.3274538	409.131125	607.696544	152.11652436046
FDFE	268.378	364.33025	404.545	467.0159538	512.9994375	1011.781544	210.383718035895
VB12	1.8099	5.084650625	7.048195	8.88191975	10.61395375	19.81256	6.09624598596847
VARA	250.63325	376.91340625	623.541	652.6416425	832.3890625	1379.5133	341.895121209949
RET	144.12	179.021125	497.346375	428.01335	601.58925	771.26875	236.535466367073
BCAR	535.406	1117.9723125	1661.7785	2401.0717743	2797.99334375	7519.363368	2066.31736816717
ACAR	47.5655	96.4850625	244.0120625	533.9794375	526.00625	2296.582	724.471715682057
CRYP	5.4	26.243	45.5095	55.9413375	81.681875	138.09025	42.4810126145448
LYCO	0	1.76	543.987	2812.835225	3557.529	12458.46525	4206.1537827334
LZ	223.775	901.5480625	1867.1745	2646.2881875	3381.35940625	9208.122	2633.86722542953
ATOC	4.336925	8.0532775	9.109375	10.243356646	12.976419375	18.987955	4.59020416713995
VK	83.42985	93.8182125	225.0540675	208.021236	281.98355625	381.36535	112.083268753138
