Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39
GRMS	0.145078999126159	0.0367644338689136	-0.0291769112549932	0.140825233208186	-0.207976361217664	0.226268421723761	-0.0055884904664483	0.0921279259777131	-0.184457964073199	-0.0281209810478872	0.151129350271187	-0.242943569736666	0.128316779044662	0.0246197363203454	0.131785601145214	-0.189562415316667	-0.713063552751019	0.216499659930639	0.0761667826715227	-0.0172854942571666	-0.232109121426152	0.0428798116368772	0.114904936864231	0.0221631226503838	0.0270927313027031	0.0163415600805235	-0.111338438306313	-0.0577502740948752	-0.000962488041535637	0.0662840267928921	0.0501622658716797	0.0294452859911757	0.0888362696979232	-0.0387938540178421	-0.0378208127772467	-0.0156866700897719	-0.0173210261820771	0.0131946611138351	4.25079970114581e-06
KCAL	0.253365741956171	-0.170033821591236	0.0606933733178157	0.0759369040083967	-0.0785170273929209	-0.0305768263613662	-0.0925941199723727	0.00515726178249397	0.079432040791384	-0.0335194744055552	0.160697547382191	0.0661301089410534	0.140148691828501	0.0710195512867842	0.0716895239505938	0.0326531614713818	0.0807455590863175	0.0445497006778786	-0.0335991949508848	0.0678053004671265	0.10165582291589	-0.112775539139473	-0.0225190081368155	-0.0646844961606984	-0.0234980410692955	-0.0515621444590367	0.0605191255364964	0.00883141277214916	0.0526863860047717	0.0453419156789822	0.0423990721536925	0.0739550173071425	0.0148799758827796	-0.00730614553252134	0.0369408550427637	0.0486341470111354	-0.657194289891338	0.56238232143397	0.00395779511445656
SODI	0.228638969865176	-0.141438514335663	0.0140681059426738	0.0277446116492905	-0.0604512129222197	-0.123556190790307	-0.214943868287702	-0.0424651030185624	0.0172244084746901	0.00188543993556852	-0.0524088885935906	0.031154418781425	-0.0315480616698507	-0.0011968776642436	-0.0995764049486229	-0.0274641264992427	-0.211953265672364	-0.0325925904192955	-0.139638688379732	0.196938409358447	0.250208086965932	0.291115179727961	-0.24259268747072	-0.0203038996803995	0.00980999295726453	-0.367735396106211	0.200476155696273	0.230313417760474	-0.351247009623047	0.11139761221306	-0.024567578503644	0.125736800885882	-0.0665185445596318	-0.00353571308130414	-0.167703056343282	0.311067859830471	0.129641713710262	-0.079799051704834	-1.38549045949389e-05
SUGR	0.147944783334664	-0.0539845306263378	0.11500446552508	0.0807032272270701	-0.0623741855364517	0.0588387236129772	0.177010776181576	0.164131946510969	0.365699068187085	0.124806643132952	0.26408954338391	0.187618533481508	0.173504158977515	0.288560285833941	0.380068535283656	0.0128254501701717	0.0592766057235934	0.129319006646264	-0.0304391675228938	0.328299096864232	0.0188966306306592	-0.297724422100702	-0.0154019650236542	-0.181845186459118	0.0393384954254612	0.052008765023215	0.0481735418269333	0.0291087387640714	-0.0595035318800736	-0.0844040092543689	0.00113215904036212	-0.0130253898051783	-0.0668651461624039	-0.0045560638753009	-0.0239925909950725	0.0205735220469808	0.279162872098966	-0.157049576036143	-0.00124573211550923
FF	0.189318772743469	0.13712242696892	-0.194306536796165	0.199710330558494	0.0490076651771794	0.15180280310673	-0.0953159465746985	0.0875373245409288	-0.0743442609919807	-0.0284722071685643	-0.0466242713504742	0.0303507120024345	0.111973617473646	0.0200142751566922	-0.12588462642285	0.0925384679653234	0.160387609469013	-0.165410903438903	0.188784184103826	-0.0356133900551966	0.00550166123535324	0.142512336867957	0.232020666163718	-0.578462131503708	0.107803741224708	-0.0836223632658968	-0.249480730019181	0.0806701143804302	-0.142557846208994	-0.118757499063777	0.0661956425941643	-0.0671443636409889	0.0869376408074428	-0.191046560296759	-0.0872149240240262	-0.0183346130607445	0.00844260655321524	-0.0170488798261215	0.311313197891175
TFAT	0.225752772059267	-0.27602042129081	0.0567793882112781	0.0938828794011923	-0.017731347015079	-0.201966430610723	0.0179586091250786	-0.050053712343017	0.0588923403270881	-0.0100169825562876	-0.0518401915063518	0.0644237057974665	0.0215900559767428	-0.0734907048310649	-0.00893776512168801	0.0157069548856381	0.0441533243743858	0.11191249001126	0.0146729020015108	-0.0859159396146359	-0.0573428681712345	-0.0243036809002992	0.149450341737659	0.0484711139476728	0.00953955791184759	-0.0297474276209188	-0.134072748096852	-0.0295030225077419	0.0990526456935708	0.0666400780513886	0.0731613661243777	0.031319892307323	0.0200732331758258	-0.0112494507989195	0.0178098977497495	0.0554267358651789	-0.43118032033345	-0.720682024679274	-0.00420580376202891
PFAT	0.192236404718309	-0.205783526087842	-0.0761634667091539	0.0878293685513426	-0.114045864638177	-0.231351753682323	0.00633423293220319	-0.197824432526096	0.0239929836155507	0.0847588547581961	-0.0311752489499736	0.0399880942211078	0.156315270590756	-0.115307158762884	-0.103170688986575	-0.0255786196879219	0.13574444179385	0.335156246982676	0.268605481472936	-0.0215474931722687	-0.0124782742389455	-0.0460101678588108	0.141183479580028	0.215139630654058	0.00442530824841268	-0.21924343284702	-0.114378830147074	0.16919693432306	0.141371724153692	-0.0525317122095377	-0.353123402161526	-0.0437868893894866	0.271891501102839	-0.0882368726934563	-0.0530881390605919	-0.158721937067442	0.296659489823138	0.182684847069888	0.000857258204434925
CHL	0.205780135551614	-0.119236395886382	-0.112687000734312	-0.0054787598456462	-0.0768505527665796	0.0810937130846654	-0.0940550727805637	0.00234478616940662	-0.121894042966239	-0.185373832974912	0.0248579546185655	0.193348723131051	-0.195403151945518	-0.147705928407314	-0.0744429696509722	0.0466542705956283	-0.0443164816838252	-0.243624128873905	0.257543060612396	0.4609831377647	-0.163762689059832	0.0597450250276228	0.042422563597234	0.0621628219779652	0.264365505682953	0.109611835814509	0.287316304238124	0.0288071966855761	0.419815422609591	-0.0301119785272614	0.0990611537505804	-0.0860447758396804	-0.0908270081063513	0.0677684391791577	0.0246305807866479	-0.00878011312450813	0.0703759134300717	-0.0099956250664007	0.000350289216132255
ATOC	0.189682696369326	0.0506924589272723	-0.109259124535784	0.126543089940818	-0.0714091610981564	-0.141516069120889	0.189556336385978	-0.438748961564561	-0.0680553285488547	0.0695853488985735	-0.0564777507931224	-0.110536008258473	0.00440511399751918	-0.0115072268414278	0.0633541966460131	-0.0125134169689571	0.107358436709663	0.0400184874324977	0.117222397971714	-0.0363412362155306	0.0209370629332852	-0.0919531497001606	0.16820445533251	0.0505063305087342	0.160907030853557	-0.00410967039773444	0.0970825905457039	-0.293690488362409	-0.285270387545648	0.260416507261747	0.357941923268962	0.0161722103694974	-0.372822907811063	0.0477849910259505	-0.0617804391959814	-0.124598075011839	0.115421583656532	0.0984889680549923	0.000669516723251936
ATOA	0.0540081664757826	0.199337346491807	0.0295662934259044	-0.036475483638643	-0.0770631835139837	-0.0700500892325228	0.308455409691253	-0.541069892433793	-0.219651325549114	-0.136342382589377	-0.000312303441261555	-0.0244211226323856	-0.131035350801396	0.106594145178448	0.293965963819784	-0.1140592522018	-0.0509600189493839	-0.153079808325537	-0.2283161226858	0.099810390300918	0.182541902045348	0.0192603975899042	-0.0582020885538625	-0.19043026834058	0.108824869682186	0.022387581636206	-0.0925502374754142	0.156849373915054	0.161295027424763	-0.0586259448005309	-0.176184930477965	-0.00152723277963318	0.281782499991269	0.00391621759693345	0.0526529380083222	0.0592187947257988	-0.0727861396495318	-0.0503930088628242	0.000134173322901847
